#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
91,他人造成傷害,洛克發動攻擊  毛爾波爾受到了9999點傷害。,16,65535,41,7,1,0
92,他人的攻擊落空,洛克發動攻擊  失誤了！,16,65535,42,7,2,0
93,他人的技能,"洛克正在詠唱「火光」。
洛克中斷了詠唱「火光」。",16,65535,43,7,3,0
94,他人的道具,"洛克正在使用「萬靈藥」。
洛克中斷了使用「萬靈藥」。",16,65535,44,7,4,0
95,他人進行恢復,   洛克恢復了9999點HP。,16,65535,45,7,5,0
96,他人給他人附加強化狀態,   對洛克附加了「物防護」的效果。,16,65535,46,7,6,0
97,他人給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,16,65535,47,7,7,0
98,他人受到傷害,毛爾波爾發動攻擊  洛克受到了9999點傷害。,65535,16,41,7,8,0
99,他人迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,16,42,7,9,0
100,對他人發動的技能,"蒂娜正在詠唱「物防護」。
蒂娜中斷了詠唱「物防護」。",65535,16,43,7,10,0
101,對他人使用的道具,"蒂娜使用了「萬靈藥」。
蒂娜中斷了使用「萬靈藥」。",65535,16,44,7,11,0
102,他人接受恢復,   洛克恢復了9999點HP。,65535,16,45,7,12,0
103,他人接收他人的強化狀態,   對洛克附加了「物防護」的效果。,65535,16,46,7,13,0
104,他人接收他人的弱化狀態,   對洛克附加了「沉默」的效果。,65535,16,47,7,14,0
105,他人的強化狀態效果消失,洛克的「物防護」狀態效果消失了。,65535,16,48,7,15,0
106,他人的弱化狀態效果消失,洛克的「沉默」狀態效果消失了。,65535,16,49,7,16,0
107,,,0,0,0,0,0,0
108,,,0,0,0,0,0,0
109,,,0,0,0,0,0,0
110,,,0,0,0,0,0,0
111,交戰狀態下的敵人造成傷害,伊迪雅發動攻擊  史克爾受到了9999點傷害。,32,65535,41,8,1,2
112,交戰狀態下的敵人的攻擊落空,伊迪雅發動攻擊  失誤了！,32,65535,42,8,2,2
113,交戰狀態下的敵人的技能,"伊迪雅正在詠唱「火光」。
伊迪雅中斷了詠唱「火光」。",32,65535,43,8,3,2
114,交戰狀態下的敵人的道具,"伊迪雅正在使用「萬靈藥」。
伊迪雅中斷了使用「萬靈藥」。",32,65535,44,8,4,2
115,交戰狀態下的敵人進行恢復,   伊迪雅恢復了9999點HP。,32,65535,45,8,5,2
116,交戰狀態下的敵人給他人附加強化狀態,   對伊迪雅附加了「物防護」的效果。,32,65535,46,8,6,2
117,交戰狀態下的敵人給他人附加弱化狀態,   對史克爾附加了「失明」的效果。,32,65535,47,8,7,2
118,交戰狀態下的敵人受到傷害,史克爾發動攻擊  伊迪雅受到了9999點傷害。,65535,32,41,8,8,2
119,交戰狀態下的敵人迴避了攻擊,史克爾發動攻擊  失誤了！,65535,32,42,8,9,2
120,對交戰狀態下的敵人發動的技能,"塞法正在詠唱「物防護」。
塞法中斷了詠唱「物防護」。",65535,32,43,8,10,2
121,對交戰狀態下的敵人使用的道具,"塞法使用了「萬靈藥」。
塞法中斷了使用「萬靈藥」。",65535,32,44,8,11,2
122,交戰狀態下的敵人接受恢復,   伊迪雅恢復了9999點HP。,65535,32,45,8,12,2
123,交戰狀態下的敵人接收他人的強化狀態,   對伊迪雅附加了「物防護」的效果。,65535,32,46,8,13,2
124,交戰狀態下的敵人接收他人的弱化狀態,   對伊迪雅附加了「沉默」的效果。,65535,32,47,8,14,2
125,交戰狀態下的敵人的強化狀態效果消失,伊迪雅的「物防護」狀態效果消失了。,65535,32,48,8,15,2
126,交戰狀態下的敵人的弱化狀態效果消失,伊迪雅的「沉默」狀態效果消失了。,65535,32,49,8,16,2
127,,,0,0,0,0,0,0
128,,,0,0,0,0,0,0
129,,,0,0,0,0,0,0
130,,,0,0,0,0,0,0
131,非交戰狀態下的敵人造成傷害,伊迪雅發動攻擊  史克爾受到了9999點傷害。,64,65535,41,9,1,0
132,非交戰狀態下的敵人的攻擊落空,伊迪雅發動攻擊  失誤了！,64,65535,42,9,2,0
133,非交戰狀態下的敵人的技能,"伊迪雅正在詠唱「火光」。
伊迪雅中斷了詠唱「火光」。",64,65535,43,9,3,0
134,非交戰狀態下的敵人的道具,"伊迪雅正在使用「萬靈藥」。
伊迪雅中斷了使用「萬靈藥」。",64,65535,44,9,4,0
135,非交戰狀態下的敵人進行恢復,   伊迪雅恢復了9999點HP。,64,65535,45,9,5,0
136,非交戰狀態下的敵人給他人附加強化狀態,   對伊迪雅附加了「物防護」的效果。,64,65535,46,9,6,0
137,非交戰狀態下的敵人給他人附加弱化狀態,   對史克爾附加了「失明」的效果。,64,65535,47,9,7,0
138,非交戰狀態下的敵人受到傷害,史克爾發動攻擊  伊迪雅受到了9999點傷害。,65535,64,41,9,8,0
139,非交戰狀態下的敵人迴避了攻擊,史克爾發動攻擊  失誤了！,65535,64,42,9,9,0
140,對非交戰狀態下的敵人發動的技能,"塞法正在詠唱「物防護」。
塞法中斷了詠唱「物防護」。",65535,64,43,9,10,0
141,對非交戰狀態下的敵人使用的道具,"塞法使用了「萬靈藥」。
塞法中斷了使用「萬靈藥」。",65535,64,44,9,11,0
142,非交戰狀態下的敵人接受恢復,   伊迪雅恢復了9999點HP。,65535,64,45,9,12,0
143,非交戰狀態下的敵人接收他人的強化狀態,   對伊迪雅附加了「物防護」的效果。,65535,64,46,9,13,0
144,非交戰狀態下的敵人接收他人的弱化狀態,   對伊迪雅附加了「沉默」的效果。,65535,64,47,9,14,0
145,非交戰狀態下的敵人的強化狀態效果消失,伊迪雅的「物防護」狀態效果消失了。,65535,64,48,9,15,0
146,非交戰狀態下的敵人的弱化狀態效果消失,伊迪雅的「沉默」狀態效果消失了。,65535,64,49,9,16,0
147,,,0,0,0,0,0,0
148,,,0,0,0,0,0,0
149,,,0,0,0,0,0,0
150,,,0,0,0,0,0,0
151,團隊隊友造成傷害,札克斯發動攻擊  毛爾波爾受到了9999點傷害。,8,65535,41,6,1,0
152,團隊隊友的攻擊落空,札克斯發動攻擊  失誤了！,8,65535,42,6,2,0
153,團隊隊友的技能,"札克斯正在詠唱「火光」。
札克斯中斷了詠唱「火光」。",8,65535,43,6,3,0
154,團隊隊友的道具,"札克斯正在使用「萬靈藥」。
札克斯中斷了使用「萬靈藥」。",8,65535,44,6,4,0
155,團隊隊友進行恢復,   札克斯恢復了9999點HP。,8,65535,45,6,5,0
156,團隊隊友給他人附加強化狀態,   對札克斯附加了「物防護」的效果。,8,65535,46,6,6,0
157,團隊隊友給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,8,65535,47,6,7,0
158,團隊隊友受到傷害,毛爾波爾發動攻擊  札克斯受到了9999點傷害。,65535,8,41,6,8,0
159,團隊隊友迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,8,42,6,9,0
160,對團隊隊友發動的技能,"艾莉絲正在詠唱「物防護」。
艾莉絲中斷了詠唱「物防護」。",65535,8,43,6,10,0
161,對團隊隊友使用的道具,"艾莉絲使用了「萬靈藥」。
艾莉絲中斷了使用「萬靈藥」。",65535,8,44,6,11,0
162,團隊隊友接受恢復,   札克斯恢復了9999點HP。,65535,8,45,6,12,0
163,團隊隊友接收他人的強化狀態,   對札克斯附加了「物防護」的效果。,65535,8,46,6,13,0
164,團隊隊友接收他人的弱化狀態,   對札克斯附加了「沉默」的效果。,65535,8,47,6,14,0
165,團隊隊友的強化狀態效果消失,札克斯的「物防護」狀態效果消失了。,65535,8,48,6,15,0
166,團隊隊友的弱化狀態效果消失,札克斯的「沉默」狀態效果消失了。,65535,8,49,6,16,0
167,,,0,0,0,0,0,0
168,,,0,0,0,0,0,0
169,,,0,0,0,0,0,0
170,,,0,0,0,0,0,0
171,友好的NPC角色造成傷害,德修發動攻擊  毛爾波爾受到了9999點傷害。,128,65535,41,10,1,2
172,友好的NPC角色的攻擊落空,德修發動攻擊  失誤了！,128,65535,42,10,2,2
173,友好的NPC角色的技能,"德修正在詠唱「火光」。
德修中斷了詠唱「火光」。",128,65535,43,10,3,2
174,友好的NPC角色的道具,"德修正在使用「萬靈藥」。
德修中斷了使用「萬靈藥」。",128,65535,44,10,4,2
175,友好的NPC角色進行恢復,   德修恢復了9999點HP。,128,65535,45,10,5,2
176,友好的NPC角色給他人附加強化狀態,   對德修附加了「物防護」的效果。,128,65535,46,10,6,2
177,友好的NPC角色給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,128,65535,47,10,7,2
178,友好的NPC角色受到傷害,毛爾波爾發動攻擊  德修受到了9999點傷害。,65535,128,41,10,8,2
179,友好的NPC角色迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,128,42,10,9,2
180,對友好的NPC角色發動的技能,"艾麗亞正在詠唱「物防護」。
艾麗亞中斷了詠唱「物防護」。",65535,128,43,10,10,2
181,對友好的NPC角色使用的道具,"艾麗亞使用了「萬靈藥」。
艾麗亞中斷了使用「萬靈藥」。",65535,128,44,10,11,2
182,友好的NPC角色接受恢復,   德修恢復了9999點HP。,65535,128,45,10,12,2
183,友好的NPC角色接收他人的強化狀態,   對德修附加了「物防護」的效果。,65535,128,46,10,13,2
184,友好的NPC角色接收他人的弱化狀態,   對德修附加了「沉默」的效果。,65535,128,47,10,14,2
185,友好的NPC角色的強化狀態效果消失,德修的「物防護」狀態效果消失了。,65535,128,48,10,15,2
186,友好的NPC角色的弱化狀態效果消失,德修的「沉默」狀態效果消失了。,65535,128,49,10,16,2
187,,,0,0,0,0,0,0
188,,,0,0,0,0,0,0
189,,,0,0,0,0,0,0
190,,,0,0,0,0,0,0
191,自己的召喚獸及搭檔造成傷害,波可發動攻擊  毛爾波爾受到了9999點傷害。,256,65535,41,11,1,2
192,自己的召喚獸及搭檔的攻擊落空,波可發動攻擊  失誤了！,256,65535,42,11,2,2
193,自己的召喚獸及搭檔的技能,"波可正在詠唱「火光」。
波可中斷了詠唱「火光」。",256,65535,43,11,3,2
194,自己的召喚獸及搭檔的道具,"波可正在使用「萬靈藥」。
波可中斷了使用「萬靈藥」。",256,65535,44,11,4,2
195,自己的召喚獸及搭檔進行恢復,   波可恢復了9999點HP。,256,65535,45,11,5,2
196,自己的召喚獸及搭檔給他人附加強化狀態,   對波可附加了「物防護」的效果。,256,65535,46,11,6,2
197,自己的召喚獸及搭檔給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,256,65535,47,11,7,2
198,自己的召喚獸及搭檔受到傷害,毛爾波爾發動攻擊  波可受到了9999點傷害。,65535,256,41,11,8,2
199,自己的召喚獸及搭檔迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,256,42,11,9,2
200,對自己的召喚獸及搭檔發動的技能,"可可正在詠唱「物防護」。
可可中斷了詠唱「物防護」。",65535,256,43,11,10,2
201,對自己的召喚獸及搭檔使用的道具,"可可使用了「萬靈藥」。
可可中斷了使用「萬靈藥」。",65535,256,44,11,11,2
202,自己的召喚獸及搭檔接受恢復,   波可恢復了9999點HP。,65535,256,45,11,12,2
203,自己的召喚獸及搭檔接收他人的強化狀態,   對波可附加了「物防護」的效果。,65535,256,46,11,13,2
204,自己的召喚獸及搭檔接收他人的弱化狀態,   對波可附加了「沉默」的效果。,65535,256,47,11,14,2
205,自己的召喚獸及搭檔的強化狀態效果消失,波可的「物防護」狀態效果消失了。,65535,256,48,11,15,2
206,自己的召喚獸及搭檔的弱化狀態效果消失,波可的「沉默」狀態效果消失了。,65535,256,49,11,16,2
207,,,0,0,0,0,0,0
208,,,0,0,0,0,0,0
209,,,0,0,0,0,0,0
210,,,0,0,0,0,0,0
211,隊友的召喚獸及搭檔造成傷害,波可發動攻擊  毛爾波爾受到了9999點傷害。,512,65535,41,12,1,2
212,隊友的召喚獸及搭檔的攻擊落空,波可發動攻擊  失誤了！,512,65535,42,12,2,2
213,隊友的召喚獸及搭檔的技能,"波可正在詠唱「火光」。
波可中斷了詠唱「火光」。",512,65535,43,12,3,2
214,隊友的召喚獸及搭檔的道具,"波可正在使用「萬靈藥」。
波可中斷了使用「萬靈藥」。",512,65535,44,12,4,2
215,隊友的召喚獸及搭檔進行恢復,   波可恢復了9999點HP。,512,65535,45,12,5,2
216,隊友的召喚獸及搭檔給他人附加強化狀態,   對波可附加了「物防護」的效果。,512,65535,46,12,6,2
217,隊友的召喚獸及搭檔給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,512,65535,47,12,7,2
218,隊友的召喚獸及搭檔受到傷害,毛爾波爾發動攻擊  波可受到了9999點傷害。,65535,512,41,12,8,2
219,隊友的召喚獸及搭檔迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,512,42,12,9,2
220,對隊友的召喚獸及搭檔發動的技能,"可可正在詠唱「物防護」。
可可中斷了詠唱「物防護」。",65535,512,43,12,10,2
221,對隊友的召喚獸及搭檔使用的道具,"可可使用了「萬靈藥」。
可可中斷了使用「萬靈藥」。",65535,512,44,12,11,2
222,隊友的召喚獸及搭檔接受恢復,   波可恢復了9999點HP。,65535,512,45,12,12,2
223,隊友的召喚獸及搭檔接收他人的強化狀態,   對波可附加了「物防護」的效果。,65535,512,46,12,13,2
224,隊友的召喚獸及搭檔接收他人的弱化狀態,   對波可附加了「沉默」的效果。,65535,512,47,12,14,2
225,隊友的召喚獸及搭檔的強化狀態效果消失,波可的「物防護」狀態效果消失了。,65535,512,48,12,15,2
226,隊友的召喚獸及搭檔的弱化狀態效果消失,波可的「沉默」狀態效果消失了。,65535,512,49,12,16,2
227,,,0,0,0,0,0,0
228,,,0,0,0,0,0,0
229,,,0,0,0,0,0,0
230,,,0,0,0,0,0,0
231,團隊隊友的召喚獸及搭檔造成傷害,波可發動攻擊  毛爾波爾受到了9999點傷害。,1024,65535,41,13,1,0
232,團隊隊友的召喚獸及搭檔的攻擊落空,波可發動攻擊  失誤了！,1024,65535,42,13,2,0
233,團隊隊友的召喚獸及搭檔的技能,"波可正在詠唱「火光」。
波可中斷了詠唱「火光」。",1024,65535,43,13,3,0
234,團隊隊友的召喚獸及搭檔的道具,"波可正在使用「萬靈藥」。
波可中斷了使用「萬靈藥」。",1024,65535,44,13,4,0
235,團隊隊友的召喚獸及搭檔進行恢復,   波可恢復了9999點HP。,1024,65535,45,13,5,0
236,團隊隊友的召喚獸及搭檔給他人附加強化狀態,   對波可附加了「物防護」的效果。,1024,65535,46,13,6,0
237,團隊隊友的召喚獸及搭檔給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,1024,65535,47,13,7,0
238,團隊隊友的召喚獸及搭檔受到傷害,毛爾波爾發動攻擊  波可受到了9999點傷害。,65535,1024,41,13,8,0
239,團隊隊友的召喚獸及搭檔迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,1024,42,13,9,0
240,對團隊隊友的召喚獸及搭檔發動的技能,"可可正在詠唱「物防護」。
可可中斷了詠唱「物防護」。",65535,1024,43,13,10,0
241,對團隊隊友的召喚獸及搭檔使用的道具,"可可使用了「萬靈藥」。
可可中斷了使用「萬靈藥」。",65535,1024,44,13,11,0
242,團隊隊友的召喚獸及搭檔接受恢復,   波可恢復了9999點HP。,65535,1024,45,13,12,0
243,團隊隊友的召喚獸及搭檔接收他人的強化狀態,   對波可附加了「物防護」的效果。,65535,1024,46,13,13,0
244,團隊隊友的召喚獸及搭檔接收他人的弱化狀態,   對波可附加了「沉默」的效果。,65535,1024,47,13,14,0
245,團隊隊友的召喚獸及搭檔的強化狀態效果消失,波可的「物防護」狀態效果消失了。,65535,1024,48,13,15,0
246,團隊隊友的召喚獸及搭檔的弱化狀態效果消失,波可的「沉默」狀態效果消失了。,65535,1024,49,13,16,0
247,,,0,0,0,0,0,0
248,,,0,0,0,0,0,0
249,,,0,0,0,0,0,0
250,,,0,0,0,0,0,0
251,他人的召喚獸及搭檔造成傷害,波可發動攻擊  毛爾波爾受到了9999點傷害。,2048,65535,41,14,1,0
252,他人的召喚獸及搭檔的攻擊落空,波可發動攻擊  失誤了！,2048,65535,42,14,2,0
253,他人的召喚獸及搭檔的技能,"波可正在詠唱「火光」。
波可中斷了詠唱「火光」。",2048,65535,43,14,3,0
254,他人的召喚獸及搭檔的道具,"波可正在使用「萬靈藥」。
波可中斷了使用「萬靈藥」。",2048,65535,44,14,4,0
255,他人的召喚獸及搭檔進行恢復,   波可恢復了9999點HP。,2048,65535,45,14,5,0
256,他人的召喚獸及搭檔給他人附加強化狀態,   對波可附加了「物防護」的效果。,2048,65535,46,14,6,0
257,他人的召喚獸及搭檔給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,2048,65535,47,14,7,0
258,他人的召喚獸及搭檔受到傷害,毛爾波爾發動攻擊  波可受到了9999點傷害。,65535,2048,41,14,8,0
259,他人的召喚獸及搭檔迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,2048,42,14,9,0
260,對他人的召喚獸及搭檔發動的技能,"可可正在詠唱「物防護」。
可可中斷了詠唱「物防護」。",65535,2048,43,14,10,0
261,對他人的召喚獸及搭檔使用的道具,"可可使用了「聖靈藥」。
可可中斷了使用「聖靈藥」。",65535,2048,44,14,11,0
262,他人的召喚獸及搭檔接受恢復,   波可恢復了9999點HP。,65535,2048,45,14,12,0
263,他人的召喚獸及搭檔接收他人的強化狀態,   對波可附加了「物防護」的效果。,65535,2048,46,14,13,0
264,他人的召喚獸及搭檔接收他人的弱化狀態,   對波可附加了「沉默」的效果。,65535,2048,47,14,14,0
265,他人的召喚獸及搭檔的強化狀態效果消失,波可的「物防護」狀態效果消失了。,65535,2048,48,14,15,0
266,他人的召喚獸及搭檔的弱化狀態效果消失,波可的「沉默」狀態效果消失了。,65535,2048,49,14,16,0
267,,,0,0,0,0,0,0
268,,,0,0,0,0,0,0
269,,,0,0,0,0,0,0
270,,,0,0,0,0,0,0
300,跨界通訊貝2,[跨界貝2]<瑞姆> 你好！,65535,65535,101,1,11,1
301,跨界通訊貝3,[跨界貝3]<吉坦> 你好！,65535,65535,102,1,12,1
302,跨界通訊貝4,[跨界貝4]<文森特> 你好！,65535,65535,103,1,13,1
303,跨界通訊貝5,[跨界貝5]<琪絲荻絲> 你好！,65535,65535,104,1,14,1
304,跨界通訊貝6,[跨界貝6]<斯坦納> 你好！,65535,65535,105,1,15,1
305,跨界通訊貝7,[跨界貝7]<希德·海溫德> 你好！,65535,65535,106,1,16,1
306,跨界通訊貝8,[跨界貝8]<艾可> 你好！,65535,65535,107,1,17,1
