#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131210,,要前往伽馬管區嗎？,5890180,0,0,0,402,1,1,0,0,False
131211,,要前往伽馬管區嗎？,5890183,0,0,0,402,1,1,0,0,False
131212,,要前往德爾塔管區嗎？,5890184,0,0,0,402,1,1,0,0,False
131213,,要離開魔大陸中樞嗎？,5867863,0,0,0,402,1,1,0,0,False
131214,,要離開亞歷山大關節點嗎？,5959290,0,0,0,399,1,1,0,0,False
131215,,要離開戈耳狄俄斯之結嗎？,5959290,0,0,0,399,1,1,0,0,False
131216,進行談話,要前往開發室嗎？,6034535,592868,0,0,504,31,1,0,0,False
131217,離開開發室,要離開開發室嗎？,6034570,0,0,0,130,1,1,0,0,False
131218,,要通過密道前往德拉瓦尼亞河谷地嗎？,6045307,0,0,0,399,1,1,0,0,False
131219,,要離開雙蛇黨軍營嗎？,6215554,0,0,0,132,1,1,0,0,False
131220,,要前往指路的好心冒險者的所在處嗎？,6235159,0,593136,0,399,32,1,0,0,False
131221,,要離開亞歷山大關節點嗎？,6236358,0,0,0,399,1,1,0,0,False
131222,,要離開彌達斯之結嗎？,6236358,0,0,0,399,1,1,0,0,False
131223,,要前往帕洛克繫留基地嗎？,6256320,0,0,0,567,1,1,0,0,False
131224,,要前往阿巴拉提亞雲海嗎？,6256553,0,0,0,401,1,1,0,0,False
131225,,要進入利奧法德的房間嗎？,6256675,0,0,0,568,1,1,0,0,False
131226,,要離開利奧法德的房間嗎？,6256329,0,0,0,567,1,1,0,0,False
131227,,要前往帕洛克島嗎？,6256327,0,0,0,567,1,1,0,0,False
131228,,要前往飛空艇著陸場嗎？,6256326,0,0,0,567,1,1,0,0,False
131229,前往伊修加爾德,"要前往伊修加爾德嗎？
交通費為150Gil。",5835975,0,0,590453,419,33,1,0,0,False
131230,前往伊修加爾德,"要前往伊修加爾德嗎？
交通費為150Gil。",5835975,0,0,590454,419,33,1,0,0,False
131231,前往伊修加爾德,"要前往伊修加爾德嗎？
交通費為150Gil。",5835975,0,0,590455,419,33,1,0,0,False
131232,前往烏爾達哈,"要前往烏爾達哈嗎？
交通費為150Gil。",4103339,0,0,592480,130,33,1,0,0,False
131233,前往格里達尼亞,"要前往格里達尼亞嗎？
交通費為150Gil。",4103382,0,0,592480,132,33,1,0,0,False
131234,前往利姆薩·羅敏薩,"要前往利姆薩·羅敏薩嗎？
交通費為150Gil。",4103399,0,0,592480,128,33,1,0,0,False
131235,,要前往伊修加爾德嗎？,5827477,0,0,0,418,1,1,0,0,False
131236,,要離開死者宮殿嗎？,6385473,0,0,0,153,1,1,0,0,False
131237,前往伊修加爾德,"要前往伊修加爾德嗎？
交通費為150Gil。",5835975,0,0,592480,419,33,1,0,0,False
131238,前往金碟遊樂園,"要前往金碟遊樂園嗎？
不收取任何交通費用。",5649379,0,0,592264,144,34,1,0,0,False
131239,,要離開中央管制室嗎？,6485807,0,0,0,399,1,1,0,0,False
131240,進行談話,要前往兒科病房嗎？,6483471,593427,593426,0,611,35,1,0,0,False
131241,,要離開兒科病房嗎？,6483427,0,0,0,131,1,1,0,0,False
131242,,要離開中樞大動力室嗎？,6485807,0,0,0,399,1,1,0,0,False
131243,,要離開黑渦團軍營嗎？,6515006,0,0,0,128,1,1,0,0,False
131244,,要離開不滅隊軍營嗎？,6515008,0,0,0,130,1,1,0,0,False
131245,,,6654103,0,0,0,629,5,10,0,0,False
131246,,要離開嗎？,6654162,0,0,0,628,1,1,0,0,False
131247,,要離開歐米茄控制室嗎？,6728838,0,0,0,156,1,1,0,0,False
131248,,,6663537,593638,0,0,641,1,1,0,0,False
131249,,,6654210,593640,593639,0,628,36,1,0,0,False
131250,,要前往阿馬里賽哨塔嗎？,6873899,593642,0,0,152,1,1,0,0,False
131251,,要前往帝國東方堡嗎？,6873933,593643,0,0,612,1,1,0,0,False
131252,,"要前往利姆薩·羅敏薩嗎？
交通費為300Gil。",6873901,0,0,593644,129,37,1,0,0,False
131253,,"要前往黃金港嗎？
交通費為300Gil。",6874066,0,0,593645,628,37,1,0,0,False
131254,,要前往無垢乾谷附近嗎？,6873937,593646,0,0,612,1,1,0,0,False
131255,,要前往尖槍瀑布附近嗎？,6873936,593647,0,0,612,1,1,0,0,False
131256,,要前往阿拉米格人居住區嗎？,6873958,593648,0,0,621,1,1,0,0,False
131257,,要前往地下水路嗎？,6873957,593649,0,0,621,1,1,0,0,False
131258,,要前往阿拉米格人居住區嗎？,6873954,593650,0,0,621,1,1,0,0,False
131259,,要離開阿拉米格人居住區嗎？,6873952,593651,0,0,621,1,1,0,0,False
131260,,要離開烏爾達哈商會館接待室嗎？,6874048,0,0,0,628,1,1,0,0,False
131261,進入烏爾達哈商會館接待室,要進入烏爾達哈商會館接待室嗎？,6874031,593652,0,0,639,1,1,0,0,False
131262,,要前往黃金港飛艇坪嗎？,6874050,0,0,0,628,1,1,0,0,False
131263,,要離開黃金港飛艇坪嗎？,6874054,0,0,0,628,1,1,0,0,False
131264,進入烈士庵,要進入烈士庵嗎？,6874512,593655,0,0,681,1,1,0,0,False
131265,,要進入烈士庵嗎？,6874127,593656,0,0,614,1,1,0,0,False
131266,,要離開烈士庵嗎？,6874125,593657,0,0,614,1,1,0,0,False
131267,,要前往多瑪飛地嗎？,6877425,593661,0,0,682,1,1,0,0,False
131268,,要前往無二江流域嗎？,6877422,593660,0,0,614,1,1,0,0,False
131269,,要走下晨曦王座嗎？,6874086,593658,0,0,622,1,1,0,0,False
131270,,要登上晨曦王座嗎？,6874087,593659,593665,0,622,38,1,0,0,False
131271,,要前往御制監望塔嗎？,6889710,593662,0,0,620,1,1,0,0,False
131272,,要離開御制監望塔嗎？,6889712,593663,0,0,620,1,1,0,0,False
131273,,要離開賈萳寢宮地下祭壇嗎？,6890265,0,0,0,612,1,1,0,0,False
131274,,要前往利姆薩·羅敏薩嗎？,6873901,0,0,0,129,1,1,0,0,False
131275,,要前往滿身傷痕的壯漢的所在地嗎？,6938717,0,593703,0,612,39,1,0,0,False
131276,,要離開屋頂庭園嗎？,6988578,0,0,0,621,1,1,0,0,False
131277,,要移動到門的另一側嗎？,6889710,0,0,0,620,1,1,0,0,False
131278,,要移動到門的另一側嗎？,6889712,0,0,0,620,1,1,0,0,False
131279,,要離開時空狹縫嗎？,6999027,0,0,0,612,1,1,0,0,False
131280,,要離開小黑屋嗎？,7073364,0,0,0,140,1,1,0,0,False
131281,,要前往道具間嗎？,7078657,594538,0,0,735,1,1,0,0,False
131282,,要前往黃金港嗎？,7082407,0,0,0,628,1,1,0,0,False
131283,,要前往艦橋嗎？,7080658,0,0,0,736,1,1,0,0,False
131284,,要前往道具間嗎？,7080809,0,0,0,735,1,1,0,0,False
131285,,要離開阿拉米格王宮嗎？,7083135,0,0,0,621,1,1,0,0,False
131286,,要離開超越技術研究所嗎？,7102724,0,0,0,621,1,1,0,0,False
131287,,要前往空中庭園嗎？,7151251,594578,0,0,740,1,1,0,0,False
131288,,要離開空中庭園嗎？,7103377,0,0,0,621,1,1,0,0,False
131289,,要離開阿拉米格王宮嗎？,7083135,594628,0,0,621,1,1,0,0,False
131290,,"要前往酒杯島嗎？
交通費為30Gil。",7156750,594638,0,594639,613,40,1,0,0,False
131291,,"要前往自凝島嗎？
交通費為30Gil。",7156756,594640,0,594641,613,40,1,0,0,False
131292,,要前往多瑪飛地嗎？,7164043,593661,0,0,739,1,1,0,0,False
131293,,要前往多瑪飛地嗎？,7182462,594559,0,0,759,1,1,0,0,False
131294,,要離開歸燕館嗎？,7226681,0,0,0,759,1,1,0,0,False
131295,進入醴泉神社,要前往醴泉神社嗎？,7239198,594756,0,0,764,1,1,0,0,False
131296,,要前往延夏嗎？,7343563,0,0,0,614,1,1,0,0,False
131297,,要離開醴泉神社嗎？,7239363,594754,0,0,613,1,1,0,0,False
131298,,要離開天之御柱嗎？,7420749,0,0,0,613,1,1,0,0,False
131299,,要前往無垢乾谷附近嗎？,6873937,594718,0,0,612,1,1,0,0,False
131300,,要返回到劇場艇初見號的艦橋嗎？,7080658,594829,0,0,736,1,1,0,0,False
131301,,要飛下朵洛衣樓嗎？,7447849,594861,0,0,622,1,1,0,0,False
131302,,要飛上朵洛衣樓嗎？,7448849,594860,0,0,622,1,1,0,0,False
131303,,要前往廢棄宅邸嗎？,7672498,594983,0,0,809,1,1,0,0,False
131304,,要離開廢棄宅邸嗎？,9383310,0,0,0,133,1,1,0,0,False
131305,,要前往基拉巴尼亞湖區嗎？,7743671,0,0,0,621,1,1,0,0,False
131306,,要前往基拉巴尼亞湖區嗎？,7743671,0,0,0,621,1,1,0,0,False
131307,,要離開呼嘯眼石塔群嗎？,7761499,0,0,0,132,1,1,0,0,False
131308,,要前往道具間等候嗎？,7078657,596781,0,0,735,1,1,0,0,False
131309,,要前往道具間嗎？,7830042,0,0,0,828,1,1,0,0,False
131310,,要前往瓦爾河源流嗎？,7848800,0,0,0,827,1,1,0,0,False
131311,,要離開觀星室嗎？,7878066,0,0,0,819,1,1,0,0,False
131312,,要離開嗎？,7878085,0,0,0,819,1,1,0,0,False
131313,,要前往樹梢層嗎？,7878501,596477,0,0,820,1,1,0,0,False
131314,前往樹根層,要前往樹根層嗎？,7878500,596478,0,0,820,1,1,0,0,False
131315,,要前往觀星室嗎？,7878732,596475,596176,0,844,43,1,0,0,False
131316,進行談話,,7877999,0,0,0,843,41,11,0,0,False
131317,,要前往空無大地嗎？,7933894,0,0,0,878,1,1,0,0,False
131318,,要前往安穆·艾蘭嗎？,7933164,0,0,0,815,1,1,0,0,False
131319,,要前往伊甸內核嗎？,7932479,0,0,0,857,1,1,0,0,False
131320,,要前往空無大地嗎？,7932937,0,0,0,878,1,1,0,0,False
131321,,要前往態度溫和的退役士兵的所在處嗎？,7935659,0,595193,0,814,42,1,0,0,False
131322,,要前往希爾科斯峽谷嗎？,8010128,596573,0,0,842,1,1,0,0,False
131323,,要前往銀淚湖北岸嗎？,8010132,0,0,0,156,1,1,0,0,False
131324,,要接觸裝置，傳送至第一世界嗎？,8010063,596472,0,0,844,1,1,0,0,False
131325,傳送至原初世界,要傳送至原初世界嗎？,8010129,0,0,0,842,1,1,0,0,False
131326,,要前往珂露西亞島嗎？,8010180,0,0,0,814,1,1,0,0,False
131327,,要前往黑風海嗎？,8010338,0,0,0,818,1,1,0,0,False
131328,,要傳送至原初世界嗎？,8010129,596473,0,0,842,1,1,0,0,False
131329,前往珂露西亞島,要前往珂露西亞島嗎？,8015551,596474,0,0,814,1,1,0,0,False
131330,,要前往梯頂嗎？,8015653,596479,0,0,814,1,1,0,0,False
131331,,要前往梯底嗎？,8015648,596480,0,0,814,1,1,0,0,False
131332,,要前往水晶都嗎？,8015796,596482,0,0,819,1,1,0,0,False
131333,,要前往黑風海嗎？,8016454,596481,0,0,818,1,1,0,0,False
131334,,要前往珂露西亞島嗎？,8015677,0,0,0,814,1,1,0,0,False
131335,,要前往安穆·艾蘭嗎？,7980014,596476,0,0,815,1,1,0,0,False
131336,,要前往水晶都嗎？,8015796,595595,0,0,819,1,1,0,0,False
131337,前往水晶都,要前往水晶都嗎？,8015796,596533,0,0,819,1,1,0,0,False
131338,,要前往南琥珀丘嗎？,8050969,596572,0,0,815,1,1,0,0,False
131339,,要前往絡尾部落嗎？,8050970,0,0,0,815,1,1,0,0,False
131340,,要前往阿柯拉塔一層嗎？,8050982,0,0,0,818,1,1,0,0,False
131341,,要前往阿柯拉塔上層嗎？,8050981,0,0,0,818,1,1,0,0,False
131342,前往蒼天街,要前往蒼天街嗎？,8141167,0,0,0,886,45,1,0,0,False
131343,,要前往雲霧街嗎？,8141780,596706,0,0,418,1,1,0,0,False
131344,,要前往伊爾美格嗎？,8141925,596692,0,0,816,1,1,0,0,False
131345,,要前往麗耶美格夢園嗎？,8141929,596691,0,0,890,1,1,0,0,False
131346,,要前往麗耶美格夢園嗎？,8141930,596691,0,0,891,1,1,0,0,False
131347,,要前往麗耶美格夢園嗎？,8141931,596691,0,0,892,1,1,0,0,False
131348,,要離開機械遺跡坑道嗎？,8143255,0,0,0,814,1,1,0,0,False
131349,,要進入機械遺跡坑道嗎？,8143261,0,0,0,895,1,1,0,0,False
131350,,要進入複製工廠廢墟嗎？,8144702,0,0,0,896,1,1,0,0,False
131351,,要離開複製工廠廢墟嗎？,8143262,0,0,0,895,1,1,0,0,False
131352,,要前往第一區嗎？,8149903,0,0,0,896,1,1,0,0,False
131353,,要前往第四區嗎？,8149915,0,0,0,896,1,1,0,0,False
131354,,要前往第二區嗎？,8149924,0,0,0,896,1,1,0,0,False
131355,前往水晶都,要前往水晶都嗎？,8015796,595630,595631,0,819,44,1,0,0,False
131356,前往遊末邦,要前往遊末邦嗎？,8154983,595632,0,0,820,44,1,0,0,False
131357,,要前往第五區嗎？,8193602,0,0,0,896,1,1,0,0,False
131358,,要前往第四區嗎？,8193584,0,0,0,896,1,1,0,0,False
131359,,要前往甘戈斯嗎？,8276340,596734,0,0,915,1,1,0,0,False
131360,,要前往多瑪飛地嗎？,8276336,596735,0,0,759,1,1,0,0,False
131361,,要前往兒科病房嗎？,8321517,596820,596819,0,921,46,1,0,0,False
131362,,要離開兒科病房嗎？,8322370,0,0,0,131,1,1,0,0,False
131363,,要前往珂露西亞島嗎？,8341503,0,0,0,814,1,1,0,0,False
131364,,要前往基拉巴尼亞湖區嗎？,8367474,596931,0,0,621,1,1,0,0,False
131365,,要前往燕鷗崖嗎？,8368019,596932,0,0,919,1,1,0,0,False
131366,,要離開未明之間嗎？,8373584,0,0,0,351,1,1,0,0,False
131367,,要進入未明之間嗎？,8373588,0,0,0,351,1,1,0,0,False
131368,,要離開概念之間嗎？,8373708,0,0,0,814,1,1,0,0,False
131369,,要前往概念之間嗎？,8373710,596922,596923,0,918,48,1,0,0,False
131370,,要前往觀星室嗎？,7878732,596924,596925,0,844,47,1,0,0,False
131371,,要前往阿諾古的房間嗎？,8380784,0,0,0,895,1,1,0,0,False
131372,,要返回機械遺跡坑道嗎？,8378564,0,0,0,895,1,1,0,0,False
131373,,要前往人偶軍事基地嗎？,8380830,0,0,0,928,1,1,0,0,False
131374,,要前往珂露西亞島嗎？,8380461,0,0,0,814,1,1,0,0,False
131375,,,8141780,0,0,0,418,1,12,0,0,False
131376,,要前往侏儒山脈嗎？,8406262,0,0,0,928,1,1,0,0,False
131377,,,8375872,0,0,0,927,1,12,0,0,False
131378,,要從塔內離開前往水晶都嗎？,7878066,0,0,0,819,1,1,0,0,False
131379,,要離開廢棄宅邸嗎？,8460800,0,0,0,144,1,1,0,0,False
131380,,要前往地堡嗎？,8461297,0,0,0,928,1,1,0,0,False
