#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
137,裝飾：光泡,0,230304,1,9,0,20,10,True,True,True
138,裝飾：口紅,0,230305,1,9,0,111,10,True,True,True
139,裝飾：足跡,0,230306,1,9,0,60,10,True,True,True
140,裝飾：箭頭,0,230307,1,9,0,100,10,True,True,True
141,裝飾：三角形,0,230210,1,9,0,31,10,True,True,True
142,裝飾：四邊形,0,230211,1,9,0,33,10,True,True,True
143,裝飾：五角形,0,230209,1,9,0,35,10,True,True,True
144,裝飾：花朵,0,230205,1,9,0,45,10,True,True,True
145,裝飾：圓形虛化,0,230208,1,9,0,41,10,True,True,True
146,裝飾：音符1,0,230206,1,9,0,51,10,True,True,True
147,裝飾：音符2,0,230207,1,9,0,52,10,True,True,True
148,裝飾：音符,0,230309,1,9,0,50,10,True,True,True
149,裝飾：三角形,0,230312,1,9,0,30,10,True,True,True
150,裝飾：四邊形,0,230313,1,9,0,32,10,True,True,True
151,裝飾：五角形,0,230311,1,9,0,34,10,True,True,True
152,裝飾：花朵,0,230308,1,9,0,44,10,True,True,True
153,裝飾：圓形虛化,0,230310,1,9,0,40,10,True,True,True
154,裝飾：閃亮2,0,230314,1,9,0,3,10,True,True,True
155,裝飾：閃亮2,0,230212,1,9,0,4,10,True,True,True
156,裝飾：閃亮3,0,230315,1,9,0,5,10,True,True,True
157,裝飾：閃亮3,0,230213,1,9,0,6,10,True,True,True
158,裝飾：閃亮4,0,230316,1,9,0,7,10,True,True,True
159,裝飾：閃亮4,0,230214,1,9,0,8,10,True,True,True
160,裝飾：星星,0,230215,1,9,0,53,10,True,True,True
161,裝飾：彩色紙屑,0,230317,1,9,0,90,10,True,True,True
162,,0,0,0,0,0,0,0,False,False,False
163,,0,0,0,0,0,0,0,False,False,False
164,,0,0,0,0,0,0,0,False,False,False
165,,0,0,0,0,0,0,0,False,False,False
166,,0,0,0,0,0,0,0,False,False,False
167,,0,0,0,0,0,0,0,False,False,False
168,,0,0,0,0,0,0,0,False,False,False
169,,0,0,0,0,0,0,0,False,False,False
170,食品：貓魅風味山珍烤串,0,230501,1,8,0,1,10,True,True,True
171,食品：羚羊肉排,0,230502,1,8,0,2,10,True,True,True
172,食品：渡渡鳥蛋煎蛋捲,0,230503,1,8,0,3,10,True,True,True
173,食品：煎跳蜥蛋,0,230504,1,8,0,4,10,True,True,True
174,食品：鹽烤公主鱒,0,230505,1,8,0,5,10,True,True,True
175,食品：貓魅風味海產烤串,0,230506,1,8,0,6,10,True,True,True
176,食品：高山蘿蔔沙拉,0,230507,1,8,0,7,10,True,True,True
177,食品：貓魅風味森鮮烤串,0,230508,1,8,0,8,10,True,True,True
178,食品：煎餅,0,230509,1,8,0,9,10,True,True,True
179,食品：心形卷餅,0,230510,1,8,0,10,10,True,True,True
180,食品：騎士麵包,0,230511,1,8,0,11,10,True,True,True
181,食品：俾斯麥雞蛋三明治,0,230512,1,8,0,12,10,True,True,True
182,食品：蘋果塔,0,230513,1,8,0,13,10,True,True,True
183,食品：翡翠豆湯,0,230514,1,8,0,14,10,True,True,True
184,食品：生薑餅乾,0,230515,1,8,0,15,10,True,True,True
185,食品：愛心巧克力,0,230516,1,8,0,16,10,True,True,True
186,食品：南瓜餅乾,0,230517,1,8,0,17,10,True,True,True
187,食品：柳橙汁,0,230518,1,8,0,18,10,True,True,True
188,食品：香草茶,0,230519,1,8,0,19,10,True,True,True
189,食品：炸魚套餐,0,230520,1,8,0,20,10,True,True,True
190,食品：伊修加爾德瑪芬,0,230521,1,8,0,21,10,True,True,True
191,食品：長棍麵包,0,230522,1,8,0,22,10,True,True,True
192,,0,0,0,0,0,0,0,False,False,False
193,,0,0,0,0,0,0,0,False,False,False
194,,0,0,0,0,0,0,0,False,False,False
195,,0,0,0,0,0,0,0,False,False,False
196,,0,0,0,0,0,0,0,False,False,False
197,,0,0,0,0,0,0,0,False,False,False
198,,0,0,0,0,0,0,0,False,False,False
199,,0,0,0,0,0,0,0,False,False,False
200,,0,0,0,0,0,0,0,False,False,False
201,,0,0,0,0,0,0,0,False,False,False
202,,0,0,0,0,0,0,0,False,False,False
203,,0,0,0,0,0,0,0,False,False,False
204,,0,0,0,0,0,0,0,False,False,False
205,,0,0,0,0,0,0,0,False,False,False
206,,0,0,0,0,0,0,0,False,False,False
207,,0,0,0,0,0,0,0,False,False,False
208,,0,0,0,0,0,0,0,False,False,False
209,,0,0,0,0,0,0,0,False,False,False
210,,0,0,0,0,0,0,0,False,False,False
211,,0,0,0,0,0,0,0,False,False,False
212,,0,0,0,0,0,0,0,False,False,False
213,,0,0,0,0,0,0,0,False,False,False
214,,0,0,0,0,0,0,0,False,False,False
215,,0,0,0,0,0,0,0,False,False,False
216,,0,0,0,0,0,0,0,False,False,False
217,寵物：粉紅糖豆人,499,234899,1,1,0,1304,6,True,True,True
218,寵物：糖豆企鵝,500,234900,1,1,0,1305,6,True,True,True
219,寵物：小托加爾,498,234898,1,1,0,1301,6,True,True,True
220,寵物：迷你尼德霍格,233,234633,1,1,0,1071,6,True,True,True
221,寵物：自走人偶001號,0,234401,1,1,0,1200,10,True,True,True
222,寵物：巧兒陸行鳥,0,234402,1,1,0,1,10,True,True,True
223,寵物：微炸彈,0,234403,1,1,0,100,10,True,True,True
224,寵物：凶惡巨獸寶寶,0,234405,1,1,0,101,10,True,True,True
225,寵物：毛爾波爾骨朵,0,234412,1,1,0,102,10,True,True,True
226,寵物：灰塵兔,0,234424,1,1,0,111,10,True,True,True
227,寵物：幼小仙人掌怪,0,234429,1,1,0,112,10,True,True,True
228,寵物：小殼蟹,0,234430,1,1,0,113,10,True,True,True
229,寵物：發芽小古卜,0,234436,1,1,0,125,10,True,True,True
230,寵物：惡魔磚塊,0,234439,1,1,0,126,10,True,True,True
231,寵物：手指指標,0,234444,1,1,0,1210,10,True,True,True
232,寵物：盧恩族玩偶,0,234446,1,1,0,700,10,True,True,True
233,寵物：小狼,0,234450,1,1,0,114,10,True,True,True
234,寵物：小夸爾,0,234452,1,1,0,106,10,True,True,True
235,寵物：提燈怪玩偶,0,234453,1,1,0,109,10,True,True,True
236,寵物：魔法掃帚,0,234471,1,1,0,1211,10,True,True,True
237,寵物：莫古利娃娃,0,234472,1,1,0,3,10,True,True,True
238,寵物：食果花鼠,0,234487,1,1,0,401,10,True,True,True
239,寵物：貓小胖,0,234507,1,1,0,402,10,True,True,True
240,寵物：河童童,0,234511,1,1,0,1302,10,True,True,True
241,寵物：追蹤系統,0,234542,1,1,0,1206,10,True,True,True
242,寵物：猴面雀兒,0,234558,1,1,0,138,10,True,True,True
243,寵物：葉小妖,0,234566,1,1,0,140,10,True,True,True
244,寵物：獺獺,0,234641,1,1,0,501,10,True,True,True
245,寵物：迷你鯰魚精,0,234653,1,1,0,701,10,True,True,True
246,寵物：迷你庫洛,0,234660,1,1,0,1042,10,True,True,True
247,寵物：豆豆柴,0,234667,1,1,0,410,10,True,True,True
248,寵物：隆卡的水蛇？,0,234737,1,1,0,416,10,True,True,True
249,寵物：大河狸,0,234742,1,1,0,702,10,True,True,True
250,寵物：鯊魚指揮官,0,234775,1,1,0,508,10,True,True,True
251,寵物：凱特西娃娃,0,234404,1,1,0,1201,10,True,True,True
252,寵物：青鳥,0,234416,1,1,0,600,10,True,True,True
253,寵物：渡渡幼鳥,0,234432,1,1,0,115,10,True,True,True
254,寵物：幼碧企鵝,0,234435,1,1,0,124,10,True,True,True
255,寵物：睡羊羊,0,234441,1,1,0,127,10,True,True,True
256,寵物：小小曼德拉草,0,234442,1,1,0,116,10,True,True,True
257,寵物：不說話的蜂鳥,0,234462,1,1,0,130,10,True,True,True
258,寵物：魅魔娃娃,0,234475,1,1,0,132,10,True,True,True
259,寵物：小小吉爾迦美什,0,234476,1,1,0,1066,10,True,True,True
260,寵物：洋蔥王子,0,234477,1,1,0,117,10,True,True,True
261,寵物：茄子騎士,0,234478,1,1,0,118,10,True,True,True
262,寵物：蒜頭明星,0,234479,1,1,0,119,10,True,True,True
263,寵物：番茄國王,0,234480,1,1,0,120,10,True,True,True
264,寵物：曼德拉王后,0,234481,1,1,0,121,10,True,True,True
265,寵物：迷你奧爾特羅斯,0,234504,1,1,0,1068,10,True,True,True
266,寵物：恩奇都,0,234521,1,1,0,1067,10,True,True,True
267,寵物：小小亞特蒙斯,0,234529,1,1,0,135,10,True,True,True
268,寵物：風箏小貓,0,234532,1,1,0,136,10,True,True,True
269,寵物：小熊貓,0,234534,1,1,0,404,10,True,True,True
270,寵物：企鵝王子,0,234564,1,1,0,604,10,True,True,True
271,寵物：豬變,0,234600,1,1,0,1303,10,True,True,True
272,寵物：疣豬小子,0,234616,1,1,0,154,10,True,True,True
273,寵物：旅雀兒,0,234647,1,1,0,605,10,True,True,True
274,寵物：迷你奇美拉,0,234655,1,1,0,1202,10,True,True,True
275,寵物：小雪童子,0,234719,1,1,0,155,10,True,True,True
276,寵物：小妖狐,0,234642,1,1,0,407,10,True,True,True
277,寵物：鯨頭鸛,0,234749,1,1,0,606,10,True,True,True
278,寵物：豬小仙,0,234753,1,1,0,156,10,True,True,True
279,寵物：沙狐,0,234787,1,1,0,420,10,True,True,True
280,寵物：莫莫拉·莫拉！！！,0,234796,1,1,0,510,10,True,True,True
281,寵物：胖兒陸行鳥,0,234506,1,1,0,2,10,True,True,True
282,寵物：小史萊姆,0,234451,1,1,0,128,10,True,True,True
283,寵物：奧猴寶寶,0,234470,1,1,0,131,10,True,True,True
284,寵物：小腳雪人,0,234508,1,1,0,133,10,True,True,True
285,寵物：淺瞳,0,234563,1,1,0,139,10,True,True,True
286,寵物：藍閃蝶,0,234579,1,1,0,150,10,True,True,True
287,寵物：波羅·羅格,0,234580,1,1,0,151,10,True,True,True
288,寵物：滴怪,0,234805,1,1,0,158,10,True,True,True
289,寵物：分福,0,234646,1,1,0,409,10,True,True,True
290,寵物：小刺蝟,0,234730,1,1,0,414,10,True,True,True
291,寵物：飛鼠,0,234862,1,1,0,427,10,True,True,True
292,寵物：吉多,0,234658,1,1,0,502,10,True,True,True
293,寵物：椒鹽海豹,0,234672,1,1,0,503,10,True,True,True
294,寵物：六角小螈螈,0,234673,1,1,0,504,10,True,True,True
295,寵物：小鴨嘴獸,0,234740,1,1,0,506,10,True,True,True
296,寵物：醜小鴨,0,234531,1,1,0,602,10,True,True,True
297,寵物：白小虎,0,234684,1,1,0,911,10,True,True,True
298,寵物：朱孔雀,0,234703,1,1,0,912,10,True,True,True
299,寵物：青帝,0,234727,1,1,0,914,10,True,True,True
300,寵物：迷你雅·修朵拉,91,234500,1,1,0,1000,6,True,True,True
301,寵物：迷你敏菲利亞,98,234488,1,1,0,1003,6,True,True,True
302,寵物：迷你桑克瑞德,99,234489,1,1,0,1004,6,True,True,True
303,寵物：迷你伊達,107,234501,1,1,0,1006,6,True,True,True
304,寵物：迷你帕帕力莫,108,234502,1,1,0,1008,6,True,True,True
305,寵物：迷你尤里安傑,109,234503,1,1,0,1009,6,True,True,True
306,寵物：迷你阿爾菲諾,130,234519,1,1,0,1013,6,True,True,True
307,寵物：迷你阿莉塞,131,234520,1,1,0,1014,6,True,True,True
308,寵物：迷你塔塔露,132,234526,1,1,0,1016,6,True,True,True
309,寵物：迷你希德,133,234527,1,1,0,1018,6,True,True,True
310,寵物：貓耳小小員,0,234856,1,1,0,1203,10,True,True,True
311,寵物：擦擦羽衣精,0,234863,1,1,0,200,10,True,True,True
312,寵物：吉娃汪,0,234848,1,1,0,428,10,True,True,True
313,寵物：肥肥風箏貓,0,234784,1,1,0,137,10,True,True,True
314,寵物：娜娜珂小熊,0,234485,1,1,0,400,10,True,True,True
315,寵物：黑豆柴,0,234733,1,1,0,411,10,True,True,True
316,寵物：小無尾熊,0,234671,1,1,0,412,10,True,True,True
317,寵物：水豚幼獸,0,234716,1,1,0,413,10,True,True,True
318,寵物：小旗,0,234822,1,1,0,422,10,True,True,True
319,寵物：柯基犬,0,234867,1,1,0,429,10,True,True,True
320,寵物：銀山雀兒,0,234771,1,1,0,607,10,True,True,True
321,寵物：小草賢人,0,234838,1,1,0,161,10,True,True,True
322,寵物：悌陽象族人偶,444,234844,1,1,0,800,6,True,True,True
323,寵物：格雷布洛弗玩偶,439,234839,1,1,0,703,6,True,True,True
324,寵物：探明威,472,234872,1,1,0,704,6,True,True,True
325,寵物：集成奧密克戎,425,234825,1,1,0,1207,6,True,True,True
326,寵物：迷你歐米茄M,344,234744,1,1,0,301,6,True,True,True
327,寵物：迷你歐米茄F,345,234745,1,1,0,302,6,True,True,True
328,寵物：迷你歐米茄,305,234705,1,1,0,300,6,True,True,True
329,寵物：迷你阿爾法,304,234704,1,1,0,1073,6,True,True,True
330,寵物：迷你可露兒,192,234605,1,1,0,1019,6,True,True,True
331,寵物：迷你穆恩布瑞達,224,234624,1,1,0,1021,6,True,True,True
332,寵物：非正宗調查員,21,234515,1,1,0,1022,6,True,True,True
333,寵物：迷你娜娜莫,84,234499,1,1,0,1028,6,True,True,True
334,寵物：迷你奧爾什方,173,234568,1,1,0,1032,6,True,True,True
335,寵物：迷你艾默里克,193,234606,1,1,0,1034,6,True,True,True
336,寵物：迷你艾斯蒂尼安,228,234628,1,1,0,1036,6,True,True,True
337,寵物：迷你尼祿,174,234575,1,1,0,1033,6,True,True,True
338,寵物：袖珍勞班,71,234555,1,1,0,1026,6,True,True,True
339,寵物：袖珍嘉恩·艾,71,234553,1,1,0,1025,6,True,True,True
340,寵物：袖珍梅爾維布,71,234554,1,1,0,1024,6,True,True,True
341,寵物：私用棒槌樹,0,234873,1,1,0,122,10,True,True,True
342,寵物：忍犬白丸,0,234886,1,1,0,431,10,True,True,True
343,寵物：忍犬黑丸,0,234890,1,1,0,432,10,True,True,True
344,寵物：迷你摩艾石像,0,234678,1,1,0,1212,10,True,True,True
345,寵物：迷你阿澤瑪,451,234851,1,1,0,304,6,True,True,True
346,寵物：迷你哈羅妮,474,234874,1,1,0,305,6,True,True,True
347,寵物：迷你奧修昂,494,234894,1,1,0,306,6,True,True,True
348,寵物：砂礫小魔像,0,234419,1,1,0,108,10,True,True,True
349,寵物：小木乃伊,0,234509,1,1,0,134,10,True,True,True
350,寵物：芬里爾幼獸,0,234582,1,1,0,152,10,True,True,True
351,寵物：小涼南茜,0,234761,1,1,0,157,10,True,True,True
352,寵物：小矮兔,0,234609,1,1,0,406,10,True,True,True
353,寵物：狐獴,0,234756,1,1,0,419,10,True,True,True
354,寵物：暗鬥魚苗,0,234510,1,1,0,500,10,True,True,True
355,寵物：貓頭小鷹,0,234530,1,1,0,601,10,True,True,True
356,寵物：獵鷹,0,234562,1,1,0,603,10,True,True,True
357,寵物：藍足鰹鳥,0,234853,1,1,0,608,10,True,True,True
358,寵物：新型迷你雅·修朵拉,177,234596,1,1,0,1001,6,True,True,True
359,寵物：新型迷你桑克瑞德,217,234617,1,1,0,1005,6,True,True,True
360,寵物：迷你路易索瓦,118,234512,1,1,0,1011,6,True,True,True
361,寵物：新型迷你阿莉塞,218,234618,1,1,0,1015,6,True,True,True
362,寵物：迷你戈德伯特,476,234876,1,1,0,1023,6,True,True,True
363,寵物：迷你冰之巫女,145,234538,1,1,0,1029,6,True,True,True
364,寵物：迷你夕霧,150,234543,1,1,0,1030,6,True,True,True
365,寵物：迷你艾妲,219,234619,1,1,0,1035,6,True,True,True
366,寵物：迷你熙洛,298,234698,1,1,0,1041,6,True,True,True
367,寵物：迷你古·拉哈,306,234706,1,1,0,1047,6,True,True,True
368,寵物：幻龍米德加爾特,119,234518,1,1,0,1069,6,True,True,True
369,寵物：迷你赫拉斯瓦爾格,229,234629,1,1,0,1070,6,True,True,True
370,紙膠帶：格里達尼亞風格,0,230801,1,23,0,2,10,True,True,True
371,紙膠帶：利姆薩·羅敏薩風格,0,230802,1,23,0,1,10,True,True,True
372,紙膠帶：烏爾達哈風格,0,230803,1,23,0,3,10,True,True,True
373,紙膠帶：伊修加爾德風格,0,230804,1,23,0,4,10,True,True,True
374,紙膠帶：阿拉米格風格,0,230805,1,23,0,5,10,True,True,True
375,紙膠帶：黃金港風格,0,230806,1,23,0,6,10,True,True,True
376,紙膠帶：多瑪風格,0,230807,1,23,0,7,10,True,True,True
377,紙膠帶：水晶都風格,0,230808,1,23,0,8,10,True,True,True
378,紙膠帶：遊末邦風格,0,230809,1,23,0,9,10,True,True,True
379,紙膠帶：博茲雅風格,0,230810,1,23,0,10,10,True,True,True
380,紙膠帶：加雷馬風格,70000,230811,1,23,0,13,1,True,True,True
381,紙膠帶：薩雷安風格,70000,230812,1,23,0,11,1,True,True,True
382,紙膠帶：拉札漢風格,70000,230813,1,23,0,12,1,True,True,True
383,紙膠帶：圖萊尤拉風格,70495,230814,1,23,0,14,1,True,True,True
384,紙膠帶：亞歷山德里亞風格,70495,230815,1,23,0,15,1,True,True,True
385,,0,0,0,0,0,0,0,False,False,False
386,,0,0,0,0,0,0,0,False,False,False
387,,0,0,0,0,0,0,0,False,False,False
388,,0,0,0,0,0,0,0,False,False,False
389,,0,0,0,0,0,0,0,False,False,False
390,,0,0,0,0,0,0,0,False,False,False
391,,0,0,0,0,0,0,0,False,False,False
392,,0,0,0,0,0,0,0,False,False,False
393,,0,0,0,0,0,0,0,False,False,False
394,,0,0,0,0,0,0,0,False,False,False
395,,0,0,0,0,0,0,0,False,False,False
396,,0,0,0,0,0,0,0,False,False,False
397,,0,0,0,0,0,0,0,False,False,False
398,,0,0,0,0,0,0,0,False,False,False
399,,0,0,0,0,0,0,0,False,False,False
400,藥品：治療劑,0,230523,1,18,0,1,10,True,True,True
401,藥品：高級治療劑,0,230524,1,18,0,2,10,True,True,True
402,藥品：超級治療劑,0,230525,1,18,0,3,10,True,True,True
403,藥品：上級治療劑,0,230526,1,18,0,4,10,True,True,True
404,藥品：乙太藥,0,230527,1,18,0,5,10,True,True,True
405,藥品：高級乙太藥,0,230528,1,18,0,6,10,True,True,True
406,藥品：超級乙太藥,0,230529,1,18,0,7,10,True,True,True
407,藥品：上級乙太藥,0,230530,1,18,0,8,10,True,True,True
408,藥品：聖靈藥,0,230531,1,18,0,9,10,True,True,True
409,藥品：幻想藥,0,230532,1,18,0,10,10,True,True,True
410,,0,0,0,0,0,0,0,False,False,False
411,,0,0,0,0,0,0,0,False,False,False
412,,0,0,0,0,0,0,0,False,False,False
413,,0,0,0,0,0,0,0,False,False,False
414,,0,0,0,0,0,0,0,False,False,False
415,,0,0,0,0,0,0,0,False,False,False
416,,0,0,0,0,0,0,0,False,False,False
417,,0,0,0,0,0,0,0,False,False,False
418,,0,0,0,0,0,0,0,False,False,False
419,,0,0,0,0,0,0,0,False,False,False
420,,0,0,0,0,0,0,0,False,False,False
421,,0,0,0,0,0,0,0,False,False,False
422,,0,0,0,0,0,0,0,False,False,False
423,,0,0,0,0,0,0,0,False,False,False
424,,0,0,0,0,0,0,0,False,False,False
425,,0,0,0,0,0,0,0,False,False,False
426,,0,0,0,0,0,0,0,False,False,False
427,,0,0,0,0,0,0,0,False,False,False
428,,0,0,0,0,0,0,0,False,False,False
429,,0,0,0,0,0,0,0,False,False,False
430,主線任務：可以領取,0,230601,1,19,0,1,10,True,True,True
431,主線任務：可以進行,0,230602,1,19,0,2,10,True,True,True
432,主線任務：可以完成,0,230603,1,19,0,3,10,True,True,True
433,支線任務：可以領取,0,230604,1,19,0,4,10,True,True,True
434,支線任務：可以進行,0,230605,1,19,0,5,10,True,True,True
435,支線任務：可以完成,0,230606,1,19,0,6,10,True,True,True
436,開放功能任務：可以領取,0,230607,1,19,0,7,10,True,True,True
437,開放功能任務：可以進行,0,230608,1,19,0,8,10,True,True,True
