#,Text,String,Genre,LegacyQuestID,SortKey
151,降臨？賢者的彩蛋（利姆薩·羅敏薩）,,342,803,151
152,賢者的彩蛋 奪還大作戰（利姆薩·羅敏薩）,,342,804,152
153,籌集物品的工作,,342,808,153
154,靈窟中靜候的試煉,,342,809,154
155,老哥布林顧客,,342,810,155
156,情感培育之力,,342,811,156
157,情感維繫之力,,342,812,157
158,情感傳遞之力,,342,813,158
159,滑稽的盛宴,,342,815,159
160,供給與儲備,,342,816,160
161,流沙迷宮樵鳴洞,,342,817,161
162,黃金之谷,,342,818,162
163,托托·拉克偵察令,,342,820,163
164,澤梅爾要塞收復戰,,342,821,164
165,黃金谷霧中行軍,,342,822,165
166,樵鳴洞流沙迷宮,,342,823,166
167,棲木的約定,,342,827,167
168,黑暗中的光明,,342,828,168
169,後桅的顧客,,342,837,169
170,等價的報酬,,342,838,170
171,衛月的引導,,342,839,171
172,勇者、灰燼、利刃,,342,840,172
173,沙鐘的指環,,342,847,173
174,嫌疑人男子,,342,848,174
175,[chs],,342,857,175
176,尋蛋趣重新開幕,,342,858,176
177,紅蓮祭 - 轟擊怪逆襲 -,,342,859,177
178,[chs],,342,860,178
179,輔城補給,,342,861,179
180,艾里克博士的講義,,342,862,180
181,旋風的試煉,,342,866,181
182,復甦的上古武器,,342,867,182
183,閉上雙眼，則希望滿懷,,342,868,183
184,紅月淩空，凶鳥長鳴,,342,869,184
185,來自阿巴拉提亞的戰士,,344,1200,254
186,破壁,,344,1201,255
187,原始熔岩,,344,1202,256
188,英雄巡禮,,344,1203,257
189,較量,,344,1204,258
190,頂級戰士,,344,1205,259
191,流浪的武僧,,344,1220,260
192,藍色的戰場,,344,1221,261
193,不和的旋律,,344,1222,262
194,脈輪的波紋,,344,1223,263
195,無明的內地,,344,1224,264
196,廢王的回歸,,344,1225,265
197,深淵之種,,344,1240,266
198,殘光之影,,344,1241,267
199,明日之語,,344,1242,268
200,希望之瞬,,344,1243,269
201,沉眠之怒,,344,1244,270
202,無垢之人,,344,1245,271
203,黑色的法師，黑色的魔石,,344,1260,272
204,預言的時刻，獻祭的鮮血,,344,1261,273
205,他鄉的知己，異族的友人,,344,1262,274
206,勸誘的迷霧，陰沉的門扉,,344,1263,275
207,求索的旅途，綢繆的出路,,344,1264,276
208,黑魔的引導，法師的真實,,344,1265,277
209,騎士的誓約,,344,1280,278
210,敬仰的背影,,344,1281,279
211,失望、憤怒、責任,,344,1282,280
212,勾心鬥角,,344,1283,281
213,各懷異心,,344,1284,282
214,高舉騎士的聖劍,,344,1285,283
215,吟遊詩人的旋律,,344,1300,284
216,弓兵的戰歌,,344,1301,285
217,光陰神的境地,,344,1302,286
218,罪孽深重的愚者,,344,1303,287
219,渴求淨罪之地,,344,1304,288
220,生命的讚歌,,344,1305,289
221,覺醒的龍騎士,,344,1320,290
222,戰神之槍,,344,1321,291
223,無法抹消的爪痕,,344,1322,292
224,雙龍邂逅,,344,1323,293
225,邪龍之聲,,344,1324,294
226,蒼天之龍騎士,,344,1325,295
227,賢者的秘密,,345,1400,185
228,臨時加入「黑渦團」,,345,1401,186
229,黑渦團軍票,,345,1402,187
230,帝國的目標,,345,1403,188
231,巨艦揚帆,,345,1404,189
232,動亂的大地,,345,1405,190
233,入伍黑渦團,,345,1406,191
234,托托·拉克千獄（利姆薩·羅敏薩）,,345,1409,192
235,澤梅爾要塞（利姆薩·羅敏薩）,,345,1410,193
236,路易索瓦盟主的秘計（利姆薩·羅敏薩）,,345,1415,194
237,泡泡大作戰,,345,1416,195
238,狂暴的海盜,,345,1417,196
239,美味小甜餅大騷動,,345,1418,197
240,地底秘境,,345,1419,198
241,花油危機,,345,1425,199
242,為王狼餞行,,345,1426,200
243,地靈軍營地疲勞作戰,,345,1427,201
244,天降奇兵,,345,1428,202
245,路易索瓦盟主的引導（利姆薩·羅敏薩）,,345,1429,203
246,利姆薩·羅敏薩的歧路,,345,1430,204
247,向勝利前進（利姆薩·羅敏薩）,,345,1431,205
248,月下之戰（利姆薩·羅敏薩）,,345,1432,206
249,撼天猛牛討伐作戰,,345,1433,207
250,賢者的刻印,,345,1600,208
251,臨時加入「雙蛇黨」,,345,1601,209
252,雙蛇黨軍票,,345,1602,210
253,覺悟的訊息,,345,1603,211
254,和諧新紀元,,345,1604,212
255,破壞之力,,345,1605,213
256,入伍雙蛇黨,,345,1606,214
257,托托·拉克千獄（格里達尼亞）,,345,1609,215
258,澤梅爾要塞（格里達尼亞）,,345,1610,216
259,路易索瓦盟主的秘計（格里達尼亞）,,345,1615,217
260,遙遠的循環,,345,1616,218
261,衛國的決心,,345,1617,219
262,閃光的種子,,345,1618,220
263,烈風要塞,,345,1619,221
264,吞噬屍骸之人,,345,1625,222
265,凶鳥之舞,,345,1626,223
266,鳥人軍採伐所急襲作戰,,345,1627,224
267,萬眾一心,,345,1628,225
268,路易索瓦盟主的引導（格里達尼亞）,,345,1629,226
269,格里達尼亞的歧路,,345,1630,227
270,向勝利前進（格里達尼亞）,,345,1631,228
271,月下之戰（格里達尼亞）,,345,1632,229
272,大肚子豪特珀克斯討伐作戰,,345,1633,230
273,賢者的策略,,345,1800,231
274,臨時加入「不滅隊」,,345,1801,232
275,不滅隊軍票,,345,1802,233
276,軍備的動脈,,345,1803,234
277,真財實富,,345,1804,235
278,內敵,,345,1805,236
279,入伍不滅隊,,345,1806,237
280,托托·拉克千獄（烏爾達哈）,,345,1809,238
281,澤梅爾要塞（烏爾達哈）,,345,1810,239
282,路易索瓦盟主的秘計（烏爾達哈）,,345,1815,240
283,艾斯泰姆的新製品,,345,1816,241
284,爭執的結果,,345,1817,242
285,士兵就是上帝,,345,1818,243
286,灼熱聖域,,345,1819,244
287,計中計,,345,1825,245
288,父子機工師,,345,1826,246
289,蜥蜴人軍祭台補給斷絕作戰,,345,1827,247
290,狼煙峰起,,345,1828,248
291,路易索瓦盟主的引導（烏爾達哈）,,345,1829,249
292,烏爾達哈的歧路,,345,1830,250
293,向勝利前進（烏爾達哈）,,345,1831,251
294,月下之戰（烏爾達哈）,,345,1832,252
295,苔角長老討伐作戰,,345,1833,253
