#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
50,幻卡對局室勝利次數,進入幻卡對局室，在九宮幻卡對局中取勝3次。,0,61820,3,0,3000,0,0,200,10,12,0,8
51,老主顧交易次數,在老主顧交易中交付物品6次。,0,61827,6,0,1000,0,60,219,5,10,0,3
52,刺魚,通過刺魚成功採集道具50次。,0,61815,50,5,1000,0,0,241,5,8,5,3
53,大尺寸刺魚,通過刺魚成功採集到大尺寸的魚20次。,0,61815,20,5,2000,0,0,241,5,9,5,3
54,烈羽爭鋒參戰次數,參加10次烈羽爭鋒的戰鬥。,0,61806,10,0,1000,0,0,240,2,5,0,9
55,烈羽爭鋒勝利次數,在烈羽爭鋒中獲勝5次。,0,61806,5,0,1000,0,0,240,2,6,0,9
56,優雷卡雷冰屬性敵人討伐數1,討伐30隻雷、冰屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,30,5,1000,0,0,251,13,9,10,3
57,優雷卡雷冰屬性敵人討伐數2,討伐60隻雷、冰屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,60,15,1000,0,0,251,13,10,10,3
58,優雷卡火土屬性敵人討伐數1,討伐30隻火、土屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,30,5,1000,0,0,251,13,11,10,3
59,優雷卡火土屬性敵人討伐數2,討伐60隻火、土屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,60,15,1000,0,0,251,13,12,10,3
60,優雷卡水風屬性敵人討伐數1,討伐30隻水、風屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,30,5,1000,0,0,251,13,13,10,3
61,優雷卡水風屬性敵人討伐數2,討伐60隻水、風屬性的敵人，敵人的元素等級最低比自身當前等級低2級。,0,61833,60,15,1000,0,0,251,13,14,10,3
62,優雷卡不死敵人討伐數1,討伐20隻不死系敵人，敵人的元素等級最低和自身當前等級相同。,0,61833,20,5,1000,0,0,251,13,15,10,3
63,優雷卡不死敵人討伐數2,討伐40隻不死系敵人，敵人的元素等級最低和自身當前等級相同。,0,61833,40,15,1000,0,0,251,13,16,10,3
64,優雷卡元精敵人討伐數1,討伐10隻元精系敵人，敵人的元素等級最低和自身當前等級相同。,0,61833,10,5,1000,0,0,251,13,17,10,3
65,優雷卡元精敵人討伐數2,討伐20隻元精系敵人，敵人的元素等級最低和自身當前等級相同。,0,61833,20,15,1000,0,0,251,13,18,10,3
66,萌寵之王對戰次數1,進行1次萌寵之王對戰。,0,61820,1,0,5000,0,0,224,10,14,0,8
67,萌寵之王對戰次數3,進行5次萌寵之王對戰。,0,61820,5,0,12000,0,0,224,10,16,0,8
68,分隊攻略任務完成次數,完成3次分隊攻略任務。,372,61812,3,0,5000,0,0,0,8,3,0,6
69,多瑪方城戰對戰次數,與其他玩家一起進行2次多瑪方城戰,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,F.A.T.E.最高評價次數1,在F.A.T.E.中獲得5次最高評價。,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,F.A.T.E.最高評價次數2,在F.A.T.E.中獲得10次最高評價。,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,道具分解,成功分解5次道具。（※完成挑戰時只有身為能工巧匠職業才能獲得經驗值獎勵。）,95,61816,5,10,2000,0,0,0,5,3,5,3
73,九宮幻卡：參加錦標賽,參加1次官方錦標賽並獲得報酬。,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,開拓無人島：獲取素材的數量,在無人島獲取100個素材。,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,開拓無人島：生產海島產品的數量,在無人島生產銷售20個海島產品。,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,,,0,0,0,0,0,0,0,0,0,0,0,0
77,,,0,0,0,0,0,0,0,0,0,0,0,0
78,,,0,0,0,0,0,0,0,0,0,0,0,0
79,,,0,0,0,0,0,0,0,0,0,0,0,0
80,,,0,0,0,0,0,0,0,0,0,0,0,0
81,,,0,0,0,0,0,0,0,0,0,0,0,0
82,,,0,0,0,0,0,0,0,0,0,0,0,0
83,,,0,0,0,0,0,0,0,0,0,0,0,0
84,,,0,0,0,0,0,0,0,0,0,0,0,0
85,,,0,0,0,0,0,0,0,0,0,0,0,0
86,,,0,0,0,0,0,0,0,0,0,0,0,0
87,,,0,0,0,0,0,0,0,0,0,0,0,0
