#,SnipeData[0].DataEventNPC,SnipeData[0].Unknown0,SnipeData[0].Unknown1,SnipeData[0].Unknown2,SnipeData[0].Unknown3,SnipeData[0].Unknown4,SnipeData[0].Unknown5,SnipeData[1].DataEventNPC,SnipeData[1].Unknown0,SnipeData[1].Unknown1,SnipeData[1].Unknown2,SnipeData[1].Unknown3,SnipeData[1].Unknown4,SnipeData[1].Unknown5,SnipeData[2].DataEventNPC,SnipeData[2].Unknown0,SnipeData[2].Unknown1,SnipeData[2].Unknown2,SnipeData[2].Unknown3,SnipeData[2].Unknown4,SnipeData[2].Unknown5,SnipeData[3].DataEventNPC,SnipeData[3].Unknown0,SnipeData[3].Unknown1,SnipeData[3].Unknown2,SnipeData[3].Unknown3,SnipeData[3].Unknown4,SnipeData[3].Unknown5,SnipeData[4].DataEventNPC,SnipeData[4].Unknown0,SnipeData[4].Unknown1,SnipeData[4].Unknown2,SnipeData[4].Unknown3,SnipeData[4].Unknown4,SnipeData[4].Unknown5,SnipeData[5].DataEventNPC,SnipeData[5].Unknown0,SnipeData[5].Unknown1,SnipeData[5].Unknown2,SnipeData[5].Unknown3,SnipeData[5].Unknown4,SnipeData[5].Unknown5,SnipeData[6].DataEventNPC,SnipeData[6].Unknown0,SnipeData[6].Unknown1,SnipeData[6].Unknown2,SnipeData[6].Unknown3,SnipeData[6].Unknown4,SnipeData[6].Unknown5,SnipeData[7].DataEventNPC,SnipeData[7].Unknown0,SnipeData[7].Unknown1,SnipeData[7].Unknown2,SnipeData[7].Unknown3,SnipeData[7].Unknown4,SnipeData[7].Unknown5,EventNPC[0],EventNPC[1],EventNPC[2],EventNPC[3],EventNPC[4],EventNPC[5],EventNPC[6],EventNPC[7],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Objective0,Hint0,Objective1,Hint1,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,ActionText,Unknown19,Unknown20,VFXFire,VFXHit,VFXMiss,VFXAdditional,LGBTargetMarker,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32
11,6949952,27,0,0,3600,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,進行監視！,"尋找疑似是叛徒的人，
監視其一舉一動！",,進行監視,,,,,,,,監視,15,15,ev_snipe_clic0f,,,,7021040,0,9500,0,0,8,7,15,23,0,20,False,False
12,6949953,27,0,0,2200,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,進行監視！,"尋找疑似是叛徒的人，
監視其一舉一動！",,進行監視,,,,,,,,監視,15,15,ev_snipe_clic0f,,,,7021041,0,7700,0,0,8,11,19,30,0,20,False,False
13,6949954,27,0,0,2200,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,6949955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,進行監視！,"尋找疑似是叛徒的人，
監視其一舉一動！",,進行監視,,,,,,,,監視,15,15,ev_snipe_clic0f,,,,7021042,0,3020,0,0,20,30,62,39,0,20,False,False
14,6875122,28,0,0,2000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,讓羊睡去！,"小羔羊逃離了羊群迷失了方向。
為了捕獲膽小的小羔羊，
用吹箭射擊，讓其睡去！",,用吹箭射擊迷路的羔羊,,,,,,,,放箭,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,7021043,0,5800,0,0,4,4,15,7,1,20,False,False
15,7022106,29,0,0,2000,0,1,7022108,29,0,0,2000,0,1,7022109,29,0,0,2000,0,1,7022110,29,0,0,2000,0,1,7022111,30,0,0,20000,0,0,7022112,30,0,0,20000,0,0,7022113,30,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,確認格格魯玖看到了什麼！,"必須調查清楚格格魯玖看到了什麼。
找到他看到的東西，進行確認！",失敗條件：確認到錯誤的目標,確認格格魯玖看到了什麼,,,,,,,,確認,15,15,ev_snipe_clic0f,,,,7022105,0,7700,0,0,4,5,13,3,0,20,False,False
16,7083176,31,0,0,10000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,用戀愛水泡射擊魅力四射的鬼蝠魟！,"年輕的鬼蝠魟想要吸引魅力四射的鬼蝠魟，
用戀愛水泡射擊使其回頭！",,用戀愛水泡射擊魅力四射的鬼蝠魟,,,,,,,,射出戀愛水泡,15,15,ev_snipe1cf,ev_snipe_hit0f,ev_snipe_mis0f,,7083179,0,9000,0,0,15,15,15,15,2,20,False,False
17,7108347,32,0,0,1500,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,7089197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,觀察蝦蛄並尋找弱點！,"為了傳授與魔物戰鬥的方法，
仔細觀察蝦蛄全身並尋找弱點！",,觀察蝦蛄的弱點,,,,,,,,觀察,20,14,ev_snipe_clic0f,,,,7089186,0,2800,0,0,4,2,8,13,0,20,False,False
18,7109884,33,0,0,1500,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,7089198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,觀察弗巴德並尋找弱點！,"為了傳授與魔物戰鬥的方法，
仔細觀察弗巴德全身並尋找弱點！",,觀察弗巴德的弱點,,,,,,,,觀察,20,14,ev_snipe_clic0f,,,,7089199,0,2900,0,0,5,1,7,9,0,20,False,False
19,7107674,34,0,0,2500,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找性情古怪的鯰魚精！,尋找性情古怪的鯰魚精進行觀察！,,尋找性情古怪的鯰魚精,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,7107673,0,7000,0,0,6,8,4,30,0,20,False,False
20,7107680,34,0,0,2500,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找性情古怪的鯰魚精！,尋找性情古怪的鯰魚精進行觀察！,,尋找性情古怪的鯰魚精,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,7107679,0,8200,0,0,6,8,10,3,0,20,False,False
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
22,7238920,35,0,0,20000,0,1,7238921,35,0,0,20000,0,1,7238923,35,0,0,20000,0,1,7247105,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,驅除凶暴化的陀羅！,"凶暴化的陀羅正在襲擊野營地，
在陀羅們到達礦石以前砲擊所有的陀羅！",失敗條件：凶暴化的陀羅到達礦石,砲擊凶暴化的陀羅,,,,,,,,開砲,35,35,ev_snipe2cf,ev_snipe2_hit0f,ev_snipe2_hit0f,ev_snipe2_mis0f,7241979,0,300,0,0,17,7,24,22,2,20,False,True
23,7359005,37,0,0,6000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找邦加莫南！,"邦加莫南就在黎鐸拉納大燈塔的某處，
找到他！",,找出邦加莫南,,,,,,,,確認,24,20,ev_snipe_clic0f,,,,7352833,0,2000,0,0,3,29,18,118,0,20,False,False
24,7400606,38,0,0,20000,0,1,7400611,39,0,0,20000,0,0,7516452,41,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,用箭射中靶子！,"為了再現傳統弓射，用祭禮用的弓射出箭，
命中魚信拿的靶子！",失敗條件：射中魚信,射中靶子,,,,,,,,放箭,35,35,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_hit0f,ev_snipe_hit0f,7400603,0,900,0,0,16,5,15,15,1,7,False,False
25,7453963,40,0,0,6000,0,1,7453964,40,0,0,6000,0,1,7453965,40,0,0,6000,0,1,7453966,40,0,0,6000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,用箭射中靶子！,"為了再現傳統弓射，用祭禮用的弓射出箭，
命中鯰魚精拿的靶子！",,射中靶子,,,,,,,,放箭,35,35,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_mis0f,,7453945,0,500,0,1,18,5,25,25,1,7,False,False
26,8010875,66,0,0,20000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,用吹箭射中豚豬！,"為了獲得最適合製作武具的豚豬牙，
尋找牙齒結實的豚豬，
用吹箭射擊使其麻痺！",,射中豚豬,,,,,,,,放箭,35,35,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,7941310,0,4000,0,0,16,50,50,60,0,20,False,False
27,7964369,42,0,0,20000,0,1,7964370,43,0,0,20000,0,1,7964371,44,0,0,20000,0,1,7964372,45,0,0,20000,0,1,7964344,46,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,確認商品！,"勒昂羅的蠕動食材店中
擺滿了各類商品，
確認所有商品！",,確認商品,,,,,,,,確認,35,35,ev_snipe_clic0f,,,,7964390,0,0,0,0,15,10,30,30,0,7,False,False
28,7964427,47,0,0,900,0,1,7964431,48,0,0,20000,0,0,7964432,49,0,0,20000,0,0,7964433,50,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找石板！,"給雅·修朵拉的禮物
似乎就藏在這個教會之中，
找出古舊的石板！",,找出石板,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,7964462,0,1000,0,1,15,5,45,45,0,7,False,False
29,7964480,51,0,0,20000,0,1,7964482,52,0,0,20000,0,1,7964486,53,0,0,20000,0,1,7964487,54,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,觀察壁畫！,"雅·修朵拉委託
觀察古舊的壁畫，
觀察所有的壁畫！",,觀察壁畫,,,,,,,,觀察,35,26,ev_snipe_clic0f,,,,7964494,0,1000,0,0,18,2,70,85,0,20,False,False
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,False,False
32,7981478,65,0,0,5000,0,1,7981479,67,0,0,5000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找藍髮的貓秘族！,"深藍色短髮的貓秘族似乎搶走了農作物。
找出犯人！",,找出藍髮的貓秘族,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,7981474,0,10200,0,0,5,5,16,16,0,7,False,False
33,7981482,68,0,0,3000,0,1,7981483,69,0,0,3000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找神秘的人影！,"來自神秘村莊的人物
似乎正在窺探這邊的情況，
找出神秘的人影！",,找出神秘的人影,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,7981481,0,6500,0,0,12,12,16,16,0,7,False,False
34,7981491,70,0,0,4000,0,1,7981429,62,0,0,3000,0,0,7981433,63,0,0,3000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,射擊戴著不同頭盔的矮人族！,"現在進行圖爾找碴大作戰的練習，
射擊與圖爾家族
戴著不同頭盔的矮人族！",,射擊戴著不同頭盔的矮人族,,,,,,,,用彈弓射擊,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,7981428,0,1000,0,0,5,40,25,25,1,20,False,False
35,7981430,59,0,0,4000,0,1,7981431,60,0,0,4000,0,0,7981432,61,0,0,4000,0,0,7981429,74,0,0,3000,0,0,7981433,75,0,0,3000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,射擊戴著不同頭盔的矮人族！,"現在正式進行圖爾找碴大作戰，
射擊與圖爾家族
戴著不同頭盔的矮人族！",失敗條件：射擊與圖爾家族戴著相同頭盔的矮人族,射擊戴著不同頭盔的矮人族,,,,,,,,用彈弓射擊,35,26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,7981428,0,1000,0,0,5,40,25,25,1,20,False,False
36,8035302,71,0,0,12800,0,1,8035305,73,0,0,3000,0,0,8035306,72,0,0,4000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,尋找建築物的特徵！,"調查形成
鰭人潮池的建築物，
尋找比較獨特的地方！",,找出獨特的外觀,,,,,,,,確認,35,26,ev_snipe_clic0f,,,,8035299,0,9200,0,0,32,3,15,13,0,7,False,False
37,7981756,64,0,0,6000,0,1,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,7981751,7981752,7981753,7981755,8052961,8052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,確認仙子族的數量！,"要陪仙子族玩
使用望遠鏡的遊戲了，
尋找仙子族，確認其數量！",,確認仙子族的數量,,,,,,,,確認,24,20,ev_snipe_clic0f,,,,7949226,30,2600,0,0,10,3,30,30,0,20,False,False
38,8049677,76,0,0,20000,0,1,8049678,76,0,0,20000,0,1,8049679,76,0,0,20000,0,1,8049697,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,討伐古拉姆！,"發射解咒器，
討伐接近衛兵的
古拉姆！",失敗條件：古拉姆接近衛兵,討伐古拉姆,,,,,,,,發射解咒器,35,35,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,8049671,0,500,0,0,17,20,70,70,2,20,False,True
39,8225506,77,0,0,20000,0,1,8225509,78,0,0,20000,0,0,8225510,0,0,0,20000,0,0,8225511,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,給采·努茲發送信號！,"在不被塔羅斯發現的情況下
給采·努茲發送信號！",失敗條件：采·努茲被塔羅斯發現,給采·努茲發送信號,,,,,,,,發送信號,35,35,ev_snipe_clic0f,,,,8225532,0,0,0,0,9,9,22,6,0,20,False,False
40,8149746,80,0,0,20000,0,1,8149747,80,0,0,20000,0,1,8149748,80,0,0,20000,0,1,8149749,81,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,趕走靠近的東西！,"投擲護身仙子豬
趕走靠近採花的仙子的東西！",失敗條件：對方成功接近靠近採花的仙子,趕走靠近的東西,,,,,,,,投擲護身仙子豬,35,35,ev_snipe4cf,ev_snipe4_hit0f,ev_snipe4_mis0f,,8149851,0,1300,0,0,7,3,25,25,3,20,False,False
