#,Name,QuestUnlock,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,Unknown0,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft,Unknown1
29,146-150,0,0,255,255,0,True,True,True,True,True,True,True,True,False
30,151-155,0,0,255,255,0,True,True,True,True,True,True,True,True,False
31,156-160,0,0,255,255,0,True,True,True,True,True,True,True,True,False
32,161-175,0,0,255,255,0,True,True,True,True,True,True,True,True,False
33,166-170,0,0,255,255,0,True,True,True,True,True,True,True,True,False
34,171-175,0,0,255,255,0,True,True,True,True,True,True,True,True,False
35,176-180,0,0,255,255,0,True,True,True,True,True,True,True,True,False
36,181-185,0,0,255,255,0,True,True,True,True,True,True,True,True,False
37,186-190,0,0,255,255,0,True,True,True,True,True,True,True,True,False
38,191-195,0,0,255,255,0,True,True,True,True,True,True,True,True,False
39,196-200,0,0,255,255,0,True,True,True,True,True,True,True,True,False
40,[翻訳不要] レベル区分終端,0,0,255,255,0,True,True,True,True,True,True,True,True,False
1000,秘笈：第1卷,0,1,50,255,98,True,True,True,True,True,True,True,True,True
1001,秘笈：第2卷,0,1,50,255,97,True,True,True,True,True,True,True,True,True
1002,秘笈：第3卷,0,1,50,255,96,True,True,True,True,True,True,True,True,True
1003,秘笈：第4卷,0,1,60,255,95,True,True,True,True,True,True,True,True,True
1004,秘笈：第5卷,0,1,70,255,94,True,True,True,True,True,True,True,True,True
1005,秘笈：第6卷,0,1,70,255,93,True,True,True,True,True,True,True,True,True
1006,秘笈：第7卷,0,1,80,255,92,True,True,True,True,True,True,True,True,True
1007,秘笈：第8卷,0,1,80,255,91,True,True,True,True,True,True,True,True,True
1008,秘笈：其他,0,1,15,255,99,True,True,True,True,True,True,True,True,True
1009,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1010,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1011,染劑,0,3,30,255,1,True,True,True,True,True,True,True,True,False
1012,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1013,職業任務,0,4,61,255,99,True,True,True,True,True,True,True,True,False
1014,中庸工藝館交易,68763,4,70,255,98,False,True,True,True,False,False,False,False,False
1015,中庸工藝館交易,68766,4,70,255,97,True,False,False,False,True,True,False,False,False
1016,中庸工藝館交易,68769,4,70,255,96,False,False,False,False,False,False,True,True,False
1017,鳥人族,67022,5,1,255,9,True,True,True,True,True,True,True,True,False
1018,莫古利族,0,5,50,255,8,True,True,True,True,True,True,True,True,False
1019,鯰魚精族,0,5,60,255,7,True,True,True,True,True,True,True,True,False
1020,熙洛·阿里亞珀,67087,6,55,255,11,True,True,True,True,True,True,True,True,False
1021,梅·娜格,68541,6,55,255,10,True,True,True,True,True,True,True,True,False
1022,紅,68675,6,55,255,9,True,True,True,True,True,True,True,True,False
1023,亞德基拉,68713,6,55,255,8,True,True,True,True,True,True,True,True,False
1024,凱·希爾,69265,6,55,255,7,True,True,True,True,True,True,True,True,False
1025,重建伊修加爾德,73,7,20,255,98,True,True,True,True,True,True,True,True,False
1026,其他,73,7,20,255,99,True,True,True,True,True,True,True,True,False
1027,重建伊修加爾德2,73,7,255,255,100,True,True,True,True,True,True,True,True,False
1028,天鋼工具,69384,7,80,255,97,True,True,True,True,True,True,True,True,False
1029,矮人族,0,5,70,255,6,True,True,True,True,True,True,True,True,False
1030,艾爾·圖,69425,6,55,255,6,True,True,True,True,True,True,True,True,False
1031,重建伊修加爾德3,73,7,255,255,100,True,True,True,True,True,True,True,True,False
1032,50-60,0,8,50,255,10,True,True,True,True,True,True,True,True,False
1033,61-70,0,8,60,255,9,True,True,True,True,True,True,True,True,False
1034,71-80,0,8,70,255,8,True,True,True,True,True,True,True,True,False
1035,裝飾品1,0,3,50,255,3,False,False,False,False,False,False,True,False,False
1036,重建伊修加爾德4,73,7,255,255,100,True,True,True,True,True,True,True,True,False
1037,狄蘭達爾,69615,6,55,255,5,True,True,True,True,True,True,True,True,False
1038,秘笈：第9卷,0,1,90,255,90,True,True,True,True,True,True,True,True,True
1039,81-90,0,8,80,255,7,True,True,True,True,True,True,True,True,False
1040,魔法大學交易,69668,4,80,255,95,False,True,True,True,False,False,False,False,False
1041,魔法大學交易,69675,4,80,255,94,True,False,False,False,True,True,False,False,False
1042,魔法大學交易,69682,4,80,255,93,False,False,False,False,False,False,True,True,False
1043,內外裝潢,0,2,12,255,1,True,True,True,True,True,True,True,False,False
1044,庭具,0,2,12,255,2,True,True,True,True,True,True,True,True,False
1045,傢俱,0,2,12,255,3,True,True,True,True,True,True,True,True,False
1046,桌台&地毯,0,2,12,255,4,True,True,True,True,True,True,True,False,False
1047,桌上,0,2,12,255,5,True,True,True,True,True,True,True,True,False
1048,壁掛,0,2,12,255,6,True,True,True,True,True,True,True,False,False
1049,其他,0,2,12,255,7,False,False,False,False,False,False,True,False,False
1050,阿梅莉安絲,70059,6,80,255,4,True,True,True,True,True,True,True,True,False
1051,秘笈：第10卷,0,1,90,255,89,True,True,True,True,True,True,True,True,True
1052,裝飾品2,0,3,73,255,4,False,False,False,False,False,False,True,False,False
1053,安登,70251,6,80,255,3,True,True,True,True,True,True,True,True,False
1054,兔兔族,0,5,80,255,5,True,True,True,True,True,True,True,True,False
1055,莫雯卓越工具,70266,7,90,255,96,True,True,True,True,True,True,True,True,False
1056,瑪格拉特,70351,6,80,255,2,True,True,True,True,True,True,True,True,False
1057,91-100,0,8,90,255,6,True,True,True,True,True,True,True,True,False
1058,珠串萬貨街交易,70504,4,90,255,92,False,True,True,True,False,False,False,False,False
1059,珠串萬貨街交易,70511,4,90,255,91,True,False,False,False,True,True,False,False,False
1060,珠串萬貨街交易,70518,4,90,255,90,False,False,False,False,False,False,True,True,False
1061,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1062,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1063,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1064,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1065,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
2000,庫爾札斯,0,10,255,50,12,True,True,True,True,True,True,True,True,False
2001,德拉瓦尼亞,0,10,255,50,11,True,True,True,True,True,True,True,True,False
2002,阿巴拉提亞,0,10,255,50,10,True,True,True,True,True,True,True,True,False
2003,基拉巴尼亞,0,10,255,60,9,True,True,True,True,True,True,True,True,False
2004,奧薩德,0,10,255,60,8,True,True,True,True,True,True,True,True,False
2005,諾弗蘭特,0,10,255,70,7,True,True,True,True,True,True,True,True,False
2006,重建伊修加爾德,74,11,255,1,3,True,True,True,True,True,True,True,True,False
2007,天鋼工具,69384,11,255,80,2,True,True,True,True,True,True,True,True,False
2008,50-70,67631,9,255,50,4,True,True,True,True,True,True,True,True,False
2009,71-80,67631,9,255,70,3,True,True,True,True,True,True,True,True,False
2010,北洋地域&伊爾薩巴德,0,10,255,80,6,True,True,True,True,True,True,True,True,False
2011,星外天域,69932,10,255,80,5,True,True,True,True,True,True,True,True,False
2012,古代世界,69956,10,255,80,4,True,True,True,True,True,True,True,True,False
2013,81-90,67631,9,255,80,2,True,True,True,True,True,True,True,True,False
2014,莫雯卓越工具,70266,11,255,90,1,True,True,True,True,True,True,True,True,False
2015,尤卡圖拉爾,0,10,255,90,3,True,True,True,True,True,True,True,True,False
2016,薩卡圖拉爾,0,10,255,90,2,True,True,True,True,True,True,True,True,False
2017,亞歷山德里亞,70462,10,255,90,1,True,True,True,True,True,True,True,True,False
2018,91-100,67631,9,255,90,1,True,True,True,True,True,True,True,True,False
2019,,0,0,0,0,0,False,False,False,False,False,False,False,False,False
