#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
36,能量填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,駭客進度,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,光之氾濫,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,能量填充率,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,衛月乙太密度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,極限爆發,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,仙子豬之母的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,蓋亞的記憶,,35,50,0,0,2,3,1,1,1,False
44,扎韃的靈魂變異率,,-1,-1,0,0,3,0,0,1,1,False
45,乙太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,混沌,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,絕望,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,六合結界術式展開度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,敵軍警戒度,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,佐狄亞克的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,乙太填充率,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,邪龍之影的支配率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,法夫尼爾的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,菲尼克斯的魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,維涅斯的乙太,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,蓋烏斯的劍氣,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,幻龍米德加爾特的乙太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,斯卡米留尼的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,拉哈布雷亞的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,尼德霍格的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,飽食度,,30,50,0,0,2,3,1,1,1,False
64,外層魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
65,露琪亞等人的體力,,30,70,0,0,2,3,1,1,1,False
66,凱納槽的魔力,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,中層魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
68,內層魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
69,盧比坎特的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,安杜馬利烏士的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,至尊無影的魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,哈羅妮的寒氣,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,梅茵菲娜的魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,雅典娜的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,能量填充率,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,乙太凝縮率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,九尾的妖氣,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,0,0,0,0,0,0,0,0,0,False
79,格威德魯特的雷力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,歐提斯的耐久度,,30,70,0,0,2,3,1,1,1,False
81,天災徵兆,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,伊可·索可·休瑪玖恩的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,,,0,0,0,0,0,0,0,0,0,False
84,,,0,0,0,0,0,0,0,0,0,False
85,,,0,0,0,0,0,0,0,0,0,False
86,,,0,0,0,0,0,0,0,0,0,False
