#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
19,堅韌,"影響物理與魔法攻擊造成的傷害量和治療量，同時也影響自身所受的傷害量。
堅韌的數值越大，自身造成的傷害量與治療量越大，自身所受的傷害量越小。
僅對防護職業有效。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,24,100,100,100,100,100,100,100,100,100,100,100,100,100,12,False
20,物理攻擊力,"影響發動物理攻擊的傷害量。
物理攻擊力的數值越大，對敵人造成的物理傷害越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,100,100,100,100,100,100,100,100,100,100,100,100,13,False
21,物理防禦力,"減少受到物理攻擊時的傷害量。
物理防禦力的數值越大，敵人造成的物理傷害越小。",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,5,66,100,70,55,55,40,40,100,40,33,55,55,55,14,False
22,直擊,"按一定比例提高物理與魔法攻擊造成的傷害量。
直擊越高，越容易打出直擊。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,23,100,100,100,100,100,100,100,100,100,100,100,100,100,15,False
23,迴避力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,100,100,100,100,100,100,100,100,100,100,100,100,16,False
24,魔法防禦力,"減少受到魔法攻擊時的傷害量。
魔法防禦力的數值越大，敵人造成的魔法傷害越小。",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,6,33,100,55,55,55,70,70,100,70,66,55,55,55,17,False
25,暴擊攻擊力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
26,暴擊防禦力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
27,暴擊,"增加物理與魔法攻擊造成的傷害量和治療量。
暴擊的數值越大，越容易打出暴擊，同時暴擊時的傷害量及治療量也越高。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,19,100,100,100,100,100,100,100,100,100,100,100,100,100,18,False
28,暴擊迴避力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
29,斬擊耐性,減少受到斬擊屬性攻擊時的傷害。,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,43,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
30,突刺耐性,減少受到突刺屬性攻擊時的傷害。,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,44,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
31,打擊耐性,減少受到打擊屬性攻擊時的傷害。,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,45,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
32,射擊耐性,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
33,攻擊魔法威力,"影響發動魔法攻擊的傷害量。
攻擊魔法威力的數值越大，對敵人造成的魔法傷害越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,100,100,100,100,100,100,100,100,100,100,100,100,19,False
34,治療魔法威力,"影響發動治療魔法的治療量。
治療魔法威力的數值越大，對我方發動的魔法治療量越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,100,100,100,100,100,100,100,100,100,100,100,20,False
35,強化魔法威力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
36,元素加持,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,36,100,100,100,100,100,100,100,100,100,100,100,100,100,21,False
37,火,減少受到火屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,37,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
38,冰,減少受到冰屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,38,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
39,風,減少受到風屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,39,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
40,土,減少受到土屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,40,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
41,雷,減少受到雷屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,41,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
42,水,減少受到水屬性攻擊時的傷害。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,42,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
43,全魔法耐性,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
44,信念,"影響物理與魔法攻擊造成的傷害量和治療量。
信念的數值越大，傷害量及治療量越大。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,20,100,100,100,100,100,100,100,100,100,100,100,100,100,22,False
45,技能速度,"影響戰技的詠唱時間及複唱時間，同時還會影響物理攻擊的自動攻擊及持續傷害效果的傷害量。
技能速度的數值越大，戰技的詠唱時間及複唱時間越短，自動攻擊和持續傷害效果的傷害量越高。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,21,100,100,100,100,100,100,100,100,100,100,100,100,100,23,False
46,詠唱速度,"影響魔法的詠唱時間和複唱時間，同時還會影響魔法的持續傷害效果的傷害量以及持續恢復效果的恢復量。
詠唱速度的數值越大，魔法的詠唱時間和複唱時間越短，魔法持續傷害效果的傷害量和魔法持續恢復效果的恢復量越高。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,22,100,100,100,100,100,100,100,100,100,100,100,100,100,24,False
47,加速,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,100,100,100,100,100,100,100,100,100,100,100,100,25,True
48,鬥志,"在PvP中代替物理防禦力與魔法防禦力影響玩家所受到的傷害。
對玩家造成的傷害也有所影響。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,73,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
49,仇恨,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
50,降低仇恨,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
51,分解技能提升率,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
52,經驗值獲得量,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
53,生命再生,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
54,魔力再生,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
55,主狀態修正,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,11,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
56,副狀態修正,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,18,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
57,減速耐性,縮短減速的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,61,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
58,石化耐性,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,62,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
59,麻痺耐性,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,63,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
60,寂靜耐性,縮短沉默的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,64,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
61,失明耐性,縮短失明的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,65,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
62,中毒耐性,縮短中毒的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,66,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
63,眩暈耐性,縮短眩暈的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,67,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
64,睡眠耐性,縮短睡眠的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,68,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
65,束縛耐性,縮短束縛的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,69,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
66,加重耐性,縮短加重的效果時間。,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,70,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
67,死亡宣告耐性,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,71,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
68,裝備損耗耐性,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
69,精煉度提升量,,100,20,80,80,80,80,80,80,80,80,80,80,120,60,160,320,0,160,400,240,240,160,56,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
70,作業精度,"影響製作作業的進展效果。
作業精度的數值越大，作業的進展越快。",350,350,20,300,20,20,20,20,20,20,20,30,350,350,320,360,0,40,380,340,340,320,30,100,100,100,100,100,100,100,100,100,100,100,100,100,26,False
71,加工精度,"影響製作作業的品質效果。
加工精度的數值越大，產品的品質提高得越多。",200,200,120,120,120,100,120,120,30,30,30,40,200,200,200,400,0,200,500,300,300,240,31,100,100,100,100,100,100,100,100,100,100,100,100,100,27,False
72,獲得力,"影響採集時獲得道具的機率。
獲得力的數值越大，越容易採集到道具。",350,200,20,200,150,0,100,10,10,10,10,10,350,350,210,460,0,110,470,450,310,350,33,100,100,100,100,100,100,100,100,100,100,100,100,100,28,False
73,鑑別力,"影響採掘師、園藝師採集時獲得道具的數量。
鑑別力的數值越大，獲得道具的數量越多。
影響漁師採集時獲得魚的尺寸。
鑑別力的數值越大，越容易獲得更大尺寸的魚。",200,350,200,100,10,0,50,110,10,10,10,10,200,200,300,220,0,110,420,120,210,110,34,100,100,100,100,100,100,100,100,100,100,100,100,100,29,False
