#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
42,執行理符任務,530,531,0,0,0,0,0,0,0,0,4,9,True
43,領取理符報酬,540,0,0,0,0,0,0,0,0,0,5,9,True
44,重新挑戰理符任務,550,0,0,0,0,551,0,0,0,0,6,9,True
45,討伐筆記,400,401,402,0,0,403,404,405,0,0,9,4,True
46,可愛的小寵物,940,941,942,943,0,940,944,945,943,0,12,2,True
47,關於市場,800,801,802,0,0,0,0,0,0,0,11,6,True
48,在市場裡搜索道具,810,811,812,813,0,0,0,0,0,0,12,6,True
49,在市場裡購買道具,820,821,0,0,0,0,0,0,0,0,13,6,True
50,在市場裡出售道具,830,831,832,0,0,0,0,0,0,0,14,6,True
51,關於僱員,840,841,0,0,0,0,0,0,0,0,21,6,True
52,招募僱員,850,851,0,0,0,0,0,0,0,0,22,6,True
53,僱員的作用,860,861,0,0,0,0,0,0,0,0,23,6,True
54,採集地點的特殊性質,870,871,0,0,0,0,0,0,0,0,22,13,True
55,關於未知的採集地點,1000,1001,1002,0,0,0,0,0,0,0,30,13,True
56,,0,0,0,0,0,0,0,0,0,0,0,0,False
57,突破迷宮,105,106,107,0,0,0,0,0,0,0,3,8,True
58,關於製作狀態,730,731,0,0,0,0,0,0,0,0,4,12,True
59,,0,0,0,0,0,0,0,0,0,0,0,0,False
60,優質道具,770,771,0,0,0,0,0,0,0,0,2,6,True
61,珍稀道具,780,0,0,0,0,0,0,0,0,0,3,6,True
62,關於專用裝備與交易,790,791,0,0,0,0,0,0,0,0,2,7,True
63,搜索玩家資訊,210,211,212,213,214,210,211,215,213,216,13,2,True
64,F.A.T.E.,610,611,612,613,0,0,0,0,0,0,1,8,True
65,關於連擊系統,1210,1211,1212,1213,0,0,0,0,0,0,4,4,True
66,F.A.T.E.的報酬與貢獻度,620,621,0,0,0,0,0,0,0,0,2,8,True
67,關於製作理符,560,0,0,0,0,0,0,0,0,0,11,9,True
68,理符的目標,570,0,0,0,0,571,0,0,0,0,12,9,True
69,關於採集理符,580,581,0,0,0,0,0,0,0,0,13,9,True
70,採集理符的完成條件,590,591,0,0,0,0,0,0,0,0,14,9,True
71,行會令,630,631,0,0,0,0,0,0,0,0,11,8,True
72,行會令情報,640,0,0,0,0,0,0,0,0,0,12,8,True
73,行會令的危險區域,650,0,0,0,0,0,0,0,0,0,13,8,True
74,在行會令中陷入無法戰鬥的情況,660,0,0,0,0,0,0,0,0,0,14,8,True
75,行會令的報酬,670,0,0,0,0,0,0,0,0,0,15,8,True
76,關於理符連接,600,0,0,0,0,0,0,0,0,0,9,9,True
77,,0,0,0,0,0,0,0,0,0,0,0,0,False
78,加入小隊,180,181,182,183,184,180,181,185,183,184,5,2,True
79,特殊戰鬥區域,120,121,0,0,0,0,0,0,0,0,15,5,True
80,重要任務,125,126,0,0,0,0,0,0,0,0,6,5,True
81,關於租借陸行鳥,300,0,0,0,0,0,0,0,0,0,6,3,True
82,租借陸行鳥的下鳥方法,310,0,0,0,0,311,0,0,0,0,7,3,True
83,關於運輸站,320,0,0,0,0,0,0,0,0,0,4,3,True
84,如何從運輸坐騎上下來,330,0,0,0,0,331,0,0,0,0,5,3,True
85,關於專屬陸行鳥,340,341,343,0,0,0,0,0,0,0,8,3,True
86,專屬陸行鳥的下鳥方法,350,0,0,0,0,351,0,0,0,0,9,3,True
87,加入大國防聯軍,410,411,412,0,0,0,0,0,0,0,1,10,True
88,職業任務的報酬,130,0,0,0,0,0,0,0,0,0,14,5,True
89,籌備軍需品與補給品,420,421,0,0,0,0,0,0,0,0,3,10,True
90,籌備稀有品,430,431,0,0,0,0,0,0,0,0,4,10,True
91,玩家公會,440,441,442,0,0,0,0,0,0,0,1,11,True
92,極限爆發,240,241,242,243,0,0,0,0,0,0,13,4,True
93,等級同步,250,251,252,0,0,0,0,0,0,0,4,8,True
94,特職,260,261,262,0,0,0,0,0,0,0,10,2,True
95,給裝備染色,950,951,952,953,0,0,0,0,0,0,8,7,True
96,帶上陸行鳥一起戰鬥,360,361,0,0,0,0,0,0,0,0,21,4,True
97,生產魔晶石,960,961,962,0,0,0,0,0,0,0,21,7,True
98,用魔晶石來強化裝備,970,971,0,0,0,0,0,0,0,0,22,7,True
99,禁忌鑲嵌,980,981,0,0,0,0,0,0,0,0,24,7,True
100,鑲嵌魔晶石的方法,990,991,992,0,0,0,0,0,0,0,23,7,True
101,獨佔道具,270,0,0,0,0,0,0,0,0,0,4,6,True
102,使用道具,280,281,0,0,0,280,283,0,0,0,1,6,True
103,,0,0,0,0,0,0,0,0,0,0,0,0,False
104,補充隊員,1190,0,0,0,0,0,0,0,0,0,23,8,True
105,探索礦脈,1020,1021,1022,0,0,0,0,0,0,0,2,13,True
106,碎石,1030,1031,0,0,0,0,0,0,0,0,13,13,True
107,,0,0,0,0,0,0,0,0,0,0,0,0,False
108,搭檔的成長,380,381,382,383,0,0,0,0,0,0,22,4,True
109,給陸行鳥下達指令,370,371,372,0,0,0,0,0,0,0,23,4,True
110,開啟寶箱,1110,0,0,0,0,0,0,0,0,0,7,9,True
111,討伐懸賞魔物,1120,0,0,0,0,0,0,0,0,0,8,9,True
112,軍隊理符任務,1130,0,0,0,0,0,0,0,0,0,5,10,True
113,公會署名,450,0,0,0,0,0,0,0,0,0,2,11,True
114,參加玩家公會,460,461,462,463,0,0,0,0,0,0,3,11,True
115,軍隊人事調動,680,0,0,0,0,0,0,0,0,0,2,10,True
116,公會儲物櫃,470,471,0,0,0,0,0,0,0,0,4,11,True
117,會徽,480,481,0,0,0,0,0,0,0,0,5,11,True
118,公會特效,490,491,492,0,0,0,0,0,0,0,6,11,True
119,釣魚的準備,1040,1041,1042,0,0,0,0,0,0,0,1,14,True
120,釣魚筆記,1050,0,0,0,0,0,0,0,0,0,3,14,True
121,使用擬餌,1060,1061,0,0,0,0,0,0,0,0,4,14,True
122,以小釣大,1070,1071,0,0,0,0,0,0,0,0,5,14,True
123,沙與雲的特殊釣場,1080,1081,0,0,0,0,0,0,0,0,6,14,True
124,魚的大小,1090,0,0,0,0,0,0,0,0,0,7,14,True
125,魚洞釣場,1100,0,0,0,0,0,0,0,0,0,8,14,True
126,簡易製作,690,691,692,0,0,0,0,0,0,0,6,12,True
127,星極火與靈極冰,1220,1221,1222,1223,0,0,0,0,0,0,6,4,True
128,拳法身形,1230,1231,1232,1233,0,0,0,0,0,0,5,4,True
129,召喚獸,1240,1241,1242,1244,0,1240,1245,1242,1244,0,7,4,True
130,水晶衝突,1250,0,0,0,0,0,0,0,0,0,31,8,True
131,任務戰場,1260,1261,1262,0,0,0,0,0,0,0,15,4,True
132,成就,1150,1151,1152,0,0,1150,1151,1153,0,0,14,2,True
133,推薦任務功能,1160,1161,0,0,0,0,0,0,0,0,16,5,True
134,,0,0,0,0,0,0,0,0,0,0,0,0,False
135,揮竿釣魚,1300,1301,0,0,0,0,0,0,0,0,2,14,True
136,兵裝轉換獎勵,1280,1281,0,0,0,0,0,0,0,0,14,4,True
137,亞拉戈神典石,1310,1311,0,0,0,0,0,0,0,0,6,6,True
138,在指定地區使用任務道具,1290,0,0,0,0,1291,0,0,0,0,8,5,True
139,對目標使用任務道具,1270,1271,0,0,0,1272,1273,0,0,0,9,5,True
140,,0,0,0,0,0,0,0,0,0,0,0,0,False
141,PvP與報酬,1330,1331,1332,0,0,1330,1331,1333,0,0,32,8,True
142,,0,0,0,0,0,0,0,0,0,0,0,0,False
143,關於房屋系統,1350,1351,1352,1353,0,0,0,0,0,0,16,2,True
144,房屋與門牌,1360,1361,0,0,0,0,0,0,0,0,17,2,True
145,關於團隊任務,1370,1371,0,0,0,0,0,0,0,0,40,8,True
146,每週取得報酬的限制,1380,1381,1382,0,0,0,0,0,0,0,41,8,True
147,關於隊員招募功能,1390,1391,1392,0,0,1393,1391,1392,0,0,6,2,True
148,關於隱藏資源,1400,1401,0,0,0,0,0,0,0,0,19,13,True
149,關於陳舊的地圖,1410,1411,1412,0,0,0,0,0,0,0,31,6,True
150,解讀陳舊的地圖,1420,1421,0,0,0,0,0,0,0,0,32,6,True
151,尋寶,1430,1431,1432,0,0,0,0,0,0,0,33,6,True
152,友好部族的世界,1440,1441,1442,0,0,0,0,0,0,0,21,5,True
153,友好關係,1450,1451,1452,0,0,0,0,0,0,0,22,5,True
154,搬運,1460,1461,0,0,0,0,0,0,0,0,23,5,True
155,透明,1470,1471,0,0,0,0,0,0,0,0,24,5,True
156,特殊快速鍵,1480,0,0,0,0,1481,0,0,0,0,25,5,True
157,美髮,1490,1491,0,0,0,0,0,0,0,0,15,2,True
158,隨機任務,1500,1501,0,0,0,0,0,0,0,0,24,8,True
159,投票驅除,1510,1511,1512,0,0,0,0,0,0,0,25,8,True
160,最優隊員,1520,1521,1522,0,0,0,0,0,0,0,26,8,True
161,入會申請,1530,1531,0,0,0,1530,1532,0,0,0,7,11,True
162,挑戰筆記,1540,1542,0,0,0,1541,1542,0,0,0,6,8,True
163,製作秘笈,1550,2580,0,0,0,0,0,0,0,0,10,12,True
164,武具投影,1560,1561,1562,0,0,0,0,0,0,0,25,7,True
165,栽培,1570,1571,0,0,0,0,0,0,0,0,18,2,True
166,培育,1580,1581,0,0,0,0,0,0,0,0,20,2,True
167,收穫,1590,1591,0,0,0,0,0,0,0,0,21,2,True
168,僱員探險,1600,1601,1602,0,0,0,0,0,0,0,24,6,True
169,探索委託,1610,1611,0,0,0,0,0,0,0,0,25,6,True
170,與他人交流,1620,1622,1623,1624,0,1621,1622,1623,1624,0,25,2,True
171,指定文字,1630,1631,1633,1634,1635,1630,1632,1633,1634,1635,26,2,True
172,關於期望列表,1640,1641,0,0,0,0,0,0,0,0,15,6,True
173,僱員的職業,1650,1651,0,0,0,0,0,0,0,0,26,6,True
174,黃道文書,1660,1661,1662,0,0,0,0,0,0,0,31,7,True
175,關於天球書卷,1670,1671,1672,1673,1674,0,0,0,0,0,32,7,True
176,關於法外戰區,1680,0,0,0,0,0,0,0,0,0,34,8,True
177,自己動手修理裝備,1690,1691,0,0,0,0,0,0,0,0,7,7,True
178,探索筆記,1700,1702,0,0,0,1701,1702,0,0,0,7,8,True
179,關於同盟徽章,1710,1711,0,0,0,0,0,0,0,0,7,6,True
180,關於玩具箱,1720,0,0,0,0,0,0,0,0,0,60,8,True
181,關於砲擊,1730,1731,0,0,0,0,0,0,0,0,26,5,True
182,關於放生,1740,1741,0,0,0,0,0,0,0,0,9,14,True
183,道具分解,1750,1751,1752,0,0,0,0,0,0,0,13,12,True
184,飼養陸行鳥,1760,1761,1762,0,0,0,0,0,0,0,24,4,True
185,鳥人族任務,1780,1781,0,0,0,0,0,0,0,0,27,5,True
186,鳥人族供應任務,1790,1791,1792,0,0,0,0,0,0,0,28,5,True
187,,0,0,0,0,0,0,0,0,0,0,0,0,False
188,關於變身,1810,1811,0,0,0,0,0,0,0,0,29,5,True
189,“上古武器·新星”絕靈化,1820,1821,1822,1823,0,0,0,0,0,0,33,7,True
190,新魚現身,1830,1831,0,0,0,0,0,0,0,0,10,14,True
191,釣魚與天氣,1840,0,0,0,0,0,0,0,0,0,11,14,True
192,結印與忍術,1850,1851,1852,1853,0,0,0,0,0,0,25,4,True
193,舉辦永結同心典禮,1860,1861,1862,0,0,0,0,0,0,0,30,2,True
194,為永結同心典禮做準備,1870,1871,1872,1873,0,0,0,0,0,0,31,2,True
195,關於永結同心典禮的請帖,1880,1881,0,0,0,0,0,0,0,0,32,2,True
196,關於陸行鳥出賽登記書,1890,1891,1892,0,0,0,0,0,0,0,2,15,True
197,關於競賽能力,1900,1901,1902,0,0,0,0,0,0,0,4,15,True
198,退役與配種,1910,1911,1912,1913,0,0,0,0,0,0,5,15,True
199,挑戰幻卡大師,1920,1921,0,0,0,0,0,0,0,0,6,15,True
200,與他人對局,1930,1931,0,0,0,0,0,0,0,0,7,15,True
201,歡迎來到金碟遊樂園,1940,1941,1942,0,0,0,0,0,0,0,1,15,True
202,競賽參加條件,1950,1951,1952,0,0,0,0,0,0,0,3,15,True
203,關於專家,1960,1961,0,0,0,0,0,0,0,0,21,12,True
204,,0,0,0,0,0,0,0,0,0,0,0,0,False
205,展翅高飛,1980,1981,0,0,0,1980,1982,0,0,0,20,3,True
206,,0,0,0,0,0,0,0,0,0,0,0,0,False
207,,0,0,0,0,0,0,0,0,0,0,0,0,False
208,成為指導者,2010,2011,2012,2013,0,0,0,0,0,0,60,2,True
209,關於限時採集地點,2020,0,0,0,0,0,0,0,0,0,49,13,True
210,關於隱藏特殊性質,2030,2031,0,0,0,0,0,0,0,0,46,13,True
211,,0,0,0,0,0,0,0,0,0,0,0,0,False
212,關於精選,2050,0,0,0,0,0,0,0,0,0,52,13,True
213,關於傳說的採集地點與傳承錄,2060,2061,0,0,0,0,0,0,0,0,40,13,True
214,,0,0,0,0,0,0,0,0,0,0,0,0,False
215,,0,0,0,0,0,0,0,0,0,0,0,0,False
216,戰利品的分配方式,2090,2091,2092,2093,0,2094,2091,2092,2093,0,11,4,True
217,更改分配方式,2100,2101,0,0,0,0,0,0,0,0,12,4,True
218,關於神殿騎士團理符,2110,2111,0,0,0,0,0,0,0,0,20,9,True
219,關於收藏品,2120,2121,2122,0,0,0,0,0,0,0,40,6,True
220,,0,0,0,0,0,0,0,0,0,0,0,0,False
221,漁師如何採集收藏品,2140,2141,0,0,0,0,0,0,0,0,20,14,True
222,,0,0,0,0,0,0,0,0,0,0,0,0,False
223,,0,0,0,0,0,0,0,0,0,0,0,0,False
224,歡迎來玩萌寵之王,2170,2171,2172,2173,2174,0,0,0,0,0,10,15,True
225,關於萌寵之王的寵物種類,2180,2181,2182,2183,0,0,0,0,0,0,11,15,True
226,關於萌寵之王的設施,2190,2191,2192,2193,2194,0,0,0,0,0,12,15,True
227,任務特殊規則：等級調整,2200,2201,0,0,0,0,0,0,0,0,30,5,True
228,任務特殊規則：職業固定,2210,0,0,0,0,0,0,0,0,0,31,5,True
229,關於管弦樂琴,2220,2221,2222,2223,2224,0,0,0,0,0,40,2,True
230,關於盆栽作物,2230,0,0,0,0,0,0,0,0,0,19,2,True
231,關於傳送魔紋和寶物庫,2240,2241,2242,0,0,0,0,0,0,0,34,6,True
232,關於水族箱,2250,2251,2252,2253,0,0,0,0,0,0,22,2,True
233,改變召喚獸的外貌,2260,2261,2262,2573,0,0,0,0,0,0,63,4,True
234,注意裝備品級,2270,2271,2272,0,0,0,0,0,0,0,70,4,True
235,關於平均品級,2280,2281,2282,0,0,0,0,0,0,0,71,4,True
236,,0,0,0,0,0,0,0,0,0,0,0,0,False
237,,0,0,0,0,0,0,0,0,0,0,0,0,False
238,在水中暢遊,2310,2311,2313,0,0,2310,2312,2313,0,0,21,3,True
239,任務指令,2320,2322,0,0,0,2321,2322,0,0,0,55,8,True
240,關於烈羽爭鋒,2330,0,0,0,0,0,0,0,0,0,35,8,True
241,刺魚的準備,2340,0,0,0,0,0,0,0,0,0,30,14,True
242,探索漁場,2350,2351,2352,0,0,0,0,0,0,0,31,14,True
243,,0,0,0,0,0,0,0,0,0,0,0,0,False
244,職能技能,2370,2371,0,0,0,0,0,0,0,0,10,4,True
245,演奏一曲試試看吧♪,2380,0,0,0,0,0,0,0,0,0,45,2,True
246,挑戰時尚品鑑,2390,2391,2392,2393,0,0,0,0,0,0,30,7,True
247,善用投影台,2400,2401,0,0,0,0,0,0,0,0,26,7,True
248,裝備幻影化,2410,0,0,0,0,0,0,0,0,0,27,7,True
249,運用投影範本搭配裝備,2420,0,0,0,0,0,0,0,0,0,28,7,True
250,使用投影範本進行武具投影,2430,0,0,0,0,0,0,0,0,0,29,7,True
251,探索禁地優雷卡的準備,2440,2441,0,0,0,0,0,0,0,0,50,8,True
252,陸行鳥鞍囊,2450,2451,0,0,0,0,0,0,0,0,18,6,True
253,關於任務回顧,2460,2461,0,0,0,0,0,0,0,0,57,8,True
254,任務記錄方法,2470,2471,2472,2473,0,2470,2471,2472,2474,0,58,8,True
255,播放任務回顧,2480,0,0,0,0,0,0,0,0,0,59,8,True
256,探索幸福兔的財寶,2487,2488,0,0,0,0,0,0,0,0,51,8,True
257,關於交流簿,2481,2482,2483,2484,0,0,0,0,0,0,23,2,True
258,關於老主顧換裝,2485,2486,0,0,0,0,0,0,0,0,61,8,True
259,關於神殿寶物庫,2489,2490,2491,2492,0,0,0,0,0,0,35,6,True
260,關於服裝模特,2493,2494,2495,0,0,0,0,0,0,0,24,2,True
261,文理融合器,2496,2497,2498,0,0,0,0,0,0,0,52,8,True
262,關於經過改良的文理融合器,2499,2500,0,0,0,0,0,0,0,0,53,8,True
263,共同騎乘,2501,0,0,0,0,0,0,0,0,0,22,3,True
264,關於跨界傳送,2506,2507,0,0,0,0,0,0,0,0,10,3,True
265,關於青魔道士的特有系統,2502,2503,2504,2505,2508,2502,2509,2504,2505,2508,64,4,True
266,關於雙色寶石,2510,2511,2512,0,0,2510,2511,2513,0,0,2,8,True
267,魚類傳承錄,1764,1765,0,0,0,0,0,0,0,0,13,14,True
268,關於魚影,1767,1768,0,0,0,0,0,0,0,0,12,14,True
269,關於重要物品,1770,0,0,0,0,1771,0,0,0,0,27,2,True
270,關於高難度配方,2520,0,0,0,0,0,0,0,0,0,11,12,True
271,釣上大魚吧！,2530,2531,0,0,0,0,0,0,0,0,14,14,True
272,關於時尚配飾,2540,2541,0,0,0,0,0,0,0,0,28,2,True
273,,0,0,0,0,0,0,0,0,0,0,0,0,False
274,,0,0,0,0,0,0,0,0,0,0,0,0,False
275,關於收藏品採集,2552,0,0,0,0,0,0,0,0,0,43,13,True
276,關於製作練習,2550,2551,0,0,0,0,0,0,0,0,7,12,True
277,採集更多的道具,2553,0,0,0,0,0,0,0,0,0,7,13,True
278,需要鑑別力的採集道具,2554,0,0,0,0,0,0,0,0,0,60,13,True
279,刺魚,2555,2556,2557,0,0,0,0,0,0,0,32,14,True
280,新魚現身（刺魚）,2558,2559,0,0,0,0,0,0,0,0,33,14,True
281,,0,0,0,0,0,0,0,0,0,0,0,0,False
282,品質要求,2566,0,0,0,0,0,0,0,0,0,12,12,True
283,不定性道具與昇華,2567,2568,2569,0,0,0,0,0,0,0,54,13,True
284,關於大地使者職能技能,2570,2571,2572,0,0,0,0,0,0,0,1,13,True
285,關於面部配飾,2574,2575,0,0,0,0,0,0,0,0,29,2,True
286,關於主線導覽員,2576,2577,0,0,0,0,0,0,0,0,7,5,True
287,關於特殊配方,2578,2579,0,0,0,0,0,0,0,0,22,12,True
288,,0,0,0,0,0,0,0,0,0,0,0,0,False
289,,0,0,0,0,0,0,0,0,0,0,0,0,False
290,,0,0,0,0,0,0,0,0,0,0,0,0,False
291,,0,0,0,0,0,0,0,0,0,0,0,0,False
292,,0,0,0,0,0,0,0,0,0,0,0,0,False
293,,0,0,0,0,0,0,0,0,0,0,0,0,False
294,,0,0,0,0,0,0,0,0,0,0,0,0,False
295,,0,0,0,0,0,0,0,0,0,0,0,0,False
