#,Unknown_70_1,ENpcResident,Item,Unknown_70_2,Unknown_70_3,Unknown1,Unknown2,ClassJobCategory,Unknown0,AmountRequired,ItemHQ
26.3,1,1025704,22669,0,0,0,0,19,0,1,False
27.0,0,1025708,22722,0,0,0,0,33,0,2,False
27.1,2,1025708,22618,0,0,0,0,17,0,2,False
27.2,2,1025708,22644,0,0,0,0,18,0,2,False
27.3,1,1025708,22670,0,0,0,0,19,0,1,False
28.0,0,1025842,22723,0,0,0,0,33,0,1,True
28.1,2,1025842,22619,0,0,0,0,17,0,1,False
28.2,2,1025842,22645,0,0,0,0,18,0,1,False
28.3,1,1025842,22671,0,0,0,0,19,0,1,False
29.0,0,1025845,22724,0,0,0,0,33,0,1,True
29.1,2,1025845,22620,0,0,0,0,17,0,1,False
29.2,2,1025845,22646,0,0,0,0,18,0,1,False
29.3,1,1025845,22672,0,0,0,0,19,0,1,False
30.0,0,1025777,22729,0,0,0,0,33,0,1,False
30.1,2,1025777,22625,0,0,0,0,17,0,3,False
30.2,2,1025777,22651,0,0,0,0,18,0,3,False
30.3,1,1025777,22677,0,0,0,0,19,0,1,False
31.0,0,1025837,23173,0,0,0,0,33,0,3,False
31.1,2,1025837,23169,0,0,0,0,17,0,1,False
31.2,2,1025837,23170,0,0,0,0,18,0,1,False
31.3,1,1025837,23171,0,0,0,0,19,0,1,False
32.0,1,1032724,29512,0,0,0,0,17,0,1,False
32.1,2,1032724,29538,0,0,0,0,18,0,1,False
32.2,1,1032724,29564,0,0,0,0,19,0,1,False
33.0,1,1032734,29513,0,0,0,0,17,0,1,False
33.1,2,1032734,29539,0,0,0,0,18,0,1,False
33.2,1,1032734,29565,0,0,0,0,19,0,1,False
34.0,2,1032660,29514,0,0,0,0,17,0,1,False
34.1,2,1032660,29540,0,0,0,0,18,0,1,False
34.2,1,1032660,29566,0,0,0,0,19,0,1,False
35.0,2,1032862,29515,0,0,0,0,17,0,3,False
35.1,2,1032862,29541,0,0,0,0,18,0,3,False
35.2,1,1032862,29567,0,0,0,0,19,0,1,False
36.0,2,1032967,29516,0,0,0,0,17,0,3,False
36.1,2,1032967,29542,0,0,0,0,18,0,3,False
36.2,1,1032967,29568,0,0,0,0,19,0,1,False
37.0,1,1032643,29517,0,0,0,0,17,0,3,False
37.1,2,1032643,29543,0,0,0,0,18,0,3,False
37.2,1,1032643,29569,0,0,0,0,19,0,1,False
38.0,2,1032643,29518,0,0,0,0,17,0,3,False
38.1,2,1032643,29544,0,0,0,0,18,0,3,False
38.2,1,1032643,29570,0,0,0,0,19,0,1,False
39.0,2,1032643,29519,0,0,0,0,17,0,3,False
39.1,2,1032643,29545,0,0,0,0,18,0,3,False
39.2,1,1032643,29571,0,0,0,0,19,0,1,False
40.0,1,1032643,29520,0,0,0,0,17,0,3,False
40.1,2,1032643,29546,0,0,0,0,18,0,3,False
40.2,1,1032643,29572,0,0,0,0,19,0,1,False
41.0,2,1032643,29521,0,0,0,0,17,0,3,False
41.1,2,1032643,29547,0,0,0,0,18,0,3,False
41.2,2,1032643,29573,0,0,0,0,19,0,1,False
42.0,1,1032643,29522,0,0,0,0,17,0,3,False
42.1,2,1032643,29548,0,0,0,0,18,0,3,False
42.2,2,1032643,29574,0,0,0,0,19,0,1,False
43.0,2,1032643,29523,0,0,0,0,17,0,3,False
43.1,2,1032643,29549,0,0,0,0,18,0,3,False
43.2,1,1032643,29575,0,0,0,0,19,0,1,False
44.0,2,1032643,29524,0,0,0,0,17,0,3,False
44.1,2,1032643,29550,0,0,0,0,18,0,3,False
44.2,1,1032643,29576,0,0,0,0,19,0,1,False
45.0,1,1032643,29525,0,0,0,0,17,0,3,False
45.1,2,1032643,29551,0,0,0,0,18,0,3,False
45.2,1,1032643,29577,0,0,0,0,19,0,1,False
46.0,2,1032643,29526,0,0,0,0,17,0,3,False
46.1,2,1032643,29552,0,0,0,0,18,0,3,False
46.2,2,1032643,29578,0,0,0,0,19,0,1,False
47.0,1,1032643,29527,0,0,0,0,17,0,3,False
47.1,2,1032643,29553,0,0,0,0,18,0,3,False
47.2,2,1032643,29579,0,0,0,0,19,0,1,False
48.0,1,1032643,29528,0,0,0,0,17,0,3,False
48.1,2,1032643,29554,0,0,0,0,18,0,3,False
48.2,1,1032643,29580,0,0,0,0,19,0,1,False
49.0,2,1032643,29529,0,0,0,0,17,0,3,False
49.1,2,1032643,29555,0,0,0,0,18,0,3,False
49.2,2,1032643,29581,0,0,0,0,19,0,1,False
50.0,2,1032643,29530,0,0,0,0,17,0,3,False
50.1,2,1032643,29556,0,0,0,0,18,0,3,False
50.2,1,1032643,29582,0,0,0,0,19,0,1,False
51.0,2,1032643,29531,0,0,0,0,17,0,3,False
51.1,2,1032643,29557,0,0,0,0,18,0,3,False
51.2,1,1032643,29583,0,0,0,0,19,0,1,False
52.0,1,1032643,29532,0,0,0,0,17,0,3,False
52.1,2,1032643,29558,0,0,0,0,18,0,3,False
52.2,1,1032643,29584,0,0,0,0,19,0,1,False
53.0,2,1032643,29533,0,0,0,0,17,0,3,False
53.1,2,1032643,29559,0,0,0,0,18,0,3,False
53.2,1,1032643,29585,0,0,0,0,19,0,1,False
54.0,1,1032643,29534,0,0,0,0,17,0,3,False
54.1,2,1032643,29560,0,0,0,0,18,0,3,False
54.2,1,1032643,29586,0,0,0,0,19,0,1,False
55.0,2,1032643,29535,0,0,0,0,17,0,3,False
55.1,2,1032643,29561,0,0,0,0,18,0,3,False
55.2,1,1032643,29587,0,0,0,0,19,0,1,False
56.0,2,1032643,29536,0,0,0,0,17,0,3,False
56.1,2,1032643,29562,0,0,0,0,18,0,3,False
56.2,1,1032643,29588,0,0,0,0,19,0,1,False
57.0,1,1032643,29537,0,0,0,0,17,0,3,False
57.1,2,1032643,29563,0,0,0,0,18,0,3,False
57.2,2,1032643,29589,0,0,0,0,19,0,1,False
58.0,1,1044190,38276,0,0,0,0,17,0,3,False
58.1,2,1044190,38300,0,0,0,0,18,0,3,False
58.2,1,1044190,38324,0,0,0,0,19,0,1,False
59.0,2,1043585,38277,0,0,0,0,17,0,3,False
59.1,2,1043585,38301,0,0,0,0,18,0,3,False
59.2,1,1043585,38325,0,0,0,0,19,0,1,False
60.0,1,1043585,38278,0,0,0,0,17,0,3,False
60.1,2,1043585,38302,0,0,0,0,18,0,3,False
60.2,1,1043585,38326,0,0,0,0,19,0,1,False
61.0,2,1043585,38279,0,0,0,0,17,0,3,False
61.1,2,1043585,38303,0,0,0,0,18,0,3,False
61.2,1,1043585,38327,0,0,0,0,19,0,1,False
62.0,1,1043586,38280,0,0,0,0,17,0,3,False
62.1,1,1043586,38304,0,0,0,0,18,0,3,False
62.2,1,1043586,38328,0,0,0,0,19,0,1,False
63.0,2,1044042,38281,0,0,0,0,17,0,3,False
63.1,2,1044042,38305,0,0,0,0,18,0,3,False
63.2,1,1044042,38329,0,0,0,0,19,0,1,False
64.0,2,1043417,38282,0,0,0,0,17,0,3,False
64.1,2,1043417,38306,0,0,0,0,18,0,3,False
64.2,1,1043417,38330,0,0,0,0,19,0,1,False
65.0,1,1043417,38283,0,0,0,0,17,0,3,False
65.1,2,1043417,38307,0,0,0,0,18,0,3,False
65.2,1,1043417,38331,0,0,0,0,19,0,1,False
66.0,2,1043936,38284,0,0,0,0,17,0,3,False
66.1,2,1043936,38308,0,0,0,0,18,0,3,False
66.2,1,1043936,38332,0,0,0,0,19,0,1,False
67.0,2,1044050,38285,0,0,0,0,17,0,3,False
67.1,2,1044050,38309,0,0,0,0,18,0,3,False
67.2,1,1044050,38333,0,0,0,0,19,0,1,False
68.0,1,1043417,38286,0,0,0,0,17,0,3,False
68.1,2,1043417,38310,0,0,0,0,18,0,3,False
68.2,1,1043417,38334,0,0,0,0,19,0,1,False
69.0,2,1044057,38287,0,0,0,0,17,0,3,False
69.1,2,1044057,38311,0,0,0,0,18,0,3,False
69.2,1,1044057,38335,0,0,0,0,19,0,1,False
70.0,2,1043936,38288,0,0,0,0,17,0,3,False
70.1,2,1043936,38312,0,0,0,0,18,0,3,False
70.2,1,1043936,38336,0,0,0,0,19,0,1,False
71.0,2,1044059,38289,0,0,0,0,17,0,3,False
71.1,2,1044059,38313,0,0,0,0,18,0,3,False
71.2,1,1044059,38337,0,0,0,0,19,0,1,False
72.0,2,1044064,38290,0,0,0,0,17,0,3,False
72.1,2,1044064,38314,0,0,0,0,18,0,3,False
72.2,1,1044064,38338,0,0,0,0,19,0,1,False
73.0,1,1044065,38291,0,0,0,0,17,0,3,False
73.1,1,1044065,38315,0,0,0,0,18,0,3,False
73.2,1,1044065,38339,0,0,0,0,19,0,1,False
74.0,2,1044070,38292,0,0,0,0,17,0,3,False
74.1,2,1044070,38316,0,0,0,0,18,0,3,False
74.2,1,1044070,38340,0,0,0,0,19,0,1,False
75.0,1,1043936,38293,0,0,0,0,17,0,3,False
75.1,2,1043936,38317,0,0,0,0,18,0,3,False
75.2,1,1043936,38341,0,0,0,0,19,0,1,False
76.0,1,1044071,38294,0,0,0,0,17,0,3,False
76.1,1,1044071,38318,0,0,0,0,18,0,3,False
76.2,1,1044071,38342,0,0,0,0,19,0,1,False
77.0,2,1044074,38295,0,0,0,0,17,0,3,False
77.1,2,1044074,38319,0,0,0,0,18,0,3,False
77.2,1,1044074,38343,0,0,0,0,19,0,1,False
78.0,1,1044075,38296,0,0,0,0,17,0,3,False
78.1,2,1044075,38320,0,0,0,0,18,0,3,False
78.2,1,1044075,38344,0,0,0,0,19,0,1,False
79.0,1,1044076,38297,0,0,0,0,17,0,3,False
79.1,1,1044076,38321,0,0,0,0,18,0,3,False
79.2,1,1044076,38345,0,0,0,0,19,0,1,False
80.0,1,1044077,38298,0,0,0,0,17,0,3,False
80.1,2,1044077,38322,0,0,0,0,18,0,3,False
80.2,1,1044077,38346,0,0,0,0,19,0,1,False
81.0,2,1044081,38299,0,0,0,0,17,0,3,False
81.1,2,1044081,38323,0,0,0,0,18,0,3,False
81.2,1,1044081,38347,0,0,0,0,19,0,1,False
82.0,1,1047097,43903,10489623,0,0,0,19,255,6,False
83.0,1,1047097,43904,10494566,0,0,0,19,255,6,False
84.0,1,1047097,43905,10494559,0,0,0,19,255,6,False
85.0,1,1047097,43906,10494568,0,0,0,19,255,6,False
86.0,1,1047132,43899,10489945,10745649,10745650,0,17,255,6,False
86.1,2,1047132,43899,10489948,10745656,10745657,0,18,255,6,False
87.0,1,1047132,43900,10744086,10765778,10765784,0,17,255,6,False
87.1,1,1047132,43900,10744088,10765742,10765746,0,18,255,6,False
88.0,1,1047132,43901,10744091,10765790,10765791,0,17,255,6,False
88.1,2,1047132,43901,10744101,10765788,10765789,0,18,255,6,False
89.0,1,1047132,43902,10744128,10766085,10766086,0,17,255,6,False
89.1,2,1047132,43902,10744129,10765798,10765799,0,18,255,6,False
90.0,1,1047103,43915,10559120,0,0,0,19,3,1,False
91.0,1,1047132,43913,10744125,10765795,10765796,0,17,255,1,False
91.1,2,1047132,43913,10744126,10765793,10765794,0,18,255,1,False
92.0,1,1047160,43914,10744131,10766135,10766140,0,17,6,1,False
92.1,2,1047160,43914,10744132,10766127,10766130,0,18,6,1,False
93.0,1,1047097,43916,10559144,0,0,0,19,2,1,False
94.0,0,0,0,0,0,0,0,0,0,0,False
94.1,0,0,0,0,0,0,0,0,0,0,False
94.2,0,0,0,0,0,0,0,0,0,0,False
95.0,0,0,0,0,0,0,0,0,0,0,False
95.1,0,0,0,0,0,0,0,0,0,0,False
95.2,0,0,0,0,0,0,0,0,0,0,False
96.0,0,0,0,0,0,0,0,0,0,0,False
96.1,0,0,0,0,0,0,0,0,0,0,False
96.2,0,0,0,0,0,0,0,0,0,0,False
97.0,0,0,0,0,0,0,0,0,0,0,False
97.1,0,0,0,0,0,0,0,0,0,0,False
97.2,0,0,0,0,0,0,0,0,0,0,False
98.0,0,0,0,0,0,0,0,0,0,0,False
98.1,0,0,0,0,0,0,0,0,0,0,False
98.2,0,0,0,0,0,0,0,0,0,0,False
99.0,0,0,0,0,0,0,0,0,0,0,False
99.1,0,0,0,0,0,0,0,0,0,0,False
99.2,0,0,0,0,0,0,0,0,0,0,False
100.0,0,0,0,0,0,0,0,0,0,0,False
100.1,0,0,0,0,0,0,0,0,0,0,False
100.2,0,0,0,0,0,0,0,0,0,0,False
101.0,0,0,0,0,0,0,0,0,0,0,False
101.1,0,0,0,0,0,0,0,0,0,0,False
101.2,0,0,0,0,0,0,0,0,0,0,False
102.0,0,0,0,0,0,0,0,0,0,0,False
102.1,0,0,0,0,0,0,0,0,0,0,False
102.2,0,0,0,0,0,0,0,0,0,0,False
103.0,0,0,0,0,0,0,0,0,0,0,False
103.1,0,0,0,0,0,0,0,0,0,0,False
103.2,0,0,0,0,0,0,0,0,0,0,False
104.0,0,0,0,0,0,0,0,0,0,0,False
104.1,0,0,0,0,0,0,0,0,0,0,False
104.2,0,0,0,0,0,0,0,0,0,0,False
105.0,0,0,0,0,0,0,0,0,0,0,False
105.1,0,0,0,0,0,0,0,0,0,0,False
105.2,0,0,0,0,0,0,0,0,0,0,False
106.0,0,0,0,0,0,0,0,0,0,0,False
106.1,0,0,0,0,0,0,0,0,0,0,False
106.2,0,0,0,0,0,0,0,0,0,0,False
107.0,0,0,0,0,0,0,0,0,0,0,False
107.1,0,0,0,0,0,0,0,0,0,0,False
107.2,0,0,0,0,0,0,0,0,0,0,False
108.0,0,0,0,0,0,0,0,0,0,0,False
108.1,0,0,0,0,0,0,0,0,0,0,False
108.2,0,0,0,0,0,0,0,0,0,0,False
109.0,0,0,0,0,0,0,0,0,0,0,False
109.1,0,0,0,0,0,0,0,0,0,0,False
109.2,0,0,0,0,0,0,0,0,0,0,False
110.0,0,0,0,0,0,0,0,0,0,0,False
110.1,0,0,0,0,0,0,0,0,0,0,False
110.2,0,0,0,0,0,0,0,0,0,0,False
111.0,0,0,0,0,0,0,0,0,0,0,False
111.1,0,0,0,0,0,0,0,0,0,0,False
111.2,0,0,0,0,0,0,0,0,0,0,False
112.0,0,0,0,0,0,0,0,0,0,0,False
112.1,0,0,0,0,0,0,0,0,0,0,False
112.2,0,0,0,0,0,0,0,0,0,0,False
113.0,0,0,0,0,0,0,0,0,0,0,False
113.1,0,0,0,0,0,0,0,0,0,0,False
113.2,0,0,0,0,0,0,0,0,0,0,False
114.0,0,0,0,0,0,0,0,0,0,0,False
114.1,0,0,0,0,0,0,0,0,0,0,False
114.2,0,0,0,0,0,0,0,0,0,0,False
115.0,0,0,0,0,0,0,0,0,0,0,False
115.1,0,0,0,0,0,0,0,0,0,0,False
115.2,0,0,0,0,0,0,0,0,0,0,False
116.0,0,0,0,0,0,0,0,0,0,0,False
116.1,0,0,0,0,0,0,0,0,0,0,False
116.2,0,0,0,0,0,0,0,0,0,0,False
117.0,0,0,0,0,0,0,0,0,0,0,False
117.1,0,0,0,0,0,0,0,0,0,0,False
117.2,0,0,0,0,0,0,0,0,0,0,False
118.0,0,0,0,0,0,0,0,0,0,0,False
118.1,0,0,0,0,0,0,0,0,0,0,False
118.2,0,0,0,0,0,0,0,0,0,0,False
