#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11
30,"穿行威隧道　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",穿行威隧道　竣工,"穿行威隧道順利開通啦！
相信今後對於隧道深處的探索會更進一步，感謝大家的幫助！",穿行威隧道順利開通啦！感謝大家的幫助！,探索威,241016,18,8,1408,158,9,26,5,0,2,3
31,"第四次宇宙快線鋪設工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第四次宇宙快線鋪設工程　物資準備中,"我們需要在隧道的另一邊鋪設宇宙快線！
請積極參加探索任務幫忙籌備物資！",我們需要在隧道的另一邊鋪設宇宙快線！一起籌備物資吧！,探索威,241017,0,0,0,158,9,27,0,0,2,3
32,"第四次宇宙快線鋪設工程　施工中
**請靜待宇宙快線鋪設完成！",第四次宇宙快線鋪設工程　施工中,"宇宙快線西南線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！",宇宙快線西南線的竣工時間確定啦！,探索威,241017,0,0,1452,158,9,27,0,0,2,3
33,"宇宙快線西南線　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",宇宙快線西南線　竣工,"宇宙快線西南線竣工啦！
相信今後的探索會更進一步，感謝大家的幫助！",宇宙快線西南線竣工啦！感謝大家的幫助！,探索威,241018,18,9,1412,158,10,28,5,0,2,3
34,"第二次基地擴建工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第二次基地擴建工程　物資準備中,"我們需要再次擴建月門基地！
請積極參加探索任務幫忙籌備物資！",我們需要再次擴建月門基地！一起籌備物資吧！,探索威,241019,0,0,0,158,10,29,0,0,2,3
35,"第二次基地擴建工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第二次基地擴建工程　聯合工程準備中,"再次擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",再次擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241019,0,0,1451,158,10,30,0,0,2,3
36,"第二次基地擴建工程　聯合工程進行中
**請積極參與其中吧！",第二次基地擴建工程　聯合工程進行中,"再次擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！",再次擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241019,0,0,0,158,10,31,0,0,2,3
37,"月門基地：三級基地　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",月門基地：三級基地　竣工,"月門基地擴建完畢啦！這次的成果更棒！
相信今後的探索活動會更進一步，感謝大家的幫助！",月門基地擴建完畢啦！這次的成果更棒！感謝大家的幫助！,探索威,241020,18,10,1410,158,11,32,5,1,2,3
38,"發電站&供水站　建設物資準備中
 **請積極參加探索任務籌備物資吧！",發電站&供水站　建設物資準備中,"我們需要建設發電站和供水站！
請積極參加探索任務幫忙籌備物資！",我們需要建設發電站和供水站！一起籌備物資吧！,探索威,241021,0,0,0,158,11,33,0,1,2,3
39,"能源設施擴建工程支援行動　聯合工程準備中
**請為聯合工程的開工做好準備！",能源設施擴建工程支援行動　聯合工程準備中,"建設發電站的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",建設發電站的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241021,0,0,1451,158,11,34,0,1,2,3
40,"能源設施擴建工程支援行動　聯合工程進行中
**請積極參與其中吧！",能源設施擴建工程支援行動　聯合工程進行中,"建設發電站的聯合工程正在進行中！
請一定要來幫忙呀！",建設發電站的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241021,0,0,0,158,11,35,0,1,2,3
41,"供水設施擴建工程支援行動　聯合工程準備中
**請為聯合工程的開工做好準備！",供水設施擴建工程支援行動　聯合工程準備中,"建設供水站的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",建設供水站的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241022,18,11,1401,158,12,36,5,1,2,3
42,"供水設施擴建工程支援行動　聯合工程進行中
**請積極參與其中吧！",供水設施擴建工程支援行動　聯合工程進行中,"建設供水站的聯合工程正在進行中！
請一定要來幫忙呀！",建設供水站的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241022,0,0,0,158,12,36,0,1,2,3
43,"發電站&供水站　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",發電站&供水站　竣工,"發電站和供水站竣工啦！
這下就暫時不用擔心能量和供水的問題了，感謝大家的幫助！",發電站和供水站竣工啦！感謝大家的幫助！,探索威,241023,18,12,1401,158,13,37,5,1,2,3
44,"二級機庫&宇宙港　改建物資準備中
 **請積極參加探索任務籌備物資吧！",二級機庫&宇宙港　改建物資準備中,"我們需要改建機庫和宇宙港，使其具備更高性能！
請積極參加探索任務幫忙籌備物資！",我們需要改建機庫和宇宙港，使其具備更高性能！一起籌備物資吧！,探索威,241024,0,0,0,158,13,38,0,1,2,3
45,"第二次機庫擴建工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第二次機庫擴建工程　聯合工程準備中,"改建機庫的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",改建機庫的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241024,0,0,1451,158,13,39,0,1,2,3
46,"第二次機庫擴建工程　聯合工程進行中
**請積極參與其中吧！",第二次機庫擴建工程　聯合工程進行中,"改建機庫的聯合工程正在進行中！
請一定要來幫忙呀！",改建機庫的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241024,0,0,0,158,13,40,0,1,2,3
47,"第二次宇宙港建設工程支援行動　聯合工程準備中
**請為聯合工程的開工做好準備！",第二次宇宙港建設工程支援行動　聯合工程準備中,"改建宇宙港的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",改建宇宙港的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241025,18,13,1402,158,14,41,5,1,2,3
48,"第二次宇宙港建設工程支援行動　聯合工程進行中
**請積極參與其中吧！",第二次宇宙港建設工程支援行動　聯合工程進行中,"改建宇宙港的聯合工程正在進行中！
請一定要來幫忙呀！",改建宇宙港的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241025,0,0,0,158,14,41,0,1,2,3
49,"三級機庫&二級宇宙港　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",三級機庫&二級宇宙港　竣工,"機庫和宇宙港改建完畢啦！具備了更高性能！
相信今後探索活動將會更進一步，感謝大家的幫助！",機庫和宇宙港改建完畢啦！具備了更高性能！感謝大家的幫助！,探索威,241026,18,14,1402,158,15,42,5,1,2,3
50,"升降梯建設用地整備工程　物資準備中
 **請積極參加探索任務籌備物資吧！",升降梯建設用地整備工程　物資準備中,"我們需要開通前往月底的升降梯！
請積極參加探索任務幫忙籌備物資！",我們需要開通前往月底的升降梯！一起籌備物資吧！,探索威,241027,0,0,0,158,15,43,0,1,2,3
51,"第一次升降梯建設用地整備工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第一次升降梯建設用地整備工程　聯合工程準備中,"開通月底升降梯的第一次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",開通月底升降梯的第一次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241027,0,0,1451,158,15,44,0,1,2,3
52,"第一次升降梯建設用地整備工程　聯合工程進行中
**請積極參與其中吧！",第一次升降梯建設用地整備工程　聯合工程進行中,"開通月底升降梯的第一次聯合工程正在進行中！
請一定要來幫忙呀！",開通月底升降梯的第一次聯合工程正在進行中！請一定要來幫忙呀！,探索威,241027,0,0,0,158,15,45,0,1,2,3
53,"第二次升降梯建設用地整備工程　聯合工程準備中
**請為聯合工程的開工做好準備！",第二次升降梯建設用地整備工程　聯合工程準備中,"開通月底升降梯的第二次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",開通月底升降梯的第二次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241028,18,15,1401,158,16,46,5,1,2,3
54,"第二次升降梯建設用地整備工程　聯合工程進行中
**請積極參與其中吧！",第二次升降梯建設用地整備工程　聯合工程進行中,"開通月底升降梯的第二次聯合工程正在進行中！
請一定要來幫忙呀！",開通月底升降梯的第二次聯合工程正在進行中！請一定要來幫忙呀！,探索威,241028,0,0,0,158,16,46,0,1,2,3
55,"月底升降梯　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",月底升降梯　竣工,"月底升降梯竣工啦！
相信今後對於地底空間的探索將會更進一步，感謝大家的幫助！",月底升降梯竣工啦！感謝大家的幫助！,探索威,241029,18,16,1411,158,17,47,5,1,2,3
56,"第五次宇宙快線鋪設工程　物資準備中
 **請積極參加探索任務籌備物資吧！",第五次宇宙快線鋪設工程　物資準備中,"我們需要建設宇宙快線地底線！
請積極參加探索任務幫忙籌備物資！",我們需要建設宇宙快線地底線！一起籌備物資吧！,探索威,241030,0,0,0,158,17,48,0,1,2,3
57,"第五次宇宙快線鋪設工程　施工中
**請靜待宇宙快線鋪設完成！",第五次宇宙快線鋪設工程　施工中,"宇宙快線地底線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！",宇宙快線地底線的竣工時間確定啦！,探索威,241030,0,0,1452,158,17,48,0,1,2,3
58,"宇宙快線地底線　竣工
**下一項工程尚在計畫階段，請先隨意放鬆一下吧！",宇宙快線地底線　竣工,"宇宙快線地底線竣工啦！
相信今後的探索會更進一步，感謝大家的幫助！",宇宙快線地底線竣工啦！感謝大家的幫助！,探索威,241031,18,17,1404,158,18,49,5,1,2,3
59,"基地綜合設施擴建工程　物資準備中
 **請積極參加探索任務籌備物資吧！",基地綜合設施擴建工程　物資準備中,"我們需要大幅擴建月門基地！
請積極參加探索任務幫忙籌備物資！",我們需要大幅擴建月門基地！一起籌備物資吧！,探索威,241032,0,0,0,158,18,50,0,1,2,3
60,"基地綜合設施擴建工程　聯合工程準備中
**請為聯合工程的開工做好準備！",基地綜合設施擴建工程　聯合工程準備中,"大幅擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！",大幅擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！,探索威,241032,0,0,1451,158,18,51,0,1,2,3
61,"基地綜合設施擴建工程　聯合工程進行中
**請積極參與其中吧！",基地綜合設施擴建工程　聯合工程進行中,"大幅擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！",大幅擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！,探索威,241032,0,0,0,158,18,52,0,1,2,3
62,"月門基地：月上跳跳城　竣工
**心繫漫天星空，自由度過當下的時光吧！",月門基地：月上跳跳城　竣工,"月門基地擴建完畢啦！
這下基地變得好氣派啊，感謝大家的幫助！",月門基地擴建完畢啦！感謝大家的幫助！,探索威,241033,18,18,1403,158,19,53,5,1,2,3
63,"月面基地整備計畫　圓滿完成
**心繫漫天星空，自由度過當下的時光吧！",月面基地整備計畫　圓滿完成,"在大家的辛勤工作下，月球上的所有設施都建設完畢啦！
一想到接下來將要踏上的全新旅程，內心就激動不已！",在大家的辛勤工作下，月球上的所有設施都建設完畢啦！太感謝各位啦！,探索威,241034,0,0,0,158,19,54,0,1,2,3
64,,,,,,0,0,0,0,0,0,0,0,0,0,0
65,,,,,,0,0,0,0,0,0,0,0,0,0,0
66,,,,,,0,0,0,0,0,0,0,0,0,0,0
67,,,,,,0,0,0,0,0,0,0,0,0,0,0
68,,,,,,0,0,0,0,0,0,0,0,0,0,0
69,,,,,,0,0,0,0,0,0,0,0,0,0,0
70,,,,,,0,0,0,0,0,0,0,0,0,0,0
71,,,,,,0,0,0,0,0,0,0,0,0,0,0
72,,,,,,0,0,0,0,0,0,0,0,0,0,0
73,,,,,,0,0,0,0,0,0,0,0,0,0,0
74,,,,,,0,0,0,0,0,0,0,0,0,0,0
75,,,,,,0,0,0,0,0,0,0,0,0,0,0
76,,,,,,0,0,0,0,0,0,0,0,0,0,0
77,,,,,,0,0,0,0,0,0,0,0,0,0,0
78,,,,,,0,0,0,0,0,0,0,0,0,0,0
79,,,,,,0,0,0,0,0,0,0,0,0,0,0
80,,,,,,0,0,0,0,0,0,0,0,0,0,0
81,,,,,,0,0,0,0,0,0,0,0,0,0,0
82,,,,,,0,0,0,0,0,0,0,0,0,0,0
83,,,,,,0,0,0,0,0,0,0,0,0,0,0
84,,,,,,0,0,0,0,0,0,0,0,0,0,0
85,,,,,,0,0,0,0,0,0,0,0,0,0,0
86,,,,,,0,0,0,0,0,0,0,0,0,0,0
87,,,,,,0,0,0,0,0,0,0,0,0,0,0
88,,,,,,0,0,0,0,0,0,0,0,0,0,0
89,,,,,,0,0,0,0,0,0,0,0,0,0,0
90,,,,,,0,0,0,0,0,0,0,0,0,0,0
91,,,,,,0,0,0,0,0,0,0,0,0,0,0
92,,,,,,0,0,0,0,0,0,0,0,0,0,0
93,,,,,,0,0,0,0,0,0,0,0,0,0,0
94,,,,,,0,0,0,0,0,0,0,0,0,0,0
95,,,,,,0,0,0,0,0,0,0,0,0,0,0
96,,,,,,0,0,0,0,0,0,0,0,0,0,0
97,,,,,,0,0,0,0,0,0,0,0,0,0,0
98,,,,,,0,0,0,0,0,0,0,0,0,0,0
99,,,,,,0,0,0,0,0,0,0,0,0,0,0
100,,,,,,0,0,0,0,0,0,0,0,0,0,0
101,,,,,,0,0,0,0,0,0,0,0,0,0,0
102,,,,,,0,0,0,0,0,0,0,0,0,0,0
103,,,,,,0,0,0,0,0,0,0,0,0,0,0
104,,,,,,0,0,0,0,0,0,0,0,0,0,0
105,,,,,,0,0,0,0,0,0,0,0,0,0,0
106,,,,,,0,0,0,0,0,0,0,0,0,0,0
107,,,,,,0,0,0,0,0,0,0,0,0,0,0
108,,,,,,0,0,0,0,0,0,0,0,0,0,0
109,,,,,,0,0,0,0,0,0,0,0,0,0,0
110,,,,,,0,0,0,0,0,0,0,0,0,0,0
111,,,,,,0,0,0,0,0,0,0,0,0,0,0
112,,,,,,0,0,0,0,0,0,0,0,0,0,0
113,,,,,,0,0,0,0,0,0,0,0,0,0,0
114,,,,,,0,0,0,0,0,0,0,0,0,0,0
115,,,,,,0,0,0,0,0,0,0,0,0,0,0
116,,,,,,0,0,0,0,0,0,0,0,0,0,0
117,,,,,,0,0,0,0,0,0,0,0,0,0,0
118,,,,,,0,0,0,0,0,0,0,0,0,0,0
119,,,,,,0,0,0,0,0,0,0,0,0,0,0
120,,,,,,0,0,0,0,0,0,0,0,0,0,0
121,,,,,,0,0,0,0,0,0,0,0,0,0,0
122,,,,,,0,0,0,0,0,0,0,0,0,0,0
123,,,,,,0,0,0,0,0,0,0,0,0,0,0
124,,,,,,0,0,0,0,0,0,0,0,0,0,0
125,,,,,,0,0,0,0,0,0,0,0,0,0,0
126,,,,,,0,0,0,0,0,0,0,0,0,0,0
127,,,,,,0,0,0,0,0,0,0,0,0,0,0
128,,,,,,0,0,0,0,0,0,0,0,0,0,0
129,,,,,,0,0,0,0,0,0,0,0,0,0,0
130,,,,,,0,0,0,0,0,0,0,0,0,0,0
131,,,,,,0,0,0,0,0,0,0,0,0,0,0
132,,,,,,0,0,0,0,0,0,0,0,0,0,0
133,,,,,,0,0,0,0,0,0,0,0,0,0,0
