#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
103,朱炎,,,,,,60278
104,朱炎,,,,,,60278
105,晴朗,,,,,,60202
106,晴朗,,,,,,60202
107,晴朗,,,,,,60202
108,晴朗,,,,,,60202
109,烈焰,,,,,,60279
110,海嘯,,,,,,60280
111,龍捲風,,,,,,60281
112,地震,,,,,,60282
113,青空,,,,,,60283
114,青空,,,,,,60283
115,青空,,,,,,60283
116,亂靈流,,,,,,60284
117,青空,,,,,,60283
118,無盡光,,,,,,60221
119,暴風,,,,,,60253
120,末日,,,,,,60287
121,末日,,,,,,60287
122,妖夢,,,,,,60285
123,妖夢,,,,,,60285
124,妖夢,,,,,,60285
125,光天,,,,,,60286
126,光天,,,,,,60286
127,末日,,,,,,60287
128,末日,,,,,,60287
129,無盡光,,,,,,60221
130,煙霧,,,,,,60254
131,末日,,,,,,60287
132,晴朗,,,,,,60202
133,靈烈火,,,,,,60288
134,靈飄塵,,,,,,60289
135,靈飛電,,,,,,60290
136,靈罡風,,,,,,60291
137,流星雨,,,,,,60296
138,記憶亂流,,,,,,60294
139,陰雲,,,,,,60203
140,陰雲,,,,,,60203
141,極光,,,,,,60260
142,極光,,,,,,60260
143,雷雲,,,,,,60259
144,火風暴,,,,,,60295
145,幻海流,,,,,,60292
146,,,,,,,0
147,決戰,,,,,,60297
148,月塵,,,,,,60222
149,磁暴,,,,,,60223
150,末日,,,,,,60224
151,星靈,,,,,,60298
152,星靈,,,,,,60298
153,星靈,,,,,,60298
154,星靈,,,,,,60298
155,星靈,,,,,,60298
156,虛擬,,,,,,60225
157,萬魔殿,,,,,,60228
158,萬魔殿,,,,,,60228
159,萬魔殿,,,,,,60228
160,終極,,,,,,60299
161,絕望,,,,,,60229
162,神域,,,,,,60230
163,神域,,,,,,60230
164,神域,,,,,,60230
165,神域,,,,,,60230
166,神域,,,,,,60230
167,神域,,,,,,60230
168,神域,,,,,,60230
169,神域,,,,,,60230
170,邪天,,,,,,60266
171,虛無,,,,,,60231
172,虛無,,,,,,60231
173,虛無,,,,,,60231
174,次元,,,,,,60274
175,次元,,,,,,60274
176,次元,,,,,,60274
177,萬魔殿,,,,,,60228
178,萬魔殿,,,,,,60228
179,詩想,,,,,,60232
180,虛無,,,,,,60231
181,閾限,,,,,,60233
182,閾限,,,,,,60233
183,虛擬,,,,,,60234
184,虛擬,,,,,,60234
185,虛擬,,,,,,60234
186,虛擬,,,,,,60234
187,記憶,,,,,,60235
188,戰雲,,,,,,60236
189,,,,,,,0
190,,,,,,,0
191,,,,,,,0
192,,,,,,,0
193,,,,,,,0
194,,,,,,,0
195,,,,,,,0
196,,,,,,,0
197,,,,,,,0
