#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
72,九號解決方案1,111,463,0,464,465,0,1038,52,0
73,九號解決方案2,112,466,0,467,468,0,1039,53,0
74,伊修加爾德1,114,497,0,498,499,0,1020,55,0
75,伊修加爾德2,115,500,0,501,502,0,1021,56,0
76,田園郡1,116,503,0,504,505,0,1022,57,0
77,田園郡2,117,506,0,507,508,0,1023,58,0
78,黃金港1,118,509,0,510,511,0,1024,59,0
79,黃金港2,119,512,0,513,514,0,1025,60,0
80,神拳痕1,120,515,0,516,517,0,1026,61,0
81,神拳痕2,121,518,0,519,520,0,1027,62,0
82,水晶都1,122,521,0,522,523,0,1028,63,0
83,水晶都2,123,524,0,525,526,0,1029,64,0
84,遊末邦1,124,527,0,528,529,0,1030,65,0
85,遊末邦2,125,530,0,531,532,0,1031,66,0
86,舊薩雷安1,126,533,0,534,535,0,1032,67,0
87,舊薩雷安2,127,536,0,537,538,0,1033,68,0
88,拉札漢1,128,539,0,540,541,0,1034,69,0
89,拉札漢2,129,542,0,543,544,0,1035,70,0
90,友好部族任務：佩魯佩魯族,113,0,0,0,0,496,2317,54,54
91,絕 光暗未來殲滅戰,130,575,0,576,577,578,2505,71,0
92,,0,0,0,0,0,0,0,0,0
93,深層迷宮：死者宮殿1,132,0,0,580,0,0,2354,0,0
94,深層迷宮：死者宮殿2,133,0,0,581,0,0,2355,0,0
95,深層迷宮：天之御柱1,134,0,0,582,0,0,2356,0,0
96,深層迷宮：天之御柱2,135,0,0,583,0,0,2357,0,0
97,,0,0,0,0,0,0,0,0,0
98,宇宙探索 1,137,587,0,0,588,589,2343,74,0
99,,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0
