#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
19,紅框金邊墨鏡,,紅色的臉部配飾。,紅框金邊墨鏡,0,0,0,1,0,0,464254,200093,0,1
20,藍框金邊墨鏡,,藍色的臉部配飾。,藍框金邊墨鏡,0,0,0,1,0,0,529790,200092,0,1
21,綠框金邊墨鏡,,綠色的臉部配飾。,綠框金邊墨鏡,0,0,0,1,0,0,595326,200096,0,1
22,銅框金邊墨鏡,,銅色的臉部配飾。,銅框金邊墨鏡,0,0,0,1,0,0,660862,200087,0,1
23,紫框金邊墨鏡,,紫色的臉部配飾。,紫框金邊墨鏡,0,0,0,1,0,0,726398,200091,0,1
24,棕框金邊墨鏡,,棕色的臉部配飾。,棕框金邊墨鏡,0,0,0,1,0,0,791934,200094,0,1
25,經典眼鏡,,基礎色的臉部配飾。,經典眼鏡,0,0,0,1,0,0,71039,200061,0,2
26,銀框經典眼鏡,,銀色的臉部配飾。,銀框經典眼鏡,0,0,0,1,0,0,136575,200065,0,2
27,金框經典眼鏡,,金色的臉部配飾。,金框經典眼鏡,0,0,0,1,0,0,202111,200064,0,2
28,黑框經典眼鏡,,黑色的臉部配飾。,黑框經典眼鏡,0,0,0,1,0,0,267647,200066,0,2
29,白框經典眼鏡,,白色的臉部配飾。,白框經典眼鏡,0,0,0,1,0,0,333183,200071,0,2
30,灰框經典眼鏡,,灰色的臉部配飾。,灰框經典眼鏡,0,0,0,1,0,0,398719,200062,0,2
31,紅框經典眼鏡,,紅色的臉部配飾。,紅框經典眼鏡,0,0,0,1,0,0,464255,200069,0,2
32,藍框經典眼鏡,,藍色的臉部配飾。,藍框經典眼鏡,0,0,0,1,0,0,529791,200068,0,2
33,綠框經典眼鏡,,綠色的臉部配飾。,綠框經典眼鏡,0,0,0,1,0,0,595327,200072,0,2
34,銅框經典眼鏡,,銅色的臉部配飾。,銅框經典眼鏡,0,0,0,1,0,0,660863,200063,0,2
35,紫框經典眼鏡,,紫色的臉部配飾。,紫框經典眼鏡,0,0,0,1,0,0,726399,200067,0,2
36,棕框經典眼鏡,,棕色的臉部配飾。,棕框經典眼鏡,0,0,0,1,0,0,791935,200070,0,2
37,玫瑰色眼鏡,,基礎色的臉部配飾。,玫瑰色眼鏡,0,0,0,1,0,0,71040,200013,0,3
38,銀框玫瑰色眼鏡,,銀色的臉部配飾。,銀框玫瑰色眼鏡,0,0,0,1,0,0,136576,200017,0,3
39,金框玫瑰色眼鏡,,金色的臉部配飾。,金框玫瑰色眼鏡,0,0,0,1,0,0,202112,200016,0,3
40,黑框玫瑰色眼鏡,,黑色的臉部配飾。,黑框玫瑰色眼鏡,0,0,0,1,0,0,267648,200018,0,3
41,白框玫瑰色眼鏡,,白色的臉部配飾。,白框玫瑰色眼鏡,0,0,0,1,0,0,333184,200023,0,3
42,灰框玫瑰色眼鏡,,灰色的臉部配飾。,灰框玫瑰色眼鏡,0,0,0,1,0,0,398720,200014,0,3
43,紅框玫瑰色眼鏡,,紅色的臉部配飾。,紅框玫瑰色眼鏡,0,0,0,1,0,0,464256,200021,0,3
44,藍框玫瑰色眼鏡,,藍色的臉部配飾。,藍框玫瑰色眼鏡,0,0,0,1,0,0,529792,200020,0,3
45,綠框玫瑰色眼鏡,,綠色的臉部配飾。,綠框玫瑰色眼鏡,0,0,0,1,0,0,595328,200024,0,3
46,銅框玫瑰色眼鏡,,銅色的臉部配飾。,銅框玫瑰色眼鏡,0,0,0,1,0,0,660864,200015,0,3
47,紫框玫瑰色眼鏡,,紫色的臉部配飾。,紫框玫瑰色眼鏡,0,0,0,1,0,0,726400,200019,0,3
48,棕框玫瑰色眼鏡,,棕色的臉部配飾。,棕框玫瑰色眼鏡,0,0,0,1,0,0,791936,200022,0,3
49,基礎款眼鏡,,基礎色的臉部配飾。,基礎款眼鏡,0,0,0,1,0,0,71041,200001,0,4
50,銀框基礎款眼鏡,,銀色的臉部配飾。,銀框基礎款眼鏡,0,0,0,1,0,0,136577,200005,0,4
51,金框基礎款眼鏡,,金色的臉部配飾。,金框基礎款眼鏡,0,0,0,1,0,0,202113,200004,0,4
52,黑框基礎款眼鏡,,黑色的臉部配飾。,黑框基礎款眼鏡,0,0,0,1,0,0,267649,200006,0,4
53,白框基礎款眼鏡,,白色的臉部配飾。,白框基礎款眼鏡,0,0,0,1,0,0,333185,200011,0,4
54,灰框基礎款眼鏡,,灰色的臉部配飾。,灰框基礎款眼鏡,0,0,0,1,0,0,398721,200002,0,4
55,紅框基礎款眼鏡,,紅色的臉部配飾。,紅框基礎款眼鏡,0,0,0,1,0,0,464257,200009,0,4
56,藍框基礎款眼鏡,,藍色的臉部配飾。,藍框基礎款眼鏡,0,0,0,1,0,0,529793,200008,0,4
57,綠框基礎款眼鏡,,綠色的臉部配飾。,綠框基礎款眼鏡,0,0,0,1,0,0,595329,200012,0,4
58,銅框基礎款眼鏡,,銅色的臉部配飾。,銅框基礎款眼鏡,0,0,0,1,0,0,660865,200003,0,4
59,紫框基礎款眼鏡,,紫色的臉部配飾。,紫框基礎款眼鏡,0,0,0,1,0,0,726401,200007,0,4
60,棕框基礎款眼鏡,,棕色的臉部配飾。,棕框基礎款眼鏡,0,0,0,1,0,0,791937,200010,0,4
61,單片眼鏡,,基礎色的臉部配飾。,單片眼鏡,0,0,0,1,0,0,71042,200025,0,5
62,銀框單片眼鏡,,銀色的臉部配飾。,銀框單片眼鏡,0,0,0,1,0,0,136578,200029,0,5
63,金框單片眼鏡,,金色的臉部配飾。,金框單片眼鏡,0,0,0,1,0,0,202114,200028,0,5
64,黑框單片眼鏡,,黑色的臉部配飾。,黑框單片眼鏡,0,0,0,1,0,0,267650,200030,0,5
65,白框單片眼鏡,,白色的臉部配飾。,白框單片眼鏡,0,0,0,1,0,0,333186,200035,0,5
66,灰框單片眼鏡,,灰色的臉部配飾。,灰框單片眼鏡,0,0,0,1,0,0,398722,200026,0,5
67,紅框單片眼鏡,,紅色的臉部配飾。,紅框單片眼鏡,0,0,0,1,0,0,464258,200033,0,5
68,藍框單片眼鏡,,藍色的臉部配飾。,藍框單片眼鏡,0,0,0,1,0,0,529794,200032,0,5
69,綠框單片眼鏡,,綠色的臉部配飾。,綠框單片眼鏡,0,0,0,1,0,0,595330,200036,0,5
70,銅框單片眼鏡,,銅色的臉部配飾。,銅框單片眼鏡,0,0,0,1,0,0,660866,200027,0,5
71,紫框單片眼鏡,,紫色的臉部配飾。,紫框單片眼鏡,0,0,0,1,0,0,726402,200031,0,5
72,棕框單片眼鏡,,棕色的臉部配飾。,棕框單片眼鏡,0,0,0,1,0,0,791938,200034,0,5
73,現代框眼鏡,,基礎色的臉部配飾。,現代框眼鏡,0,0,0,1,0,0,71043,200037,0,6
74,銀框現代框眼鏡,,銀色的臉部配飾。,銀框現代框眼鏡,0,0,0,1,0,0,136579,200041,0,6
75,金框現代框眼鏡,,金色的臉部配飾。,金框現代框眼鏡,0,0,0,1,0,0,202115,200040,0,6
76,黑框現代框眼鏡,,黑色的臉部配飾。,黑框現代框眼鏡,0,0,0,1,0,0,267651,200042,0,6
77,白框現代框眼鏡,,白色的臉部配飾。,白框現代框眼鏡,0,0,0,1,0,0,333187,200047,0,6
78,灰框現代框眼鏡,,灰色的臉部配飾。,灰框現代框眼鏡,0,0,0,1,0,0,398723,200038,0,6
79,紅框現代框眼鏡,,紅色的臉部配飾。,紅框現代框眼鏡,0,0,0,1,0,0,464259,200045,0,6
80,藍框現代框眼鏡,,藍色的臉部配飾。,藍框現代框眼鏡,0,0,0,1,0,0,529795,200044,0,6
81,綠框現代框眼鏡,,綠色的臉部配飾。,綠框現代框眼鏡,0,0,0,1,0,0,595331,200048,0,6
82,銅框現代框眼鏡,,銅色的臉部配飾。,銅框現代框眼鏡,0,0,0,1,0,0,660867,200039,0,6
83,紫框現代框眼鏡,,紫色的臉部配飾。,紫框現代框眼鏡,0,0,0,1,0,0,726403,200043,0,6
84,棕框現代框眼鏡,,棕色的臉部配飾。,棕框現代框眼鏡,0,0,0,1,0,0,791939,200046,0,6
85,無框眼鏡,,基礎色的臉部配飾。,無框眼鏡,0,0,0,1,0,0,71044,200097,0,7
86,銀色無框眼鏡,,銀色的臉部配飾。,銀色無框眼鏡,0,0,0,1,0,0,136580,200101,0,7
87,金色無框眼鏡,,金色的臉部配飾。,金色無框眼鏡,0,0,0,1,0,0,202116,200100,0,7
88,黑色無框眼鏡,,黑色的臉部配飾。,黑色無框眼鏡,0,0,0,1,0,0,267652,200102,0,7
89,白色無框眼鏡,,白色的臉部配飾。,白色無框眼鏡,0,0,0,1,0,0,333188,200107,0,7
90,灰色無框眼鏡,,灰色的臉部配飾。,灰色無框眼鏡,0,0,0,1,0,0,398724,200098,0,7
91,紅色無框眼鏡,,紅色的臉部配飾。,紅色無框眼鏡,0,0,0,1,0,0,464260,200105,0,7
92,藍色無框眼鏡,,藍色的臉部配飾。,藍色無框眼鏡,0,0,0,1,0,0,529796,200104,0,7
93,綠色無框眼鏡,,綠色的臉部配飾。,綠色無框眼鏡,0,0,0,1,0,0,595332,200108,0,7
94,銅色無框眼鏡,,銅色的臉部配飾。,銅色無框眼鏡,0,0,0,1,0,0,660868,200099,0,7
95,紫色無框眼鏡,,紫色的臉部配飾。,紫色無框眼鏡,0,0,0,1,0,0,726404,200103,0,7
96,棕色無框眼鏡,,棕色的臉部配飾。,棕色無框眼鏡,0,0,0,1,0,0,791940,200106,0,7
97,粗框眼鏡,,基礎色的臉部配飾。,粗框眼鏡,0,0,0,1,0,0,71045,200109,0,8
98,銀色粗框眼鏡,,銀色的臉部配飾。,銀色粗框眼鏡,0,0,0,1,0,0,136581,200113,0,8
99,金色粗框眼鏡,,金色的臉部配飾。,金色粗框眼鏡,0,0,0,1,0,0,202117,200112,0,8
100,黑色粗框眼鏡,,黑色的臉部配飾。,黑色粗框眼鏡,0,0,0,1,0,0,267653,200114,0,8
101,白色粗框眼鏡,,白色的臉部配飾。,白色粗框眼鏡,0,0,0,1,0,0,333189,200119,0,8
102,灰色粗框眼鏡,,灰色的臉部配飾。,灰色粗框眼鏡,0,0,0,1,0,0,398725,200110,0,8
103,紅色粗框眼鏡,,紅色的臉部配飾。,紅色粗框眼鏡,0,0,0,1,0,0,464261,200117,0,8
104,藍色粗框眼鏡,,藍色的臉部配飾。,藍色粗框眼鏡,0,0,0,1,0,0,529797,200116,0,8
105,綠色粗框眼鏡,,綠色的臉部配飾。,綠色粗框眼鏡,0,0,0,1,0,0,595333,200120,0,8
106,銅色粗框眼鏡,,銅色的臉部配飾。,銅色粗框眼鏡,0,0,0,1,0,0,660869,200111,0,8
107,紫色粗框眼鏡,,紫色的臉部配飾。,紫色粗框眼鏡,0,0,0,1,0,0,726405,200115,0,8
108,棕色粗框眼鏡,,棕色的臉部配飾。,棕色粗框眼鏡,0,0,0,1,0,0,791941,200118,0,8
109,藝術眼鏡,,基礎色的臉部配飾。,藝術眼鏡,0,0,0,1,0,0,71046,200073,0,9
110,銀框藝術眼鏡,,銀色的臉部配飾。,銀框藝術眼鏡,0,0,0,1,0,0,136582,200077,0,9
111,金框藝術眼鏡,,金色的臉部配飾。,金框藝術眼鏡,0,0,0,1,0,0,202118,200076,0,9
112,黑框藝術眼鏡,,黑色的臉部配飾。,黑框藝術眼鏡,0,0,0,1,0,0,267654,200078,0,9
113,白框藝術眼鏡,,白色的臉部配飾。,白框藝術眼鏡,0,0,0,1,0,0,333190,200083,0,9
114,灰框藝術眼鏡,,灰色的臉部配飾。,灰框藝術眼鏡,0,0,0,1,0,0,398726,200074,0,9
115,紅框藝術眼鏡,,紅色的臉部配飾。,紅框藝術眼鏡,0,0,0,1,0,0,464262,200081,0,9
116,藍框藝術眼鏡,,藍色的臉部配飾。,藍框藝術眼鏡,0,0,0,1,0,0,529798,200080,0,9
117,綠框藝術眼鏡,,綠色的臉部配飾。,綠框藝術眼鏡,0,0,0,1,0,0,595334,200084,0,9
118,銅框藝術眼鏡,,銅色的臉部配飾。,銅框藝術眼鏡,0,0,0,1,0,0,660870,200075,0,9
119,紫框藝術眼鏡,,紫色的臉部配飾。,紫框藝術眼鏡,0,0,0,1,0,0,726406,200079,0,9
120,棕框藝術眼鏡,,棕色的臉部配飾。,棕框藝術眼鏡,0,0,0,1,0,0,791942,200082,0,9
121,,,,,0,0,0,0,0,0,0,0,0,0
122,,,,,0,0,0,0,0,0,0,0,0,0
123,,,,,0,0,0,0,0,0,0,0,0,0
124,,,,,0,0,0,0,0,0,0,0,0,0
125,,,,,0,0,0,0,0,0,0,0,0,0
126,,,,,0,0,0,0,0,0,0,0,0,0
127,,,,,0,0,0,0,0,0,0,0,0,0
128,,,,,0,0,0,0,0,0,0,0,0,0
129,,,,,0,0,0,0,0,0,0,0,0,0
130,,,,,0,0,0,0,0,0,0,0,0,0
131,,,,,0,0,0,0,0,0,0,0,0,0
132,,,,,0,0,0,0,0,0,0,0,0,0
133,,,,,0,0,0,0,0,0,0,0,0,0
134,,,,,0,0,0,0,0,0,0,0,0,0
135,,,,,0,0,0,0,0,0,0,0,0,0
136,,,,,0,0,0,0,0,0,0,0,0,0
137,,,,,0,0,0,0,0,0,0,0,0,0
138,,,,,0,0,0,0,0,0,0,0,0,0
139,,,,,0,0,0,0,0,0,0,0,0,0
140,,,,,0,0,0,0,0,0,0,0,0,0
141,,,,,0,0,0,0,0,0,0,0,0,0
142,,,,,0,0,0,0,0,0,0,0,0,0
143,,,,,0,0,0,0,0,0,0,0,0,0
144,,,,,0,0,0,0,0,0,0,0,0,0
145,,,,,0,0,0,0,0,0,0,0,0,0
146,,,,,0,0,0,0,0,0,0,0,0,0
147,,,,,0,0,0,0,0,0,0,0,0,0
148,,,,,0,0,0,0,0,0,0,0,0,0
149,,,,,0,0,0,0,0,0,0,0,0,0
150,,,,,0,0,0,0,0,0,0,0,0,0
151,,,,,0,0,0,0,0,0,0,0,0,0
152,,,,,0,0,0,0,0,0,0,0,0,0
153,,,,,0,0,0,0,0,0,0,0,0,0
154,,,,,0,0,0,0,0,0,0,0,0,0
155,,,,,0,0,0,0,0,0,0,0,0,0
156,,,,,0,0,0,0,0,0,0,0,0,0
157,,,,,0,0,0,0,0,0,0,0,0,0
158,,,,,0,0,0,0,0,0,0,0,0,0
159,,,,,0,0,0,0,0,0,0,0,0,0
160,,,,,0,0,0,0,0,0,0,0,0,0
161,,,,,0,0,0,0,0,0,0,0,0,0
162,,,,,0,0,0,0,0,0,0,0,0,0
163,,,,,0,0,0,0,0,0,0,0,0,0
164,,,,,0,0,0,0,0,0,0,0,0,0
165,,,,,0,0,0,0,0,0,0,0,0,0
166,,,,,0,0,0,0,0,0,0,0,0,0
167,,,,,0,0,0,0,0,0,0,0,0,0
168,,,,,0,0,0,0,0,0,0,0,0,0
169,,,,,0,0,0,0,0,0,0,0,0,0
170,,,,,0,0,0,0,0,0,0,0,0,0
171,,,,,0,0,0,0,0,0,0,0,0,0
172,,,,,0,0,0,0,0,0,0,0,0,0
173,,,,,0,0,0,0,0,0,0,0,0,0
174,,,,,0,0,0,0,0,0,0,0,0,0
175,,,,,0,0,0,0,0,0,0,0,0,0
176,,,,,0,0,0,0,0,0,0,0,0,0
177,,,,,0,0,0,0,0,0,0,0,0,0
178,,,,,0,0,0,0,0,0,0,0,0,0
179,,,,,0,0,0,0,0,0,0,0,0,0
180,,,,,0,0,0,0,0,0,0,0,0,0
181,,,,,0,0,0,0,0,0,0,0,0,0
182,,,,,0,0,0,0,0,0,0,0,0,0
183,,,,,0,0,0,0,0,0,0,0,0,0
184,,,,,0,0,0,0,0,0,0,0,0,0
185,,,,,0,0,0,0,0,0,0,0,0,0
186,,,,,0,0,0,0,0,0,0,0,0,0
187,,,,,0,0,0,0,0,0,0,0,0,0
188,,,,,0,0,0,0,0,0,0,0,0,0
189,,,,,0,0,0,0,0,0,0,0,0,0
190,,,,,0,0,0,0,0,0,0,0,0,0
191,,,,,0,0,0,0,0,0,0,0,0,0
192,,,,,0,0,0,0,0,0,0,0,0,0
193,,,,,0,0,0,0,0,0,0,0,0,0
194,,,,,0,0,0,0,0,0,0,0,0,0
195,,,,,0,0,0,0,0,0,0,0,0,0
196,,,,,0,0,0,0,0,0,0,0,0,0
197,,,,,0,0,0,0,0,0,0,0,0,0
198,,,,,0,0,0,0,0,0,0,0,0,0
199,,,,,0,0,0,0,0,0,0,0,0,0
200,,,,,0,0,0,0,0,0,0,0,0,0
201,,,,,0,0,0,0,0,0,0,0,0,0
202,,,,,0,0,0,0,0,0,0,0,0,0
203,,,,,0,0,0,0,0,0,0,0,0,0
204,,,,,0,0,0,0,0,0,0,0,0,0
205,,,,,0,0,0,0,0,0,0,0,0,0
206,,,,,0,0,0,0,0,0,0,0,0,0
207,,,,,0,0,0,0,0,0,0,0,0,0
208,,,,,0,0,0,0,0,0,0,0,0,0
209,,,,,0,0,0,0,0,0,0,0,0,0
210,,,,,0,0,0,0,0,0,0,0,0,0
211,,,,,0,0,0,0,0,0,0,0,0,0
212,,,,,0,0,0,0,0,0,0,0,0,0
213,,,,,0,0,0,0,0,0,0,0,0,0
214,,,,,0,0,0,0,0,0,0,0,0,0
215,,,,,0,0,0,0,0,0,0,0,0,0
216,,,,,0,0,0,0,0,0,0,0,0,0
217,,,,,0,0,0,0,0,0,0,0,0,0
218,,,,,0,0,0,0,0,0,0,0,0,0
219,,,,,0,0,0,0,0,0,0,0,0,0
220,,,,,0,0,0,0,0,0,0,0,0,0
221,,,,,0,0,0,0,0,0,0,0,0,0
222,,,,,0,0,0,0,0,0,0,0,0,0
223,,,,,0,0,0,0,0,0,0,0,0,0
224,,,,,0,0,0,0,0,0,0,0,0,0
225,,,,,0,0,0,0,0,0,0,0,0,0
226,,,,,0,0,0,0,0,0,0,0,0,0
227,,,,,0,0,0,0,0,0,0,0,0,0
228,,,,,0,0,0,0,0,0,0,0,0,0
229,,,,,0,0,0,0,0,0,0,0,0,0
230,,,,,0,0,0,0,0,0,0,0,0,0
231,,,,,0,0,0,0,0,0,0,0,0,0
232,,,,,0,0,0,0,0,0,0,0,0,0
233,,,,,0,0,0,0,0,0,0,0,0,0
234,,,,,0,0,0,0,0,0,0,0,0,0
235,,,,,0,0,0,0,0,0,0,0,0,0
236,,,,,0,0,0,0,0,0,0,0,0,0
237,,,,,0,0,0,0,0,0,0,0,0,0
238,,,,,0,0,0,0,0,0,0,0,0,0
239,,,,,0,0,0,0,0,0,0,0,0,0
240,,,,,0,0,0,0,0,0,0,0,0,0
241,,,,,0,0,0,0,0,0,0,0,0,0
242,,,,,0,0,0,0,0,0,0,0,0,0
243,,,,,0,0,0,0,0,0,0,0,0,0
244,,,,,0,0,0,0,0,0,0,0,0,0
245,,,,,0,0,0,0,0,0,0,0,0,0
246,,,,,0,0,0,0,0,0,0,0,0,0
247,,,,,0,0,0,0,0,0,0,0,0,0
248,,,,,0,0,0,0,0,0,0,0,0,0
249,,,,,0,0,0,0,0,0,0,0,0,0
250,,,,,0,0,0,0,0,0,0,0,0,0
251,,,,,0,0,0,0,0,0,0,0,0,0
252,,,,,0,0,0,0,0,0,0,0,0,0
253,,,,,0,0,0,0,0,0,0,0,0,0
254,,,,,0,0,0,0,0,0,0,0,0,0
255,,,,,0,0,0,0,0,0,0,0,0,0
256,,,,,0,0,0,0,0,0,0,0,0,0
257,,,,,0,0,0,0,0,0,0,0,0,0
258,,,,,0,0,0,0,0,0,0,0,0,0
259,,,,,0,0,0,0,0,0,0,0,0,0
260,,,,,0,0,0,0,0,0,0,0,0,0
261,,,,,0,0,0,0,0,0,0,0,0,0
262,,,,,0,0,0,0,0,0,0,0,0,0
263,,,,,0,0,0,0,0,0,0,0,0,0
264,,,,,0,0,0,0,0,0,0,0,0,0
265,,,,,0,0,0,0,0,0,0,0,0,0
266,,,,,0,0,0,0,0,0,0,0,0,0
267,,,,,0,0,0,0,0,0,0,0,0,0
268,,,,,0,0,0,0,0,0,0,0,0,0
269,,,,,0,0,0,0,0,0,0,0,0,0
270,,,,,0,0,0,0,0,0,0,0,0,0
271,,,,,0,0,0,0,0,0,0,0,0,0
272,,,,,0,0,0,0,0,0,0,0,0,0
273,,,,,0,0,0,0,0,0,0,0,0,0
274,,,,,0,0,0,0,0,0,0,0,0,0
275,,,,,0,0,0,0,0,0,0,0,0,0
276,,,,,0,0,0,0,0,0,0,0,0,0
277,,,,,0,0,0,0,0,0,0,0,0,0
278,,,,,0,0,0,0,0,0,0,0,0,0
279,,,,,0,0,0,0,0,0,0,0,0,0
280,,,,,0,0,0,0,0,0,0,0,0,0
281,,,,,0,0,0,0,0,0,0,0,0,0
282,,,,,0,0,0,0,0,0,0,0,0,0
283,,,,,0,0,0,0,0,0,0,0,0,0
284,,,,,0,0,0,0,0,0,0,0,0,0
285,,,,,0,0,0,0,0,0,0,0,0,0
286,,,,,0,0,0,0,0,0,0,0,0,0
287,,,,,0,0,0,0,0,0,0,0,0,0
288,,,,,0,0,0,0,0,0,0,0,0,0
289,,,,,0,0,0,0,0,0,0,0,0,0
290,,,,,0,0,0,0,0,0,0,0,0,0
291,,,,,0,0,0,0,0,0,0,0,0,0
292,,,,,0,0,0,0,0,0,0,0,0,0
293,,,,,0,0,0,0,0,0,0,0,0,0
294,,,,,0,0,0,0,0,0,0,0,0,0
295,,,,,0,0,0,0,0,0,0,0,0,0
296,,,,,0,0,0,0,0,0,0,0,0,0
297,,,,,0,0,0,0,0,0,0,0,0,0
298,,,,,0,0,0,0,0,0,0,0,0,0
299,,,,,0,0,0,0,0,0,0,0,0,0
300,,,,,0,0,0,0,0,0,0,0,0,0
301,,,,,0,0,0,0,0,0,0,0,0,0
302,,,,,0,0,0,0,0,0,0,0,0,0
303,,,,,0,0,0,0,0,0,0,0,0,0
304,,,,,0,0,0,0,0,0,0,0,0,0
305,,,,,0,0,0,0,0,0,0,0,0,0
306,,,,,0,0,0,0,0,0,0,0,0,0
307,,,,,0,0,0,0,0,0,0,0,0,0
308,,,,,0,0,0,0,0,0,0,0,0,0
309,,,,,0,0,0,0,0,0,0,0,0,0
310,,,,,0,0,0,0,0,0,0,0,0,0
311,,,,,0,0,0,0,0,0,0,0,0,0
312,,,,,0,0,0,0,0,0,0,0,0,0
313,,,,,0,0,0,0,0,0,0,0,0,0
314,,,,,0,0,0,0,0,0,0,0,0,0
315,,,,,0,0,0,0,0,0,0,0,0,0
316,,,,,0,0,0,0,0,0,0,0,0,0
317,,,,,0,0,0,0,0,0,0,0,0,0
318,,,,,0,0,0,0,0,0,0,0,0,0
319,,,,,0,0,0,0,0,0,0,0,0,0
320,,,,,0,0,0,0,0,0,0,0,0,0
321,,,,,0,0,0,0,0,0,0,0,0,0
322,,,,,0,0,0,0,0,0,0,0,0,0
323,,,,,0,0,0,0,0,0,0,0,0,0
324,,,,,0,0,0,0,0,0,0,0,0,0
325,,,,,0,0,0,0,0,0,0,0,0,0
326,,,,,0,0,0,0,0,0,0,0,0,0
327,,,,,0,0,0,0,0,0,0,0,0,0
328,,,,,0,0,0,0,0,0,0,0,0,0
329,,,,,0,0,0,0,0,0,0,0,0,0
330,,,,,0,0,0,0,0,0,0,0,0,0
331,,,,,0,0,0,0,0,0,0,0,0,0
332,,,,,0,0,0,0,0,0,0,0,0,0
333,,,,,0,0,0,0,0,0,0,0,0,0
334,,,,,0,0,0,0,0,0,0,0,0,0
335,,,,,0,0,0,0,0,0,0,0,0,0
336,,,,,0,0,0,0,0,0,0,0,0,0
