#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,Unknown2,Unknown3,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,Unknown4,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
12,雷之水晶,,雷媒介的結晶。,雷之水晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20011,25,20050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
13,水之水晶,,水媒介的結晶。,水之水晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20008,25,20060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
14,火之晶簇,,火媒介的樹狀結晶。,火之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20013,50,30010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
15,冰之晶簇,,冰媒介的樹狀結晶。,冰之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20015,50,30020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
16,風之晶簇,,風媒介的樹狀結晶。,風之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20016,50,30030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
17,土之晶簇,,土媒介的樹狀結晶。,土之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20018,50,30040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
18,雷之晶簇,,雷媒介的樹狀結晶。,雷之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20017,50,30050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
19,水之晶簇,,水媒介的樹狀結晶。,水之晶簇,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20014,50,30060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
20,黑渦團軍票,,利姆薩·羅敏薩所屬大國防聯軍「黑渦團」所發行的軍票，能夠交換軍裝及軍需品。,黑渦團軍票,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65004,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
21,雙蛇黨軍票,,格里達尼亞所屬大國防聯軍「雙蛇黨」所發行的軍票，能夠交換軍裝及軍需品。,雙蛇黨軍票,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65005,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
22,不滅隊軍票,,烏爾達哈所屬大國防聯軍「不滅隊」所發行的軍票，能夠交換軍裝及軍需品。,不滅隊軍票,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65006,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
23,亞拉戈哲學神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於哲學的內容。,亞拉戈哲學神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65012,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
24,亞拉戈神話神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於神話的內容。,亞拉戈神話神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65013,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
25,狼印戰績,,"大國防聯軍之間通用的戰績票。
可以在狼獄水上鬥技場換取兵裝和軍用品。",狼印戰績,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,20000,1,0,0,0,65014,55,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
26,亞拉戈戰記神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於戰記的內容。,亞拉戈戰記神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65022,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
27,同盟徽章,,艾奧傑亞城邦軍事同盟所發行的紀念徽章，是狩獵任務成功的證明。,同盟徽章,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,4000,1,0,0,0,65024,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
28,亞拉戈詩學神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於詩學的內容。,亞拉戈詩學神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65023,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
29,金碟幣,,金碟遊樂園中專用的代幣。上面刻有戈德伯特·曼德維爾的側面像。,金碟幣,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999999,1,0,0,0,65025,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
30,亞拉戈法典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於法典的內容。,亞拉戈法典神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65032,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
31,亞拉戈禁書神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於禁書的內容。,亞拉戈禁書神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65033,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
32,亞拉戈傳承神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於傳承的內容。,亞拉戈傳承神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65038,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
33,亞拉戈聖典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於聖典的內容。,亞拉戈聖典神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65041,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
34,亞拉戈真理神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於真理的內容。,亞拉戈真理神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65045,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
35,亞拉戈萬物神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於萬物的內容。,亞拉戈萬物神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65046,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
36,亞拉戈虛構神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了各種虛構的內容。,亞拉戈虛構神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65062,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
37,亞拉戈創世神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於創世的內容。,亞拉戈創世神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65065,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
38,亞拉戈魔典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於魔典的內容。,亞拉戈魔典神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65066,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
39,亞拉戈幻想神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於幻想的內容。,亞拉戈幻想神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65067,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
40,亞拉戈奇譚神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於奇譚的內容。,亞拉戈奇譚神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65075,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
41,亞拉戈默示神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於默示的內容。,亞拉戈默示神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65083,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
42,亞拉戈經典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於經典的內容。,亞拉戈經典神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65085,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
43,亞拉戈天文神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於天文的內容。,亞拉戈天文神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65086,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
44,亞拉戈因果神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於因果的內容。,亞拉戈因果神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65094,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
45,亞拉戈神曲神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於神曲的內容。,亞拉戈神曲神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65103,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
46,亞拉戈美學神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於美學的內容。,亞拉戈美學神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65107,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
47,亞拉戈天道神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於天道的內容。,亞拉戈天道神典石,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65108,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
49,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
50,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
52,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
53,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
54,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
55,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
