#,Text,LogKind,Unknown0,Unknown1,Unknown_70,Unknown2
55,無法向黑名單中的玩家發送悄悄話。,60,8,0,0,False
56,無法向黑名單中的玩家申請交易。,60,8,0,0,False
57,無法向黑名單中的玩家發送組隊邀請。,60,8,0,0,False
58,無法向黑名單中的玩家發送通訊貝邀請。,60,8,0,0,False
59,背包中還剩下UNKNOWN格空位。,60,8,0,0,False
60,加入了小隊。,57,33,1,0,False
61,加入了的小隊。,57,33,1,0,False
62,拒絕了入隊邀請。,57,1,0,0,False
63,拒絕了發來的入隊邀請。,57,1,0,0,False
64,將隊長許可權轉讓給了。,57,1,1,0,False
65,接受了轉讓來的隊長許可權。,57,33,1,0,False
66,成為了新的隊長。,57,33,1,0,False
67,被移出了小隊。,57,1,1,0,False
68,離開了的小隊。,57,1,1,0,False
69,離開了小隊。,57,33,1,0,False
70,離開了自己的小隊。,57,33,1,0,False
71,離開了小隊，成為了新的隊長。,57,33,1,0,False
72,解散了小隊。,57,33,1,0,False
73,小隊解散了。,57,33,1,0,False
74,正式加入了通訊貝「」。,57,33,0,0,False
75,正式加入了通訊貝「」。,57,33,1,0,False
76,拒絕了正式加入通訊貝「」。,57,1,0,0,False
77,退出了通訊貝「」。,57,33,1,0,False
78,將加入了好友名單。,57,33,1,0,False
79,拒絕了發來的好友申請。,57,1,0,0,False
80,個人資訊已更新。,57,32,0,0,False
81,搜尋結果已更新。,57,32,0,0,False
82,取消了發給的好友申請。,57,1,0,0,False
83,取消了發來的好友申請。,57,1,1,0,False
84,切換為離線狀態。,57,33,1,0,False
85,回到了隊伍裡。,57,33,1,0,False
86,無法向黑名單中的玩家發送魔晶石鑲嵌委託。,60,8,0,0,False
87,只有能工巧匠職業才能夠接受魔晶石鑲嵌委託。,60,8,0,0,False
88,拓展開了未知的土地！,57,33,1,0,False
89,玩家角色的資料清單獲取失敗。請稍候或選擇其他DC。,60,8,0,0,False
90,拒絕了正式加入通訊貝「」。,57,1,1,0,False
91,撤銷了發給的通訊貝邀請。,57,33,0,0,False
92,通訊貝「」發來的邀請已被撤銷。,57,33,1,0,False
93,正在處理郵件，請稍候片刻。,60,8,0,0,False
94,目前共有UNKNOWN個隊伍正在招募隊員，其中沒有隊伍符合搜尋條件。,72,1,0,0,False
95,撤銷了已發出的所有組隊邀請。,57,1,1,0,False
96,無法使用美容師專用的髮型與面妝，將會恢復為預設值。,60,8,0,0,False
97,一段時間內沒有進行任何操作，已經自動切換為離開狀態。,57,1,0,0,False
98,離開狀態已經解除。,57,1,0,0,False
99,無法加入，招募者是被加入黑名單的人。,60,8,0,0,False
100,對表示驚訝。,29,1,0,0,False
101,對發洩心中不滿。,29,1,0,0,False
102,對十分生氣。,29,1,0,0,False
103,對顯出害羞的一面。,29,1,0,0,False
104,恭敬地對行禮。,29,1,0,0,False
105,大聲給加油。,29,1,0,0,False
106,向送上掌聲。,29,1,0,0,False
107,對招手。,29,1,0,0,False
108,安慰。,29,1,0,0,False
109,對流下了眼淚。,29,1,0,0,False
110,在面前歡快地起舞。,29,1,0,0,False
111,對表示質疑。,29,1,0,0,False
112,在邊上打了個盹。,29,1,0,0,False
113,對表示非常後悔。,29,1,0,0,False
114,向告別。,29,1,0,0,False
115,向揮手。,29,1,0,0,False
116,覺得莫名其妙。,29,1,0,0,False
117,向表達自己的喜悅。,29,1,0,0,False
118,向誠心誠意地下跪。,29,1,0,0,False
119,偷偷笑話。,29,1,0,0,False
120,看著高聲大笑。,29,1,0,0,False
121,在觀望附近的情況。,29,1,0,0,False
122,對展示自己。,29,1,0,0,False
123,向搖頭。,29,1,0,0,False
124,向表示否定。,29,1,0,0,False
125,看到很慌張。,29,1,0,0,False
126,指向。,29,1,0,0,False
127,用手指戳向。,29,1,0,0,False
128,稱讚。,29,1,0,0,False
129,激勵。,29,1,0,0,False
130,鄭重地向敬禮。,29,1,0,0,False
131,看到非常震驚。,29,1,0,0,False
132,對聳肩。,29,1,0,0,False
133,對揮拳表示鼓勵。,29,1,0,0,False
134,安撫。,29,1,0,0,False
135,對犯起迷糊。,29,1,0,0,False
136,對伸展身體。,29,1,0,0,False
137,對有些不高興。,29,1,0,0,False
138,在想關於的問題。,29,1,0,0,False
139,對非常失望。,29,1,0,0,False
140,對表示歡迎。,29,1,0,0,False
141,向點頭。,29,1,0,0,False
142,向表示肯定。,29,1,0,0,False
143,在面前查看自己的樣子。,29,1,0,0,False
144,對著擺出了誘人的姿勢。,29,1,0,0,False
145,對行黑渦團軍禮。,29,1,0,0,False
146,對行雙蛇黨軍禮。,29,1,0,0,False
147,對行不滅隊軍禮。,29,1,0,0,False
148,對送出飛吻。,29,1,0,0,False
149,向投出了雪球。,29,1,0,0,False
150,對下跪認錯。,29,1,0,0,False
151,對表示自己非常高興。,29,1,0,0,False
152,對表示自己非常沮喪。,29,1,0,0,False
153,對做出了戰鬥的準備動作。,29,1,0,0,False
154,對傳達著勝利的喜悅。,29,1,0,0,False
155,給做了一個後空翻。,29,1,0,0,False
156,對行了一個抱拳禮。,29,1,0,0,False
157,看著腦海裡突然靈光一現。,29,1,0,0,False
158,,0,0,0,0,False
159,,0,0,0,0,False
160,,0,0,0,0,False
161,面無表情地看著。,29,1,0,0,False
162,對露出了微笑。,29,1,0,0,False
163,對露出了笑容。,29,1,0,0,False
164,對做出了充滿自信的表情。,29,1,0,0,False
165,對做出了無所畏懼的表情。,29,1,0,0,False
166,在面前閉上了眼睛。,29,1,0,0,False
167,對做出了悲傷的表情。,29,1,0,0,False
168,充滿恐懼地看著。,29,1,0,0,False
169,對做出了意外的表情。,29,1,0,0,False
170,對做出了痛苦的表情。,29,1,0,0,False
171,對做出了反感的表情。,29,1,0,0,False
172,對做出了吃驚的表情。,29,1,0,0,False
173,對做出了擔心的表情。,29,1,0,0,False
174,滿面笑容地看著。,29,1,0,0,False
175,非常氣憤地看著。,29,1,0,0,False
176,心懷歉意地看著。,29,1,0,0,False
177,驚愕無比地看著。,29,1,0,0,False
178,向祈禱。,29,1,0,0,False
179,對行帝國式軍禮。,29,1,0,0,False
180,向投出了什麼東西。,29,1,0,0,False
181,只有拉拉菲爾族可以進入該區域。,60,8,0,0,False
182,在面前跳起了踢踏舞。,29,1,0,0,False
183,在面前跳起了豐饒之舞。,29,1,0,0,False
184,在面前跳起了宮廷之舞。,29,1,0,0,False
185,在面前跳起了紳士之舞。,29,1,0,0,False
186,輕輕地撫摸。,29,1,0,0,False
187,交給了什麼東西。,29,1,0,0,False
188,餵給了一些吃的。,29,1,0,0,False
189,在面前跳起了火盆舞。,29,1,0,0,False
190,在面前做出了勝利的歡呼！,29,1,0,0,False
191,甩了一巴掌。,29,1,0,0,False
192,擁抱了一下。,29,1,0,0,False
193,深情擁抱了。,29,1,0,0,False
194,向做出了最具有紳士風度的動作。,29,1,0,0,False
195,向伸出了拳頭想要對碰一下。,29,1,0,0,False
196,,0,0,0,0,False
197,在面前跳起了薩維奈舞。,29,1,0,0,False
198,在面前跳起了黃金之舞。,29,1,0,0,False
199,在面前跳起了太陽之舞。,29,1,0,0,False
200,有些驚訝。,29,1,0,0,False
201,有些不滿。,29,1,0,0,False
202,很憤怒。,29,1,0,0,False
203,很不好意思。,29,1,0,0,False
204,恭敬地行禮。,29,1,0,0,False
205,大聲加油。,29,1,0,0,False
206,拍手鼓掌。,29,1,0,0,False
207,原地招手。,29,1,0,0,False
208,表示安慰。,29,1,0,0,False
209,痛哭流涕。,29,1,0,0,False
210,原地起舞。,29,1,0,0,False
211,表示非常不滿。,29,1,0,0,False
212,打了個盹。,29,1,0,0,False
213,十分懊悔。,29,1,0,0,False
214,表示道別。,29,1,0,0,False
215,原地揮手。,29,1,0,0,False
216,覺得很莫名其妙。,29,1,0,0,False
217,很高興。,29,1,0,0,False
218,跪下了。,29,1,0,0,False
219,在偷笑。,29,1,0,0,False
220,在捧腹大笑。,29,1,0,0,False
221,在觀望附近的情況。,29,1,0,0,False
222,在展示自己的存在。,29,1,0,0,False
223,原地搖頭。,29,1,0,0,False
224,表示否定。,29,1,0,0,False
225,非常慌張。,29,1,0,0,False
226,伸手指向前方。,29,1,0,0,False
227,伸手戳向前方。,29,1,0,0,False
228,表示稱讚。,29,1,0,0,False
229,激勵自己。,29,1,0,0,False
230,鄭重地敬禮。,29,1,0,0,False
231,非常震驚。,29,1,0,0,False
232,聳了聳肩。,29,1,0,0,False
233,揮拳表示鼓勵。,29,1,0,0,False
234,嘗試安撫。,29,1,0,0,False
235,有些迷糊。,29,1,0,0,False
236,伸了個懶腰。,29,1,0,0,False
237,在生悶氣。,29,1,0,0,False
238,在思考問題。,29,1,0,0,False
239,非常失望。,29,1,0,0,False
240,表示歡迎。,29,1,0,0,False
241,原地點頭。,29,1,0,0,False
242,表示肯定。,29,1,0,0,False
243,查看自己的樣子。,29,1,0,0,False
244,在原地擺出了誘人的姿勢。,29,1,0,0,False
245,行黑渦團軍禮。,29,1,0,0,False
246,行雙蛇黨軍禮。,29,1,0,0,False
247,行不滅隊軍禮。,29,1,0,0,False
248,送出了飛吻。,29,1,0,0,False
249,投出了雪球。,29,1,0,0,False
250,下跪認錯。,29,1,0,0,False
251,表示自己非常高興。,29,1,0,0,False
252,表示自己非常沮喪。,29,1,0,0,False
253,做出了戰鬥的準備動作。,29,1,0,0,False
254,傳達著勝利的喜悅。,29,1,0,0,False
255,做了一個後空翻。,29,1,0,0,False
256,行了一個抱拳禮。,29,1,0,0,False
257,腦海裡突然靈光一現。,29,1,0,0,False
258,,0,0,0,0,False
259,,0,0,0,0,False
260,,0,0,0,0,False
261,面無表情。,29,1,0,0,False
262,露出了微笑。,29,1,0,0,False
263,露出了笑容。,29,1,0,0,False
264,做出了充滿自信的表情。,29,1,0,0,False
265,做出了無所畏懼的表情。,29,1,0,0,False
266,閉上了眼睛。,29,1,0,0,False
267,做出了悲傷的表情。,29,1,0,0,False
268,做出了充滿恐懼的表情。,29,1,0,0,False
269,做出了意外的表情。,29,1,0,0,False
270,做出了痛苦的表情。,29,1,0,0,False
271,做出了反感的表情。,29,1,0,0,False
272,做出了吃驚的表情。,29,1,0,0,False
273,做出了擔心的表情。,29,1,0,0,False
274,滿面笑容。,29,1,0,0,False
275,做出了非常氣憤的表情。,29,1,0,0,False
276,做出了心懷歉意的表情。,29,1,0,0,False
277,做出了驚愕無比的表情。,29,1,0,0,False
278,向眾神祈禱。,29,1,0,0,False
279,行帝國式軍禮。,29,1,0,0,False
280,投出了什麼東西。,29,1,0,0,False
281,您的種族不是拉拉菲爾族，傳送至附近的安全地點。,60,8,0,0,False
282,跳起了踢踏舞。,29,1,0,0,False
283,跳起了豐饒之舞。,29,1,0,0,False
284,跳起了宮廷之舞。,29,1,0,0,False
285,跳起了紳士之舞。,29,1,0,0,False
286,做出了撫摸的動作。,29,1,0,0,False
287,交出了什麼東西。,29,1,0,0,False
288,跳起了火盆舞。,29,1,0,0,False
289,做出了勝利的歡呼！,29,1,0,0,False
290,甩了一巴掌。,29,1,0,0,False
291,做出了擁抱的動作。,29,1,0,0,False
292,做出了深情擁抱的動作。,29,1,0,0,False
293,做出了最具有紳士風度的動作。,29,1,0,0,False
294,出了一拳。,29,1,0,0,False
295,,0,0,0,0,False
296,跳起了薩維奈舞。,29,1,0,0,False
297,跳起了黃金之舞。,29,1,0,0,False
298,跳起了太陽之舞。,29,1,0,0,False
299,,0,0,0,0,False
300,無法進行黑名單操作。,60,8,0,0,False
301,無法登錄到黑名單。,60,8,0,0,False
302,無法從黑名單中移除。,60,8,0,0,False
303,黑名單已滿。,60,8,0,0,False
304,已經登錄到黑名單中了。,60,8,0,0,False
305,好友名單中的玩家只有解除好友之後才能登錄到黑名單中。,60,8,0,0,False
306,每天最多發出7份好友申請。,60,8,0,0,False
307,已達到呼喚次數的上限。一定時間內最多只能呼喚5次。,60,8,0,0,False
308,進行了呼喚。還可以再呼喚UNKNOWN次。,57,33,0,0,False
309,無法使用本功能，不在規定期間內。,60,8,0,0,False
310,無法進行好友名單操作。,60,8,0,0,False
311,無法發送好友申請。,60,8,0,0,False
312,已經發送過好友申請了。,60,8,0,0,False
313,好友名單已滿。,60,8,0,0,False
314,對方的好友名單已滿。,60,8,0,0,False
315,黑名單中的玩家只有解除黑名單之後才能登錄到好友名單中。,60,8,0,0,False
316,目前處於「忙碌中」狀態，無法接受好友申請。,60,8,0,0,False
317,將UNKNOWN移動到了「UNKNOWN」分組中。,57,32,0,0,False
318,更改了分組的名字。,57,32,0,0,False
319,目標指定不正確，請使用代名詞再次嘗試。,60,8,0,0,False
320,無法進行小隊操作。,60,8,0,0,False
321,無法發送組隊邀請。,60,8,0,0,False
322,無法從小隊中移除。,60,8,0,0,False
323,無法變更隊長。,60,8,0,0,False
324,無法離開小隊。,60,8,0,0,False
325,無法解散小隊。,60,8,0,0,False
326,該玩家已加入其他隊伍。,60,8,0,0,False
327,無法發送組隊邀請，該玩家已被其他隊伍邀請。,60,8,0,0,False
328,已經向該玩家發送過組隊邀請了。,60,8,0,0,False
329,Full Party無法再繼續邀請新隊員。,60,8,0,0,False
330,無法編輯角色詳情。,60,8,0,0,False
331,無法發送組隊邀請，該玩家已處於任務中，或位於其他區域。,60,8,0,0,False
332,無法轉讓隊長許可權，該玩家正處於離線狀態。,60,8,0,0,False
333,希望組隊時必須指定希望使用的職業或特職。,60,8,0,0,False
334,無法發送組隊邀請，該玩家正處於「忙碌中」狀態。,60,8,0,0,False
335,無法加入小隊，目前已處於任務中，或與小隊隊長位於不同區域。,60,8,0,0,False
336,無法發送組隊邀請，該玩家正在觀看劇情，請稍後再試。,60,8,0,0,False
337,無法轉讓隊長許可權，該玩家正處於離線狀態或任務中。,60,8,0,0,False
338,通訊貝名稱不能由純符號構成。,60,8,0,0,False
339,無法發送通訊貝邀請。,60,8,0,0,False
340,無法創建通訊貝。,60,8,0,0,False
341,通訊貝名稱請控制在7個字元之內。,60,8,0,0,False
342,通訊貝名稱中含有無效空格。,60,8,0,0,False
343,通訊貝名稱中含有無效字元。,60,8,0,0,False
344,通訊貝名稱中含有無法連續使用的字元。,60,8,0,0,False
345,通訊貝名稱中首字母為小寫。,60,8,0,0,False
346,該名稱已被使用，請更換為其他名稱。,60,8,0,0,False
347,該名稱不符合規範，請更換為其他名稱。,60,8,0,0,False
348,無法創建更多通訊貝。,60,8,0,0,False
349,無法進行加入通訊貝操作。,60,8,0,0,False
350,對方無法再持有更多的通訊貝了。,60,8,0,0,False
351,被邀請的玩家已加入該通訊貝。,60,8,0,0,False
352,通訊貝人員已滿，無法增加新成員。,60,8,0,0,False
353,無法進行通訊貝的正式加入操作。,60,8,0,0,False
354,無法退出通訊貝。,60,8,0,0,False
355,通訊貝管理員無法退出通訊貝，請轉交許可權之後再退出。,60,8,0,0,False
356,無法移除出通訊貝。,60,8,0,0,False
357,無法進行通訊貝隊長操作。,60,8,0,0,False
358,無法將隊長許可權轉交給臨時加入的成員。,60,8,0,0,False
359,無法解散通訊貝。,60,8,0,0,False
360,無法轉交通訊貝管理員許可權。,60,8,0,0,False
361,無法將管理員許可權轉交給臨時加入的成員。,60,8,0,0,False
362,通訊貝名字中含有無法使用的詞。,60,8,0,0,False
363,無法發送通訊貝邀請，該玩家正處於「忙碌中」狀態。,60,8,0,0,False
364,更改通訊貝名稱失敗。,60,8,0,0,False
365,更改通訊貝名稱失敗，名字中含有無法使用的字元。,60,8,0,0,False
366,沒有發現叫此名字的角色。,60,8,0,0,False
367,辭退了通訊貝「UNKNOWN」的隊長職務。,57,33,0,0,False
368,通訊貝的名稱已改為「UNKNOWN」。,57,33,0,0,False
369,通訊貝的名稱已改為「UNKNOWN」。,57,33,1,0,False
370,無法進行郵件操作。,60,9,0,0,False
371,無法向發送郵件。,60,9,0,0,False
372,無法發送沒有內容的郵件。,60,8,0,0,False
373,郵件內容過長。,60,8,0,0,False
374,無法發送郵件，道具無法添加。,60,9,0,0,False
375,無法發送郵件，Gil無法添加。,60,9,0,0,False
376,無法刪除郵件。,60,8,0,0,False
377,無法刪除有附件道具的郵件。,60,8,0,0,False
378,無法刪除有附件Gil的郵件。,60,8,0,0,False
379,無法獲得附件道具，背包已滿。,60,9,0,0,False
380,無法獲得附件Gil。,60,8,0,0,False
381,無法獲得附件道具，背包已滿或已經持有同種珍稀道具。,60,8,0,0,False
382,無法發送郵件，收信人必須是好友，目前好友列表為空。,60,8,0,0,False
383,辭退了通訊貝「UNKNOWN」的隊長職務。,57,33,1,0,False
384,在市場出售的物品已全部售出。,71,33,1,0,False
385,無法在市場中進行搜尋。,60,8,0,0,False
386,無法在市場中購買物品。,60,8,0,0,False
387,無法在市場中購買物品，請稍後再試。,60,8,0,0,False
388,無法在市場中購買物品，背包已滿。,60,8,0,0,False
389,無法在市場中購買物品，背包中已有同樣的珍稀道具。,60,8,0,0,False
390,無法完成市場交易。,60,8,0,0,False
391,マーケットからの購入ができません。しばらく待ってから実行してください。,60,8,0,0,False
392,無法在市場中購買物品，Gil不足。,60,8,0,0,False
393,無法進行僱員操作。,60,8,0,0,False
394,僱用了UNKNOWN。,57,33,0,0,False
395,解僱了UNKNOWN。,57,33,0,0,False
396,將僱員UNKNOWN登記到了市場。,57,33,0,0,False
397,將僱員UNKNOWN從市場召了回來。,57,33,0,0,False
398,開始在市場出售物品。,57,33,0,0,False
399,停止在市場出售物品。,57,33,1,0,False
400,免費試用期間無法使用該功能。,60,8,0,0,False
401,處於免費試用期的角色無法使用該功能。,60,9,0,0,False
402,"所持Gil已到達免費試用期的上限。
將會丟棄超出限額的Gil。",57,1,0,0,False
403,為了避免合計金額超過上限，系統已對單價做出調整。,57,32,0,0,False
404,無法使用，現在已經擁有重新設定僱員容貌的權利了。,60,9,0,0,False
405,可以重新設定僱員的容貌了。請脫下僱員的防具和飾品並到僱員窗口辦理業務。,57,33,0,0,False
406,僱員UNKNOWN得到了重生！,57,33,0,0,False
407,無法使用2個以上空格。,60,9,0,0,False
408,ハングルかアルファベットのどちらか片方のみを使用してください。,60,9,0,0,False
409,"ゲームを開始してから1500時間以上が経過しました。
過剰なゲームの利用は正常な日常生活に支障を与える恐れがあります。",57,1,0,0,False
410,"達到可領取下一個職業或特職任務的等級了。
此類任務有時能習得新的技能，請積極完成。",57,33,0,0,False
411,由於畫面尺寸不滿足條件，調整了介面尺寸。,57,33,0,0,False
412,暫時停止了觀景視角的切換。,57,33,0,0,False
413,繼續進行觀景視角的切換。,57,33,0,0,False
414,"報告發送失敗。
請重新發送。",60,9,0,0,False
415,目前正在交戰中！請注意剩餘HP！,60,17,0,0,False
416,被附加了無法繼續進行操作的狀態，觀景視角中斷了。,60,9,0,0,False
417,進入經驗加速狀態！UNKNOWN級前全部職業獲得的經驗值將大幅提高！,57,33,0,0,False
418,因全部職業到達了UNKNOWN級或等級上限，經驗加速狀態消失。,57,33,0,0,False
419,免費試用期間無法申請參加該任務。,60,9,0,0,False
420,無法販賣道具，僱員所持Gil已達到上限。,60,8,0,0,False
421,需要更新資料片才能使用該功能。,60,9,0,0,False
422,,0,0,0,0,False
423,,0,0,0,0,False
424,,0,0,0,0,False
425,將自動播放速度調整到了+UNKNOWN。,57,32,0,0,False
426,為了避免設定的金額低於下限，已自動對價格進行了調整。,57,32,0,0,False
427,無法加入隊伍，該隊伍人數已滿。,60,8,0,0,False
428,需要先讓角色回到原始 World才能進行刪除。,60,8,0,0,False
429,無法獲得個人資訊。,60,8,0,0,False
430,請稍後再登錄。,60,8,0,0,False
431,完成了作業！,57,33,0,0,False
432,聯合重建工程的進度達到了規定值。請還在進行作業的人員把握時間。,57,33,1,0,False
433,目前的職業無法使用。,60,8,0,0,False
434,未遵照工程要求執行，因此無法使用。,60,8,0,0,False
435,"正在發放聯合重建工程的報酬。
離開蒼天街將無法獲得報酬，敬請注意。",57,33,0,0,False
436,鏡頭設定保存完畢。,57,17,0,0,False
437,燈光設定保存完畢。,57,17,0,0,False
438,無法再添加到我的最愛中。請先刪除我的最愛中的其他道具。,60,8,0,0,False
439,被破壞了。,58,1,0,0,False
440,收到了UNKNOWN去往「」的傳送邀請。,57,1,0,0,False
441,無法接受傳送，雖然收到了傳送邀請但是自身沒有滿足傳送條件。,60,8,0,0,False
442,無法接受傳送，請在滿足傳送條件之後打開「傳送邀請」資訊。,57,33,0,0,False
443,傳送邀請已保留，請在準備接受傳送時打開「傳送邀請」資訊。,57,33,0,0,False
444,技能冷卻中，無法替換。,60,9,0,0,False
445,技能冷卻中，無法移除。,60,9,0,0,False
446,學會了「UNKNOWN」職能技能。,64,1,0,0,False
447,發動攻擊  直擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
448,   直擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
449,暴擊！「UNKNOWN」恢復了UNKNOWN點HP。,45,1,0,0,False
450,發動攻擊  直擊加暴擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
451,   直擊加暴擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
452,,0,0,0,0,False
453,   受到了「致死一擊」效果。,47,1,0,0,False
454,發動攻擊  將攻擊反射回來了！,42,1,0,0,False
455,   將攻擊反射回來了！,42,1,0,0,False
456,特殊快速鍵無法進行編輯。,60,8,0,0,False
457,無法使用指令，出現意外錯誤。,60,1,0,0,False
458,該指令不存在。,60,1,0,0,False
459,遊戲管理員等級不足，無法使用指令。,60,1,0,0,False
460,無法獲得「」，背包已滿。,60,9,0,0,False
461,無法獲得「」，已經持有同種珍稀道具。,60,9,0,0,False
462,無法在該市場登記僱員。,60,8,0,0,False
463,該僱員已經在市場登記過了。,60,8,0,0,False
464,無法從市場中召回僱員。,60,8,0,0,False
465,該僱員正在市場中出售物品，無法召回。,60,8,0,0,False
466,該僱員沒有在市場中進行登記。,60,8,0,0,False
467,無法獲得僱員情報。,60,8,0,0,False
468,無法購買自己的僱員所出售的道具。,60,8,0,0,False
469,將顯示中的UNKNOWN件道具按指定順序進行了排列。,57,32,0,0,False
470,無法發送組隊邀請。,60,9,0,0,False
471,無法加入小隊。,60,9,0,0,False
472,無法離開小隊。,60,9,0,0,False
473,無法解散小隊。,60,9,0,0,False
474,無法移出小隊。,60,9,0,0,False
475,無法轉讓隊長許可權。,60,9,0,0,False
476,無法發送通訊貝邀請。,60,9,0,0,False
477,無法加入通訊貝。,60,9,0,0,False
478,無法離開通訊貝。,60,9,0,0,False
479,無法解散通訊貝。,60,9,0,0,False
480,無法移出通訊貝。,60,9,0,0,False
481,無法轉讓通訊貝隊長許可權。,60,9,0,0,False
482,無法查看郵件。,60,9,0,0,False
483,無法發送郵件。,60,9,0,0,False
484,無法發送郵件，內容中含有無法發送的文字。,60,9,0,0,False
485,創建了通訊貝「UNKNOWN」。,57,33,0,0,False
486,精製魔晶石時無法進行該操作。,60,9,0,0,False
487,染色作業中無法進行該操作。,60,9,0,0,False
488,現在無法使用該指令。,60,9,0,0,False
489,期望列表已滿，無法繼續添加新物品，請先刪除已有內容。,60,9,0,0,False
490,無法在市場出售物品。,60,8,0,0,False
491,要在市場出售物品請先對僱員進行登記。,60,8,0,0,False
492,要修改出售內容請先令僱員停止出售物品。,60,8,0,0,False
493,目前沒有可出售的物品。,60,8,0,0,False
494,列表中包含不可出售的物品。,60,8,0,0,False
495,無法停止在市場出售物品。,60,8,0,0,False
496,目前沒有可出售的物品。,60,8,0,0,False
497,武具投影作業中無法進行該操作。,60,8,0,0,False
498,開始在市場出售物品。,57,1,0,0,False
499,停止在市場出售物品。,57,1,0,0,False
500,,0,0,0,0,False
501,正在發動「UNKNOWN」。,43,1,0,0,False
502,正在詠唱「UNKNOWN」。,43,1,0,0,False
503,正在使用「」。,44,1,0,0,False
504,發動攻擊  受到了UNKNOWN點傷害。,41,1,0,0,False
505,發動攻擊  暴擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
506,發動攻擊  失誤了！,42,1,0,0,False
507,發動攻擊  躲開了！,42,1,0,0,False
508,發動攻擊  格擋住了！ 受到UNKNOWN點傷害。,41,1,0,0,False
509,發動攻擊  招架住了！ 受到UNKNOWN點傷害。,41,1,0,0,False
510,   受到了UNKNOWN點傷害。,41,1,0,0,False
511,   暴擊！ 受到了UNKNOWN點傷害。,41,1,0,0,False
512,   發動了四分抗性！ 受到UNKNOWN點傷害。,41,1,0,0,False
513,   發動了減半抗性！ 受到UNKNOWN點傷害。,41,1,0,0,False
514,   發動了完全抗性！,42,1,0,0,False
515,   失誤了！,42,1,0,0,False
516,   躲開了！,42,1,0,0,False
517,   格擋住了！ 受到UNKNOWN點傷害。,41,1,0,0,False
518,   招架住了！ 受到UNKNOWN點傷害。,41,1,0,0,False
519,   恢復了UNKNOWN點HP。,45,1,0,0,False
520,   暴擊！ 恢復了UNKNOWNHP。,45,1,0,0,False
521,   恢復了UNKNOWN點MP。,45,1,0,0,False
522,   恢復了UNKNOWN點技力。,45,1,0,0,False
523,   吸收了UNKNOWNHP。,45,1,0,0,False
