#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
51.0,0,0,0,1091,3,6,1
52.0,0,0,0,1092,3,6,1
53.0,0,0,0,1093,3,6,1
54.0,0,0,0,1094,3,6,1
55.0,0,0,0,1095,3,6,1
56.0,0,0,0,1096,3,6,1
57.0,0,0,0,1097,3,6,1
58.0,0,0,0,1098,3,6,1
59.0,0,0,0,1099,3,6,1
60.0,0,0,0,1100,3,6,1
61.0,0,0,0,1101,3,6,1
62.0,0,0,0,1102,3,6,1
63.0,0,0,0,0,0,0,0
63.1,0,0,0,0,0,0,0
63.2,0,0,0,0,0,0,0
63.10,0,0,0,0,0,0,0
63.20,0,0,0,0,0,0,0
63.21,0,0,0,0,0,0,0
63.30,0,0,0,0,0,0,0
63.40,0,0,0,0,0,0,0
63.50,0,0,0,0,0,0,0
63.60,0,0,0,0,0,0,0
63.70,0,0,0,0,0,0,0
63.80,0,0,0,0,0,0,0
63.81,0,0,0,0,0,0,0
63.90,0,0,0,0,0,0,0
63.100,0,0,0,0,0,0,0
63.101,0,0,0,0,0,0,0
63.102,0,0,0,0,0,0,0
64.0,0,0,0,0,0,0,0
64.1,0,0,0,0,0,0,0
64.2,0,0,0,0,0,0,0
64.10,0,0,0,0,0,0,0
64.20,0,0,0,0,0,0,0
64.21,0,0,0,0,0,0,0
64.30,0,0,0,0,0,0,0
64.40,0,0,0,0,0,0,0
64.50,0,0,0,0,0,0,0
64.60,0,0,0,0,0,0,0
64.70,0,0,0,0,0,0,0
64.100,0,0,0,0,0,0,0
64.101,0,0,0,0,0,0,0
64.102,0,0,0,0,0,0,0
65.0,0,0,0,1108,3,6,1
66.0,0,0,0,1109,3,6,1
67.0,0,0,0,1110,3,6,1
68.0,0,0,0,1111,3,6,1
69.0,0,0,0,1112,3,6,1
70.0,0,0,0,1113,3,6,1
71.0,0,0,0,0,0,0,0
72.0,0,0,0,0,0,0,0
73.0,0,0,0,0,0,0,0
74.0,0,0,0,0,0,0,0
75.0,0,0,0,0,0,0,0
76.0,0,0,0,0,0,0,0
77.0,0,0,0,0,0,0,0
78.0,0,0,0,0,0,0,0
79.0,0,0,0,0,0,0,0
80.0,0,0,0,0,0,0,0
81.0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0
83.0,0,0,0,0,0,0,0
84.0,0,0,0,0,0,0,0
85.0,0,0,0,0,0,0,0
86.0,0,0,0,0,0,0,0
87.0,0,0,0,0,0,0,0
88.0,0,0,0,0,0,0,0
89.0,0,0,0,0,0,0,0
90.0,0,0,0,0,0,0,0
91.0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0
93.0,0,0,0,0,0,0,0
94.0,0,0,0,0,0,0,0
95.0,0,0,0,0,0,0,0
96.0,0,0,0,0,0,0,0
97.0,0,0,0,0,0,0,0
98.0,0,0,0,0,0,0,0
99.0,0,0,0,0,0,0,0
100.0,0,0,0,0,0,0,0
101.0,0,0,0,0,0,0,0
102.0,0,0,0,0,0,0,0
103.0,0,0,0,0,0,0,0
104.0,0,0,0,0,0,0,0
105.0,0,0,0,0,0,0,0
106.0,0,0,0,0,0,0,0
107.0,0,0,0,0,0,0,0
108.0,0,0,0,0,0,0,0
109.0,0,0,0,0,0,0,0
110.0,0,0,0,0,0,0,0
111.0,0,0,0,0,0,0,0
112.0,0,0,0,0,0,0,0
113.0,0,0,0,0,0,0,0
114.0,0,0,0,0,0,0,0
115.0,0,0,0,0,0,0,0
116.0,0,0,0,0,0,0,0
117.0,0,0,0,0,0,0,0
118.0,0,0,0,0,0,0,0
119.0,0,0,0,0,0,0,0
120.0,0,0,0,0,0,0,0
121.0,0,0,0,0,0,0,0
122.0,0,0,0,0,0,0,0
123.0,0,0,0,0,0,0,0
124.0,0,0,0,0,0,0,0
125.0,0,0,0,0,0,0,0
126.0,0,0,0,0,0,0,0
126.1,0,0,0,0,0,0,0
126.2,0,0,0,0,0,0,0
126.3,0,0,0,0,0,0,0
126.4,0,0,0,0,0,0,0
126.5,0,0,0,0,0,0,0
126.6,0,0,0,0,0,0,0
126.7,0,0,0,0,0,0,0
126.8,0,0,0,0,0,0,0
126.9,0,0,0,0,0,0,0
126.10,0,0,0,0,0,0,0
126.11,0,0,0,0,0,0,0
126.12,0,0,0,0,0,0,0
126.13,0,0,0,0,0,0,0
126.14,0,0,0,0,0,0,0
126.15,0,0,0,0,0,0,0
126.16,0,0,0,0,0,0,0
126.17,0,0,0,0,0,0,0
126.18,0,0,0,0,0,0,0
126.19,0,0,0,0,0,0,0
