#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262185,木製雪峰小屋,,0,0,0,1,0,0,36863,36872,36881,36884,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262186,石製雪峰小屋,,0,0,0,1,0,0,36864,36873,36882,36885,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262187,混合製雪峰小屋,,0,0,0,1,0,0,36865,36874,36883,36886,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262188,木製雪峰公館,,0,0,0,1,0,0,36866,36875,36881,36884,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262189,石製雪峰公館,,0,0,0,1,0,0,36867,36876,36882,36885,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262190,混合製雪峰公館,,0,0,0,1,0,0,36868,36877,36883,36886,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262191,木製雪峰別墅,,0,0,0,1,0,0,36869,36878,36881,36884,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262192,石製雪峰別墅,,0,0,0,1,0,0,36870,36879,36882,36885,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262193,混合製雪峰別墅,,0,0,0,1,0,0,36871,36880,36883,36886,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262194,,,0,0,0,1,0,0,0,0,0,0,36887,36888,36891,0,0,0,0,0,0,0,0,0
262195,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,0,0,0,44870,44871,44872,0,0,0
262196,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,0,0,0
262197,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,44872,0,0
