#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0
68,智力提高III,0,0,0,0,0,0,0,0
69,技能效果提高II,0,5186,30,26,68,40,68,0
70,乙太超流效果提高III,0,0,0,0,0,0,0,0
71,力量提高,0,9004,5,0,0,2,0,0
72,最大HP提高,0,9001,10,0,0,3,0,0
73,命中率提高,0,9010,5,0,0,5,0,0
74,暴擊提高,0,9012,15,0,0,6,0,0
75,力量提高,0,9004,5,0,0,8,0,0
76,最大HP提高,0,9001,10,0,0,9,0,0
77,力量提高,0,9004,5,0,0,2,0,0
78,最大HP提高,0,9001,5,0,0,3,0,0
79,命中率提高,0,9010,5,0,0,5,0,0
80,暴擊提高,0,9012,15,0,0,6,0,0
81,力量提高,0,9004,10,0,0,8,0,0
82,攻擊速度提高,0,9013,-10,0,0,9,0,0
83,精神提高,0,9008,10,0,0,2,0,0
84,最大HP提高,0,9001,5,0,0,3,0,0
85,命中率提高,0,9010,5,0,0,5,0,0
86,暴擊提高,0,9012,15,0,0,6,0,0
87,精神提高,0,9008,15,0,0,8,0,0
88,最大HP提高,0,9001,5,0,0,9,0,0
89,靈巧提高,0,0,0,0,0,0,0,0
90,下落受傷減輕,0,5401,10,29,93,14,93,0
91,靈巧提高II,0,0,0,0,0,0,0,0
92,靈巧提高III,0,0,0,0,0,0,0,0
93,移動速度提高,0,5403,10,29,93,20,93,0
94,妮美雅的加護,0,5436,0,16,17,42,17,0
95,岩石低吟V,67617,5437,0,16,17,53,17,0
96,潛行效果提高IV,0,0,54,0,0,0,0,0
97,潛行效果提高V,0,0,57,0,0,0,0,0
98,潛行效果提高VI,0,0,60,0,0,0,0,0
99,妮美雅的加護,0,5461,0,17,18,42,18,0
100,樹木低吟V,67585,5462,0,17,18,53,18,0
101,潛行效果提高IV,0,0,54,0,0,0,0,0
102,潛行效果提高V,0,0,57,0,0,0,0,0
103,潛行效果提高VI,0,0,60,0,0,0,0,0
104,魚鷹之眼IV,0,0,55,0,0,0,0,0
105,魚鷹之眼V,0,0,60,0,0,0,0,0
106,浮島垂釣,67622,5488,0,18,19,53,19,0
107,潛行效果提高IV,0,0,54,0,0,0,0,0
108,潛行效果提高V,0,0,57,0,0,0,0,0
109,潛行效果提高VI,0,0,60,0,0,0,0,0
110,熔岩垂釣,67623,5489,0,18,19,55,19,0
111,魔泉垂釣,67624,5490,0,18,19,58,19,0
112,耐力提高,0,0,0,0,0,0,0,0
113,耐力提高II,0,0,0,0,0,0,0,0
114,耐力提高III,0,0,0,0,0,0,0,0
115,靈巧提高,0,0,0,0,0,0,0,0
116,靈巧提高II,0,0,0,0,0,0,0,0
117,技能傷害提高,0,6002,10,31,96,20,96,0
118,靈巧提高III,0,0,0,0,0,0,0,0
119,技能傷害提高II,0,6003,20,31,96,40,96,0
120,精神提高,0,0,0,0,0,0,0,0
121,精神提高II,0,0,0,0,0,0,0,0
122,技能效果提高,0,6102,10,33,99,20,99,0
123,精神提高III,0,0,0,0,0,0,0,0
124,吉星效果提高,0,6105,15,33,99,36,99,0
125,技能效果提高II,0,6103,30,33,99,40,99,0
126,潛行效果提高VII,0,0,64,0,0,0,0,0
127,潛行效果提高VIII,0,0,67,0,0,0,0,0
128,潛行效果提高IX,0,0,70,0,0,0,0,0
129,潛行效果提高VII,0,0,64,0,0,0,0,0
130,潛行效果提高VIII,0,0,67,0,0,0,0,0
131,潛行效果提高IX,0,0,70,0,0,0,0,0
132,潛行效果提高VII,0,0,64,0,0,0,0,0
133,潛行效果提高VIII,0,0,67,0,0,0,0,0
134,潛行效果提高IX,0,0,70,0,0,0,0,0
135,鹽湖垂釣,0,5499,0,18,19,68,19,0
136,魚鷹之眼VI,0,0,65,0,0,0,0,0
137,魚鷹之眼VII,0,0,70,0,0,0,0,0
138,品質精查,67978,6976,2,8,9,63,9,0
139,品質精查,68152,6976,2,9,10,63,10,0
140,品質精查,68131,6976,2,10,11,63,11,0
141,品質精查,68136,6976,2,11,12,63,12,0
142,品質精查,68146,6976,2,12,13,63,13,0
143,品質精查,67968,6976,2,13,14,63,14,0
144,品質精查,67973,6976,2,14,15,63,15,0
145,品質精查,68141,6976,2,15,16,63,16,0
146,魔匠的閃念,0,0,0,0,0,0,0,0
147,魔匠的閃念,0,0,0,0,0,0,0,0
148,魔匠的閃念,0,0,0,0,0,0,0,0
149,魔匠的閃念,0,0,0,0,0,0,0,0
150,魔匠的閃念,0,0,0,0,0,0,0,0
151,魔匠的閃念,0,0,0,0,0,0,0,0
152,魔匠的閃念,0,0,0,0,0,0,0,0
153,魔匠的閃念,0,0,0,0,0,0,0,0
154,自動魚群測定,68458,5497,0,18,19,61,19,0
155,魚群低吟,0,0,0,0,0,0,0,0
156,保護效果提高,0,5209,-20,0,0,0,0,0
157,戰嚎效果提高,0,5259,0,21,22,66,22,0
158,暗血,0,6059,0,32,98,62,98,0
159,暗血II,0,6060,0,32,98,66,98,0
160,鬥氣累積提高,0,5234,80,20,21,38,21,0
161,羅剎衝精通,0,5235,2,0,0,0,0,0
162,長槍精通,0,5284,0,0,0,0,0,0
163,紅蓮龍血,68450,5289,0,22,23,70,23,0
164,毒刃,0,0,0,0,0,0,0,0
165,集氣法,0,5411,6,30,92,62,92,0
166,縮地效果提高,0,5412,0,30,92,64,92,0
167,奪取效果提高,0,0,0,0,0,0,0,0
168,咬蝕精通,0,5309,0,23,24,64,24,0
169,九天連箭效果提高,0,5310,0,23,24,68,24,0
170,槍彈精通,0,0,0,0,0,0,0,0
171,雷電精通,66612,5357,0,25,26,45,26,0
172,雷電精通II,0,5358,0,25,26,64,26,0
173,靈極心效果提高,0,5359,-34,0,0,0,0,0
174,天語效果提高,68128,5360,5,25,26,70,26,0
175,毒化精通,0,5376,0,0,0,0,0,0
176,毀壞效果提高,0,5377,0,0,0,0,0,0
177,毒化精通II,0,5378,0,0,0,0,0,0
178,龍神附體效果提高,68165,5380,0,27,28,70,28,0
179,巨岩精通,0,5333,0,6,53,18,53,0
180,勁風精通,0,5334,0,6,53,46,53,0
181,巨岩精通II,67257,5336,0,24,25,54,25,0
182,巨岩精通III,0,5337,0,24,25,64,25,0
183,神秘百合II,0,5338,20,0,0,0,0,0
184,炎法精通II,0,5392,0,28,29,64,29,0
185,乙太超流複唱時間縮短,0,0,100,0,0,0,0,0
186,燒灼精通,0,6109,0,33,99,46,99,0
187,凶星精通,67558,6110,0,33,99,54,99,0
188,凶星精通II,0,6111,0,33,99,64,99,0
189,光速效果提高,0,6101,-300,33,99,68,99,0
190,自動登山者之感,0,0,60,0,0,0,0,0
191,自動開拓者之手,0,0,60,0,0,0,0,0
192,GP恢復量提高,68094,5444,1,16,17,70,17,0
193,GP恢復量提高,68160,5469,1,17,18,70,18,0
194,GP恢復量提高,68435,5498,1,18,19,70,19,0
195,搖盪效果提高,0,6201,0,35,112,62,112,0
196,神秘百合,67256,5335,0,24,25,52,25,0
197,智力提高,0,0,0,0,0,0,0,0
198,智力提高II,0,0,0,0,0,0,0,0
199,智力提高III,0,0,0,0,0,0,0,0
200,技能效果提高,0,5185,10,35,112,20,112,0
201,技能效果提高II,0,5186,30,35,112,40,112,0
202,力量提高,0,0,0,0,0,0,0,0
203,力量提高II,0,0,0,0,0,0,0,0
204,力量提高III,0,0,0,0,0,0,0,0
205,毒刃II,0,0,0,0,0,0,0,0
206,震盪效果提高,0,0,0,0,0,0,0,0
207,神聖魔法精通,0,5210,-50,19,20,64,20,0
208,劍氣精通II,0,6151,5,34,111,62,111,0
209,忠義精通,66592,5211,0,19,20,35,20,0
210,精神提高,0,0,0,0,0,0,0,0
211,精神提高II,0,0,0,0,0,0,0,0
212,精神提高III,0,0,0,0,0,0,0,0
213,內力迸發效果提高,0,5379,-600,0,0,0,0,0
214,炎法精通,67209,5394,0,28,29,54,29,0
215,劍氣精通,0,6152,0,34,111,52,111,0
216,連續魔法,0,6203,0,35,112,1,112,0
217,毀滅精通,65997,5395,0,26,69,30,69,0
218,狂暴精通,68440,5260,0,21,22,70,22,0
219,學習,0,6251,0,36,129,1,129,0
220,技能效果提高,0,5185,10,36,129,10,129,0
221,技能效果提高II,0,5186,20,36,129,20,129,0
222,技能效果提高III,0,5187,30,36,129,30,129,0
223,技能效果提高IV,0,5188,40,36,129,40,129,0
224,技能效果提高V,0,5189,50,36,129,50,129,0
225,潛行效果提高X,0,0,74,0,0,0,0,0
226,潛行效果提高XI,0,0,77,0,0,0,0,0
227,潛行效果提高XII,0,0,80,0,0,0,0,0
228,潛行效果提高X,0,0,74,0,0,0,0,0
229,潛行效果提高XI,0,0,77,0,0,0,0,0
230,潛行效果提高XII,0,0,80,0,0,0,0,0
231,潛行效果提高X,0,0,74,0,0,0,0,0
232,潛行效果提高XI,0,0,77,0,0,0,0,0
233,潛行效果提高XII,0,0,80,0,0,0,0,0
234,魚鷹之眼VIII,0,0,75,0,0,0,0,0
235,魚鷹之眼IX,0,0,80,0,0,0,0,0
236,GP恢復量提高II,0,5449,2,16,17,80,17,0
237,GP恢復量提高II,0,5474,2,17,18,80,18,0
238,GP恢復量提高II,0,5496,2,18,19,80,19,0
239,GP恢復量提高III,0,5441,3,16,17,83,17,0
240,GP恢復量提高III,0,5466,3,17,18,83,18,0
241,GP恢復量提高III,0,5486,3,18,19,83,19,0
242,石工之理效果提高,0,5442,50,16,17,90,17,0
243,農夫之智效果提高,0,5467,50,17,18,90,18,0
244,漁師之計,0,5485,0,18,19,15,19,0
245,鬥氣累積提高II,0,5238,100,20,21,74,21,0
246,騎士精神,0,5212,0,19,20,58,20,0
247,長槍精通,0,5284,0,22,23,76,23,0
248,,0,0,0,0,0,0,0,0
249,獸魂,66586,5261,0,21,22,35,22,0
250,活殺自在效果提高,0,5414,0,30,92,76,92,0
251,技能傷害提高,0,6351,10,38,150,50,150,0
252,幻扇,0,6352,0,38,150,30,150,0
253,技能傷害提高II,0,6353,20,38,150,60,150,0
254,前衝步效果提高,0,6354,2,38,150,68,150,0
255,伶俐,0,6355,0,38,150,76,150,0
256,前衝步效果提高II,0,6356,3,38,150,78,150,0
257,晶壤裝填,0,6301,0,37,149,30,149,0
258,殘暴彈效果提高,0,6302,0,37,149,52,149,0
259,危險帶精通,0,6303,0,37,149,80,149,0
260,戰女神之怒精通,67573,5213,0,19,20,60,20,0
261,日珥斬效果提高,0,5214,0,19,20,72,20,0
262,盾陣效果提高,0,5215,0,19,20,74,20,0
263,安魂祈禱效果提高,0,5216,0,19,20,80,20,0
264,忠義之劍,0,5217,0,19,20,76,20,0
265,原初之魂精通,66124,5262,0,21,22,54,22,0
266,鋼鐵旋風精通,66137,5263,0,21,22,60,22,0
267,原初的混沌,0,5264,0,21,22,72,22,0
268,獸魂精通,0,5265,0,21,22,74,22,0
269,戰慄效果提高,0,5258,0,21,22,78,22,0
270,,0,0,0,0,0,0,0,0
271,暗黑精通,0,6062,0,32,98,74,98,0
272,跳斬效果提高,0,6063,2,0,0,0,0,0
273,疾風極意,0,0,0,0,0,0,0,0
274,紅蓮體勢效果提高,0,5237,0,0,0,0,0,0
275,跳躍精通,0,5286,0,22,23,74,23,0
276,龍血精通,0,5287,0,0,0,0,0,0
277,居合術效果提高,0,6153,0,34,111,74,111,0
278,風月風花效果提高,0,6154,0,34,111,78,111,0
279,縮地效果提高II,0,5415,2,30,92,74,92,0
280,集氣法II,0,5416,0,30,92,78,92,0
281,,0,0,0,0,0,0,0,0
282,直線射擊精通,68430,5311,0,23,24,70,24,0
283,連珠箭效果提高,0,5304,0,5,50,25,50,0
284,咬蝕精通II,0,5312,0,23,24,76,24,0
285,強力射擊精通,0,5306,0,23,24,76,24,0
286,軍神的讚美歌效果提高,0,5314,0,23,24,78,24,0
287,靈魂吟唱,0,5315,0,23,24,80,24,0
288,分裂彈精通,67243,6010,0,31,96,54,96,0
289,獨頭彈精通,67248,6011,0,31,96,60,96,0
290,狙擊彈精通,0,6012,0,31,96,64,96,0
291,熱彈精通,0,6016,0,31,96,76,96,0
292,累積技能效果提高,0,6013,3,31,96,74,96,0
293,野火效果提高,0,6014,0,31,96,78,96,0
294,升變,0,6015,0,31,96,80,96,0
295,靈極心,0,5656,0,25,26,58,26,0
296,極性精通,0,5362,0,7,55,1,55,0
297,通曉效果提高,0,5363,0,25,26,80,26,0
298,龍神附體效果提高II,0,5676,0,0,0,0,0,0
299,靈攻效果提高,0,5677,0,0,0,0,0,0
300,三重災禍效果提高,0,5678,0,0,0,0,0,0
301,災禍效果提高,0,5679,0,0,0,0,0,0
302,鳳凰附體效果提高,0,5680,0,0,0,0,0,0
303,散碎精通,0,6207,0,35,112,66,112,0
304,移轉效果提高,0,6204,0,35,112,72,112,0
305,魔元化效果提高,0,6205,-100,35,112,78,112,0
306,赤魔法精通,0,6206,-100,35,112,74,112,0
307,勁風精通II,0,5339,0,24,25,72,25,0
308,巨岩精通IV,0,5340,0,24,25,72,25,0
309,安慰之心效果提高,0,5341,0,24,25,74,25,0
310,庇護所效果提高,0,5342,0,24,25,78,25,0
311,毒化精通II,0,5701,0,28,29,72,29,0
312,炎法精通III,0,5702,0,28,29,72,29,0
313,野戰治療陣效果提高,0,5703,0,28,29,78,29,0
314,燒灼精通II,0,6112,0,33,99,72,99,0
315,凶星精通III,0,6113,0,33,99,72,99,0
316,先天稟賦效果提高,0,6114,2,33,99,78,99,0
317,防護精通,0,5190,-20,1,38,1,38,0
318,防護精通,0,5190,-20,3,44,1,44,0
319,防護精通,0,5190,-20,32,98,1,98,0
320,防護精通,0,5190,-20,37,149,1,149,0
321,激情詠唱效果提高,0,5364,-300,0,0,0,0,0
322,天語效果提高II,0,5365,10,25,26,78,26,0
323,,0,0,0,0,0,0,0,0
324,毒化精通,0,5376,0,28,29,26,29,0
325,自動山岳之相,0,5427,0,16,17,60,17,0
326,自動叢林之相,0,5452,0,17,18,60,18,0
327,自動海洋之相,68458,5476,0,18,19,70,19,0
328,自動潛行,0,5428,0,16,17,27,17,0
329,自動潛行,0,5453,0,17,18,27,18,0
330,自動潛行,0,5477,0,18,19,27,19,0
331,十二神加護效果提高III,0,5440,0,16,17,71,17,0
332,十二神加護效果提高III,0,5465,0,17,18,71,18,0
333,高產精通,68093,5429,0,16,17,68,17,0
334,發掘精通,0,0,0,0,0,0,0,0
335,直覺甄別精通,0,0,0,0,0,0,0,0
336,豐收精通,68159,5454,0,17,18,68,18,0
337,轉變精通,0,0,0,0,0,0,0,0
338,直覺甄別精通,0,0,0,0,0,0,0,0
339,製作精通,0,6979,0,8,9,31,9,0
340,製作精通,0,6980,0,9,10,31,10,0
341,製作精通,0,6981,0,10,11,31,11,0
342,製作精通,0,6982,0,11,12,31,12,0
343,製作精通,0,6983,0,12,13,31,13,0
344,製作精通,0,6984,0,13,14,31,14,0
345,製作精通,0,6985,0,14,15,31,15,0
346,製作精通,0,6986,0,15,16,31,16,0
347,高速製作精通,0,6978,0,8,9,63,9,0
348,高速製作精通,0,6978,0,9,10,63,10,0
349,高速製作精通,0,6978,0,10,11,63,11,0
350,高速製作精通,0,6978,0,11,12,63,12,0
351,高速製作精通,0,6978,0,12,13,63,13,0
352,高速製作精通,0,6978,0,13,14,63,14,0
353,高速製作精通,0,6978,0,14,15,63,15,0
354,高速製作精通,0,6978,0,15,16,63,16,0
355,迸裂效果提高,0,5681,0,0,0,0,0,0
356,製作練習,0,6987,0,8,9,15,9,1
357,製作練習,0,6987,0,9,10,15,10,1
358,製作練習,0,6987,0,10,11,15,11,1
359,製作練習,0,6987,0,11,12,15,12,1
360,製作練習,0,6987,0,12,13,15,13,1
361,製作練習,0,6987,0,13,14,15,14,1
362,製作練習,0,6987,0,14,15,15,15,1
363,製作練習,0,6987,0,15,16,15,16,1
364,疾風迅雷,0,5239,0,2,41,1,41,0
365,疾風迅雷效果提高,0,5230,0,2,41,20,41,0
366,疾風迅雷效果提高II,0,5231,0,20,21,40,21,0
367,疾風迅雷效果提高III,0,5240,0,20,21,76,21,0
368,技能效果提高,0,5185,10,40,181,20,181,0
369,技能效果提高II,0,5186,30,40,181,40,181,0
370,蛇膽,0,6451,0,40,181,45,181,0
371,賢學誓詞,0,6452,0,40,181,54,181,0
372,賢學誓詞II,0,6453,0,40,181,64,181,0
373,蛇刺,0,6454,0,40,181,66,181,0
374,攻擊魔法精通,0,6455,0,40,181,72,181,0
375,堅角清汁效果提高,0,6456,0,40,181,78,181,0
376,攻擊魔法精通II,0,6457,0,40,181,82,181,0
377,治療技能效果提高,0,6826,0,40,181,85,181,0
378,活化效果提高,0,6458,-300,40,181,88,181,0
379,靈魂,0,6401,0,39,180,50,180,0
380,技能威力提高,0,6801,0,39,180,60,180,0
381,化身能力效果提高,0,6403,0,39,180,70,180,0
382,地獄之門效果提高,0,6404,0,39,180,74,180,0
383,靈魂技效果提高,0,6405,2,39,180,78,180,0
384,魂衣,69614,6406,0,39,180,80,180,0
385,神秘紋效果提高,0,6407,0,39,180,84,180,0
386,虛無魂,0,6408,0,39,180,86,180,0
387,神秘環效果提高,0,6409,0,39,180,88,180,0
388,內靜,0,6988,0,8,9,11,9,0
389,內靜,0,6988,0,9,10,11,10,0
390,內靜,0,6988,0,10,11,11,11,0
391,內靜,0,6988,0,11,12,11,12,0
392,內靜,0,6988,0,12,13,11,13,0
393,內靜,0,6988,0,13,14,11,14,0
394,內靜,0,6988,0,14,15,11,15,0
395,內靜,0,6988,0,15,16,11,16,0
396,模範製作精通,0,6989,0,8,9,82,9,0
397,模範製作精通,0,6989,0,9,10,82,10,0
398,模範製作精通,0,6989,0,10,11,82,11,0
399,模範製作精通,0,6989,0,11,12,82,12,0
400,模範製作精通,0,6989,0,12,13,82,13,0
401,模範製作精通,0,6989,0,13,14,82,14,0
402,模範製作精通,0,6989,0,14,15,82,15,0
403,模範製作精通,0,6989,0,15,16,82,16,0
404,坯料製作精通,0,6990,0,8,9,86,9,0
405,坯料製作精通,0,6991,0,9,10,86,10,0
406,坯料製作精通,0,6992,0,10,11,86,11,0
407,坯料製作精通,0,6993,0,11,12,86,12,0
408,坯料製作精通,0,6994,0,12,13,86,13,0
409,坯料製作精通,0,6995,0,13,14,86,14,0
410,坯料製作精通,0,6996,0,14,15,86,15,0
411,坯料製作精通,0,6997,0,15,16,86,16,0
412,盾陣精通,0,5218,0,19,20,82,20,0
413,干預效果提高,0,5219,0,19,20,82,20,0
414,神聖魔法精通II,0,5220,0,19,20,84,20,0
415,深奧之靈精通,0,5221,0,19,20,86,20,0
416,聖光幕簾效果提高,0,5222,0,19,20,88,20,0
417,擺脫效果提高,0,5266,0,21,22,76,22,0
418,原初的直覺精通,0,5267,0,21,22,82,22,0
419,原初的勇猛效果提高,0,5268,0,21,22,82,22,0
420,泰然自若效果提高,0,5269,0,21,22,84,22,0
421,猛攻效果提高,0,5270,3,21,22,88,22,0
422,傷殘效果提高,0,6064,0,32,98,84,98,0
423,掠影示現效果提高II,0,6066,0,32,98,90,98,0
424,石之心精通,0,6304,0,37,149,82,149,0
425,極光效果提高,0,6305,2,37,149,84,149,0
426,續劍效果提高,0,6306,0,37,149,86,149,0
427,晶壤裝填效果提高,0,6307,0,37,149,88,149,0
428,鐵山靠精通,67564,5241,0,20,21,54,21,0
429,空鳴拳精通,0,5242,0,20,21,74,21,0
430,破壞神衝精通,0,5243,0,20,21,82,21,0
431,輕身步法效果提高,0,5244,3,20,21,84,21,0
432,義結金蘭效果提高,0,5245,0,20,21,88,21,0
433,震腳效果提高,67567,5246,0,20,21,60,21,0
434,跳躍效果提高,67228,5294,0,22,23,54,23,0
435,山境酷刑效果提高,0,5290,0,22,23,82,23,0
436,破碎衝效果提高,0,5291,2,0,0,0,0,0
437,長槍精通II,0,5288,0,22,23,86,23,0
438,龍劍效果提高,0,5277,2,22,23,88,23,0
439,集氣法III,0,5417,0,30,92,84,92,0
440,命水效果提高,0,5418,0,30,92,88,92,0
441,雷遁之術效果提高,0,5419,0,30,92,90,92,0
442,燕回返效果提高,0,6155,0,0,0,0,0,0
443,明鏡止水效果提高,0,6156,2,34,111,76,111,0
444,連珠箭精通,0,5316,0,23,24,82,24,0
445,失血箭效果提高,0,5317,3,23,24,84,24,0
446,絕峰箭效果提高,0,5318,0,23,24,86,24,0
447,行吟效果提高,0,5319,-300,23,24,88,24,0
448,戰歌效果提高,0,5320,0,23,24,90,24,0
449,散射精通,0,6017,0,31,96,82,96,0
450,整備效果提高,0,6018,2,31,96,84,96,0
451,后翼棄兵,0,6019,0,31,96,86,96,0
452,策動效果提高,0,6020,-300,31,96,88,96,0
453,技巧舞步結束效果提高,0,6357,0,38,150,82,150,0
454,伶俐效果提高,0,6358,0,38,150,84,150,0
455,百花爭艷效果提高,0,6359,0,38,150,86,150,0
456,防守之桑巴效果提高,0,6360,-300,38,150,88,150,0
457,進攻之探戈效果提高,0,6361,0,38,150,90,150,0
458,極性精通II,0,5366,0,7,55,20,55,0
459,極性精通III,0,5367,0,7,55,35,55,0
460,天語,67217,5368,0,25,26,56,26,0
461,穢濁效果提高,0,5369,0,25,26,80,26,0
462,極性精通IV,0,5370,0,25,26,82,26,0
463,魔泉效果提高,0,5371,-200,25,26,84,26,0
464,激情詠唱效果提高II,0,5372,2,0,0,0,0,0
465,極性精通V,0,5373,0,25,26,90,26,0
466,乙太蓄能效果提高,66639,5396,0,26,69,15,69,0
467,乙太蓄能效果提高II,0,5397,0,26,69,22,69,0
468,紅寶石召喚精通,66627,5682,0,27,28,30,28,0
469,黃寶石召喚精通,66628,5683,0,27,28,35,28,0
470,綠寶石召喚精通,66631,5684,0,27,28,45,28,0
471,內力迸發,66632,5685,0,27,28,50,28,0
472,,0,0,0,0,0,0,0,0
473,毀滅精通II,67638,5687,0,27,28,54,28,0
474,乙太蓄能精通,67640,5690,0,27,28,58,28,0
475,能量抽取效果提高,0,5691,0,27,28,62,28,0
476,毀滅精通III,0,5688,0,27,28,72,28,0
477,迸裂精通,0,5692,0,27,28,74,28,0
478,迸裂精通II,0,5693,0,27,28,82,28,0
479,毀滅精通IV,0,5689,0,27,28,84,28,0
480,守護之光效果提高,0,5694,2,27,28,88,28,0
481,內力迸發II,0,5695,0,27,28,90,28,0
482,魔法劍效果提高,0,6208,0,35,112,68,112,0
483,赤魔法精通II,0,6209,0,35,112,82,112,0
484,赤魔法精通III,0,6210,0,35,112,84,112,0
485,促進效果提高,0,6211,2,35,112,88,112,0
486,魔元化效果提高II,0,6212,0,35,112,90,112,0
487,閃耀精通,0,5343,0,24,25,82,25,0
488,神聖精通,0,5344,0,24,25,82,25,0
489,治療技能效果提高,0,6826,0,24,25,85,25,0
490,神祝禱效果提高,0,5345,2,24,25,88,25,0
491,炎法精通IV,0,5704,0,28,29,82,29,0
492,破陣法精通,0,5705,0,28,29,82,29,0
493,治療技能效果提高,0,6826,0,28,29,85,29,0
494,展開戰術效果提高,0,5706,-300,28,29,88,29,0
495,抽卡效果提高,0,6115,0,0,0,0,0,0
496,抽卡效果提高II,0,6116,0,0,0,0,0,0
497,凶星精通IV,0,6117,0,33,99,82,99,0
498,重力精通,0,6118,0,33,99,82,99,0
499,治療技能效果提高,0,6826,0,33,99,85,99,0
500,天星交錯效果提高,0,6119,2,33,99,88,99,0
501,宇宙垂釣,0,5487,0,18,19,89,19,0
502,龍神召喚效果提高,0,5696,0,27,28,80,28,0
503,元素精通,0,5697,0,27,28,86,28,0
504,技能威力提高,0,6801,0,19,20,84,20,0
505,技能威力提高,0,6801,0,21,22,84,22,0
506,技能威力提高,0,6801,0,32,98,84,98,0
507,技能威力提高,0,6801,0,37,149,84,149,0
508,長槍精通III,0,5292,0,22,23,90,23,0
509,天語效果提高III,0,5374,17,25,26,86,26,0
510,自生精通,0,6459,0,40,181,60,181,0
511,掠影示現效果提高,0,6065,0,32,98,88,98,0
512,爆裂腳精通,0,5248,0,20,21,86,21,0
513,鬥魂旋風腳精通,0,5247,0,20,21,90,21,0
514,意氣衝天效果提高,0,6157,0,34,111,90,111,0
515,斷絕精通,67222,5420,0,30,92,56,92,0
516,技能威力提高,0,6801,0,30,92,74,92,0
517,技能威力提高,0,6801,0,31,96,84,96,0
518,技能威力提高,0,6801,0,20,21,84,21,0
