#,Type,Data,Icon,Unknown0,Text,Unknown1
107,0,30103,113108,0,0,0
108,2,89,113109,0,15,3
109,1,90,113110,0,16,3
110,0,30105,113111,0,0,0
111,0,20067,113112,0,0,0
112,0,20069,113113,0,0,0
113,0,20070,113114,0,0,0
114,0,20072,113115,0,0,0
115,0,20074,113116,0,0,0
116,0,20076,113117,0,0,0
117,0,30111,113118,0,0,0
118,0,30113,113119,0,0,0
119,0,30109,113120,0,0,0
120,0,30107,113121,0,0,0
121,4,2,113032,0,18,3
122,4,3,113037,0,19,3
123,4,4,113041,0,20,3
124,4,5,113010,0,21,3
125,4,6,113014,0,22,3
126,4,7,113058,0,23,3
127,4,8,113069,0,24,3
128,4,9,113074,0,25,3
129,4,10,113081,0,26,3
130,0,30115,113123,0,0,0
131,4,11,113093,0,27,3
132,4,12,113095,0,28,3
133,4,13,113098,0,29,3
134,4,14,113100,0,30,3
135,4,15,113105,0,31,3
136,4,16,113107,0,32,3
137,4,17,113118,0,33,3
138,4,18,113120,0,34,3
139,0,30116,113125,0,0,0
140,0,30120,113126,0,0,0
141,0,30118,113127,0,0,0
142,0,30122,113128,0,0,0
143,0,30125,113129,0,0,0
144,0,20078,113130,0,0,0
145,0,20081,113131,0,0,0
146,4,19,113125,0,36,3
147,4,20,113127,0,37,3
148,4,21,113132,0,38,3
149,4,22,113134,0,39,3
150,0,30134,113136,0,0,0
151,4,23,113093,0,40,3
152,4,24,113098,0,41,3
153,4,25,113105,0,42,3
154,4,26,113005,0,43,3
155,4,27,113008,0,44,3
156,4,28,113068,0,45,3
157,4,29,113097,0,46,3
158,4,30,113123,0,47,3
159,0,20083,113139,0,0,0
160,0,20085,113140,0,0,0
161,0,20087,113141,0,0,0
162,0,20090,113142,0,0,0
163,0,20092,113143,0,0,0
164,2,99,113137,0,48,3
165,1,100,113138,0,49,3
166,5,49,113001,0,50,3
167,5,79,113086,0,51,3
168,5,99,113137,0,52,3
169,6,60,113004,0,53,3
170,6,80,113087,0,54,3
171,6,90,113110,0,55,3
172,7,60,113018,0,56,3
173,7,100,113088,0,57,3
174,8,60,113005,0,58,3
175,8,90,113068,0,59,3
176,9,60,113010,0,60,3
177,9,100,113069,0,61,3
178,4,31,113118,0,62,3
179,4,32,113125,0,63,3
180,4,33,113132,0,64,3
181,4,34,113144,0,65,3
182,4,35,113145,0,66,3
183,0,30144,113146,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
