#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
20,陸行鳥王裝甲,,陸行鳥王裝甲,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
21,星芒裝甲,,星芒裝甲,0,0,0,1,0,0,65540,65540,65540,58564,58565,58566,0,101
22,利維坦裝甲,,利維坦裝甲,0,0,0,1,0,0,65556,65556,65556,58567,58568,58569,0,125
23,光之鳥甲,,光之鳥甲,0,0,0,1,0,0,65557,65557,65557,58570,58571,58572,0,41
24,獵蛋裝甲,,獵蛋裝甲,0,0,0,1,0,0,65558,0,0,58573,0,0,0,102
25,拉姆裝甲,,拉姆裝甲,0,0,0,1,0,0,65560,65560,65560,58576,58577,58578,0,126
26,羽飾裝甲,,羽飾裝甲,0,0,0,1,0,0,65559,0,0,58579,0,0,0,53
27,怪誕裝甲,,怪誕裝甲,0,0,0,1,0,0,65561,65561,65561,58582,58583,58584,0,103
28,濕婆裝甲,,濕婆裝甲,0,0,0,1,0,0,65562,65562,65562,58585,58586,58587,0,127
29,勝負師裝甲,,勝負師裝甲,0,0,0,1,0,0,65565,65565,65565,58591,58592,58593,0,42
30,情人裝甲,,情人裝甲,0,0,0,1,0,0,65566,65566,65566,58588,58589,58590,0,104
31,崇山陸行鳥半裝甲,,崇山陸行鳥半裝甲,0,0,0,1,0,0,65567,65567,65567,58594,58595,58596,0,54
32,崇山陸行鳥裝甲,,崇山陸行鳥裝甲,0,0,0,1,0,0,131103,131103,131103,58597,58598,58599,0,55
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,俾斯麥裝甲,,俾斯麥裝甲,0,0,0,1,0,0,65568,65568,65568,58603,58604,58605,0,128
35,羅波那裝甲,,羅波那裝甲,0,0,0,1,0,0,65569,65569,65569,58606,58607,58608,0,129
36,貴族裝甲,,貴族裝甲,0,0,0,1,0,0,65570,65570,65570,58609,58610,58611,0,57
37,正教裝甲,,正教裝甲,0,0,0,1,0,0,131106,131106,131106,58612,58613,58614,0,58
38,高地裝甲,,高地裝甲,0,0,0,1,0,0,65571,65571,65571,58615,58616,58617,0,59
39,野玫瑰裝甲,,野玫瑰裝甲,0,0,0,1,0,0,65573,65573,65573,58618,58619,58620,0,43
40,圓桌裝甲,,圓桌裝甲,0,0,0,1,0,0,65574,65574,65574,58621,58622,58623,0,130
41,賽菲羅特裝甲,,賽菲羅特裝甲,0,0,0,1,0,0,65572,65572,65572,58624,58626,58625,0,131
42,獵蛋人裝甲,,獵蛋人裝甲,0,0,0,1,0,0,65575,65575,65575,58627,58629,58628,0,105
43,東方裝甲,,東方裝甲,0,0,0,1,0,0,65577,65577,65577,58630,58632,58631,0,60
44,競賽裝甲,,競賽裝甲,0,0,0,1,0,0,65579,65579,65579,58633,58635,58634,0,61
45,邪龍裝甲,,邪龍裝甲,0,0,0,1,0,0,65578,65578,65578,58636,58638,58637,0,132
46,管家裝甲,,管家裝甲,0,0,0,1,0,0,65580,65580,65580,58639,58641,58640,0,62
47,索菲亞裝甲,,索菲亞裝甲,0,0,0,1,0,0,65576,65576,65576,58642,58644,58643,0,133
48,女僕裝甲,,女僕裝甲,0,0,0,1,0,0,65581,65581,65581,58645,58647,58646,0,63
49,曼德維爾女僕裝甲,,曼德維爾女僕裝甲,0,0,0,1,0,0,131117,131117,131117,58648,58650,58649,0,64
50,天使裝甲,,天使裝甲,0,0,0,1,0,0,65583,65583,65583,58651,58653,58652,0,65
51,惡魔裝甲,,惡魔裝甲,0,0,0,1,0,0,65584,65584,65584,58654,58656,58655,0,66
52,祖爾宛裝甲,,祖爾宛裝甲,0,0,0,1,0,0,65582,65582,65582,58657,58659,58658,0,134
53,須佐之男裝甲,,須佐之男裝甲,0,0,0,1,0,0,65585,65585,65585,58660,58662,58661,0,135
54,峻嶺陸行鳥裝甲,,峻嶺陸行鳥裝甲,0,0,0,1,0,0,65586,65586,65586,58663,58665,58664,0,67
55,吉祥天女裝甲,,吉祥天女裝甲,0,0,0,1,0,0,65587,65587,65587,58666,58668,58667,0,136
56,遠東裝甲,,遠東裝甲,0,0,0,1,0,0,65588,65588,65588,58669,58671,58670,0,68
57,東洋裝甲,,東洋裝甲,0,0,0,1,0,0,131124,131124,131124,58672,58674,58673,0,69
58,哪吒裝甲,,哪吒裝甲,0,0,0,1,0,0,65589,65589,65589,58675,58677,58676,0,70
59,神龍裝甲,,神龍裝甲,0,0,0,1,0,0,65590,65590,65590,58678,58680,58679,0,137
60,伊克西翁裝甲,,伊克西翁裝甲,0,0,0,1,0,0,65591,65591,65591,58681,58683,58682,0,173
61,赤紅裝甲,,赤紅裝甲,0,0,0,1,0,0,65592,65592,65592,58684,58686,58685,0,22
62,白虎裝甲,,白虎裝甲,0,0,0,1,0,0,65593,65593,65593,58687,58689,58688,0,138
63,防雨裝甲,,防雨裝甲,0,0,0,1,0,0,65594,65594,65594,58690,58692,58691,0,71
64,月讀裝甲,,月讀裝甲,0,0,0,1,0,0,65595,65595,65595,58693,58695,58694,0,139
65,朱雀裝甲,,朱雀裝甲,0,0,0,1,0,0,65596,65596,65596,58696,58698,58697,0,140
66,武士裝甲,,武士裝甲,0,0,0,1,0,0,65597,65597,65597,58699,58701,58700,0,23
67,青龍裝甲,,青龍裝甲,0,0,0,1,0,0,65598,65598,65598,58702,58704,58703,0,141
68,保鑣裝甲,,保鑣裝甲,0,0,0,1,0,0,65599,65599,65599,58705,58707,58706,0,174
69,緹坦妮雅裝甲,,緹坦妮雅裝甲,0,0,0,1,0,0,65600,65600,65600,58708,58710,58709,0,142
70,無瑕靈君裝甲,,無瑕靈君裝甲,0,0,0,1,0,0,65601,65601,65601,58711,58713,58712,0,143
71,舞者裝甲,,舞者裝甲,0,0,0,1,0,0,65602,65602,65602,58714,58716,58715,0,24
72,影淵裝甲,,影淵裝甲,0,0,0,1,0,0,65603,65603,65603,58717,58719,58718,0,72
73,黑迪斯裝甲,,黑迪斯裝甲,0,0,0,1,0,0,65604,65604,65604,58720,58722,58721,0,144
74,聖人裝甲,,聖人裝甲,0,0,0,1,0,0,65605,65605,65605,58723,58725,58724,0,106
75,紅寶石武器裝甲,,紅寶石武器裝甲,0,0,0,1,0,0,65606,65606,65606,58726,58728,58727,0,145
76,機工士裝甲,,機工士裝甲,0,0,0,1,0,0,65607,65607,65607,58729,58731,58730,0,25
77,真·光之鳥甲,,真·光之鳥甲,0,0,0,1,0,0,65608,65608,65608,58732,58734,58733,0,146
78,綠寶石武器裝甲,,綠寶石武器裝甲,0,0,0,1,0,0,65609,65609,65609,58735,58737,58736,0,147
79,天佑裝甲,,天佑裝甲,0,0,0,1,0,0,65610,65610,65610,58738,58740,58739,0,148
80,博茲雅裝甲,,博茲雅裝甲,0,0,0,1,0,0,65611,65611,65611,58741,58743,58742,0,150
81,鑽石武器裝甲,,鑽石武器裝甲,0,0,0,1,0,0,65612,65612,65612,58744,58746,58745,0,149
82,永暗裝甲,,永暗裝甲,0,0,0,1,0,0,65613,65613,65613,58747,58749,58748,0,151
83,聖光裝甲,,聖光裝甲,0,0,0,1,0,0,65614,65614,65614,58750,58752,58751,0,152
84,郵差裝甲,,郵差裝甲,0,0,0,1,0,0,65615,65615,65615,58753,58755,58754,0,107
85,薩維奈裝甲,,薩維奈裝甲,0,0,0,1,0,0,65616,65616,65616,58756,58758,58757,0,73
86,藍羽陸行鳥裝甲,,藍羽陸行鳥裝甲,0,0,0,1,0,0,65617,65617,65617,58759,58761,58760,0,153
87,餓狼陸行鳥裝甲,,餓狼陸行鳥裝甲,0,0,0,1,0,0,65618,65618,65618,58762,58764,58763,0,74
88,煞風裝甲,,煞風裝甲,0,0,0,1,0,0,65619,65619,65619,58768,58770,58769,0,154
89,海島開拓者裝甲,,海島開拓者裝甲,0,0,0,1,0,0,65620,65620,65620,58765,58767,58766,0,75
90,煬火裝甲,,煬火裝甲,0,0,0,1,0,0,65621,65621,65621,58771,58773,58772,0,155
91,亞拉戈裝甲,,亞拉戈裝甲,0,0,0,1,0,0,65622,65622,65622,58774,58776,58775,0,76
92,高貝扎裝甲,,高貝扎裝甲,0,0,0,1,0,0,65623,65623,65623,58777,58779,58778,0,156
93,貓耳裝甲,,貓耳裝甲,0,0,0,1,0,0,65624,65624,65624,58780,58782,58781,0,78
94,澤羅姆斯裝甲,,澤羅姆斯裝甲,0,0,0,1,0,0,65625,65625,65625,58783,58785,58784,0,157
95,旅行者裝甲,,旅行者裝甲,0,0,0,1,0,0,65626,65626,65626,58786,58788,58787,0,79
96,圖拉爾冒險裝甲,,圖拉爾冒險裝甲,0,0,0,1,0,0,65627,65627,65627,58789,58791,58790,0,80
97,艷翼蛇鳥裝甲,,艷翼蛇鳥裝甲,0,0,0,1,0,0,65628,65628,65628,58792,58794,58793,0,161
98,雷轉質裝甲,,雷轉質裝甲,0,0,0,1,0,0,65629,65629,65629,58795,58797,58796,0,162
99,野地裝甲,,野地裝甲,0,0,0,1,0,0,65630,65630,65630,58798,58800,58799,0,83
100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
