#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Unknown2,Unknown3,ModelChara,EquipHead,EquipBody,EquipLeg,EquipFoot,MoveControl,RideBGM,Icon,UIPriority,MountAction,Unknown_70_1,Unknown_70_2,Unknown16,Unknown17,Order,FlyingCondition,Unknown5,Unknown6,Unknown7,IsFlying,Unknown8,MountCustomize,ExitMoveDist,ExitMoveSpeed,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,Unknown9,ExtraSeats,Unknown10,Unknown11,Unknown12,IsEmote,Unknown20,IsAirborne,ExHotbarEnableConfig,UseEP,Unknown13,IsImmobile,Unknown14,HideHeadgear,Unknown18,Unknown19
10,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65536,65536,65537,0,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
11,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,65541,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
12,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,131077,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
13,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65538,196613,65537,65538,3,121,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
14,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,65537,0,0,2,121,0,0,0,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
15,獨角獸,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_UnicornBye,2553,0,0,0,0,2,121,4007,3000,0,9,19,41,42,6,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
16,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,196609,0,0,2,121,0,0,0,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
17,,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,131073,0,0,2,121,0,0,3,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
18,凶惡巨獸,,0,0,0,1,0,0,SE_Bt_Etc_BehemothWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BehemothBye,588,0,0,0,0,2,121,4008,3210,0,31,19,37,37,7,1,45,85,85,1,2,6,20,10,55,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
19,兵隊火蛟,,0,0,0,1,0,0,SE_Bt_Etc_TokageWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TokageBye,592,0,0,0,0,2,121,4009,3220,4,32,21,43,42,8,1,45,85,85,1,2,7,20,10,100,0,0,70,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
20,月桂冠古卜,,0,0,0,1,0,0,SE_Bt_Etc_GuuBooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GuuBooBye,593,0,0,0,0,4,121,4010,1001,5,8,19,39,40,9,1,45,15,15,1,2,0,15,9,100,0,0,60,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
21,魔導裝甲丙型,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,262145,0,0,2,262,4011,10001,2,30,23,41,40,10,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
22,夢魘,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_UnicornBye,594,0,0,0,0,2,121,4012,30000,0,9,19,41,42,11,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
23,,,0,0,0,1,0,0,SE_Bt_Etc_TokageWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TokageBye,592,0,0,0,0,2,121,0,0,6,32,21,43,42,-1,0,45,15,15,0,0,7,20,10,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
24,,,0,0,0,1,0,0,SE_Bt_Etc_GuuBooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GuuBooBye,593,0,0,0,0,4,121,0,0,7,8,19,39,40,-1,0,45,15,15,1,2,0,15,9,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
25,胖陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_DebuCyokoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_DebuCyokoboBye,643,0,0,0,0,2,193,4013,300,0,8,23,37,37,12,1,45,0,15,1,0,0,20,10,100,0,0,70,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
26,兵隊水龍蜥,,0,0,0,1,0,0,SE_Bt_Etc_WaterRizardWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_WaterRizardBye,689,0,0,0,0,2,121,4014,3230,0,32,21,43,42,13,1,45,85,85,1,2,7,20,10,100,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
27,炸彈吊椅,,0,0,0,1,0,0,SE_Bt_Etc_BomKikyuuWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BomKikyuuBye,644,0,0,0,0,2,121,4015,7000,0,17,19,41,40,14,1,45,15,15,1,2,0,20,10,100,0,0,70,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
28,火妖馬艾馱恩,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,713,0,0,0,0,2,269,4016,30001,0,9,19,41,42,15,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
29,風妖馬刻桑圖司,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,714,0,0,0,0,2,268,4017,30002,0,9,19,41,42,16,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
30,土妖馬古爾法克西,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,715,0,0,0,0,2,267,4018,30003,0,9,19,41,42,17,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
31,水妖馬艾恩巴爾,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,716,0,0,0,0,2,266,4019,30004,0,9,19,41,42,18,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
32,戰獅,,0,0,0,1,0,0,SE_Bt_Etc_LionWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_LionBye,721,0,0,0,0,2,121,4020,3240,0,9,21,43,40,19,1,45,70,50,1,2,8,20,10,150,13,4,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
33,戰熊,,0,0,0,1,0,0,SE_Bt_Etc_KumaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_KumaBye,719,0,0,0,0,2,121,4021,3250,0,9,19,41,38,20,1,45,15,70,1,2,9,20,10,65,12,3,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
34,大陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65563,65563,65563,65563,2,62,4022,200,0,10,21,41,40,21,1,45,15,15,1,0,10,20,20,100,0,0,55,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False
35,恐狼,,0,0,0,1,0,0,SE_Bt_Etc_WolfWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_WolfBye,675,0,0,0,0,2,121,4023,3260,0,10,20,43,42,22,1,45,70,70,1,2,11,20,10,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
36,黑渦戰馬,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,811,65537,65537,65537,0,2,121,4024,3010,0,9,19,41,40,23,1,45,70,70,1,2,12,20,10,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
37,雙蛇戰馬,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,811,131073,131073,131073,0,2,121,4025,3011,0,9,19,41,40,24,1,45,70,70,1,2,12,20,10,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
38,不滅戰馬,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,811,196609,196609,196609,0,2,121,4026,3012,0,9,19,41,40,25,1,45,70,70,1,2,12,20,10,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
39,,,0,0,0,1,0,0,SE_Bt_Etc_WaterRizardWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_WaterRizardBye,820,0,0,0,0,2,121,4014,0,8,32,21,43,42,-1,0,45,15,15,0,0,7,20,10,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
40,雷妖馬瑪卡布,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,817,0,0,0,0,2,265,4027,30005,0,9,19,41,42,26,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
41,典禮陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,571,65537,65537,65537,65537,2,62,4031,201,0,10,21,41,40,27,1,45,15,15,1,0,13,20,20,100,0,0,55,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False
42,斯雷普尼爾,,0,0,0,1,0,0,SE_Bt_Etc_SleipnilWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_SleipnilBye,866,0,0,0,0,5,263,4028,3013,0,9,19,41,40,28,1,45,70,85,1,2,14,20,10,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
43,冰妖馬玻瑞阿斯,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,818,0,0,0,0,2,264,4029,30006,0,9,19,41,42,29,1,45,70,70,1,2,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
44,遊行陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_DebuCyokoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_DebuCyokoboBye,965,0,0,0,0,2,193,4030,301,0,8,23,37,37,30,1,45,0,15,1,0,0,20,10,100,0,0,70,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
45,黑陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,966,65552,65552,131073,65537,2,62,4036,102,0,10,21,41,40,40,1,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
46,堅鋼龜,,0,0,0,1,0,0,SE_Bt_Etc_AdamanWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_AdamanBye,987,0,0,0,0,2,121,4034,3270,0,0,0,37,37,31,1,45,15,15,1,0,15,5,3,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
47,麒麟,,0,0,0,1,0,0,SE_Bt_Etc_KirinWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_KirinBye,958,0,0,0,0,2,358,4032,30050,0,9,19,41,42,32,1,45,15,80,1,0,5,20,10,65,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
48,騎乘系統,,0,0,0,1,0,0,SE_Bt_Etc_DaragabWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_DaragabBye,1029,0,0,0,0,2,121,4033,10500,9,17,19,39,40,33,1,45,15,15,1,0,16,0,10,100,12,4,100,0,0,0,False,True,False,True,True,False,False,False,False,False,False,False
49,芬里爾,,0,0,0,1,0,0,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1026,0,0,0,0,2,121,4035,3280,0,9,21,41,42,34,1,45,15,70,1,2,17,20,10,65,0,6,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
50,幻龍米德加爾特,,0,0,0,1,0,0,SE_Bt_Etc_DragoneWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_DragoneBye,926,0,0,0,0,2,319,4037,35000,0,9,23,39,38,35,1,45,15,50,1,2,0,20,10,40,0,0,75,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
51,,,0,0,0,1,0,0,,,,311,0,0,0,0,5,0,0,0,0,9,19,39,40,-1,0,45,15,15,0,0,18,0,0,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
52,紅大陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,131099,131099,131099,131099,2,62,4044,202,0,10,21,41,40,41,1,45,15,15,1,0,10,20,20,100,0,0,55,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False
53,騰雲蛇,,0,0,0,1,0,0,SE_Bt_Etc_CeronWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_CeronBye,1161,0,0,0,0,2,319,4038,7010,0,19,23,41,42,36,1,45,15,50,1,2,19,20,20,90,9,3,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
54,獅鷲,,0,0,0,1,0,0,SE_Bt_Etc_GrifinWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GrifinBye,992,0,0,0,0,2,319,4039,3290,0,9,21,41,40,37,1,45,70,60,1,2,20,20,20,60,9,3,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
55,破魔艇,,0,0,0,1,0,0,SE_Bt_Etc_HitorinoriWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_HitorinoriBye,929,0,0,0,0,2,319,4040,11000,0,18,21,37,37,38,1,45,15,15,1,2,0,0,10,60,0,0,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
56,戰豹,,0,0,0,1,0,0,SE_Bt_Etc_CuahrWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_CuahrBye,2048,0,0,0,0,2,121,4041,3201,0,10,21,41,42,39,1,45,70,70,1,2,3,20,10,60,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
57,,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65552,65552,131073,65537,2,61,0,0,0,10,21,41,40,-1,0,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
58,哥布林戰車,,0,0,0,1,0,0,SE_Bt_Etc_GobrinTunkWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_GobrinTunkBye,1011,0,0,0,0,2,397,4042,10070,0,0,21,39,40,42,1,45,0,70,1,2,21,0,10,50,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
59,雙塔尼亞,,0,0,0,1,0,0,SE_Bt_Etc_TwinTaniaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TwinTaniaBye,1249,0,0,0,0,2,319,4043,1010,12,8,21,41,40,43,1,45,15,60,1,2,60,20,20,55,9,3,60,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
60,,,0,0,0,1,0,0,SE_Bt_Etc_GobrinTunkWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_GobrinTunkBye,1011,0,0,0,0,2,397,0,0,10,0,21,39,40,-1,0,45,15,15,0,0,21,0,10,50,0,0,100,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False
61,,,0,0,0,1,0,0,SE_Bt_Etc_GobrinTunkWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_GobrinTunkBye,1011,0,0,0,0,2,397,0,0,11,0,21,39,40,-1,0,45,15,15,0,0,21,0,10,50,0,0,100,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False
62,魔女掃帚,,0,0,0,1,0,0,SE_Bt_Etc_HoukiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_HoukiBye,1326,0,0,0,0,2,330,4045,16000,33,21,24,43,42,44,1,45,15,15,1,2,22,20,10,100,0,0,70,0,0,0,False,True,False,True,True,False,False,False,False,False,False,False
63,,,0,0,0,1,0,0,SE_Bt_Etc_HoukiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_HoukiBye,1326,0,0,0,0,2,330,0,0,13,21,24,43,42,-1,0,45,15,15,0,0,22,20,10,100,0,0,100,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
64,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
65,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
66,,,0,0,0,1,0,0,SE_Bt_Etc_CeronWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_CeronBye,1161,0,0,0,0,2,319,0,0,14,19,23,41,42,-1,1,45,15,50,1,2,19,20,20,60,9,3,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
67,天馬,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,1065,0,0,0,0,2,319,4047,3020,0,9,19,41,40,46,1,45,15,80,1,2,24,20,10,65,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
68,莉維亞專用魔導裝甲,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,393217,0,0,2,331,4048,10002,2,30,23,41,40,47,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
69,尼祿專用魔導裝甲,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,327681,0,0,2,331,4049,10003,2,30,23,41,40,48,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
70,雙足飛龍,,0,0,0,1,0,0,SE_Bt_Etc_TwinTaniaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TwinTaniaBye,1412,0,0,0,0,2,319,4050,1020,0,8,21,39,38,49,1,45,15,50,1,2,25,20,20,120,9,3,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
71,SDS芬里爾,,0,0,0,1,0,0,SE_Bt_Etc_BikeWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_BikeBye,964,0,0,0,0,2,592,4135,10180,0,13,24,43,44,127,1,45,15,15,1,2,65,0,10,100,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
72,恐甲螞蜓,,0,0,0,1,0,0,SE_Bt_Etc_EnsaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_EnsaBye,1411,0,0,0,0,2,319,4051,5020,0,9,21,39,40,50,1,45,0,60,1,2,26,15,9,65,0,0,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
73,祖,,0,0,0,1,0,0,SE_Bt_Etc_ZooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_ZooBye,1446,0,0,0,0,2,319,4052,1030,0,8,21,41,40,51,1,45,15,60,1,2,27,20,20,55,9,3,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
74,貝努鳥,,0,0,0,1,0,0,SE_Bt_Etc_BennuWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BennuWhistle_only,1447,0,0,0,0,2,376,4053,1031,0,8,21,41,40,52,1,45,15,60,1,2,27,20,20,55,9,3,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
75,白雲獵鷹,,0,0,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1511,0,0,0,0,2,371,4054,30100,0,8,23,41,40,53,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
76,怒武獵鷹,,0,0,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1512,0,0,0,0,2,372,4055,30101,0,8,23,41,40,54,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
77,圓桌獵鷹,,0,0,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1513,0,0,0,0,2,373,4056,30102,0,8,23,41,40,55,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
78,戰爭獵鷹,,0,0,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1514,0,0,0,0,2,374,4057,30103,0,8,23,41,40,56,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
79,,,0,0,0,1,0,0,SE_Bt_Etc_EnsaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_EnsaBye,1411,0,0,0,0,2,319,0,0,15,9,21,39,40,-1,1,45,0,60,1,2,26,15,9,65,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
