#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
87,因為長時間沒有使用，第UNKNOWN區UNKNOWN號土地已被回收，部分資產由住宅區管理員代為保管。,0,7,0,5,11
88,回到了房屋中，自動拆除準備已經取消。,16,0,0,5,11
89,因為資產回收期限已過，從第UNKNOWN區UNKNOWN號土地回收的資產已全部銷毀。,0,7,0,5,11
90,在花盆中播下了。,16,14,0,6,13
91,對花盆裡的作物澆了些水。,16,0,0,6,13
92,從花盆裡的作物中收穫了UNKNOWN個。,16,14,1,6,13
93,將花盆裡的作物處理掉了。,16,0,0,6,13
94,將房屋搬遷到了第UNKNOWN區UNKNOWN號土地。,4,7,0,5,11
95,將第UNKNOWN艘潛水艇登記為「」。,16,15,1,9,14
96,將第UNKNOWN艘潛水艇的名字更改為「」。,16,15,1,9,14
97,拆解了登記為「」的第UNKNOWN艘潛水艇。,16,15,1,9,14
98,派出了潛水艇「」去進行探索。,16,15,0,9,14
99,中止了潛水艇「」的探索。,16,15,0,9,14
100,接受了「」探索完成的報告。,16,15,0,9,14
101,潛水艇「」升為UNKNOWN級。,16,15,1,9,14
102,通過潛水艇「」的探索，工坊可以登記第UNKNOWN艘潛水艇了。,16,15,1,9,14
103,刪除了的留言。,16,23,0,5,11
104,修改了交流簿的設定。,16,0,0,5,11
105,設定了房屋宣傳標籤。,16,0,0,5,11
106,改建了「」的內部。,16,15,0,5,11
107,,0,0,0,0,0
