#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2214,重建伊修加爾德·草木資源,74,0,2006,2,17,4
2215,重建伊修加爾德·草木資源,74,0,2006,2,17,4
2216,天鋼工具·礦物資源2,69428,0,2007,1,16,0
2217,,69428,0,0,1,16,0
2218,天鋼工具·草木資源2,69428,0,2007,2,17,0
2219,,69428,0,0,2,17,0
2220,51級～,67631,0,2008,1,16,0
2221,51級～,67631,0,2008,1,16,0
2222,51級～,67631,0,2008,2,17,0
2223,51級～,67631,0,2008,2,17,0
2224,56級～,67631,0,2008,1,16,0
2225,56級～,67631,0,2008,1,16,0
2226,56級～,67631,0,2008,2,17,0
2227,56級～,67631,0,2008,2,17,0
2228,61級～,67631,0,2008,1,16,0
2229,61級～,67631,0,2008,1,16,0
2230,61級～,67631,0,2008,2,17,0
2231,61級～,67631,0,2008,2,17,0
2232,66級～,67631,0,2008,1,16,0
2233,66級～,67631,0,2008,1,16,0
2234,66級～,67631,0,2008,2,17,0
2235,66級～,67631,0,2008,2,17,0
2236,71級～,67631,0,2009,1,16,0
2237,71級～,67631,0,2009,1,16,0
2238,71級～,67631,0,2009,2,17,0
2239,71級～,67631,0,2009,2,17,0
2240,76級～,67631,0,2009,1,16,0
2241,76級～,67631,0,2009,1,16,0
2242,76級～,67631,0,2009,2,17,0
2243,76級～,67631,0,2009,2,17,0
2244,81級～,67631,0,2013,1,16,0
2245,81級～,67631,0,2013,1,16,0
2246,81級～,67631,0,2013,2,17,0
2247,81級～,67631,0,2013,2,17,0
2248,重建伊修加爾德·礦物資源,74,0,2006,1,16,5
2249,重建伊修加爾德·礦物資源,74,0,2006,1,16,5
2250,重建伊修加爾德·草木資源,74,0,2006,2,17,5
2251,重建伊修加爾德·草木資源,74,0,2006,2,17,5
2252,天鋼工具·礦物資源3,69518,0,2007,1,16,0
2253,,69518,0,0,1,16,0
2254,天鋼工具·草木資源3,69518,0,2007,2,17,0
2255,,69518,0,0,2,17,0
2256,86級～,67631,0,2013,1,16,0
2257,86級～,67631,0,2013,1,16,0
2258,86級～,67631,0,2013,2,17,0
2259,86級～,67631,0,2013,2,17,0
2260,,70137,0,0,1,16,0
2261,,70137,0,0,1,16,0
2262,,70137,0,0,2,17,0
2263,,70137,0,0,2,17,0
2264,,70138,0,0,1,16,0
2265,,70138,0,0,1,16,0
2266,,70138,0,0,2,17,0
2267,,70138,0,0,2,17,0
2268,,70139,0,0,1,16,0
2269,,70139,0,0,1,16,0
2270,,70139,0,0,2,17,0
2271,,70139,0,0,2,17,0
2272,莫雯卓越工具·礦物資源1,70266,0,2014,1,16,0
2273,,70266,0,2014,1,16,0
2274,莫雯卓越工具·草木資源1,70266,0,2014,2,17,0
2275,,70266,0,2014,2,17,0
2276,莫雯卓越工具·礦物資源2,70303,0,2014,1,16,0
2277,,70303,0,2014,1,16,0
2278,莫雯卓越工具·草木資源2,70303,0,2014,2,17,0
2279,,70303,0,2014,2,17,0
2280,莫雯卓越工具·礦物資源3,70338,0,2014,1,16,0
2281,,70338,0,2014,1,16,0
2282,莫雯卓越工具·草木資源3,70338,0,2014,2,17,0
2283,,70338,0,2014,2,17,0
2284,91級～,67631,0,2018,1,16,0
2285,91級～,67631,0,2018,1,16,0
2286,91級～,67631,0,2018,2,17,0
2287,91級～,67631,0,2018,2,17,0
2288,96級～,67631,0,2018,1,16,0
2289,96級～,67631,0,2018,1,16,0
2290,96級～,67631,0,2018,2,17,0
2291,96級～,67631,0,2018,2,17,0
2292,,0,0,0,0,0,0
2293,,0,0,0,0,0,0
2294,,0,0,0,0,0,0
2295,,0,0,0,0,0,0
2296,,0,0,0,0,0,0
2297,,0,0,0,0,0,0
2298,,0,0,0,0,0,0
2299,,0,0,0,0,0,0
2300,,0,0,0,0,0,0
2301,,0,0,0,0,0,0
2302,,0,0,0,0,0,0
2303,,0,0,0,0,0,0
2304,,0,0,0,0,0,0
2305,,0,0,0,0,0,0
2306,,0,0,0,0,0,0
2307,,0,0,0,0,0,0
2308,,0,0,0,0,0,0
2309,,0,0,0,0,0,0
2310,,0,0,0,0,0,0
2311,,0,0,0,0,0,0
2312,,0,0,0,0,0,0
2313,,0,0,0,0,0,0
2314,,0,0,0,0,0,0
2315,,0,0,0,0,0,0
2316,,0,0,0,0,0,0
2317,,0,0,0,0,0,0
2318,,0,0,0,0,0,0
2319,,0,0,0,0,0,0
2320,,0,0,0,0,0,0
2321,,0,0,0,0,0,0
2322,,0,0,0,0,0,0
2323,,0,0,0,0,0,0
2324,,0,0,0,0,0,0
2325,,0,0,0,0,0,0
2326,,0,0,0,0,0,0
2327,,0,0,0,0,0,0
2328,,0,0,0,0,0,0
2329,,0,0,0,0,0,0
2330,,0,0,0,0,0,0
2331,,0,0,0,0,0,0
2332,,0,0,0,0,0,0
2333,,0,0,0,0,0,0
2334,,0,0,0,0,0,0
2335,,0,0,0,0,0,0
2336,,0,0,0,0,0,0
2337,,0,0,0,0,0,0
2338,,0,0,0,0,0,0
2339,,0,0,0,0,0,0
2340,,0,0,0,0,0,0
2341,,0,0,0,0,0,0
2342,,0,0,0,0,0,0
2343,,0,0,0,0,0,0
2344,,0,0,0,0,0,0
2345,,0,0,0,0,0,0
2346,,0,0,0,0,0,0
2347,,0,0,0,0,0,0
2348,,0,0,0,0,0,0
2349,,0,0,0,0,0,0
2350,,0,0,0,0,0,0
2500,魚類傳承錄·庫爾札斯篇,0,12701,0,3,18,0
2501,魚類傳承錄·德拉瓦尼亞篇,1,12702,0,3,18,0
2502,魚類傳承錄·阿巴拉提亞篇,2,12703,0,3,18,0
2503,魚類傳承錄·基拉巴尼亞篇,3,17842,0,3,18,0
2504,魚類傳承錄·基拉巴尼亞篇,3,17842,0,3,18,0
2505,魚類傳承錄·奧薩德篇,4,17843,0,3,18,0
2506,魚類傳承錄·奧薩德篇,4,17843,0,3,18,0
2507,魚類傳承錄·諾弗蘭特篇,5,26810,0,3,18,0
2508,魚類傳承錄·諾弗蘭特篇,5,26810,0,3,18,0
2509,魚類傳承錄·北洋地域&伊爾薩巴德篇,6,36606,2010,3,18,0
2510,魚類傳承錄·北洋地域&伊爾薩巴德篇,6,36606,2010,3,18,0
2511,魚類傳承錄·星外天域篇,7,36608,2011,3,18,0
2512,魚類傳承錄·星外天域篇,7,36608,2011,3,18,0
2513,魚類傳承錄·古代世界篇,8,36609,2012,3,18,0
2514,魚類傳承錄·古代世界篇,8,36609,2012,3,18,0
2515,魚類傳承錄·尤卡圖拉爾篇,9,43884,2015,3,18,0
2516,魚類傳承錄·尤卡圖拉爾篇,9,43884,2015,3,18,0
2517,魚類傳承錄·薩卡圖拉爾篇,10,43885,2016,3,18,0
2518,魚類傳承錄·薩卡圖拉爾篇,10,43885,2016,3,18,0
2519,魚類傳承錄·亞歷山德里亞篇,11,43886,2017,3,18,0
2520,魚類傳承錄·亞歷山德里亞篇,11,43886,2017,3,18,0
