#,Unknown0,Unknown1,Text,Unknown3,Unknown4
11.23,73270,8205274,39735,5,0
11.24,0,0,0,0,0
11.25,73271,8205249,39737,5,0
11.26,73272,8205250,39738,5,0
11.27,73270,8205276,39739,5,0
11.28,0,0,0,0,0
11.29,73272,8205253,39741,5,0
11.30,73011,8205005,39742,5,0
11.31,73265,8205073,39743,5,0
11.32,73011,8205006,39744,5,0
11.33,73272,8205254,39745,5,0
11.34,73272,8205256,39746,5,0
11.35,73272,8205257,39747,5,0
11.36,73011,8205007,39748,5,0
11.37,73272,8205258,39749,5,0
11.38,73272,8205259,39750,5,0
11.39,73270,8205277,39751,5,0
11.40,73272,8205260,39752,5,0
11.41,73270,8205278,39753,5,0
11.42,73272,8205261,39754,5,0
11.43,73272,8205255,39755,5,0
12.0,0,0,40003,7,0
12.1,0,0,40004,7,0
12.2,0,0,40005,7,0
12.3,0,0,40007,6,0
12.4,0,0,40008,6,0
12.5,0,0,40009,7,0
12.6,0,0,40010,5,0
12.7,0,0,40011,5,0
12.8,0,0,40012,6,0
12.9,0,0,0,0,0
12.10,0,0,40013,5,0
13.0,0,0,40102,5,0
13.1,0,0,40103,5,0
13.2,0,0,40104,5,0
13.3,0,0,40105,5,0
13.4,0,0,40106,7,0
13.5,0,0,40107,7,0
13.6,0,0,40108,7,0
13.7,0,0,40109,6,0
13.8,0,0,40110,7,0
13.9,0,0,40111,5,0
13.10,0,0,40112,5,0
13.11,0,0,40113,7,0
13.12,0,0,40114,5,0
13.13,0,0,40115,5,0
13.14,0,0,40116,7,0
13.15,0,0,40117,7,0
13.16,0,0,40118,7,0
13.17,0,0,40119,5,0
13.18,0,0,40120,6,0
13.19,0,0,40121,7,0
13.20,0,0,40122,7,0
13.21,0,0,40123,5,0
13.22,0,0,40124,5,0
13.23,0,0,40125,7,0
13.24,0,0,40126,7,0
13.25,0,0,40127,5,0
13.26,0,0,40128,6,0
13.27,0,0,40129,6,0
13.28,0,0,40130,7,0
13.29,0,0,40131,7,0
13.30,0,0,40132,7,0
13.31,0,0,40133,7,0
13.32,0,0,40134,7,0
13.33,0,0,40135,7,0
13.34,0,0,40136,6,0
13.35,0,0,40137,6,0
13.36,0,0,0,0,0
14.0,0,0,38806,6,0
14.1,0,0,38807,6,0
14.2,0,0,38808,6,0
14.3,0,0,38809,6,0
14.4,0,0,38810,6,0
14.5,0,0,38833,5,11
14.6,0,0,38837,5,11
14.7,0,0,38835,5,11
15.0,0,0,39601,6,0
15.1,0,0,39602,7,0
15.2,0,0,39608,7,0
15.3,0,0,39609,5,0
15.4,0,0,39603,7,0
15.5,0,0,39604,6,0
15.6,0,0,39605,7,0
15.7,0,0,39606,6,0
15.8,0,0,39607,7,0
15.9,0,0,39610,7,0
15.10,0,0,39611,7,0
15.11,0,0,39612,7,0
15.12,0,0,39613,5,0
15.13,0,0,39614,7,0
15.14,0,0,39615,7,0
15.15,0,0,39616,6,0
15.16,0,0,39621,6,0
15.17,0,0,39617,6,0
15.18,0,0,39618,7,0
15.19,0,0,39619,5,0
15.20,0,0,39620,7,0
15.21,0,0,39622,7,0
15.22,0,0,39623,5,0
15.23,0,0,39624,6,0
16.0,73273,8205289,39800,4,11
16.1,73273,8205290,39801,4,11
16.2,73273,8205291,39802,4,11
16.3,73273,8205292,39803,4,11
16.4,73273,8205293,39804,4,11
16.5,73273,8205294,39805,5,11
16.6,73273,8205295,39806,4,11
16.7,73273,8205296,39807,4,11
16.8,73273,8205297,39808,6,11
16.9,73273,8205298,39809,6,11
16.10,73273,8205299,39810,6,11
16.11,73273,8205300,39811,4,11
16.12,73273,8205301,39812,5,11
16.13,73273,8205302,39813,5,11
16.14,73273,8205303,39814,5,11
16.15,73270,8205308,39825,4,0
16.16,73265,8205081,39826,4,0
16.17,73265,8205082,39827,5,0
16.18,73270,8205309,39828,4,0
16.19,73265,8205083,39829,8,0
16.20,73270,8205310,39830,4,0
16.21,73270,8205311,39831,5,0
16.22,73265,8205084,39832,4,0
16.23,73265,8205085,39833,5,0
16.24,0,0,39834,1,7
16.25,0,0,39835,1,7
16.26,0,0,39836,1,7
16.27,0,0,39837,1,7
16.28,0,0,39838,1,7
17.0,0,8205116,40400,6,0
17.1,0,8205117,40401,4,0
17.2,0,8205118,40402,4,0
17.3,0,8205119,40403,5,0
17.4,0,8205120,40404,4,0
17.5,0,8205121,40405,4,0
17.6,0,8205122,40406,5,0
17.7,0,8205123,40407,4,0
17.8,0,8205124,40408,5,0
17.9,0,8205125,40409,4,0
17.10,0,8205126,40410,4,0
17.11,0,8205127,40411,4,0
17.12,0,8205128,40412,4,0
17.13,0,8205129,40413,4,0
17.14,0,8205130,40414,4,0
17.15,0,8205132,40416,4,0
17.16,0,8205134,40418,4,0
17.17,0,8205135,40419,5,0
17.18,0,8205136,40420,5,0
17.19,0,8205137,40421,5,0
17.20,0,8205138,40422,5,0
17.21,0,8205139,40423,5,0
18.0,0,0,40050,7,0
18.1,0,0,40051,7,0
18.2,0,0,40058,5,0
18.3,0,0,40059,7,0
18.4,0,0,40061,7,0
18.5,0,0,40063,7,0
18.6,0,0,40064,7,0
18.7,0,0,40065,6,0
18.8,0,0,40067,7,0
18.9,0,0,40068,7,0
18.10,0,0,40069,7,0
18.11,0,0,40070,7,0
18.12,0,0,40078,7,0
18.13,0,0,40079,7,0
18.14,0,0,40080,7,0
18.15,0,0,40081,7,0
18.16,0,0,40082,7,0
18.17,0,0,40083,7,0
18.18,0,0,40087,7,0
18.19,0,0,40088,7,0
18.20,0,0,40089,7,0
18.21,0,0,40090,6,0
18.22,0,0,40092,7,0
18.23,0,0,40052,7,0
18.24,0,0,40053,7,0
18.25,0,0,40054,7,0
18.26,0,0,40055,7,0
19.0,0,8205341,40700,4,6
19.1,0,8205342,40701,4,6
19.2,0,8205343,40702,4,6
19.3,0,8205344,40703,4,6
19.4,0,8205345,40704,4,6
19.5,0,8205346,40705,4,6
19.6,0,8205347,40706,4,6
19.7,0,8205348,40707,4,6
19.8,0,8205349,40708,4,6
19.9,0,8205350,40709,4,6
19.10,0,8205351,40710,4,6
19.11,0,8205352,40711,4,6
19.12,0,8205388,40712,4,6
19.13,0,0,0,0,0
19.14,0,0,0,0,0
19.15,0,0,0,0,0
19.16,0,0,0,0,0
19.17,0,0,0,0,0
19.18,0,0,0,0,0
19.19,0,0,0,0,0
19.20,0,0,0,0,0
19.21,0,0,0,0,0
19.22,0,0,0,0,0
19.23,0,0,0,0,0
19.24,0,0,0,0,0
19.25,0,0,0,0,0
20.0,0,8205441,40300,4,0
20.1,0,8205442,40301,4,0
20.2,0,8205443,40302,5,0
20.3,0,8205444,40303,4,0
20.4,0,8205445,40304,4,0
20.5,0,8205446,40305,4,0
20.6,0,8205447,40306,4,0
20.7,0,8205448,40307,4,0
20.8,0,8205449,40308,4,0
20.9,0,8205379,40309,4,6
20.10,0,8205380,40310,5,6
20.11,0,8205381,40311,4,6
20.12,0,8205450,40312,4,0
20.13,0,8205451,40313,4,0
20.14,0,8205452,40314,4,0
20.15,0,8205453,40315,4,0
20.16,0,8205454,40316,4,0
20.17,0,8205455,40317,4,0
20.18,0,8205456,40318,4,0
20.19,0,8205457,40319,4,0
20.20,0,8205458,40320,4,0
20.21,0,8205459,40321,4,0
20.22,0,8205382,40322,5,6
20.23,0,8205383,40323,4,6
20.24,0,8205384,40324,6,6
20.25,0,8205460,40325,4,0
20.26,0,8205461,40326,4,0
20.27,0,8205462,40327,4,0
20.28,0,8205463,40328,4,0
20.29,0,8205464,40329,5,0
20.30,0,8205465,40330,4,0
20.31,0,8205466,40331,4,0
20.32,0,8205467,40332,4,0
20.33,0,8205468,40333,4,0
20.34,0,8205385,40334,4,6
20.35,0,8205386,40335,4,6
20.36,0,8205387,40336,4,6
21.0,0,0,39901,5,0
21.1,0,0,39902,6,0
21.2,0,0,39903,6,0
21.3,0,0,39904,6,0
21.4,0,0,39905,7,0
21.5,0,0,39906,5,0
21.6,0,0,39907,5,0
21.7,0,0,39908,7,0
21.8,0,0,39909,7,0
21.9,0,0,39910,7,0
21.10,0,0,39911,5,0
21.11,0,0,39912,6,0
21.12,0,0,39913,7,0
21.13,0,0,39914,6,0
21.14,0,0,39915,6,0
21.15,0,0,39916,5,0
21.16,0,0,39917,5,0
21.17,0,0,39918,7,0
21.18,0,0,39919,6,0
21.19,0,0,39920,6,0
21.20,0,0,39921,7,0
21.21,0,0,39922,6,0
21.22,0,0,39923,6,0
21.23,0,0,39924,6,0
21.24,0,0,39925,6,0
21.25,0,0,39926,7,0
21.26,0,0,39927,5,0
21.27,0,0,39928,7,0
21.28,0,0,39929,5,0
21.29,0,0,39935,6,0
21.30,0,0,39936,7,0
21.31,0,0,39937,7,0
21.32,0,0,39938,6,0
21.33,0,0,39939,6,0
22.0,0,0,38307,6,0
22.1,0,0,38308,7,0
22.2,0,0,38309,6,0
22.3,0,0,38310,7,0
22.4,0,0,38311,7,0
22.5,0,0,38312,7,0
22.6,0,0,38313,6,0
22.7,0,0,38314,7,0
22.8,0,0,38315,6,0
22.9,0,0,38316,7,0
22.10,0,0,38317,7,0
22.11,0,0,38318,7,0
22.12,0,0,38319,7,0
22.13,0,0,38320,7,0
22.14,0,0,38321,7,0
22.15,0,0,38322,7,0
22.16,0,0,38323,8,0
22.17,0,0,38324,8,0
22.18,0,0,38325,7,0
22.19,0,0,38337,7,0
22.20,0,0,38349,6,11
22.21,0,0,38350,6,11
22.22,0,0,38351,6,11
22.23,0,0,38352,6,11
22.24,0,0,38353,6,11
22.25,0,0,38354,6,11
22.26,0,0,38355,6,11
22.27,0,0,38356,6,11
22.28,0,0,38357,6,11
22.29,0,0,38345,6,11
22.30,0,0,38348,6,11
23.0,0,0,40906,4,0
23.1,0,0,40907,4,0
23.2,0,0,40908,4,0
23.3,0,0,40909,4,0
23.4,0,0,40910,4,0
23.5,0,0,40911,4,0
23.6,0,0,40912,4,0
23.7,0,0,40913,4,0
23.8,0,0,40918,5,0
23.9,0,0,40920,5,0
23.10,0,0,40921,6,0
23.11,0,0,40914,5,0
23.12,0,0,40915,4,0
23.13,0,0,40916,4,0
23.14,0,0,40917,4,0
23.15,0,0,40919,5,0
23.16,0,0,40922,6,0
24.0,0,0,0,0,0
25.0,0,0,0,0,0
26.0,0,0,40504,5,0
26.1,0,0,40505,5,0
26.2,0,0,40506,5,0
26.3,0,0,40507,5,0
26.4,0,0,40508,5,0
26.5,0,0,40509,5,0
26.6,0,0,40510,5,0
26.7,0,0,40511,5,0
26.8,0,0,40512,5,0
26.9,0,0,40513,5,0
26.10,0,0,40514,5,0
26.11,0,0,40515,5,0
26.12,0,0,40516,5,0
26.13,0,0,40517,5,0
26.14,0,0,40518,5,0
26.15,0,0,40522,5,0
26.16,0,0,40523,5,0
26.17,0,0,40524,5,0
26.18,0,0,40525,5,0
26.19,0,0,40526,5,0
26.20,0,0,40527,5,0
26.21,0,0,40528,5,0
26.22,0,0,40529,5,0
26.23,0,0,40530,5,0
26.24,0,0,40531,5,0
26.25,0,0,40532,5,0
26.26,0,0,40533,5,0
26.27,0,0,40534,5,0
26.28,0,0,40535,5,0
26.29,0,0,40536,5,0
26.30,0,0,40537,5,0
26.31,0,0,40538,5,0
26.32,0,0,40539,5,0
26.33,0,0,40540,5,0
26.34,0,0,40541,5,0
26.35,0,0,40542,5,0
26.36,0,0,40519,5,0
26.37,0,0,40520,5,0
26.38,0,0,40521,5,0
26.39,0,0,40543,5,0
26.40,0,0,40544,5,0
27.0,0,8205353,40601,4,6
27.1,0,8205354,40602,5,6
27.2,0,8205355,40604,4,6
27.3,0,8205356,40605,4,6
27.4,0,8205357,40606,5,6
27.5,0,8205358,40613,5,6
27.6,0,8205360,40616,4,6
27.7,0,8205389,40600,4,0
27.8,0,8205391,40607,4,0
27.9,0,8205392,40608,4,0
27.10,0,8205401,40619,4,0
27.11,0,8205390,40603,4,0
27.12,0,8205394,40610,4,0
27.13,0,8205393,40609,4,0
27.14,0,8205399,40617,4,0
27.15,0,8205400,40618,4,0
27.16,0,8205397,40614,4,0
27.17,0,8205395,40611,4,0
27.18,0,8205396,40612,5,0
27.19,0,8205398,40615,4,0
27.20,0,8205402,40620,4,0
27.21,0,8205403,40621,5,0
28.0,0,0,38606,4,0
28.1,0,0,38607,4,0
28.2,0,0,38608,4,0
28.3,0,0,38609,5,0
28.4,0,0,38610,4,0
28.5,0,0,38611,6,0
28.6,0,0,38612,6,0
28.7,0,0,38613,6,0
28.8,0,0,38614,6,0
29.0,0,8205425,40201,4,0
29.1,0,8205369,40202,5,6
29.2,0,8205426,40203,4,0
29.3,0,8205440,40204,5,11
29.4,0,8205427,40205,4,0
29.5,0,8205370,40206,5,6
29.6,0,8205428,40207,4,0
29.7,0,8205429,40208,4,0
29.8,0,8205371,40209,4,6
29.9,0,8205431,40212,4,0
29.10,0,8205375,40213,5,6
29.11,0,8205432,40214,4,0
29.12,0,8205433,40215,4,0
29.13,0,8205376,40216,5,6
29.14,0,8205434,40217,4,0
29.15,0,8205377,40218,5,6
29.16,0,8205435,40219,5,0
29.17,0,8205378,40220,5,6
29.18,0,8205436,40221,4,0
30.0,0,8205228,40800,4,0
30.1,0,8205229,40801,4,6
30.2,0,8205230,40802,4,0
30.3,0,8205231,40803,4,0
30.4,0,8205232,40804,4,0
30.5,0,8205233,40805,4,0
30.6,0,8205234,40806,4,0
30.7,0,8205235,40807,4,0
30.8,0,8205236,40808,4,0
30.9,0,8205237,40809,4,0
30.10,0,8205238,40810,4,0
30.11,0,8205239,40811,4,0
30.12,0,8205240,40812,4,0
30.13,0,0,0,0,0
30.14,0,0,0,0,0
30.15,0,0,0,0,0
31.0,73266,8205500,41005,5,0
31.1,73266,8205501,41006,7,0
31.2,73266,8205502,41007,5,0
31.3,73266,8205487,41008,5,0
31.4,73265,8205476,41009,7,0
31.5,0,0,0,0,0
31.6,73266,8205488,41011,5,0
31.7,73275,8205505,41012,7,0
31.8,0,0,0,0,0
31.9,73266,8205489,41014,6,0
31.10,73266,8205490,41015,7,0
31.11,0,0,0,0,0
31.12,73266,8205491,41017,5,0
31.13,73265,8205477,41018,5,0
31.14,0,0,0,0,0
31.15,73275,8205506,41020,6,0
31.16,73275,8205507,41021,6,0
31.17,73265,8205478,41022,5,0
31.18,0,0,0,0,0
31.19,73266,8205493,41024,5,0
31.20,0,0,0,0,0
31.21,73266,0,41026,5,0
31.22,73266,8205494,41027,5,0
31.23,73276,8205495,41028,6,0
31.24,73265,8205480,41029,6,0
31.25,73276,8205496,41030,6,0
31.26,73276,8205497,41031,7,0
31.27,73276,8205498,41032,7,0
31.28,73265,8205481,41033,5,0
31.29,73265,8205483,41034,5,0
31.30,73276,8205499,41035,6,0
31.31,0,0,0,0,0
31.32,73276,8205503,41037,6,0
31.33,0,0,0,0,0
31.34,73265,8205484,41039,7,0
31.35,73265,8205485,41040,6,0
31.36,0,0,0,0,0
31.37,73276,8205504,41042,7,0
31.38,73265,8205486,41043,5,0
31.39,73265,0,41044,7,0
31.40,73276,0,41045,6,0
31.41,73265,8205479,41046,5,0
31.42,73276,8205500,41005,6,0
31.43,73265,8205482,41047,5,0
31.44,73276,0,41048,7,0
31.45,73276,0,41049,7,0
32.0,0,8205609,41417,4,0
32.1,0,8205610,41418,4,0
32.2,0,8205611,41419,4,0
32.3,0,8205612,41420,4,0
32.4,0,8205613,41421,4,0
32.5,0,8205614,41422,4,0
32.6,0,8205615,41423,4,0
32.7,0,8205616,41424,4,0
32.8,0,8205617,41425,4,0
32.9,0,8205618,41426,4,0
32.10,0,8205619,41427,4,0
32.11,0,8205620,41428,4,0
32.12,0,8205621,41429,4,0
32.13,0,8205622,41430,4,0
32.14,0,8205623,41431,4,0
32.15,0,8205624,41432,4,0
32.16,0,8205625,41433,5,0
32.17,0,8205626,41434,5,0
32.18,0,8205627,41435,5,0
32.19,0,8205628,41436,5,0
32.20,0,8205629,41437,5,0
32.21,0,8205603,41438,6,0
32.22,0,8205604,41439,4,0
32.23,0,8205605,41440,6,0
32.24,0,8205606,41441,4,0
32.25,0,8205607,41442,6,0
32.26,0,8205608,41443,4,0
32.27,0,8205599,41444,6,0
32.28,0,8205600,41445,4,0
32.29,0,8205601,41446,6,0
32.30,0,8205602,41447,4,0
32.31,0,8205650,41456,6,0
32.32,0,8205651,41457,6,0
32.33,0,8205663,41458,4,0
32.34,0,8205652,41459,6,0
32.35,0,8205653,41460,6,0
32.36,0,8205654,41461,6,0
32.37,0,8205664,41462,6,0
32.38,0,8205655,41463,6,0
32.39,0,8205656,41464,6,0
32.40,0,8205665,41465,6,0
32.41,0,8205657,41466,6,0
32.42,0,8205582,41400,8,0
32.43,0,8205583,41401,7,0
32.44,0,8205584,41402,5,0
32.45,0,8205585,41403,8,0
32.46,0,8205586,41404,6,0
32.47,0,8205587,41405,5,0
32.48,0,8205588,41406,5,0
32.49,0,8205589,41407,6,0
32.50,0,8205590,41408,7,0
32.51,0,8205591,41409,8,0
32.52,0,8205592,41410,8,0
32.53,0,8205593,41411,8,0
32.54,0,8205594,41412,8,0
32.55,0,8205595,41413,4,0
32.56,0,8205596,41414,8,0
32.57,0,8205597,41415,8,0
32.58,0,8205598,41416,8,0
32.59,0,0,41467,5,7
32.60,0,0,41468,1,7
32.61,0,0,41469,1,7
32.62,0,0,41470,1,7
32.63,0,0,41471,1,7
32.64,0,0,41472,1,7
32.65,0,8205630,41473,1,0
32.66,0,8205633,41474,3,0
32.67,0,8205634,41475,3,0
32.68,0,0,41476,5,7
32.69,0,0,41477,5,7
32.70,0,8205631,41473,1,0
32.71,0,8205632,41473,1,0
33.0,0,0,0,0,0
33.1,0,0,0,0,0
33.2,0,0,0,0,0
33.3,0,0,0,0,0
33.4,0,0,0,0,0
33.5,0,0,0,0,0
33.6,0,0,0,0,0
33.7,0,0,0,0,0
33.8,0,0,0,0,0
33.9,0,0,0,0,0
33.10,0,0,0,0,0
33.11,0,0,0,0,0
33.12,0,0,0,0,0
33.13,0,0,0,0,0
33.14,0,0,0,0,0
33.15,0,0,0,0,0
33.16,0,0,0,0,0
33.17,0,0,0,0,0
33.18,0,0,0,0,0
33.19,0,0,0,0,0
