#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
46,,,,0,0,0,0
47,,,,0,0,0,0
48,,,,0,0,0,0
49,,,,0,0,0,0
50,"
通過與城市之外的乙太之光進行共鳴，可以學會**傳送**這一魔法。

在設定選單的**地圖&移動**分類中選擇**傳送**，可以瞬間前往任何一個已經共鳴過的乙太之光所在地。",,,150151,1,0,0
51,"
進行傳送時會消耗相應的**Gil**。

具體消耗情況則隨每個地點而有所不同。",,,150152,1,0,0
52,"
乙太之光可以添加到**我的最愛**中，收藏之後，傳送到該地點時所需要的Gil會減少。

我的最愛中最多可以保存三處乙太之光。

將平時使用較多的乙太之光收藏起來會比較方便。",,,150153,1,0,0
53,,,,0,0,0,0
54,,,,0,0,0,0
55,,,,0,0,0,0
56,,,,0,0,0,0
57,,,,0,0,0,0
58,,,,0,0,0,0
59,,,,0,0,0,0
60,"
接受任務之後，可以在**目的清單**中查看當前的任務進行狀況。

清單中將會顯示5個任務，可以很清楚的看到接下來的任務要求。",,,150031,1,1,0
61,"
點擊目的清單中顯示的**任務標題**可以快速打開該任務的**日誌**視窗。

任務日誌中記錄了該任務的任務目的、詳細情況以及完成獎勵等各種具體資訊。",,,150032,1,1,0
62,"
選擇目的清單中顯示的**任務標題**可以快速打開該任務的**日誌**視窗。

任務日誌中記錄了該任務的任務目的、詳細情況以及完成獎勵等各種具體資訊。",,,150032,1,1,0
63,,,,0,0,0,0
64,,,,0,0,0,0
65,"
在執行部分任務時，會遇到需要使用**任務道具**的情況。

右鍵點擊任務目標會打開任務道具視窗，之後再用右鍵點擊道具並選擇**使用**即可發動效果。",,,150051,1,1,0
66,"
在執行部分任務時，會遇到需要使用**任務道具**的情況。

選中任務目標會打開任務道具視窗，之後對相應道具打開子選單功能表並選擇**使用**即可發動效果。",,,150051,1,1,0
67,,,,0,0,0,0
68,,,,0,0,0,0
69,,,,0,0,0,0
70,"
在執行部分任務時，會遇到需要對**場景物體**進行操作的情況。

按右鍵場景物體便可以繼續推進任務。",,,150061,1,1,0
71,"
在執行部分任務時，會遇到需要對**場景物體**進行操作的情況。

選擇場景物體便可以繼續推進任務。",,,150061,1,1,0
72,,,,0,0,0,0
73,,,,0,0,0,0
74,,,,0,0,0,0
75,,,,0,0,0,0
76,,,,0,0,0,0
77,,,,0,0,0,0
78,,,,0,0,0,0
79,,,,0,0,0,0
80,"
利用各種**情感動作**能夠表現出當前的心情和情緒。

選中目標角色後，從設定選單的**社交**分類中點擊**情感動作**可以打開視窗選擇想要表達的情感。",,,150381,1,1,0
81,"
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**羅絲溫**，並作出**下跪**的動作。","
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**奧妮莉**，並作出**行禮**的動作。","
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**茱莉安娜**，並作出**歡迎**的動作。",150382,1,1,1
82,"
情感動作也能夠設置到**快速鍵**裡，這樣就可以隨時方便快捷地表達自己的情緒了。

**※另外，道具和巨集指令也可以設置到快速鍵裡。**",,,150383,1,1,0
83,"
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**羅絲溫**，並作出**下跪**的動作。","
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**奧妮莉**，並作出**行禮**的動作。","
打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。

現在就來試試吧，請選中**茱莉安娜**，並作出**歡迎**的動作。",150382,1,1,1
84,,,,0,0,0,0
85,,,,0,0,0,0
86,,,,0,0,0,0
87,,,,0,0,0,0
88,,,,0,0,0,0
89,,,,0,0,0,0
90,"
HP變為0時會陷入**無法戰鬥**狀態。

此時無法進行任何操作，只能回到**返回點**或任務中的**開始地點**重新開始。

不過如果有其他玩家在場，也可以請其使用幻術的**復活**等魔法令自己再次站起來。",,,150161,1,0,0
91,"
陷入無法戰鬥狀態時，所穿裝備的**耐久度**會下降。

耐久度降為0%時，該裝備的性能將會完全無法發揮出來。

**※不過，9級以下或是處於部分特殊任務中的玩家即使陷入無法戰鬥狀態，也不會減少裝備的耐久度。**",,,150162,1,0,0
92,,,,0,0,0,0
93,,,,0,0,0,0
94,,,,0,0,0,0
95,,,,0,0,0,0
96,,,,0,0,0,0
97,,,,0,0,0,0
98,,,,0,0,0,0
99,,,,0,0,0,0
100,,,,0,0,0,0
101,,,,0,0,0,0
102,,,,0,0,0,0
103,,,,0,0,0,0
104,,,,0,0,0,0
105,"
退出迷宮有兩種方法，既可以通過任務搜尋器的**退出**按鈕離開，也可以從出發地點的入口離開，不過這樣一來離開的同時也會退出小隊。

另一種方法是與隊友合力一起打倒最深處的強力敵人，之後在現場會出現退出點。利用退出點可以隨全隊一起退出迷宮。",,,150572,1,0,0
106,"
在迷宮中有著複數的強力敵人，而且通常都處於特定的房間內。

在戰鬥開始的一段時間之後房間會被封鎖起來，所以千萬要等到隊員都集合之後再開始戰鬥。",,,150573,1,0,0
107,"
在戰鬥中被打倒時，可以在原地等待其他玩家的救援，或返回到迷宮的出發點重新出發。

只要不放棄，在限制時間內可以不斷進行挑戰，隊友之間的配合是非常重要的！",,,150574,1,0,0
108,,,,0,0,0,0
109,,,,0,0,0,0
110,"
職業是根據當前**主手**上的裝備決定的。

更換主手裝備便可輕鬆完成**轉職**。",,,150111,1,0,0
111,"學會了新職業之後，請務必記得**保存新加的套裝**。

使用套裝功能，
即可瞬間更換全身的裝備。",,,150112,1,0,0
112,,,,0,0,0,0
113,,,,0,0,0,0
114,,,,0,0,0,0
115,"開放了**「職業轉換系統」**！
前往其他職業的行會，與接待員對話後
即可領取學會新職業
所需的任務。",,,150101,1,0,0
116,"在艾奧傑亞，除了戰鬥職業之外，
還有能製作道具的**製作職業**，
以及能在地圖上收集到各種
生產素材的**採集職業**。

請在熟悉了現在
所使用的職業之後，
再學習其他的職業，
進一步探索這個世界吧。",,,150102,1,0,0
117,,,,0,0,0,0
118,,,,0,0,0,0
119,,,,0,0,0,0
120,"
進入了特殊的戰鬥區域。這裡將要面臨的是在劇情上很重要的戰鬥和敵人。

按照畫面右側的**目的清單**的內容，全力進行戰鬥吧！",,,150791,1,1,0
121,"
在戰鬥場地上會有一些紅色的虛線。這些虛線表示前方無法通行。

直到完成任務的要求之後，這片特殊區域才會開放。",,,150792,1,1,0
122,,,,0,0,0,0
123,,,,0,0,0,0
124,,,,0,0,0,0
125,"
**重要任務**是指和遊戲的故事有關聯的關鍵任務，這類任務的圖示會與其他任務有所區別。

追隨關鍵任務，便可以一直了解到更多主線劇情上的發展。",,,150801,1,0,0
126,"
而這個樣子的圖示，則表示是在完成這一系列任務的過程中，會開放新的內容或功能。

因此看到標有這種圖示的任務的話也一起積極地完成吧！",,,150802,1,0,0
127,,,,0,0,0,0
128,,,,0,0,0,0
129,,,,0,0,0,0
130,"
完成某些特定的職業任務，可以獲得相應的**職業專用技能**。

例如，完成槍術士**15級任務**之後，可以學會遠程戰技**「貫穿尖」**。

因此，當等級提升到可以接受職業任務的時候，優先去把這些技能都學會吧。",,,150891,1,0,0
131,,,,0,0,0,0
132,,,,0,0,0,0
133,,,,0,0,0,0
134,,,,0,0,0,0
135,"
在**商店**中可以進行道具的買賣。

點擊商店一側的道具可以進行購買。

將自己的物品欄中的道具**拖拽**到商店一側可以賣出所選道具。

另外，按右鍵道具之後選擇**出售**同樣也可以賣出道具。",,,150201,1,0,0
136,"
賣掉的道具會顯示在商店的**回購物品列表**中。如果不小心賣錯道具了，可以從列表裡再次購買回來。

不過，一旦退出遊戲或離開商店所在區域，回購物品清單就會被清空，這點一定要多加留意。",,,150202,1,0,0
137,"
在**商店**中可以進行道具的買賣。

選中商品列表裡的道具可以進行購買。

選中自己物品欄中的道具則可以出售給商店。",,,150201,1,0,0
138,,,,0,0,0,0
139,,,,0,0,0,0
140,,,,0,0,0,0
141,,,,0,0,0,0
142,,,,0,0,0,0
143,,,,0,0,0,0
144,,,,0,0,0,0
145,,,,0,0,0,0
146,,,,0,0,0,0
147,,,,0,0,0,0
148,,,,0,0,0,0
149,,,,0,0,0,0
150,"
用**右鍵**點擊攻擊目標可以發動**自動攻擊**。

發動自動攻擊時，只要與敵人的距離保持在攻擊範圍內，就會自動進行攻擊。

同時在目標的頭上還會出現相應的**自動攻擊圖示**。",,,150931,1,0,0
151,"
在畫面下方的**快速鍵**中可以設置各種對戰鬥有利的相關指令。

**按一下**各個技能欄上設置的指令，或者直接按下鍵盤上對應的**快捷鍵**，便可以發動對應的技能。　　",,,150082,1,0,0
152,"
發動技能需要消耗相應的**MP**，並且發動之後還需要經過一段時間（**冷卻時間**）才可以再次發動。

選中設置好的技能時可以看到該技能的詳細效果。",,,150083,1,0,0
153,"
幻術士和弓術士都是擅長遠距離攻擊的職業，與敵人保持距離利用各種技能進行戰鬥才是上策。",,,150084,1,0,0
154,,,,0,0,0,0
155,,,,0,0,0,0
156,,,,0,0,0,0
157,,,,0,0,0,0
158,,,,0,0,0,0
159,,,,0,0,0,0
160,"
《FINAL FANTASY XIV》的最大特色之一，便是能夠令玩家隨時轉換職業的**「兵裝系統」**。

因此，為了避免出現所持裝備過多導致背包的容量緊張的情況發生，每名冒險者都會有**「兵裝庫」**來專門存放各種裝備。",,,151141,1,0,0
161,"
從商店購買商品裝備，做任務獲得報酬裝備，從身上脫下裝備，這些裝備都會直接存放到兵裝庫中，而不會對背包有絲毫影響。

所以當獲得新裝備想要查看一下詳情時，請打開兵裝庫而不是背包進行查看。",,,151142,1,0,0
162,"
在快速選單的**角色**分類中點擊**兵裝庫**按鈕或者同時按下鍵盤上的**Ctrl鍵**與**I鍵**可以打開兵裝庫視窗。
",,,151143,1,0,0
163,"
在快速選單的**角色**分類中選擇**兵裝庫**按鈕可以打開兵裝庫視窗。
",,,151143,1,0,0
164,,,,0,0,0,0
165,,,,0,0,0,0
166,,,,0,0,0,0
167,,,,0,0,0,0
168,,,,0,0,0,0
169,,,,0,0,0,0
170,"
進入了**休息區**。
在休息區中，經驗欄下面會出現特殊的圖示。

處於休息區時會隨時間累積相應的**休息獎勵**。此時即使退出遊戲，獎勵還是會繼續累積。",,,150361,1,0,0
171,"
在累積了休息獎勵之後，**戰鬥、製作、採集**中所取得的經驗值均會變為**1.5倍**。",,,150362,1,0,0
172,"
累積的休息獎勵會在經驗欄上以黃色或藍色的**獎勵槽**效果表現出來。

取得的經驗值在到達獎勵上限之前都會保持提高的效果。",,,150363,1,0,0
173,"
休息獎勵可以在部分**村落**和**城鎮**等休息區獲得。

每次退出遊戲時先回到休息區再下線是個良好的習慣。",,,150364,1,0,0
174,,,,0,0,0,0
175,,,,0,0,0,0
176,,,,0,0,0,0
177,,,,0,0,0,0
178,,,,0,0,0,0
179,,,,0,0,0,0
180,"
和其他玩家組成**小隊**了！

組隊之後可以進行很多單人無法體會的挑戰，例如打倒更強大的敵人，挑戰複雜的迷宮等。",,,150901,1,0,0
181,"
在組隊狀態下可以使用**小隊頻道**與隊友進行交流。頻道內的內容只有小隊成員可以看見，而且沒有距離的限制。

在對話方塊的左下角可以切換聊天頻道。",,,150903,1,0,0
182,"
加入小隊之後，畫面左上會顯示出**小隊清單**。

透過清單可以直覺得確認隊員們的情況。另外也可以透過點擊列表中的名字來選擇隊友，這樣一來幫助同伴恢復HP時就可以免去很多複雜的操作了。",,,150902,1,0,0
183,"
另外，加入小隊時，還會根據目前隊伍成員的職業情況獲得**組隊加成**的效果，能夠提升全體隊員的各種能力參數。

**※只要和隊友在同一區域內，組隊加成的效果就不會消失。**
**※從設定選單「小隊」的「小隊隊員」中可以進行確認。**",,,150904,1,0,0
184,"
隊伍中的每一位成員都是和你一樣的冒險者玩家。

多與他們交流才能體會到艾奧傑亞的更多的魅力。

所以加入隊伍之後首先先打個招呼吧！",,,150905,1,0,0
185,"
加入小隊之後，畫面左上會顯示出**小隊清單**。

透過清單可以直覺的確認隊員們的情況。另外也可以方向鍵的上下來選擇隊友，這樣一來幫助同伴恢復HP時就可以免去很多複雜的操作了。",,,150902,1,0,0
186,,,,0,0,0,0
187,,,,0,0,0,0
188,,,,0,0,0,0
189,,,,0,0,0,0
190,"
在選中敵人的狀態下按下確定鍵可以發動**自動攻擊**。

發動自動攻擊時，只要與敵人的距離保持在攻擊範圍內，就會自動進行攻擊。

同時在目標的頭上還會出現相應的**自動攻擊圖示**。",,,150931,1,0,0
191,"
在畫面下方的**十字快速鍵**中可以設置各種對戰鬥有利的相關指令。",,,150932,1,0,0
192,"
設置在十字快速鍵中的技能需要通過複合鍵來發動。
按住或鍵的同時按下四個方向鍵或可以發動對應位置的技能。

**※新學會的技能會自動添加到技能欄中。**",,,150933,1,0,0
193,"
發動技能需要消耗相應的**MP**，並且發動之後還需要經過一段時間（**冷卻時間**）才可以再次發動。

戰鬥時一定要時刻注意自己目前的MP，以免出現緊急關頭不足的情況。",,,150934,1,0,0
194,,,,0,0,0,0
195,,,,0,0,0,0
196,,,,0,0,0,0
197,,,,0,0,0,0
198,,,,0,0,0,0
199,,,,0,0,0,0
200,"
某些任務中會出現交易特定道具的要求。此時畫面中會顯示出**任務需求**列表。

將所需的道具**拖拽**到需求欄，之後再點擊**遞交**按鈕即可完成任務需求。或者，按右鍵道具之後選擇**遞交**也可以起到同樣的效果。",,,150921,1,0,0
201,"
某些任務中會出現交易特定道具的要求。此時畫面中會顯示出**任務需求**列表。

選中所需的道具，並從子選單中選擇**遞交**即可完成任務需求。",,,150922,1,0,0
202,,,,0,0,0,0
203,,,,0,0,0,0
204,,,,0,0,0,0
205,,,,0,0,0,0
206,,,,0,0,0,0
207,,,,0,0,0,0
208,,,,0,0,0,0
209,,,,0,0,0,0
210,"
透過**玩家搜尋**功能，可以搜尋到已經登入到遊戲中的玩家，並顯示出最多200人的結果。

搜尋結果中會優先顯示當前處於同一地點的玩家。",,,150631,1,0,0
211,"
打開**玩家搜尋條件**視窗，可以設定搜尋目標的各種條件。條件包括姓名、職業、等級、線上狀態。

選好之後點擊**開始搜尋**按鈕，便會將結果顯示出來。",,,150632,1,0,0
212,"
玩家搜尋功能可以查看各個玩家的個人資訊。而自己的資訊可以在**搜尋情報**中進行編輯。

透過快速選單打開**小隊**項目下的**小隊隊員**視窗，之後用**滑鼠右鍵**點擊自己的名字，之後選擇**編輯資訊**，即可打開個人資訊視窗進行編輯。",,,150633,1,0,0
213,"
搜尋情報中還可以編輯線上狀態和個性簽名。

職業和等級雖然會按照當前的職業為主，不過也可以自行編輯**希望組隊**時的職業，這樣在他人搜尋時同樣也會作為目標物件顯示在清單中。",,,150634,1,0,0
214,"
線上狀態為「希望組隊」時可以選擇多個職業作為搜尋對象，按一下為選中，再按一下會取消選中狀態。

不過如果線上狀態不是「希望組隊」，即使選中了多個職業也不會起到任何作用，只會將自己當前的職業作為搜尋對象。",,,150635,1,0,0
215,"
玩家搜尋功能可以查看各個玩家的個人資訊。而自己的資訊可以在**搜尋情報**中進行編輯。

透過設定選單打開**小隊**項目下的**小隊隊員**視窗，之後選中自己的名字並在**子選單**中選擇**編輯資訊**，即可打開個人資訊視窗進行編輯。",,,150633,1,0,0
216,"
線上狀態為「希望組隊」時可以選擇多個職業作為搜尋對象，按一次確認鍵為選中，再按一次確認鍵會取消選中狀態。

不過如果線上狀態不是「希望組隊」，即使選中了多個職業也不會起到任何作用，只會將自己當前的職業作為搜尋對象。",,,150635,1,0,0
217,,,,0,0,0,0
218,,,,0,0,0,0
219,,,,0,0,0,0
220,,,,0,0,0,0
221,,,,0,0,0,0
222,,,,0,0,0,0
223,,,,0,0,0,0
224,,,,0,0,0,0
225,,,,0,0,0,0
226,,,,0,0,0,0
227,,,,0,0,0,0
228,,,,0,0,0,0
229,,,,0,0,0,0
230,,,,0,0,0,0
231,,,,0,0,0,0
232,,,,0,0,0,0
233,,,,0,0,0,0
234,,,,0,0,0,0
235,,,,0,0,0,0
236,,,,0,0,0,0
237,,,,0,0,0,0
238,,,,0,0,0,0
239,,,,0,0,0,0
240,"
**極限爆發**是集結小隊全體隊員的力量發動的集體必殺技。

當小隊人數達到4人以上時，隊員列表的上方的**極限槽**會開始進行累積。累積一定量之後就可以發動極限爆發了。",,,150971,1,0,0
241,"
整個小隊共用同一個極限槽，在小隊進行戰鬥時，極限槽會隨之進行累積。

對瀕死的同伴進行治療，阻止敵人的危險攻擊等行為會增加極限槽的累積量。",,,150972,1,0,0
242,"
極限爆發指令在技能功能表的「共通技能」分類下，設置到快速鍵及十字快速鍵上便可隨時使用。

技能共有四種效果，分別是：單體攻擊、範圍攻擊、防禦、治療。具體發動哪種類型的技能則由發動者的職業決定。",,,150973,1,0,0
243,"
極限槽的最大值根據情況不同也會有所區別，主要來說是與小隊人數，以及是雜兵戰和頭目戰等情況來決定。

敵人越強大，極限爆發的作用也就越大。集合全隊的力量一定能夠使戰況轉向有利的一面。",,,150974,1,0,0
244,,,,0,0,0,0
245,,,,0,0,0,0
246,,,,0,0,0,0
247,,,,0,0,0,0
248,,,,0,0,0,0
249,,,,0,0,0,0
250,"
**等級同步系統**能夠改變當前的角色等級。

副本迷宮和F.A.T.E.等任務通常有預設的設計等級，如果角色等級過高，會對實際遊戲中的平衡性帶來很大影響。此時使用**等級同步**功能便可以將自己的等級降低到比較合適的範圍。",,,150981,1,0,0
251,"
等級同步發動之後，在任務過程中自身的能力會被自動限制到同步後的等級。狀態參數，裝備性能，可以使用的技能都沒有例外。

在任務結束之後一切都會自動恢復原樣。",,,150982,1,0,0
252,"
等級同步狀態下能夠按照同步後的等級獲得相應的經驗值。

利用這一功能，即使等級提高之後也能安心地享受低等級的遊戲內容，與朋友組隊也不用擔心等級差太多了。",,,150983,1,0,0
253,,,,0,0,0,0
254,,,,0,0,0,0
255,,,,0,0,0,0
256,,,,0,0,0,0
257,,,,0,0,0,0
258,,,,0,0,0,0
259,,,,0,0,0,0
260,"
獲得了**靈魂水晶**！

靈魂水晶是能夠開啟**特職**的重要道具。
裝備對應不同職業的不同武器和靈魂水晶之後，即可進行**特職轉換**轉為對應的特職。",,,150991,1,0,0
261,"
轉為特職後，除了可以使用職業狀態時的技能之外，還可以學習和使用**特職專用技能**。",,,150992,1,0,0
262,"
如果該特職有對應的基礎職業，
那麼特職的等級、經驗值均和其基礎職業共通。

沒有對應基礎職業的特職，
玩家也可以從特定的等級開始遊玩。",,,150993,1,0,0
263,,,,0,0,0,0
264,,,,0,0,0,0
265,,,,0,0,0,0
266,,,,0,0,0,0
267,,,,0,0,0,0
268,,,,0,0,0,0
269,,,,0,0,0,0
270,"
獲得了帶有**獨佔屬性**的道具。

這種屬性的道具表示無法與任何人進行交易，也無法在市場上出售給其他玩家。",,,151051,1,0,0
271,,,,0,0,0,0
272,,,,0,0,0,0
273,,,,0,0,0,0
274,,,,0,0,0,0
275,,,,0,0,0,0
276,,,,0,0,0,0
277,,,,0,0,0,0
278,,,,0,0,0,0
279,,,,0,0,0,0
280,"
使用藥品和食品類道具可以起到各種各樣的效果。

操作起來也很簡單，只要對目標道具選擇「使用」就可以了。",,,151061,1,0,0
281,"
部分道具也有著**冷卻時間**的設定，在使用這類道具之後，一定時間內無法使用所有道具。

將常用道具也設置到快速鍵上可以更加方便地判斷使用時間。
",,,151062,1,0,0
282,,,,0,0,0,0
283,"
部分道具也有著**冷卻時間**的設定，在使用這類道具之後，一定時間內無法使用所有道具。

將常用道具也設置到十字快速鍵上可以更加方便地判斷使用時間。
",,,151064,1,0,0
284,,,,0,0,0,0
285,,,,0,0,0,0
286,,,,0,0,0,0
287,,,,0,0,0,0
288,,,,0,0,0,0
289,,,,0,0,0,0
290,"
**通訊貝**功能開放！

組建**通訊貝**之後，內部的成員無論在遊戲中什麼地方都可以隨時進行交談。

在**通訊貝頻道**中發言時，可以在對話欄中輸入LS-(編號)來進行切換。",,,151171,1,0,0
291,"
一個**通訊貝**中最多可以容納128個成員。每名玩家最多可以同時加入8個**通訊貝**。

在冒險的過程中遇到了志同道合的玩家時就加入到通訊貝中交流冒險的心得和樂趣吧！",,,151172,1,0,0
292,,,,0,0,0,0
293,,,,0,0,0,0
294,,,,0,0,0,0
295,,,,0,0,0,0
296,,,,0,0,0,0
297,,,,0,0,0,0
298,,,,0,0,0,0
299,,,,0,0,0,0
300,"
通過「租借陸行鳥」可以在一定時間內騎上租來的鳥出外活動。

不過需要注意的是，遇到下列情況時租來的鳥會自動離開。
　·**自己主動下鳥/進入可以游泳的水面**
　·**租借時間到期**
　·**遭到敵人攻擊**
　·**參加任務**",,,150821,1,0,0
301,,,,0,0,0,0
302,,,,0,0,0,0
303,,,,0,0,0,0
304,,,,0,0,0,0
305,,,,0,0,0,0
306,,,,0,0,0,0
307,,,,0,0,0,0
308,,,,0,0,0,0
309,,,,0,0,0,0
