#,Text,BalloonTime,Unknown0,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
52,你、嗝、算哪根蔥？,3,0,2,0,1,25,False,False,False,False,False
53,你這混、嗝、蛋！,3,0,2,0,1,25,False,False,False,False,False
54,準備好了呼啾！,5,0,2,0,1,25,False,False,False,False,False
55,我們上吧呼啾！,5,0,2,0,1,25,False,False,False,False,False
56,好好教訓他們呼啾！,5,0,2,0,1,25,False,False,False,False,False
57,我絕對不會枯萎呼啾！,5,0,2,0,1,25,False,False,False,False,False
58,就沒有對自己的身手有自信的人嗎？,5,0,3,0,1,25,False,False,False,False,False
59,你們這些傢伙……絕對不會讓你們活著出去！,5,0,3,0,1,25,False,False,False,False,False
60,放馬過來！,5,0,3,0,1,25,False,False,False,False,False
61,好了！幹得不錯！,5,0,3,0,1,25,False,False,False,False,False
62,該死！數量太多了！,5,0,3,0,1,25,False,False,False,False,False
63,絕對無法饒恕這些偷獵者！,5,0,3,0,1,25,False,False,False,False,False
64,城裡的大人們已經緊迫到需要動用冒險者來幹這種事了嗎？,5,0,3,0,1,25,False,False,False,False,False
65,怎、怎麼會這樣……,5,0,3,0,1,25,False,False,False,False,False
66,你們 什麼 別近,5,0,3,0,1,25,False,False,False,False,False
67,炸彈 啪啪 費力,3,0,3,0,1,25,False,False,False,False,False
68,轟轟 轟轟 大爆炸,3,0,3,0,1,25,False,False,False,False,False
69,砰砰 砰砰 大爆炸,3,0,3,0,1,25,False,False,False,False,False
70,我們 城堡 壞啦,5,0,3,0,1,25,False,False,False,False,False
71,過來 壞傢伙 打飛,5,0,3,0,1,25,False,False,False,False,False
72,炸彈 叭叭 好累,3,0,3,0,1,25,False,False,False,False,False
73,炸彈 炸彈 大爆炸,3,0,3,0,1,25,False,False,False,False,False
74,轟轟 轟轟 大爆炸,3,0,3,0,1,25,False,False,False,False,False
75,竟然 城堡 壞啦,5,0,3,0,1,25,False,False,False,False,False
76,城堡 又又 壞啦,5,0,3,0,1,25,False,False,False,False,False
77,這裡 我們 城堡,5,0,3,0,1,25,False,False,False,False,False
78,你們 所有 打飛,5,0,3,0,1,25,False,False,False,False,False
79,疼疼 好疼 等等,5,0,3,0,1,25,False,False,False,False,False
80,炸彈 劈啪 呼啦,3,0,3,0,1,25,False,False,False,False,False
81,轟轟 轟轟 超爆炸,3,0,3,0,1,25,False,False,False,False,False
82,砰砰 砰砰 超爆炸,3,0,3,0,1,25,False,False,False,False,False
83,大家聽我的呼啾！,5,0,3,0,1,25,False,False,False,False,False
84,我要認真起來了呼啾！,5,0,3,0,1,25,False,False,False,False,False
85,接下來要拿出真本事的了呼啾！,5,0,3,0,1,25,False,False,False,False,False
86,真的要拿出真本事的了呼啾！,5,0,3,0,1,25,False,False,False,False,False
87,大王！,3,0,3,0,1,25,False,False,False,False,False
88,給我躺下吧！,3,0,2,0,1,25,False,False,False,False,False
89,哼哼，看這招！,3,0,2,0,1,25,False,False,False,False,False
90,非常感謝！,3,0,2,0,1,25,False,False,False,False,False
91,實在是萬分感謝！,5,0,3,0,1,25,False,False,False,False,False
92,嗚……,5,0,3,0,1,25,False,False,False,False,False
93,我們不需要膽小鬼！,5,0,3,0,1,25,False,False,False,False,False
94,太謝謝您了！啊！他來了！,3,0,3,0,1,25,False,False,False,False,False
95,差不多該去巡視啦。,5,0,3,0,1,25,False,False,False,False,False
96,哇，滿地都是花甲蟲！,5,0,3,0,1,25,False,False,False,False,False
97,快來人把這些蟲子清一清！,5,0,2,0,1,25,False,False,False,False,False
98,太好了，總算可以放心了。,5,0,3,0,1,25,False,False,False,False,False
99,怎麼會這樣……,5,0,3,0,1,25,False,False,False,False,False
100,0,5,0,3,0,1,25,False,False,False,False,False
101,0,5,0,3,0,1,25,False,False,False,False,False
102,0,5,0,3,0,1,25,False,False,False,False,False
103,0,3,0,2,0,1,25,False,False,False,False,False
104,0,3,0,2,0,1,25,False,False,False,False,False
105,0,3,0,2,0,1,25,False,False,False,False,False
106,0,3,0,2,0,1,25,False,False,False,False,False
107,不要啊！救救我呼啾！,5,0,3,0,1,25,False,False,False,False,False
108,謝謝你呼啾！,5,0,3,0,1,25,False,False,False,False,False
109,嗯……情形有些不對……,5,0,3,0,1,25,False,False,False,False,False
110,這些該死的鳥！,5,0,3,0,1,25,False,False,False,False,False
111,關你什麼事啊！,5,0,3,0,1,25,False,False,False,False,False
112,別來搗亂！,5,0,3,0,1,25,False,False,False,False,False
113,老實待著去！,5,0,3,0,1,25,False,False,False,False,False
114,別小看我啊！,5,0,3,0,1,25,False,False,False,False,False
115,什麼人？,3,0,2,0,1,25,False,False,False,False,False
116,追兵？！,3,0,2,0,1,25,False,False,False,False,False
117,身體好沉重……,3,0,2,0,1,25,False,False,False,False,False
118,每次一要認真起來就變成這樣！,3,0,2,0,1,25,False,False,False,False,False
119,果然還是只能委託冒險者了嗎……,5,0,3,0,1,25,False,False,False,False,False
120,好，看起來沒有追兵。,5,0,3,0,1,25,False,False,False,False,False
121,感謝你的幫助。,5,0,3,0,1,25,False,False,False,False,False
122,咯噔 咯噔 咯噔……,3,0,2,0,1,25,False,False,False,False,False
123,咯噔 咯噔……,3,0,2,0,1,25,False,False,False,False,False
124,好、好大群的迷途羔羊！,5,0,3,0,1,25,False,False,False,False,False
125,迎擊羊群！,5,0,3,0,1,25,False,False,False,False,False
126,暫時沒有什麼情況。,5,0,3,0,1,25,False,False,False,False,False
127,只有一條路嗎……準備好應對阻擊。,5,0,3,0,1,25,False,False,False,False,False
128,快到了，但是不要放鬆警惕！,5,0,3,0,1,25,False,False,False,False,False
129,嗚，果然還是來了！,10,0,3,0,1,25,False,False,False,False,False
130,你們是幹啥的？入侵者嗎？,5,0,2,0,1,25,False,False,False,False,False
131,竟敢對我的小狗出手！,4,0,2,0,1,25,False,False,False,False,False
132,你終於惹怒我了！,4,0,2,0,1,25,False,False,False,False,False
133,我、我還沒拿出真本事哦！,4,0,2,0,1,25,False,False,False,False,False
134,哎呀，突然想起來我還有急事！,6,0,2,0,1,25,False,False,False,False,False
135,該死！這群傢伙真難纏！,4,0,2,0,1,25,False,False,False,False,False
136,小狗們，給我上！,2,0,2,0,1,25,False,False,False,False,False
137,痛死我了……這可有點不妙。,4,0,2,0,1,25,False,False,False,False,False
138,啊，不妙……怎麼向老大匯報啊……,6,0,2,0,1,25,False,False,False,False,False
139,吃我這招！,4,0,2,0,1,25,False,False,False,False,False
140,去死吧！,4,0,2,0,1,25,False,False,False,False,False
141,你們這些混蛋！,4,0,2,0,1,25,False,False,False,False,False
142,竟敢小看我！,4,0,2,0,1,25,False,False,False,False,False
143,"呼哧……呼哧……
救命 救命啊。",5,0,2,0,1,25,False,False,False,False,False
144,"呼哧……呼哧……
已經 不行了……",4,0,2,0,1,25,False,False,False,False,False
145,救命啊 救命啊！,4,0,2,0,1,25,False,False,False,False,False
146,不行了 不行了……,4,0,2,0,1,25,False,False,False,False,False
147,"呼哧……呼哧……
得救了 得救了！",6,0,2,0,1,25,False,False,False,False,False
148,"呼哧……呼哧……
多謝 多謝！",6,0,2,0,1,25,False,False,False,False,False
149,"呼哧……呼哧……
小小謝禮 不成敬意！",6,0,2,0,1,25,False,False,False,False,False
150,"呼哧……呼哧……
老子也要 突擊哥布！",6,0,3,0,1,25,False,False,False,False,False
151,"呼哧……呼哧……
這裡就 交給老子哥布！",3,0,3,0,1,25,False,False,False,False,False
152,"呼哧……呼哧……
你們 趕快動手哥布！",4,0,3,0,1,25,False,False,False,False,False
153,"呼哧……呼哧……
大恩 不言謝哥布！",4,0,2,0,1,25,False,False,False,False,False
154,"呼哧……呼哧……
老子出手 這當然的結果哥布。",6,0,2,0,1,25,False,False,False,False,False
155,"呼哧……呼哧……
看招 超級炸彈哥布！",3,0,2,0,1,25,False,False,False,False,False
156,哥布？！,2,0,3,0,1,25,False,False,False,False,False
157,"呼哧……呼哧……
這裡就 交給老子哥布！",5,0,2,0,1,25,False,False,False,False,False
158,"呼哧……呼哧……
勝利……輕而易舉哥布……",8,0,2,0,1,25,False,False,False,False,False
159,"呼哧……呼哧……
老子來救你了哥布！",6,0,2,0,1,25,False,False,False,False,False
160,怕老子了吧哥布？,6,0,2,0,1,25,False,False,False,False,False
161,"呼哧……呼哧……
老子的傳說 又增加了哥布！",6,0,2,0,1,25,False,False,False,False,False
162,布雷福洛克斯 真棒！,10,0,2,0,1,25,False,False,False,False,False
163,布雷福洛克斯 真強！,10,0,2,0,1,25,False,False,False,False,False
164,"呼哧……呼哧……
過獎了哥布！",30,0,2,0,1,25,False,False,False,False,False
165,有黑豺！,5,0,3,0,1,25,False,False,False,False,False
166,不要過來，不要過來啊！,5,0,3,0,1,25,False,False,False,False,False
167,我、我的肉不好吃的！,5,0,3,0,1,25,False,False,False,False,False
168,救命啊！,5,0,3,0,1,25,False,False,False,False,False
169,得救了……,5,0,3,0,1,25,False,False,False,False,False
170,嗯？什麼東西？,3,0,2,0,1,25,False,False,False,False,False
171,哇啊！好多陸魚！,3,0,2,0,1,25,False,False,False,False,False
172,嗯？好像有什麼叫聲？,5,0,3,0,1,25,False,False,False,False,False
173,嗚，暫時退兵！,5,0,3,0,1,25,False,False,False,False,False
174,賭上黑渦團的榮譽！,5,0,2,0,1,25,False,False,False,False,False
175,這點事你們都處理不來嗎？,5,0,3,0,1,25,False,False,False,False,False
176,丟人現眼！,5,0,3,0,1,25,False,False,False,False,False
177,誰快去頂上！,5,0,2,0,1,25,False,False,False,False,False
178,你們就只會被壓著打嗎？,5,0,2,0,1,25,False,False,False,False,False
179,讓他們瞧瞧黑渦團的力量！,5,0,2,0,1,25,False,False,False,False,False
180,嗯？好像有什麼要來了……,5,0,3,0,1,25,False,False,False,False,False
181,知道黑渦團的厲害了吧！,5,0,3,0,1,25,False,False,False,False,False
182,什麼？我居然會被打倒……,5,0,3,0,1,25,False,False,False,False,False
183,好了，該去巡視了。,5,0,3,0,1,25,False,False,False,False,False
184,嗯……這好像是什麼在飛的聲音？,5,0,3,0,1,25,False,False,False,False,False
185,好多洞穴蝙蝠啊！,5,0,3,0,1,25,False,False,False,False,False
186,累死我了，快點回去吧……,5,0,3,0,1,25,False,False,False,False,False
187,啊，不要去農場那邊！,5,0,3,0,1,25,False,False,False,False,False
188,我、我的渡渡鳥啊……,5,0,3,0,1,25,False,False,False,False,False
189,一、一定要幹掉這些傢伙啊！,5,0,2,0,1,25,False,False,False,False,False
190,又、又遲到了！,3,0,3,0,1,25,False,False,False,False,False
191,怎麼還沒來……,3,0,3,0,1,25,False,False,False,False,False
192,呼……呼,3,0,3,0,1,25,False,False,False,False,False
193,我今天一定要向她求婚！,3,0,3,0,1,25,False,False,False,False,False
194,我、我來遲了，抱歉！,3,0,3,0,1,25,False,False,False,False,False
195,太慢了！你遲到了哦。,1,0,3,0,1,25,False,False,False,False,False
196,好了，約在這裡到底是有什麼話要說？,2,0,3,0,1,25,False,False,False,False,False
197,其、其實……,2,0,3,0,1,25,False,False,False,False,False
198,嗯？,1,0,3,0,1,25,False,False,False,False,False
199,請、請、請和我結……,2,0,3,0,1,25,False,False,False,False,False
200,呀！好大的風！,1,0,3,0,1,25,False,False,False,False,False
201,那、那個大傢伙是什麼啊？,3,0,3,0,1,25,False,False,False,False,False
202,哇啊！,3,0,3,0,1,25,False,False,False,False,False
203,唉，真是沒用！,5,0,2,0,1,25,False,False,False,False,False
204,能把那傢伙給趕走嗎？,5,0,2,0,1,25,False,False,False,False,False
205,我要回去了……,2,0,3,0,1,25,False,False,False,False,False
206,等、等一下啊！,2,0,3,0,1,25,False,False,False,False,False
207,你真是太沒出息了！,2,0,3,0,1,25,False,False,False,False,False
208,不要說那麼過分嘛……,2,0,3,0,1,25,False,False,False,False,False
209,人家不管了！,3,0,3,0,1,25,False,False,False,False,False
210,為、為什麼會變成這樣……,3,0,3,0,1,25,False,False,False,False,False
211,嗯？好像有點不對勁。,3,0,3,0,1,25,False,False,False,False,False
212,喲，今天又有生意了！,3,0,3,0,1,25,False,False,False,False,False
213,呀！誰來救救我！,3,0,3,0,1,25,False,False,False,False,False
214,可惡，只能上了！,3,0,3,0,1,25,False,False,False,False,False
215,大家一起上啊！,3,0,3,0,1,25,False,False,False,False,False
216,唉，又在拒捕。,5,0,3,0,1,25,False,False,False,False,False
217,這傢伙，給我老實點！,5,0,2,0,1,25,False,False,False,False,False
218,我讓你老實點！,5,0,2,0,1,25,False,False,False,False,False
219,還不束手就擒嗎，這混蛋！,5,0,2,0,1,25,False,False,False,False,False
220,吵死了，給我讓開！,5,0,2,0,1,25,False,False,False,False,False
221,你們有證據嗎？,5,0,2,0,1,25,False,False,False,False,False
222,我說了我不清楚啊！,5,0,2,0,1,25,False,False,False,False,False
223,給我適可而止，你這混帳東西！,5,0,3,0,1,25,False,False,False,False,False
224,前輩，拜託您了！,5,0,3,0,1,25,False,False,False,False,False
225,怎麼，你們想動手嗎？,5,0,3,0,1,25,False,False,False,False,False
226,終於老實了啊……,5,0,3,0,1,25,False,False,False,False,False
227,可、可惡……,5,0,3,0,1,25,False,False,False,False,False
228,這下我們能好好談談了吧。,5,0,3,0,1,25,False,False,False,False,False
229,混蛋！放開我！,5,0,3,0,1,25,False,False,False,False,False
230,給我閉嘴！,5,0,3,0,1,25,False,False,False,False,False
231,可惡！可惡啊！,5,0,3,0,1,25,False,False,False,False,False
232,居然讓他們跑了……,5,0,3,0,1,25,False,False,False,False,False
233,嘿嘿，想抓我們你們還早著呢！,5,0,3,0,1,25,False,False,False,False,False
234,可惡……讓他們跑了！,5,0,3,0,1,25,False,False,False,False,False
235,再見啦！,5,0,3,0,1,25,False,False,False,False,False
236,是你把我的酒喝了吧？,3,0,2,0,1,25,False,False,False,False,False
237,什麼？想打架嗎？,3,0,2,0,1,25,False,False,False,False,False
238,開什麼玩笑啊，混蛋！,3,0,2,0,1,25,False,False,False,False,False
239,你在衝誰嚷嚷？,3,0,2,0,1,25,False,False,False,False,False
240,不要小看我啊，混蛋！,5,0,2,0,1,25,False,False,False,False,False
241,大群毒蜥蜴接近中，擋下它們！,3,0,3,0,1,25,False,False,False,False,False
242,哇！是歐羅彭！,3,0,3,0,1,25,False,False,False,False,False
243,前方發現礦爬蟲，幹掉它們！,3,0,3,0,1,25,False,False,False,False,False
244,擋下這些吃人的螞蟻！,3,0,3,0,1,25,False,False,False,False,False
245,全員注意！確保運輸路線安全！,3,0,3,0,1,25,False,False,False,False,False
246,又是山羊？趕走它們！,3,0,3,0,1,25,False,False,False,False,False
247,蜥蜴人的軍隊？準備迎擊！,3,0,3,0,1,25,False,False,False,False,False
248,是蜥蜴人，全員準備戰鬥！,3,0,3,0,1,25,False,False,False,False,False
249,這些小頑童又在惡作劇！,3,0,3,0,1,25,False,False,False,False,False
250,情況很可疑，先下手為強！,3,0,3,0,1,25,False,False,False,False,False
251,咦，那是黑衣森林裡的吧？,3,0,3,0,1,25,False,False,False,False,False
252,唉，邊境警備還真是忙啊！,3,0,3,0,1,25,False,False,False,False,False
253,聽說這沙灘上夜裡會鬧鬼啊……,3,0,3,0,1,25,False,False,False,False,False
254,那、那我們還是回去吧？,3,0,3,0,1,25,False,False,False,False,False
255,怎、怎麼，你怕了？,3,0,3,0,1,25,False,False,False,False,False
256,才、才沒害怕呢……,3,0,3,0,1,25,False,False,False,False,False
257,真沒用啊。,3,0,3,0,1,25,False,False,False,False,False
258,根本就不會有的吧。,3,0,3,0,1,25,False,False,False,False,False
259,啊，那、那是什麼？,3,0,3,0,1,25,False,False,False,False,False
260,別、別想嚇唬我。,3,0,3,0,1,25,False,False,False,False,False
261,好像有什麼在發光。,3,0,3,0,1,25,False,False,False,False,False
262,船上的燈火吧？,3,0,3,0,1,25,False,False,False,False,False
263,哇啊！出、出現了！,3,0,3,0,1,25,False,False,False,False,False
264,呀！,5,0,3,0,1,25,False,False,False,False,False
265,等、等等，不要丟下我！,5,0,3,0,1,25,False,False,False,False,False
266,啊，腿不聽使喚……,5,0,2,0,1,25,False,False,False,False,False
267,不、不要過來……,5,0,2,0,1,25,False,False,False,False,False
268,徹、徹底消失了嗎？,5,0,3,0,1,25,False,False,False,False,False
269,還、還在啊！,5,0,3,0,1,25,False,False,False,False,False
270,好像還有老鼠會來襲擊。,3,0,3,0,1,25,False,False,False,False,False
271,想要參加訓練的人到這裡集合了！,3,0,3,0,1,25,False,False,False,False,False
272,誰能來幫我們一把啊。,3,0,3,0,1,25,False,False,False,False,False
273,嘁，又是盲頭蟹！,3,0,3,0,1,25,False,False,False,False,False
274,糟糕，哥布林肯定會來的。,3,0,3,0,1,25,False,False,False,False,False
275,得去籌備材料了啊。,3,0,3,0,1,25,False,False,False,False,False
276,我決不會放過這些歐羅彭的！,3,0,3,0,1,25,False,False,False,False,False
277,我的行李都在那裡面啊……,3,0,3,0,1,25,False,False,False,False,False
278,這責任比較重大啊……,3,0,3,0,1,25,False,False,False,False,False
279,有誰願意跟我們的新兵對練一下的嗎？,3,0,3,0,1,25,False,False,False,False,False
280,啊，拉拉菲爾族真可愛啊。,3,0,3,0,1,25,False,False,False,False,False
281,嗯，果然貓魅族才是第一啊。,3,0,3,0,1,25,False,False,False,False,False
282,嗯？,3,0,3,0,1,25,False,False,False,False,False
283,你說貓魅？,3,0,3,0,1,25,False,False,False,False,False
284,你是拉拉菲爾派的嗎？,3,0,3,0,1,25,False,False,False,False,False
285,拉拉菲爾族最棒了！,3,0,3,0,1,25,False,False,False,False,False
286,貓魅族就是正義！,3,0,3,0,1,25,False,False,False,False,False
287,喂，吵什麼呢？,3,0,3,0,1,25,False,False,False,False,False
288,啊，不要礙事！,3,0,3,0,1,25,False,False,False,False,False
289,這是我們之間的問題！,3,0,3,0,1,25,False,False,False,False,False
290,呼……,5,0,2,0,1,25,False,False,False,False,False
291,幹得很好！這道關門也可以放心了呢。,3,0,3,0,1,25,False,False,False,False,False
292,笨蛋，你們平常有鍛鍊嗎？,3,0,3,0,1,25,False,False,False,False,False
293,好啊，終於守住了！,3,0,2,0,1,25,False,False,False,False,False
294,真是沒出息的傢伙們……,3,0,2,0,1,25,False,False,False,False,False
295,這下新兵們也能有點緊迫感了吧。,3,0,3,0,1,25,False,False,False,False,False
296,這工作對冒險者來說太難了嗎。,3,0,3,0,1,25,False,False,False,False,False
297,啊，太、太強了！,3,0,2,0,1,25,False,False,False,False,False
298,得救了……真是謝謝你！,3,0,3,0,1,25,False,False,False,False,False
299,柳丁都被吃光了……,3,0,2,0,1,25,False,False,False,False,False
300,這是替被你們吃掉的東西教訓你們！,3,0,2,0,1,25,False,False,False,False,False
301,休想過橋！,3,0,2,0,1,25,False,False,False,False,False
302,可惡，居然沒能守住……,3,0,2,0,1,25,False,False,False,False,False
303,太好了，總算能上路了。,3,0,2,0,1,25,False,False,False,False,False
304,老大！救命啊！,3,0,2,0,1,25,False,False,False,False,False
305,看我出手！,3,0,3,0,1,25,False,False,False,False,False
306,多謝了，終於可以重新開工了。,3,0,2,0,1,25,False,False,False,False,False
307,損害不大，真是萬幸。,3,0,2,0,1,25,False,False,False,False,False
308,又要重新訂貨了啊……,3,0,2,0,1,25,False,False,False,False,False
309,撤退 撤退。,3,0,2,0,1,25,False,False,False,False,False
310,多謝，這下可以放心用這些材料了。,3,0,2,0,1,25,False,False,False,False,False
311,只要還有傭金，我們就會守住這座橋的！,3,0,2,0,1,25,False,False,False,False,False
312,我們家就靠這個吃飯呢，太好了！,3,0,2,0,1,25,False,False,False,False,False
313,討伐成功，收隊了！,3,0,2,0,1,25,False,False,False,False,False
314,目標：佔據橋樑的海盜！,3,0,3,0,1,25,False,False,False,False,False
315,太好了，下次再多幹掉一些吧！,3,0,2,0,1,25,False,False,False,False,False
316,快趁現在把洞給堵上！,3,0,2,0,1,25,False,False,False,False,False
317,這下明天也能吃上飯啦！,3,0,2,0,1,25,False,False,False,False,False
318,清除完畢！繼續執行通常警戒！,3,0,2,0,1,25,False,False,False,False,False
319,祝你旅途愉快！,3,0,2,0,1,25,False,False,False,False,False
320,是我們贏了！蠻族們！,3,0,2,0,1,25,False,False,False,False,False
321,撤退！撤回陣地！,3,0,2,0,1,25,False,False,False,False,False
322,我們贏了！我們守住了！,3,0,2,0,1,25,False,False,False,False,False
323,就差一點……,3,0,2,0,1,25,False,False,False,False,False
324,回去清點人數了。,3,0,2,0,1,25,False,False,False,False,False
325,隱患就是要儘早清除！,3,0,2,0,1,25,False,False,False,False,False
326,薩納蘭可沒這麼容易進來！,3,0,2,0,1,25,False,False,False,False,False
327,嘖，只能撤退了。,3,0,2,0,1,25,False,False,False,False,False
328,戰績很好！傷亡很少！,3,0,2,0,1,25,False,False,False,False,False
329,太好了，前輩們也會高興的。,3,0,2,0,1,25,False,False,False,False,False
330,沒什麼像樣的收穫……,3,0,2,0,1,25,False,False,False,False,False
331,嗚……居然會嚐到這種屈辱！,5,0,3,0,1,25,False,False,False,False,False
332,怎麼了，這就結束了嗎？,5,0,3,0,1,25,False,False,False,False,False
333,接下來就交給你了！,5,0,3,0,1,25,False,False,False,False,False
334,下一個要上的是你嗎？,5,0,3,0,1,25,False,False,False,False,False
335,讓我們換個寬敞的地方。,5,0,3,0,1,25,False,False,False,False,False
336,那麼……開始吧！,5,0,3,0,1,25,False,False,False,False,False
337,只有這種程度嗎？,5,0,2,0,1,25,False,False,False,False,False
338,我還沒用上全力呢！,5,0,2,0,1,25,False,False,False,False,False
339,下一個是誰？,5,0,2,0,1,25,False,False,False,False,False
340,全是膽小鬼嗎？,5,0,2,0,1,25,False,False,False,False,False
341,唔……是我輸了。,5,0,3,0,1,25,False,False,False,False,False
342,我鍛鍊的還不夠啊。,5,0,3,0,1,25,False,False,False,False,False
343,你浪費了太多時間。,5,0,3,0,1,25,False,False,False,False,False
344,只會打架有什麼了不起的！,5,0,3,0,1,25,False,False,False,False,False
345,這些可惡的老鼠，快住手！,3,0,2,0,1,25,False,False,False,False,False
346,我的柳丁都被吃了……,3,0,2,0,1,25,False,False,False,False,False
347,哈哈！,3,0,2,0,1,25,False,False,False,False,False
348,快交出買路錢！,3,0,2,0,1,25,False,False,False,False,False
349,所有值錢的都給我拿出來！,3,0,2,0,1,25,False,False,False,False,False
350,拜託了，請趕快除掉它們！,3,0,2,0,1,25,False,False,False,False,False
351,有人能趕走這些嬰猴嗎？,3,0,2,0,1,25,False,False,False,False,False
352,此路不通！,3,0,2,0,1,25,False,False,False,False,False
353,把東西都交出來！,3,0,2,0,1,25,False,False,False,False,False
354,想挨揍嗎？,3,0,2,0,1,25,False,False,False,False,False
355,喝啊！,3,0,2,0,1,25,False,False,False,False,False
356,我來給小弟們出氣。,3,0,2,0,1,25,False,False,False,False,False
357,我才不會輸！,3,0,2,0,1,25,False,False,False,False,False
358,啊！那些物資都很貴重的！,3,0,2,0,1,25,False,False,False,False,False
359,快點把他們都趕走吧。,3,0,2,0,1,25,False,False,False,False,False
360,呼哧……,3,0,2,0,1,25,False,False,False,False,False
361,破壞 破壞！,3,0,2,0,1,25,False,False,False,False,False
362,看老子 鐵錘。,3,0,2,0,1,25,False,False,False,False,False
363,小魚們都要被吃光了！,3,0,2,0,1,25,False,False,False,False,False
364,快來人對付下這些該死的歐羅彭！,3,0,2,0,1,25,False,False,False,False,False
365,把它們全殺光！,3,0,2,0,1,25,False,False,False,False,False
366,爸爸的仇一定要報！,3,0,2,0,1,25,False,False,False,False,False
367,別擋路！,3,0,2,0,1,25,False,False,False,False,False
368,閃開！,3,0,2,0,1,25,False,False,False,False,False
369,太弱了。,3,0,2,0,1,25,False,False,False,False,False
370,掠奪吧！,3,0,2,0,1,25,False,False,False,False,False
371,屈服吧！,3,0,2,0,1,25,False,False,False,False,False
372,哼！,3,0,2,0,1,25,False,False,False,False,False
373,上啊！,3,0,2,0,1,25,False,False,False,False,False
374,你想去哪裡？,3,0,2,0,1,25,False,False,False,False,False
375,嘿！,3,0,2,0,1,25,False,False,False,False,False
376,就差一點。,3,0,2,0,1,25,False,False,False,False,False
