#,Name,Background,Frame,Decoration,SortKey
128,深層迷宮：正統優雷卡1,159,1,107,2358
129,深層迷宮：正統優雷卡2,160,1,108,2359
130,第七星曆編年史：四聖獸奇譚,161,99,1,2251
131,開拓無人島1,162,100,109,2340
132,開拓無人島2,163,101,110,2341
133,第6賽季水晶衝突：王者,164,102,111,3245
134,第6賽季水晶衝突：勇者,165,103,112,3246
135,第6賽季水晶衝突：獲獎者,166,104,113,3247
136,第6賽季水晶衝突：水晶,167,105,114,3248
137,第6賽季水晶衝突：鑽石,168,106,115,3249
138,第6賽季水晶衝突：白金,169,107,116,3250
139,第6賽季水晶衝突：黃金,170,108,117,3251
140,第6賽季水晶衝突：白銀,171,109,118,3252
141,第6賽季水晶衝突：青銅,172,110,119,3253
142,第7賽季水晶衝突：王者,173,111,120,3254
143,第7賽季水晶衝突：勇者,174,112,121,3255
144,第7賽季水晶衝突：獲獎者,175,113,122,3256
145,第7賽季水晶衝突：水晶,176,114,123,3257
146,第7賽季水晶衝突：鑽石,177,115,124,3258
147,第7賽季水晶衝突：白金,178,116,125,3259
148,第7賽季水晶衝突：黃金,179,117,126,3260
149,第7賽季水晶衝突：白銀,180,118,127,3261
150,第7賽季水晶衝突：青銅,181,119,128,3262
151,東方荒魂,182,120,129,3006
152,東方和魂,183,121,130,3007
153,友好部族任務：甲人族,184,1,131,2308
154,友好部族任務：阿難陀族,185,1,132,2309
155,友好部族任務：鯰魚精族,186,1,133,2310
156,青魔道士（簡易）,71,122,134,2071
157,青魔道士（華麗）,187,122,134,2171
158,時代的終結,188,128,1,2250
159,10周年紀念,189,123,135,3950
160,多變迷宮：六根山,190,124,136,2403
161,海釣愛好者,191,125,137,2345
162,願者上鉤,192,126,138,2346
163,運籌帷幄,193,127,139,2350
164,角力學校,194,129,140,3008
165,九霄雲上,195,130,141,3009
166,第8賽季水晶衝突：王者,196,131,142,3263
167,第8賽季水晶衝突：勇者,197,132,143,3264
168,第8賽季水晶衝突：獲獎者,198,133,144,3265
169,第8賽季水晶衝突：水晶,199,134,145,3266
170,第8賽季水晶衝突：鑽石,200,135,146,3267
171,第8賽季水晶衝突：白金,201,136,147,3268
172,第8賽季水晶衝突：黃金,202,137,148,3269
173,第8賽季水晶衝突：白銀,203,138,149,3270
174,第8賽季水晶衝突：青銅,204,139,150,3271
175,第9賽季水晶衝突：王者,205,140,151,3272
176,第9賽季水晶衝突：勇者,206,141,152,3273
177,第9賽季水晶衝突：獲獎者,207,142,153,3274
178,第9賽季水晶衝突：水晶,208,143,154,3275
179,第9賽季水晶衝突：鑽石,209,144,155,3276
180,第9賽季水晶衝突：白金,210,145,156,3277
181,第9賽季水晶衝突：黃金,211,146,157,3278
182,第9賽季水晶衝突：白銀,212,147,158,3279
183,第9賽季水晶衝突：青銅,213,148,159,3280
184,第10賽季水晶衝突：王者,214,149,160,3281
185,第10賽季水晶衝突：勇者,215,150,161,3282
186,第10賽季水晶衝突：獲獎者,216,151,162,3283
187,第10賽季水晶衝突：水晶,217,152,163,3284
188,第10賽季水晶衝突：鑽石,218,153,164,3285
189,第10賽季水晶衝突：白金,219,154,165,3286
190,第10賽季水晶衝突：黃金,220,155,166,3287
191,第10賽季水晶衝突：白銀,221,156,167,3288
192,第10賽季水晶衝突：青銅,222,157,168,3289
193,友好部族任務：瓦努族,223,1,169,2305
194,友好部族任務：骨頜族,224,1,170,2306
195,友好部族任務：莫古利族,225,1,171,2307
196,艾奧傑亞神話：哈羅妮,226,158,172,2252
197,艾奧傑亞神話：梅茵菲娜,226,158,173,2253
198,艾奧傑亞神話：沙利亞克,226,158,174,2254
199,艾奧傑亞神話：妮美雅,226,158,175,2255
200,艾奧傑亞神話：利姆萊茵,226,158,176,2256
201,艾奧傑亞神話：奧修昂,226,158,177,2257
202,艾奧傑亞神話：比爾格,226,158,178,2258
203,艾奧傑亞神話：拉爾戈,226,158,179,2259
204,艾奧傑亞神話：阿澤瑪,226,158,180,2260
205,艾奧傑亞神話：納爾札爾,226,158,181,2261
206,艾奧傑亞神話：諾菲卡,226,158,182,2262
207,艾奧傑亞神話：阿爾基克,226,158,183,2263
208,多變迷宮：阿羅阿羅島,227,159,184,2404
209,天書奇談,228,160,185,2351
210,幻巧拼圖,229,161,186,2352
211,金碟巨豆中心1,230,162,187,3951
212,金碟巨豆中心2,231,163,188,3952
213,金碟巨豆中心3,232,164,189,3953
214,妖怪手錶,233,165,190,3954
215,毒蛇劍士（簡易）,234,166,191,2063
216,毒蛇劍士（華麗）,235,166,191,2163
217,繪靈法師（簡易）,236,167,192,2070
218,繪靈法師（華麗）,237,167,192,2170
219,火山之心,238,168,193,3010
220,機關大殿,239,169,194,3011
221,第11賽季水晶衝突：王者,240,170,195,3290
222,第11賽季水晶衝突：勇者,241,171,196,3291
223,第11賽季水晶衝突：獲獎者,242,172,197,3292
224,第11賽季水晶衝突：水晶,243,173,198,3293
225,第11賽季水晶衝突：鑽石,244,174,199,3294
226,第11賽季水晶衝突：白金,245,175,200,3295
227,第11賽季水晶衝突：黃金,246,176,201,3296
228,第11賽季水晶衝突：白銀,247,177,202,3297
229,第11賽季水晶衝突：青銅,248,178,203,3298
230,友好部族任務：地靈族,249,1,204,2302
231,友好部族任務：風精靈族,250,1,205,2301
232,友好部族任務：蜥蜴人族,251,1,206,2300
233,友好部族任務：魚人族,252,1,207,2303
234,友好部族任務：鳥人族,253,1,208,2304
235,圖萊尤拉1,254,179,209,1036
236,圖萊尤拉2,255,180,210,1037
237,九號解決方案1,256,181,211,1038
238,九號解決方案2,257,182,212,1039
239,塵封秘岩,258,183,213,3013
240,赤土紅沙,259,184,214,3012
241,第12賽季水晶衝突：王者,260,185,215,3299
242,第12賽季水晶衝突：勇者,261,186,216,3300
243,第12賽季水晶衝突：獲獎者,262,187,217,3301
244,第12賽季水晶衝突：水晶,263,188,218,3302
245,第12賽季水晶衝突：鑽石,264,189,219,3303
246,第12賽季水晶衝突：白金,265,190,220,3304
247,第12賽季水晶衝突：黃金,266,191,221,3305
248,第12賽季水晶衝突：白銀,267,192,222,3306
249,第12賽季水晶衝突：青銅,268,193,223,3307
250,友好部族任務：佩魯佩魯族,269,1,224,2317
251,伊修加爾德1,270,194,225,1020
252,伊修加爾德2,271,195,226,1021
253,田園郡1,272,196,227,1022
254,田園郡2,273,197,228,1023
255,黃金港1,274,198,229,1024
256,黃金港2,275,199,230,1025
257,神拳痕1,276,200,231,1026
258,神拳痕2,277,201,232,1027
259,水晶都1,278,202,233,1028
260,水晶都2,279,203,234,1029
261,遊末邦1,280,204,235,1030
262,遊末邦2,281,205,236,1031
263,舊薩雷安1,282,206,237,1032
264,舊薩雷安2,283,207,238,1033
265,拉札漢1,284,208,239,1034
266,拉札漢2,285,209,240,1035
267,榮譽野,286,210,241,3014
268,昂薩哈凱爾,287,211,242,3015
269,第13賽季水晶衝突：王者,288,212,243,3308
270,第13賽季水晶衝突：勇者,289,213,244,3309
271,第13賽季水晶衝突：獲獎者,290,214,245,3310
272,第13賽季水晶衝突：水晶,291,215,246,3311
273,第13賽季水晶衝突：鑽石,292,216,247,3312
274,第13賽季水晶衝突：白金,293,217,248,3313
275,第13賽季水晶衝突：黃金,294,218,249,3314
276,第13賽季水晶衝突：白銀,295,219,250,3315
277,第13賽季水晶衝突：青銅,296,220,251,3316
278,第14賽季水晶衝突：王者,297,221,252,3317
279,第14賽季水晶衝突：勇者,298,222,253,3318
280,第14賽季水晶衝突：獲獎者,299,223,254,3319
281,第14賽季水晶衝突：水晶,300,224,255,3320
282,第14賽季水晶衝突：鑽石,301,225,256,3321
283,第14賽季水晶衝突：白金,302,226,257,3322
284,第14賽季水晶衝突：黃金,303,227,258,3323
285,第14賽季水晶衝突：白銀,304,228,259,3324
286,第14賽季水晶衝突：青銅,305,229,260,3325
287,絕 光暗未來殲滅戰,306,230,261,2505
288,,0,0,0,0
289,深層迷宮：死者宮殿1,308,1,263,2354
290,深層迷宮：死者宮殿2,309,1,264,2355
291,深層迷宮：天之御柱1,310,1,265,2356
292,深層迷宮：天之御柱2,311,1,266,2357
293,,0,0,0,0
294,宇宙探索 1,313,232,268,2343
295,,0,0,0,0
296,,0,0,0,0
297,,0,0,0,0
298,,0,0,0,0
299,,0,0,0,0
300,,0,0,0,0
301,,0,0,0,0
302,,0,0,0,0
303,,0,0,0,0
304,,0,0,0,0
305,,0,0,0,0
306,,0,0,0,0
307,,0,0,0,0
308,,0,0,0,0
309,,0,0,0,0
310,,0,0,0,0
311,,0,0,0,0
312,,0,0,0,0
313,,0,0,0,0
314,,0,0,0,0
315,,0,0,0,0
316,,0,0,0,0
317,,0,0,0,0
318,,0,0,0,0
319,,0,0,0,0
320,,0,0,0,0
321,,0,0,0,0
322,,0,0,0,0
323,,0,0,0,0
324,,0,0,0,0
325,,0,0,0,0
326,,0,0,0,0
327,,0,0,0,0
328,,0,0,0,0
329,,0,0,0,0
330,,0,0,0,0
331,,0,0,0,0
332,,0,0,0,0
333,,0,0,0,0
334,,0,0,0,0
335,,0,0,0,0
336,,0,0,0,0
337,,0,0,0,0
338,,0,0,0,0
339,,0,0,0,0
340,,0,0,0,0
