#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
31,他人的战利品信息,莉诺雅在需求条件下对“玉者之剑”掷出了99点。,65532,65535,65,2,31,1
32,自己的制作信息,斯考尔制作“英雄之药”成功！,2,65535,66,2,35,1
33,他人的制作信息,莉诺雅制作“圣战之药”成功！,28,65535,66,2,36,1
34,交流簿的新留言,部队房屋的交流簿有新的留言。,65535,65535,79,2,49,1
35,自己的采集信息,斯考尔开始了采掘作业。,3,65535,67,2,40,1
36,他人的钓鱼成果,垂钓老人成功钓上了**罗敏萨鳀鱼**（3.3星寸）。,252,65535,67,2,41,0
37,自己的战斗系统信息,斯考尔将魔界花打倒了。,1807,65535,58,2,2,2
38,他人的战斗系统信息,莉诺雅将魔界花打倒了。,2193,65535,58,2,3,0
39,非玩家角色通告,布莱蒙达：我是在这一带行商的旅行商人。,65535,65535,68,2,17,1
40,部队通告,部队消息：更改了阶级的序列。,65535,65535,69,2,11,1
41,部队成员上线通知,部队消息：克劳德上线了。,65535,65535,70,2,13,1
42,队友的成长信息,等级提升了！  克劳德升到了51级。,1548,65535,64,2,26,1
43,市场出售信息,在乌尔达哈市场以100金币的价格出售的“缎带”成功售出，获得了95金币。,65535,65535,71,2,15,1
44,队员招募的通知信息,当前共有12个队伍正在招募队员，其中有3个符合搜索条件。,65535,65535,72,2,45,1
45,标记设置信息,斯考尔对塞尔标注了“万事通1”标记。,65535,65535,73,2,46,1
46,掷骰的信息,西捷亚掷出了666点！,65535,65535,74,2,47,1
47,新人频道通知,"加入了新人频道。
当前参加人数：指导者10人/新人30人",65535,65535,75,2,10,1
48,管弦乐琴的播放信息,播放了«水晶序曲　～冒险的序章～»。,65535,65535,76,2,48,1
49,战队通告,战队消息：梵加入了战队。,65535,65535,77,2,12,1
50,战队成员上线通知,战队消息：吉坦上线了。,65535,65535,78,2,14,1
51,自己造成伤害,斯考尔发动攻击  魔界花受到了9999点伤害。,2,65535,41,4,1,2
52,自己的攻击落空,斯考尔发动攻击  失误了！,2,65535,42,4,2,2
53,自己的技能,"斯考尔正在咏唱“核爆”。
斯考尔中断了咏唱“核爆”。",2,65535,43,4,3,2
54,自己的道具,"斯考尔正在使用“圣灵药”。
斯考尔中断了使用“圣灵药”。",2,65535,44,4,4,2
55,自己进行恢复,   斯考尔恢复了9999点体力。,2,65535,45,4,5,2
56,自己给他人附加强化状态,   对斯考尔附加了“护盾”的效果。,2,65535,46,4,6,2
57,自己给他人附加弱化状态,   对魔界花附加了“失明”的效果。,2,65535,47,4,7,2
58,自己受到伤害,魔界花发动攻击  斯考尔受到了9999点伤害。,65535,2,41,4,8,2
59,自己回避了攻击,魔界花发动攻击  失误了！,65535,2,42,4,9,2
60,对自己发动的技能,"莉诺雅正在咏唱“护盾”。
莉诺雅中断了咏唱“护盾”。",65535,2,43,4,10,2
61,对自己使用的道具,"莉诺雅使用了“圣灵药”。
莉诺雅中断了使用“圣灵药”。",65535,2,44,4,11,2
62,自己接受恢复,   斯考尔恢复了9999点体力。,65535,2,45,4,12,2
63,自己接收他人的强化状态,   对斯考尔附加了“护盾”的效果。,65535,2,46,4,13,2
64,自己接收他人的弱化状态,   对斯考尔附加了“沉默”的效果。,65535,2,47,4,14,2
65,自己的强化状态效果消失,斯考尔的“护盾”状态效果消失了。,65535,2,48,4,15,2
66,自己的弱化状态效果消失,斯考尔的“沉默”状态效果消失了。,65535,2,49,4,16,2
67,闹钟通知信息, 闹钟 -  12:34 ,65535,65535,55,2,50,1
68,武具投影通知信息,克莱夫将美堤亚上衣的外型投影到了旧日王国御敌胸甲上。,65535,65535,54,2,51,1
69,,,0,0,0,0,0,0
70,,,0,0,0,0,0,0
71,队友造成伤害,克劳德发动攻击  魔界花受到了9999点伤害。,4,65535,41,5,1,2
72,队友的攻击落空,克劳德发动攻击  失误了！,4,65535,42,5,2,2
73,队友的技能,"克劳德正在咏唱“核爆”。
克劳德中断了咏唱“核爆”。",4,65535,43,5,3,2
74,队友的道具,"克劳德正在使用“圣灵药”。
克劳德中断了使用“圣灵药”。",4,65535,44,5,4,2
75,队友进行恢复,   克劳德恢复了9999点体力。,4,65535,45,5,5,2
76,队友给他人附加强化状态,   对克劳德附加了“护盾”的效果。,4,65535,46,5,6,2
77,队友给他人附加弱化状态,   对魔界花附加了“失明”的效果。,4,65535,47,5,7,2
78,队友受到伤害,魔界花发动攻击  克劳德受到了9999点伤害。,65535,4,41,5,8,2
79,队友回避了攻击,魔界花发动攻击  失误了！,65535,4,42,5,9,2
80,对队友发动的技能,"蒂法正在咏唱“护盾”。
蒂法中断了咏唱“护盾”。",65535,4,43,5,10,2
81,对队友使用的道具,"蒂法使用了“圣灵药”。
蒂法中断了使用“圣灵药”。",65535,4,44,5,11,2
82,队友接受恢复,   克劳德恢复了9999点体力。,65535,4,45,5,12,2
83,队友接收他人的强化状态,   对克劳德附加了“护盾”的效果。,65535,4,46,5,13,2
84,队友接收他人的弱化状态,   对克劳德附加了“沉默”的效果。,65535,4,47,5,14,2
85,队友的强化状态效果消失,克劳德的“护盾”状态效果消失了。,65535,4,48,5,15,2
86,队友的弱化状态效果消失,克劳德的“沉默”状态效果消失了。,65535,4,49,5,16,2
87,,,0,0,0,0,0,0
88,,,0,0,0,0,0,0
89,,,0,0,0,0,0,0
90,,,0,0,0,0,0,0
91,他人造成伤害,洛克发动攻击  魔界花受到了9999点伤害。,16,65535,41,7,1,0
92,他人的攻击落空,洛克发动攻击  失误了！,16,65535,42,7,2,0
93,他人的技能,"洛克正在咏唱“核爆”。
洛克中断了咏唱“核爆”。",16,65535,43,7,3,0
94,他人的道具,"洛克正在使用“圣灵药”。
洛克中断了使用“圣灵药”。",16,65535,44,7,4,0
95,他人进行恢复,   洛克恢复了9999点体力。,16,65535,45,7,5,0
96,他人给他人附加强化状态,   对洛克附加了“护盾”的效果。,16,65535,46,7,6,0
97,他人给他人附加弱化状态,   对魔界花附加了“失明”的效果。,16,65535,47,7,7,0
98,他人受到伤害,魔界花发动攻击  洛克受到了9999点伤害。,65535,16,41,7,8,0
99,他人回避了攻击,魔界花发动攻击  失误了！,65535,16,42,7,9,0
100,对他人发动的技能,"蒂娜正在咏唱“护盾”。
蒂娜中断了咏唱“护盾”。",65535,16,43,7,10,0
101,对他人使用的道具,"蒂娜使用了“圣灵药”。
蒂娜中断了使用“圣灵药”。",65535,16,44,7,11,0
102,他人接受恢复,   洛克恢复了9999点体力。,65535,16,45,7,12,0
103,他人接收他人的强化状态,   对洛克附加了“护盾”的效果。,65535,16,46,7,13,0
104,他人接收他人的弱化状态,   对洛克附加了“沉默”的效果。,65535,16,47,7,14,0
105,他人的强化状态效果消失,洛克的“护盾”状态效果消失了。,65535,16,48,7,15,0
106,他人的弱化状态效果消失,洛克的“沉默”状态效果消失了。,65535,16,49,7,16,0
107,,,0,0,0,0,0,0
108,,,0,0,0,0,0,0
109,,,0,0,0,0,0,0
110,,,0,0,0,0,0,0
111,交战状态下的敌人造成伤害,伊迪雅发动攻击  斯考尔受到了9999点伤害。,32,65535,41,8,1,2
112,交战状态下的敌人的攻击落空,伊迪雅发动攻击  失误了！,32,65535,42,8,2,2
113,交战状态下的敌人的技能,"伊迪雅正在咏唱“核爆”。
伊迪雅中断了咏唱“核爆”。",32,65535,43,8,3,2
114,交战状态下的敌人的道具,"伊迪雅正在使用“圣灵药”。
伊迪雅中断了使用“圣灵药”。",32,65535,44,8,4,2
115,交战状态下的敌人进行恢复,   伊迪雅恢复了9999点体力。,32,65535,45,8,5,2
116,交战状态下的敌人给他人附加强化状态,   对伊迪雅附加了“护盾”的效果。,32,65535,46,8,6,2
117,交战状态下的敌人给他人附加弱化状态,   对斯考尔附加了“失明”的效果。,32,65535,47,8,7,2
118,交战状态下的敌人受到伤害,斯考尔发动攻击  伊迪雅受到了9999点伤害。,65535,32,41,8,8,2
119,交战状态下的敌人回避了攻击,斯考尔发动攻击  失误了！,65535,32,42,8,9,2
120,对交战状态下的敌人发动的技能,"塞法正在咏唱“护盾”。
塞法中断了咏唱“护盾”。",65535,32,43,8,10,2
121,对交战状态下的敌人使用的道具,"塞法使用了“圣灵药”。
塞法中断了使用“圣灵药”。",65535,32,44,8,11,2
122,交战状态下的敌人接受恢复,   伊迪雅恢复了9999点体力。,65535,32,45,8,12,2
123,交战状态下的敌人接收他人的强化状态,   对伊迪雅附加了“护盾”的效果。,65535,32,46,8,13,2
124,交战状态下的敌人接收他人的弱化状态,   对伊迪雅附加了“沉默”的效果。,65535,32,47,8,14,2
125,交战状态下的敌人的强化状态效果消失,伊迪雅的“护盾”状态效果消失了。,65535,32,48,8,15,2
126,交战状态下的敌人的弱化状态效果消失,伊迪雅的“沉默”状态效果消失了。,65535,32,49,8,16,2
127,,,0,0,0,0,0,0
128,,,0,0,0,0,0,0
129,,,0,0,0,0,0,0
130,,,0,0,0,0,0,0
131,非交战状态下的敌人造成伤害,伊迪雅发动攻击  斯考尔受到了9999点伤害。,64,65535,41,9,1,0
132,非交战状态下的敌人的攻击落空,伊迪雅发动攻击  失误了！,64,65535,42,9,2,0
133,非交战状态下的敌人的技能,"伊迪雅正在咏唱“核爆”。
伊迪雅中断了咏唱“核爆”。",64,65535,43,9,3,0
134,非交战状态下的敌人的道具,"伊迪雅正在使用“圣灵药”。
伊迪雅中断了使用“圣灵药”。",64,65535,44,9,4,0
135,非交战状态下的敌人进行恢复,   伊迪雅恢复了9999点体力。,64,65535,45,9,5,0
136,非交战状态下的敌人给他人附加强化状态,   对伊迪雅附加了“护盾”的效果。,64,65535,46,9,6,0
137,非交战状态下的敌人给他人附加弱化状态,   对斯考尔附加了“失明”的效果。,64,65535,47,9,7,0
138,非交战状态下的敌人受到伤害,斯考尔发动攻击  伊迪雅受到了9999点伤害。,65535,64,41,9,8,0
139,非交战状态下的敌人回避了攻击,斯考尔发动攻击  失误了！,65535,64,42,9,9,0
140,对非交战状态下的敌人发动的技能,"塞法正在咏唱“护盾”。
塞法中断了咏唱“护盾”。",65535,64,43,9,10,0
141,对非交战状态下的敌人使用的道具,"塞法使用了“圣灵药”。
塞法中断了使用“圣灵药”。",65535,64,44,9,11,0
142,非交战状态下的敌人接受恢复,   伊迪雅恢复了9999点体力。,65535,64,45,9,12,0
143,非交战状态下的敌人接收他人的强化状态,   对伊迪雅附加了“护盾”的效果。,65535,64,46,9,13,0
144,非交战状态下的敌人接收他人的弱化状态,   对伊迪雅附加了“沉默”的效果。,65535,64,47,9,14,0
145,非交战状态下的敌人的强化状态效果消失,伊迪雅的“护盾”状态效果消失了。,65535,64,48,9,15,0
146,非交战状态下的敌人的弱化状态效果消失,伊迪雅的“沉默”状态效果消失了。,65535,64,49,9,16,0
147,,,0,0,0,0,0,0
148,,,0,0,0,0,0,0
149,,,0,0,0,0,0,0
150,,,0,0,0,0,0,0
151,团队队友造成伤害,扎克斯发动攻击  魔界花受到了9999点伤害。,8,65535,41,6,1,0
152,团队队友的攻击落空,扎克斯发动攻击  失误了！,8,65535,42,6,2,0
153,团队队友的技能,"扎克斯正在咏唱“核爆”。
扎克斯中断了咏唱“核爆”。",8,65535,43,6,3,0
154,团队队友的道具,"扎克斯正在使用“圣灵药”。
扎克斯中断了使用“圣灵药”。",8,65535,44,6,4,0
155,团队队友进行恢复,   扎克斯恢复了9999点体力。,8,65535,45,6,5,0
156,团队队友给他人附加强化状态,   对扎克斯附加了“护盾”的效果。,8,65535,46,6,6,0
157,团队队友给他人附加弱化状态,   对魔界花附加了“失明”的效果。,8,65535,47,6,7,0
158,团队队友受到伤害,魔界花发动攻击  扎克斯受到了9999点伤害。,65535,8,41,6,8,0
159,团队队友回避了攻击,魔界花发动攻击  失误了！,65535,8,42,6,9,0
160,对团队队友发动的技能,"爱丽丝正在咏唱“护盾”。
爱丽丝中断了咏唱“护盾”。",65535,8,43,6,10,0
161,对团队队友使用的道具,"爱丽丝使用了“圣灵药”。
爱丽丝中断了使用“圣灵药”。",65535,8,44,6,11,0
162,团队队友接受恢复,   扎克斯恢复了9999点体力。,65535,8,45,6,12,0
163,团队队友接收他人的强化状态,   对扎克斯附加了“护盾”的效果。,65535,8,46,6,13,0
164,团队队友接收他人的弱化状态,   对扎克斯附加了“沉默”的效果。,65535,8,47,6,14,0
165,团队队友的强化状态效果消失,扎克斯的“护盾”状态效果消失了。,65535,8,48,6,15,0
166,团队队友的弱化状态效果消失,扎克斯的“沉默”状态效果消失了。,65535,8,49,6,16,0
167,,,0,0,0,0,0,0
168,,,0,0,0,0,0,0
169,,,0,0,0,0,0,0
170,,,0,0,0,0,0,0
171,友好的非玩家角色造成伤害,德修发动攻击  魔界花受到了9999点伤害。,128,65535,41,10,1,2
172,友好的非玩家角色的攻击落空,德修发动攻击  失误了！,128,65535,42,10,2,2
173,友好的非玩家角色的技能,"德修正在咏唱“核爆”。
德修中断了咏唱“核爆”。",128,65535,43,10,3,2
174,友好的非玩家角色的道具,"德修正在使用“圣灵药”。
德修中断了使用“圣灵药”。",128,65535,44,10,4,2
175,友好的非玩家角色进行恢复,   德修恢复了9999点体力。,128,65535,45,10,5,2
176,友好的非玩家角色给他人附加强化状态,   对德修附加了“护盾”的效果。,128,65535,46,10,6,2
177,友好的非玩家角色给他人附加弱化状态,   对魔界花附加了“失明”的效果。,128,65535,47,10,7,2
178,友好的非玩家角色受到伤害,魔界花发动攻击  德修受到了9999点伤害。,65535,128,41,10,8,2
179,友好的非玩家角色回避了攻击,魔界花发动攻击  失误了！,65535,128,42,10,9,2
180,对友好的非玩家角色发动的技能,"艾丽娅正在咏唱“护盾”。
艾丽娅中断了咏唱“护盾”。",65535,128,43,10,10,2
181,对友好的非玩家角色使用的道具,"艾丽娅使用了“圣灵药”。
艾丽娅中断了使用“圣灵药”。",65535,128,44,10,11,2
182,友好的非玩家角色接受恢复,   德修恢复了9999点体力。,65535,128,45,10,12,2
183,友好的非玩家角色接收他人的强化状态,   对德修附加了“护盾”的效果。,65535,128,46,10,13,2
184,友好的非玩家角色接收他人的弱化状态,   对德修附加了“沉默”的效果。,65535,128,47,10,14,2
185,友好的非玩家角色的强化状态效果消失,德修的“护盾”状态效果消失了。,65535,128,48,10,15,2
186,友好的非玩家角色的弱化状态效果消失,德修的“沉默”状态效果消失了。,65535,128,49,10,16,2
187,,,0,0,0,0,0,0
188,,,0,0,0,0,0,0
189,,,0,0,0,0,0,0
190,,,0,0,0,0,0,0
191,自己的召唤兽及搭档造成伤害,波可发动攻击  魔界花受到了9999点伤害。,256,65535,41,11,1,2
192,自己的召唤兽及搭档的攻击落空,波可发动攻击  失误了！,256,65535,42,11,2,2
193,自己的召唤兽及搭档的技能,"波可正在咏唱“核爆”。
波可中断了咏唱“核爆”。",256,65535,43,11,3,2
194,自己的召唤兽及搭档的道具,"波可正在使用“圣灵药”。
波可中断了使用“圣灵药”。",256,65535,44,11,4,2
195,自己的召唤兽及搭档进行恢复,   波可恢复了9999点体力。,256,65535,45,11,5,2
196,自己的召唤兽及搭档给他人附加强化状态,   对波可附加了“护盾”的效果。,256,65535,46,11,6,2
197,自己的召唤兽及搭档给他人附加弱化状态,   对魔界花附加了“失明”的效果。,256,65535,47,11,7,2
198,自己的召唤兽及搭档受到伤害,魔界花发动攻击  波可受到了9999点伤害。,65535,256,41,11,8,2
199,自己的召唤兽及搭档回避了攻击,魔界花发动攻击  失误了！,65535,256,42,11,9,2
200,对自己的召唤兽及搭档发动的技能,"可可正在咏唱“护盾”。
可可中断了咏唱“护盾”。",65535,256,43,11,10,2
201,对自己的召唤兽及搭档使用的道具,"可可使用了“圣灵药”。
可可中断了使用“圣灵药”。",65535,256,44,11,11,2
202,自己的召唤兽及搭档接受恢复,   波可恢复了9999点体力。,65535,256,45,11,12,2
203,自己的召唤兽及搭档接收他人的强化状态,   对波可附加了“护盾”的效果。,65535,256,46,11,13,2
204,自己的召唤兽及搭档接收他人的弱化状态,   对波可附加了“沉默”的效果。,65535,256,47,11,14,2
205,自己的召唤兽及搭档的强化状态效果消失,波可的“护盾”状态效果消失了。,65535,256,48,11,15,2
206,自己的召唤兽及搭档的弱化状态效果消失,波可的“沉默”状态效果消失了。,65535,256,49,11,16,2
207,,,0,0,0,0,0,0
208,,,0,0,0,0,0,0
209,,,0,0,0,0,0,0
210,,,0,0,0,0,0,0
211,队友的召唤兽及搭档造成伤害,波可发动攻击  魔界花受到了9999点伤害。,512,65535,41,12,1,2
212,队友的召唤兽及搭档的攻击落空,波可发动攻击  失误了！,512,65535,42,12,2,2
213,队友的召唤兽及搭档的技能,"波可正在咏唱“核爆”。
波可中断了咏唱“核爆”。",512,65535,43,12,3,2
214,队友的召唤兽及搭档的道具,"波可正在使用“圣灵药”。
波可中断了使用“圣灵药”。",512,65535,44,12,4,2
215,队友的召唤兽及搭档进行恢复,   波可恢复了9999点体力。,512,65535,45,12,5,2
216,队友的召唤兽及搭档给他人附加强化状态,   对波可附加了“护盾”的效果。,512,65535,46,12,6,2
217,队友的召唤兽及搭档给他人附加弱化状态,   对魔界花附加了“失明”的效果。,512,65535,47,12,7,2
218,队友的召唤兽及搭档受到伤害,魔界花发动攻击  波可受到了9999点伤害。,65535,512,41,12,8,2
219,队友的召唤兽及搭档回避了攻击,魔界花发动攻击  失误了！,65535,512,42,12,9,2
220,对队友的召唤兽及搭档发动的技能,"可可正在咏唱“护盾”。
可可中断了咏唱“护盾”。",65535,512,43,12,10,2
221,对队友的召唤兽及搭档使用的道具,"可可使用了“圣灵药”。
可可中断了使用“圣灵药”。",65535,512,44,12,11,2
222,队友的召唤兽及搭档接受恢复,   波可恢复了9999点体力。,65535,512,45,12,12,2
223,队友的召唤兽及搭档接收他人的强化状态,   对波可附加了“护盾”的效果。,65535,512,46,12,13,2
224,队友的召唤兽及搭档接收他人的弱化状态,   对波可附加了“沉默”的效果。,65535,512,47,12,14,2
225,队友的召唤兽及搭档的强化状态效果消失,波可的“护盾”状态效果消失了。,65535,512,48,12,15,2
226,队友的召唤兽及搭档的弱化状态效果消失,波可的“沉默”状态效果消失了。,65535,512,49,12,16,2
227,,,0,0,0,0,0,0
228,,,0,0,0,0,0,0
229,,,0,0,0,0,0,0
230,,,0,0,0,0,0,0
231,团队队友的召唤兽及搭档造成伤害,波可发动攻击  魔界花受到了9999点伤害。,1024,65535,41,13,1,0
232,团队队友的召唤兽及搭档的攻击落空,波可发动攻击  失误了！,1024,65535,42,13,2,0
233,团队队友的召唤兽及搭档的技能,"波可正在咏唱“核爆”。
波可中断了咏唱“核爆”。",1024,65535,43,13,3,0
234,团队队友的召唤兽及搭档的道具,"波可正在使用“圣灵药”。
波可中断了使用“圣灵药”。",1024,65535,44,13,4,0
235,团队队友的召唤兽及搭档进行恢复,   波可恢复了9999点体力。,1024,65535,45,13,5,0
236,团队队友的召唤兽及搭档给他人附加强化状态,   对波可附加了“护盾”的效果。,1024,65535,46,13,6,0
237,团队队友的召唤兽及搭档给他人附加弱化状态,   对魔界花附加了“失明”的效果。,1024,65535,47,13,7,0
238,团队队友的召唤兽及搭档受到伤害,魔界花发动攻击  波可受到了9999点伤害。,65535,1024,41,13,8,0
239,团队队友的召唤兽及搭档回避了攻击,魔界花发动攻击  失误了！,65535,1024,42,13,9,0
240,对团队队友的召唤兽及搭档发动的技能,"可可正在咏唱“护盾”。
可可中断了咏唱“护盾”。",65535,1024,43,13,10,0
241,对团队队友的召唤兽及搭档使用的道具,"可可使用了“圣灵药”。
可可中断了使用“圣灵药”。",65535,1024,44,13,11,0
242,团队队友的召唤兽及搭档接受恢复,   波可恢复了9999点体力。,65535,1024,45,13,12,0
243,团队队友的召唤兽及搭档接收他人的强化状态,   对波可附加了“护盾”的效果。,65535,1024,46,13,13,0
244,团队队友的召唤兽及搭档接收他人的弱化状态,   对波可附加了“沉默”的效果。,65535,1024,47,13,14,0
245,团队队友的召唤兽及搭档的强化状态效果消失,波可的“护盾”状态效果消失了。,65535,1024,48,13,15,0
246,团队队友的召唤兽及搭档的弱化状态效果消失,波可的“沉默”状态效果消失了。,65535,1024,49,13,16,0
247,,,0,0,0,0,0,0
248,,,0,0,0,0,0,0
249,,,0,0,0,0,0,0
250,,,0,0,0,0,0,0
251,他人的召唤兽及搭档造成伤害,波可发动攻击  魔界花受到了9999点伤害。,2048,65535,41,14,1,0
252,他人的召唤兽及搭档的攻击落空,波可发动攻击  失误了！,2048,65535,42,14,2,0
253,他人的召唤兽及搭档的技能,"波可正在咏唱“核爆”。
波可中断了咏唱“核爆”。",2048,65535,43,14,3,0
254,他人的召唤兽及搭档的道具,"波可正在使用“圣灵药”。
波可中断了使用“圣灵药”。",2048,65535,44,14,4,0
255,他人的召唤兽及搭档进行恢复,   波可恢复了9999点体力。,2048,65535,45,14,5,0
256,他人的召唤兽及搭档给他人附加强化状态,   对波可附加了“护盾”的效果。,2048,65535,46,14,6,0
257,他人的召唤兽及搭档给他人附加弱化状态,   对魔界花附加了“失明”的效果。,2048,65535,47,14,7,0
258,他人的召唤兽及搭档受到伤害,魔界花发动攻击  波可受到了9999点伤害。,65535,2048,41,14,8,0
259,他人的召唤兽及搭档回避了攻击,魔界花发动攻击  失误了！,65535,2048,42,14,9,0
260,对他人的召唤兽及搭档发动的技能,"可可正在咏唱“护盾”。
可可中断了咏唱“护盾”。",65535,2048,43,14,10,0
261,对他人的召唤兽及搭档使用的道具,"可可使用了“圣灵药”。
可可中断了使用“圣灵药”。",65535,2048,44,14,11,0
262,他人的召唤兽及搭档接受恢复,   波可恢复了9999点体力。,65535,2048,45,14,12,0
263,他人的召唤兽及搭档接收他人的强化状态,   对波可附加了“护盾”的效果。,65535,2048,46,14,13,0
264,他人的召唤兽及搭档接收他人的弱化状态,   对波可附加了“沉默”的效果。,65535,2048,47,14,14,0
265,他人的召唤兽及搭档的强化状态效果消失,波可的“护盾”状态效果消失了。,65535,2048,48,14,15,0
266,他人的召唤兽及搭档的弱化状态效果消失,波可的“沉默”状态效果消失了。,65535,2048,49,14,16,0
267,,,0,0,0,0,0,0
268,,,0,0,0,0,0,0
269,,,0,0,0,0,0,0
270,,,0,0,0,0,0,0
300,跨服通讯贝2,[跨服贝2]<瑞姆> 你好！,65535,65535,101,1,11,1
301,跨服通讯贝3,[跨服贝3]<吉坦> 你好！,65535,65535,102,1,12,1
302,跨服通讯贝4,[跨服贝4]<文森特> 你好！,65535,65535,103,1,13,1
303,跨服通讯贝5,[跨服贝5]<奎斯缇丝> 你好！,65535,65535,104,1,14,1
304,跨服通讯贝6,[跨服贝6]<斯坦纳> 你好！,65535,65535,105,1,15,1
305,跨服通讯贝7,[跨服贝7]<西德·海温德> 你好！,65535,65535,106,1,16,1
306,跨服通讯贝8,[跨服贝8]<艾可> 你好！,65535,65535,107,1,17,1
