#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
172,幻想龙诗绝境战,195704,322,0,0,0,2503,1,0,0,4
173,幻想龙诗绝境战,197704,322,0,0,0,2503,3,0,0,4
174,幻想龙诗绝境战,198704,322,0,0,0,2503,4,0,0,4
175,幻想龙诗绝境战,199704,322,0,0,0,2503,5,0,0,4
176,多变迷宫：希拉狄哈水道,194701,343,0,0,0,2402,2,0,0,4
177,多变迷宫：希拉狄哈水道,197705,343,0,0,0,2402,3,0,0,4
178,,0,0,0,0,0,0,0,0,0,0
179,友好部族任务：奥密克戎族,199966,344,0,0,0,2315,5,0,0,3
180,咖啡厅,194012,1,0,0,0,11,2,0,0,1
181,方块,194013,1,0,0,0,12,2,0,0,1
182,闪闪发光,194014,1,0,0,0,13,2,0,0,1
183,竖条纹,194015,1,0,0,0,14,2,0,0,1
184,横条纹,194016,1,0,0,0,15,2,0,0,1
185,心形,194017,1,0,0,0,16,2,0,0,1
186,折线条纹,194018,1,0,0,0,17,2,0,0,1
187,麻叶花纹,194019,1,0,0,0,18,2,0,0,1
188,格子花纹,194020,1,0,0,0,19,2,0,0,1
189,水晶,194021,1,0,0,0,20,2,0,0,1
190,东方样式,195012,1,0,0,0,11,1,0,0,1
191,折线,198012,1,0,0,0,11,4,0,0,1
192,胶带纸：暖色,198013,1,0,0,0,12,4,0,0,1
193,胶带纸：冷色,198014,1,0,0,0,13,4,0,0,1
194,咖啡厅,199012,1,0,0,0,11,5,0,0,1
195,吉他拨片,199013,347,0,0,0,13,5,0,0,7
196,小提琴,199014,347,0,0,0,12,5,0,0,7
197,宠物：自走人偶001号,234401,348,0,0,0,5600,5,1,0,6
198,宠物：巧儿陆行鸟,234402,349,0,0,0,5000,5,1,0,6
199,宠物：爆弹仔,234403,350,0,0,0,5050,5,1,0,6
200,宠物：贝希摩斯宝宝,234405,351,608,0,793,5051,5,1,0,6
201,宠物：魔界花骨朵,234412,352,0,0,0,5052,5,1,0,6
202,宠物：灰尘兔,234424,353,0,0,0,5063,5,1,0,6
203,宠物：幼小仙人掌,234429,354,0,0,0,5064,5,1,0,6
204,宠物：小壳蟹,234430,355,0,0,0,5065,5,1,0,6
205,宠物：发芽小猩猩,234436,356,0,0,0,5077,5,1,0,6
206,宠物：恶魔砖块,234439,357,0,0,0,5079,5,1,0,6
207,宠物：手指光标,234444,358,609,0,0,5656,5,1,0,6
208,宠物：卢恩人玩偶,234446,359,0,0,0,5350,5,1,0,6
209,宠物：小狼,234450,360,0,0,0,5066,5,1,0,6
210,宠物：长须小豹,234452,361,0,0,0,5057,5,1,0,6
211,宠物：冬贝利玩偶,234453,362,0,0,0,5060,5,1,0,6
212,宠物：魔法扫帚,234471,363,0,0,0,5659,5,1,0,6
213,宠物：莫古力娃娃,234472,364,610,0,795,5002,5,1,0,6
214,宠物：食果花鼠,234487,365,0,0,0,5201,5,1,0,6
215,宠物：猫小胖,234507,366,0,0,0,5202,5,1,0,6
216,宠物：河童童,234511,367,0,0,0,5750,5,1,0,6
217,宠物：追踪系统,234542,368,0,0,0,5650,5,1,0,6
218,宠物：猴面雀儿,234558,369,0,0,0,5092,5,1,0,6
219,宠物：叶小妖妖,234566,370,0,0,0,5094,5,1,0,6
220,宠物：獭獭,234641,371,0,0,0,5251,5,1,0,6
221,宠物：迷你鲶鱼精,234653,372,0,0,0,5351,5,1,0,6
222,宠物：迷你库洛,234660,373,0,0,0,5542,5,1,0,6
223,宠物：豆豆柴,234667,374,0,0,0,5210,5,1,0,6
224,宠物：隆卡的水蛇？,234737,375,0,0,0,5217,5,1,0,6
225,宠物：大河狸,234742,376,0,0,0,5353,5,1,0,6
226,宠物：鲨鱼指挥官,234775,377,0,0,0,5258,5,1,0,6
227,宠物：凯特西娃娃,234404,378,611,0,796,5602,5,1,0,6
228,宠物：青鸟,234416,379,0,0,0,5300,5,1,0,6
229,宠物：渡渡鸟雏,234432,380,0,0,0,5067,5,1,0,6
230,宠物：幼碧企鹅,234435,381,0,0,0,5076,5,1,0,6
231,宠物：睡羊羊,234441,382,0,0,0,5080,5,1,0,6
232,宠物：小小蔓德拉,234442,383,0,0,0,5068,5,1,0,6
233,宠物：不说话的蜂鸟,234462,384,0,0,0,5083,5,1,0,6
234,宠物：梦魔娃娃,234475,385,0,0,0,5085,5,1,0,6
235,宠物：小小吉尔伽美什,234476,386,612,624,0,5570,5,1,0,6
236,宠物：洋葱王子,234477,387,0,0,0,5069,5,1,0,6
237,宠物：茄子骑士,234478,388,0,0,0,5070,5,1,0,6
238,宠物：蒜头明星,234479,389,0,0,0,5071,5,1,0,6
239,宠物：番茄国王,234480,390,0,0,0,5072,5,1,0,6
240,宠物：蔓德拉王后,234481,391,0,0,0,5073,5,1,0,6
241,宠物：迷你奥尔特罗斯,234504,392,0,0,0,5572,5,1,0,6
242,宠物：恩奇都,234521,393,0,0,0,5571,5,1,0,6
243,宠物：小小阿托莫斯,234529,394,0,0,0,5089,5,1,0,6
244,宠物：风筝小猫,234532,395,0,0,0,5090,5,1,0,6
245,宠物：小熊猫,234534,396,0,0,0,5204,5,1,0,6
246,宠物：企鹅王子,234564,397,0,0,0,5304,5,1,0,6
247,宠物：波奇,234600,398,0,0,0,5751,5,1,0,6
248,宠物：疣猪小子,234616,399,0,0,0,5101,5,1,0,6
249,宠物：旅雀儿,234647,400,0,0,0,5305,5,1,0,6
250,宠物：迷你奇美拉,234655,401,0,0,0,5605,5,1,0,6
251,宠物：小雪童子,234719,402,0,0,0,5104,5,1,0,6
252,宠物：小妖狐,234642,403,0,0,0,5207,5,1,0,6
253,宠物：鲸头鹳,234749,404,0,0,0,5306,5,1,0,6
254,宠物：猪小仙,234753,405,0,0,0,5106,5,1,0,6
255,宠物：沙狐,234787,406,0,0,0,5221,5,1,0,6
256,宠物：莫莫拉·莫拉！！！,234796,407,0,0,0,5260,5,1,0,6
257,友好部族任务：仙子族,199962,429,0,0,0,2311,5,0,0,3
258,友好部族任务：奇塔利族,199963,430,0,0,0,2312,5,0,0,3
259,友好部族任务：矮人族,199964,431,0,0,0,2313,5,0,0,3
260,友好部族任务：悌阳象族,199965,432,0,0,0,2314,5,0,0,3
261,友好部族任务：兔兔族,199967,433,0,0,0,2316,5,0,0,3
262,欧米茄绝境验证战,195705,434,0,0,0,2504,1,0,0,4
263,欧米茄绝境验证战,197706,434,0,0,0,2504,3,0,0,4
264,欧米茄绝境验证战,198705,434,0,0,0,2504,4,0,0,4
265,欧米茄绝境验证战,199705,434,0,0,0,2504,5,0,0,4
266,宠物：胖儿陆行鸟,234506,435,0,0,0,5001,5,1,0,6
267,宠物：粘液胶,234451,436,0,0,0,5081,5,1,0,6
268,宠物：奥猴宝宝,234470,437,0,0,0,5084,5,1,0,6
269,宠物：小脚雪人,234508,438,0,0,0,5087,5,1,0,6
270,宠物：浅瞳,234563,439,0,0,0,5093,5,1,0,6
271,宠物：蓝闪蝶,234579,440,0,0,0,5095,5,1,0,6
272,宠物：波罗·罗格,234580,441,0,0,0,5096,5,1,0,6
273,宠物：水小滴,234805,442,0,0,0,5108,5,1,0,6
274,宠物：分福,234646,443,0,0,0,5209,5,1,0,6
275,宠物：小刺猬,234730,444,0,0,0,5215,5,1,0,6
276,宠物：鼯鼠,234862,445,0,0,0,5229,5,1,0,6
277,宠物：吉多,234658,446,0,0,0,5252,5,1,0,6
278,宠物：椒盐海豹,234672,447,0,0,0,5253,5,1,0,6
279,宠物：六角小螈螈,234673,448,0,0,0,5254,5,1,0,6
280,宠物：小鸭嘴兽,234740,449,0,0,0,5256,5,1,0,6
281,宠物：丑小鸭,234531,450,0,0,0,5302,5,1,0,6
282,宠物：白小虎,234684,451,0,0,0,5463,5,1,0,6
283,宠物：朱孔雀,234703,452,0,0,0,5464,5,1,0,6
284,宠物：青帝,234727,453,0,0,0,5466,5,1,0,6
285,宠物：迷你雅·修特拉,234500,454,0,0,0,5500,5,1,0,6
286,宠物：迷你敏菲利亚,234488,455,0,0,0,5503,5,1,0,6
287,宠物：迷你桑克瑞德,234489,456,0,0,0,5504,5,1,0,6
288,宠物：迷你伊达,234501,457,0,0,0,5506,5,1,0,6
289,宠物：迷你帕帕力莫,234502,458,0,0,0,5508,5,1,0,6
290,宠物：迷你于里昂热,234503,459,0,0,0,5509,5,1,0,6
291,宠物：迷你阿尔菲诺,234519,460,0,0,0,5513,5,1,0,6
292,宠物：迷你阿莉塞,234520,461,0,0,0,5514,5,1,0,6
293,宠物：迷你塔塔露,234526,462,0,0,0,5516,5,1,0,6
294,宠物：迷你西德,234527,463,0,0,0,5518,5,1,0,6
295,宠物：猫耳小小员,234856,464,0,0,0,5608,5,1,0,6
296,深层迷宫：正统优雷卡1,197711,465,0,0,0,2358,3,0,0,4
297,深层迷宫：正统优雷卡2,197712,466,0,0,0,2359,3,0,0,4
298,第七星历编年史：四圣兽奇谭,198706,467,0,0,0,2251,4,0,0,3
299,开拓无人岛1,198707,468,0,0,0,2340,4,0,0,8
300,开拓无人岛2,198708,469,0,0,0,2341,4,0,0,8
301,开拓无人岛1,199706,468,0,0,0,2340,5,0,0,8
302,开拓无人岛2,199707,469,0,0,0,2341,5,0,0,8
303,宠物：擦擦羽衣精,234863,472,0,0,0,5114,5,1,0,6
304,宠物：吉娃汪,234848,473,0,0,0,5230,5,1,0,6
305,宠物：肥肥风筝猫,234784,474,0,0,0,5091,5,1,0,6
306,宠物：娜娜珂小熊,234485,475,0,0,0,5200,5,1,0,6
307,宠物：黑豆柴,234733,476,0,0,0,5211,5,1,0,6
308,宠物：小树袋熊,234671,477,0,0,0,5212,5,1,0,6
309,宠物：水豚幼崽,234716,478,0,0,0,5214,5,1,0,6
310,宠物：小旗,234822,479,0,0,0,5223,5,1,0,6
311,宠物：柯基犬,234867,480,0,0,0,5231,5,1,0,6
312,宠物：银山雀儿,234771,481,0,0,0,5307,5,1,0,6
313,宠物：小草贤人,234838,482,0,0,0,5113,5,1,0,6
314,宠物：悌阳象族人偶,234844,483,0,0,0,5401,5,1,0,6
315,宠物：格雷布洛弗玩偶,234839,484,0,0,0,5354,5,1,0,6
316,宠物：探明威,234872,485,0,0,0,5355,5,1,0,6
317,宠物：集成奥密克戎,234825,486,0,0,0,5652,5,1,0,6
318,宠物：迷你欧米茄M,234744,487,0,0,0,5151,5,1,0,6
319,宠物：迷你欧米茄F,234745,488,0,0,0,5152,5,1,0,6
320,宠物：迷你欧米茄,234705,489,0,0,0,5150,5,1,0,6
321,宠物：迷你阿尔法,234704,490,0,0,0,5577,5,1,0,6
322,宠物：迷你可露儿,234605,491,0,0,0,5519,5,1,0,6
323,宠物：迷你穆恩布瑞达,234624,492,0,0,0,5521,5,1,0,6
324,宠物：非正宗调查员,234515,493,0,0,0,5522,5,1,0,6
325,宠物：迷你娜娜莫,234499,494,613,625,0,5528,5,1,0,6
326,宠物：迷你奥尔什方,234568,495,0,0,0,5532,5,1,0,6
327,宠物：迷你艾默里克,234606,496,0,0,0,5534,5,1,0,6
328,宠物：迷你埃斯蒂尼安,234628,497,0,0,0,5536,5,1,0,6
329,宠物：迷你尼禄,234575,498,0,0,0,5533,5,1,0,6
330,宠物：袖珍劳班,234555,499,614,621,0,5526,5,1,0,6
331,宠物：袖珍嘉恩·艾,234553,500,615,622,0,5525,5,1,0,6
332,宠物：袖珍梅尔维布,234554,501,616,623,0,5524,5,1,0,6
333,友好部族任务：甲人族,199960,524,0,0,0,2308,5,0,0,3
334,友好部族任务：阿难陀族,199959,525,0,0,0,2309,5,0,0,3
335,友好部族任务：鲶鱼精族,199961,526,0,0,0,2310,5,0,0,3
336,时代的终结,197713,527,0,0,0,2250,3,0,0,3
337,时代的终结,198709,527,0,0,0,2250,4,0,0,3
338,时代的终结,199708,527,0,0,0,2250,5,0,0,3
339,10周年纪念,198710,523,0,0,0,3950,4,0,0,7
340,10周年纪念,199709,523,0,0,0,3950,5,0,0,7
341,多变迷宫：六根山,194702,528,0,0,0,2403,2,0,0,4
342,多变迷宫：六根山,197714,528,0,0,0,2403,3,0,0,4
343,海钓爱好者,195706,529,0,0,0,2346,1,0,0,8
344,海钓爱好者,197715,529,0,0,0,2345,3,0,0,8
345,海钓爱好者,198711,529,0,0,0,2346,4,0,0,8
346,海钓爱好者,199710,529,0,0,0,2345,5,0,0,8
347,愿者上钩,195707,530,0,0,0,2347,1,0,0,8
348,愿者上钩,197716,530,0,0,0,2346,3,0,0,8
349,愿者上钩,198712,530,0,0,0,2347,4,0,0,8
350,愿者上钩,199711,530,0,0,0,2346,5,0,0,8
351,运筹帷幄,195708,531,0,0,0,2350,1,0,0,8
352,运筹帷幄,198713,531,0,0,0,2350,4,0,0,8
353,运筹帷幄,199712,531,0,0,0,2350,5,0,0,8
354,时代的终结,195709,527,0,0,0,2250,1,0,0,3
355,宠物：私用棒槌树,234873,534,0,0,0,5074,5,1,0,6
356,宠物：忍犬白丸,234886,535,0,0,0,5233,5,1,0,6
357,宠物：忍犬黑丸,234890,536,0,0,0,5234,5,1,0,6
358,宠物：迷你莫艾石像,234678,537,0,0,0,5662,5,1,0,6
359,宠物：迷你阿泽玛,234851,538,0,0,0,5158,5,1,0,6
360,宠物：迷你哈罗妮,234874,539,0,0,0,5159,5,1,0,6
361,宠物：迷你奥修昂,234894,540,0,0,0,5160,5,1,0,6
362,宠物：砂砾小像兵,234419,541,0,0,0,5059,5,1,0,6
363,宠物：小木乃伊,234509,542,0,0,0,5088,5,1,0,6
364,宠物：芬里尔幼崽,234582,543,0,0,0,5097,5,1,0,6
365,宠物：小凉南希,234761,544,0,0,0,5107,5,1,0,6
366,宠物：小矮兔,234609,545,0,0,0,5206,5,1,0,6
367,宠物：狐獴,234756,546,0,0,0,5220,5,1,0,6
368,宠物：暗斗鱼苗,234510,547,0,0,0,5250,5,1,0,6
369,宠物：猫头小鹰,234530,548,0,0,0,5301,5,1,0,6
370,宠物：猎鹰,234562,549,0,0,0,5303,5,1,0,6
371,宠物：蓝足鲣鸟,234853,550,0,0,0,5309,5,1,0,6
372,宠物：新型迷你雅·修特拉,234596,551,0,0,0,5501,5,1,0,6
373,宠物：新型迷你桑克瑞德,234617,552,0,0,0,5505,5,1,0,6
374,宠物：迷你路易索瓦,234512,553,0,0,0,5511,5,1,0,6
375,宠物：新型迷你阿莉塞,234618,554,0,0,0,5515,5,1,0,6
376,宠物：迷你戈德伯特,234876,555,0,0,0,5523,5,1,0,6
377,宠物：迷你冰之巫女,234538,556,617,0,802,5529,5,1,0,6
378,宠物：迷你夕雾,234543,557,618,0,803,5530,5,1,0,6
379,宠物：迷你艾达,234619,558,0,0,0,5535,5,1,0,6
380,宠物：迷你熙洛,234698,559,0,0,0,5541,5,1,0,6
381,宠物：迷你古·拉哈,234706,560,0,0,0,5548,5,1,0,6
382,宠物：尘世幻龙,234518,561,0,0,0,5573,5,1,0,6
383,宠物：迷你赫拉斯瓦尔格,234629,562,619,626,804,5574,5,1,0,6
384,宠物：迷你尼德霍格,234633,563,620,0,805,5575,5,1,0,6
385,宠物：粉红糖豆人,234899,564,0,0,0,5800,5,1,0,6
386,宠物：糖豆企鹅,234900,565,0,0,0,5801,5,1,0,6
387,宠物：小托加尔,234898,566,0,0,0,5701,5,1,0,6
388,友好部族任务：瓦努族,199956,567,0,0,0,2305,5,0,0,3
389,友好部族任务：骨颌族,199957,568,0,0,0,2306,5,0,0,3
390,友好部族任务：莫古力族,199958,569,0,0,0,2307,5,0,0,3
391,艾欧泽亚神话,197720,572,0,0,0,2252,3,0,0,3
392,艾欧泽亚神话,198717,572,0,0,0,2252,4,0,0,3
393,艾欧泽亚神话,199715,572,0,0,0,2252,5,0,0,3
394,塔塔露的大繁荣商店,197719,573,0,0,0,2242,3,0,0,3
395,塔塔露的大繁荣商店,198716,573,0,0,0,2242,4,0,0,3
396,多变迷宫：阿罗阿罗岛,194703,574,0,0,0,2404,2,0,0,4
397,多变迷宫：阿罗阿罗岛,197721,574,0,0,0,2404,3,0,0,4
398,天书奇谈,195710,570,0,0,0,2351,1,0,0,8
399,天书奇谈,197717,570,0,0,0,2351,3,0,0,8
400,天书奇谈,198714,570,0,0,0,2351,4,0,0,8
401,天书奇谈,199713,570,0,0,0,2351,5,0,0,8
402,幻巧拼图,195711,571,0,0,0,2352,1,0,0,8
403,幻巧拼图,197718,571,0,0,0,2352,3,0,0,8
404,幻巧拼图,198715,571,0,0,0,2352,4,0,0,8
405,幻巧拼图,199714,571,0,0,0,2352,5,0,0,8
406,金碟巨豆中心1,195712,575,0,0,0,3951,1,0,0,7
407,金碟巨豆中心2,195713,576,0,0,0,3952,1,0,0,7
408,金碟巨豆中心3,195714,577,0,0,0,3953,1,0,0,7
409,妖怪手表,195715,607,0,0,0,3954,1,0,0,7
410,妖怪手表,198718,607,0,0,0,3954,4,0,0,7
411,妖怪手表,199716,607,0,0,0,3954,5,0,0,7
412,宠物：雷普鲁,234906,643,0,0,0,5216,5,1,0,6
413,宠物：乌洛萨帕,234891,644,0,0,0,5311,5,1,0,6
414,宠物：矿爬虫虫,234433,645,0,0,0,5075,5,1,0,6
415,宠物：西德尼亚丘灵,234895,646,0,0,0,5667,5,1,0,6
416,宠物：可幽可幽玩偶,234854,647,0,0,0,5700,5,1,0,6
417,宠物：海鹦,234878,648,0,0,0,5310,5,1,0,6
418,宠物：黑小猩,234883,649,0,0,0,5232,5,1,0,6
419,宠物：迷你莉瑟,234648,658,0,0,0,5507,5,1,0,6
420,宠物：迷你飞燕,234664,659,0,0,0,5540,5,1,0,6
421,宠物：新型迷你夕雾,234649,660,0,0,0,5531,5,1,0,6
422,宠物：迷你豪雪,234650,661,0,0,0,5538,5,1,0,6
423,宠物：迷你夜露,234651,662,708,714,806,5539,5,1,0,6
424,宠物：迷你格林瓦特,234652,663,0,0,0,5546,5,1,0,6
425,宠物：新型迷你劳班,234676,664,0,0,0,5527,5,1,0,6
426,宠物：迷你玛格奈,234682,665,0,0,0,5544,5,1,0,6
427,宠物：迷你其日娜,234697,666,0,0,0,5543,5,1,0,6
428,宠物：迷你纱都,234696,667,0,0,0,5545,5,1,0,6
429,宠物：新型迷你塔塔露,234720,668,709,715,807,5517,5,1,0,6
