#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
25,与拂晓的共同作战,为了调查地灵族召唤蛮神的前兆，与拂晓血盟展开共同作战。和同属于组织的者斯拉佛希斯汇合，听从其指示。,14946,295,430,600,10,20,20,20,20,14946,430,295,600,10,20,20,20,20,14946,590,305,430,10,20,20,20,20,14946,590,430,305,10,20,20,20,20,14946,275,620,430,10,20,20,20,20,14946,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
26,开发反魔导兵器战术,为了更加有效地开发反魔导兵器战术，使用缴获的帝国军魔导兵器进行模拟战。,14947,275,620,430,10,20,20,20,20,14947,430,620,275,10,20,20,20,20,14947,295,430,600,10,20,20,20,20,14947,430,295,600,10,20,20,20,20,14947,590,305,430,10,20,20,20,20,14947,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
27,市民救出作战,有情报称受鱼人族支配的海盗团“海蛇之舌”绑架了普通市民。在无辜的市民们成为蛮神的祭品前，潜入敌方据点将其救出。,14948,590,305,430,10,20,20,20,20,14948,590,430,305,10,20,20,20,20,14948,275,620,430,10,20,20,20,20,14948,430,620,275,10,20,20,20,20,14948,295,430,600,10,20,20,20,20,14948,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
28,消灭武装集团,被认为是辉鳞人战斗团分支的武装集团在我国领土内为非作歹，成为了巨大的威胁。立即前往现场，消灭他们。,14949,295,430,600,10,20,20,20,20,14949,590,430,305,10,20,20,20,20,14949,590,305,430,10,20,20,20,20,14949,430,620,275,10,20,20,20,20,14949,275,620,430,10,20,20,20,20,14949,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
29,取缔违法邪教教团,宣扬末日思想的邪教教团“最后之民”正在进行非法布教。扮成普通市民在利姆萨·罗敏萨境内巡视，揭发前来宣传的邪教一伙。,14950,275,620,430,10,20,20,20,20,14950,430,295,600,10,20,20,20,20,14950,295,430,600,10,20,20,20,20,14950,590,430,305,10,20,20,20,20,14950,590,305,430,10,20,20,20,20,14950,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
30,消灭非法召唤的妖异,有目击情报称，在我国领土内发现了被违法召唤的妖异。追踪梦魔型妖异，并将其消灭。,14951,590,305,430,10,20,20,20,20,14951,430,620,275,10,20,20,20,20,14951,275,620,430,10,20,20,20,20,14951,430,295,600,10,20,20,20,20,14951,295,430,600,10,20,20,20,20,14951,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
31,击破帝国军废弃兵器,被帝国军废弃的魔导兵器因某种原因而失控，威胁到了领地内的安全。立即前往现场，与特务士官合作将目标击破。,14952,430,295,600,10,20,20,20,20,14952,295,430,600,10,20,20,20,20,14952,590,430,305,10,20,20,20,20,14952,590,305,430,10,20,20,20,20,14952,430,620,275,10,20,20,20,20,14952,275,620,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
32,排除哥布林族集团,哥布林族科学家组织青蓝之手的下属集团正在我方领土内进行机工兵器的验证试验。立即赶往现场，阻止未经许可的试验。,14953,430,620,275,10,20,20,20,20,14953,275,620,430,10,20,20,20,20,14953,430,295,600,10,20,20,20,20,14953,295,430,600,10,20,20,20,20,14953,590,430,305,10,20,20,20,20,14953,590,305,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
33,揭发假副牙士,据称，有一位自称是格里达尼亚副牙士的强壮男人经常大声恐吓无辜的市民。为了维护艾欧泽亚同盟军的威信，揭发这个副牙士。,14954,590,430,305,10,20,20,20,20,14954,590,305,430,10,20,20,20,20,14954,430,620,275,10,20,20,20,20,14954,275,620,430,10,20,20,20,20,14954,430,295,600,10,20,20,20,20,14954,295,430,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
34,重要任务：歼灭帝国军特殊部队,谍报部门发现有一支帝国军特殊部队潜入到了东拉诺西亚。他们想进入我们的城市展开破坏，骚扰我军大后方。请立刻赶赴现场，歼灭敌方部队！,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,40000,5000,17,19,50,0,0,2
