#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
68,获得力提高III,24小时内（地球时间），大地使者提升15点获得力。,10500,64252,8,43,False
69,鉴别力提高III,24小时内（地球时间），大地使者提升15点鉴别力。,10500,64253,8,44,False
70,作业精度提高III,24小时内（地球时间），能工巧匠提升15点作业精度。,10500,64254,8,45,False
71,加工精度提高III,24小时内（地球时间），能工巧匠提升15点加工精度。,10500,64255,8,46,False
72,精炼度增加量提高III,24小时内（地球时间），精炼度增长得更快。,10500,64259,8,47,False
73,食物效果时间延长III,24小时内（地球时间），食物的效果时间延长15分钟。,10500,64258,8,48,False
74,装备损耗降低III,24小时内（地球时间），装备耐久度损耗降低30%。,10500,64260,8,49,False
75,,,0,0,0,0,False
76,传送优惠III,24小时内（地球时间），传送所需要花费的金币减少40%。,10500,64262,8,51,False
77,金碟币提高III,24小时内（地球时间），获得的金碟币增加15%。,10500,64269,8,41,False
78,,,0,0,0,0,False
79,,,0,0,0,0,False
80,,,0,0,0,0,False
81,,,0,0,0,0,False
82,,,0,0,0,0,False
83,,,0,0,0,0,False
84,,,0,0,0,0,False
85,,,0,0,0,0,False
86,,,0,0,0,0,False
87,,,0,0,0,0,False
88,,,0,0,0,0,False
89,,,0,0,0,0,False
90,,,0,0,0,0,False
91,,,0,0,0,0,False
92,,,0,0,0,0,False
93,,,0,0,0,0,False
94,,,0,0,0,0,False
95,,,0,0,0,0,False
96,,,0,0,0,0,False
97,,,0,0,0,0,False
98,,,0,0,0,0,False
99,,,0,0,0,0,False
100,,,0,0,0,0,False
