#,Objective,Requirement,Image,Unknown0,Order
38,丰渔：罗斯利特湾,达成条件：小队全体在罗斯利特湾合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65922,110,29
39,丰渔：罗斯利特湾,达成条件：小队全体在罗斯利特湾合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65922,110,30
40,四海大宝贝,达成条件：小队全体合计钓到350只或更多的贝类。,65930,130,52
41,鱿型中队精英,达成条件：小队全体合计钓到400只或更多的鱿鱼。,65931,130,53
42,大虾可重新来过,达成条件：个人合计钓到50只或更多的虾类。,65932,120,54
43,丰渔：妖歌海,达成条件：小队全体在妖歌海合计钓到10种或更多的鱼类。,65926,110,40
44,丰渔：妖歌海,达成条件：小队全体在妖歌海合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65926,110,41
45,丰渔：妖歌海,达成条件：小队全体在妖歌海合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65926,110,42
46,丰渔：黄金港,达成条件：小队全体在黄金港合计钓到10种或更多的鱼类。,65927,110,43
47,丰渔：黄金港,达成条件：小队全体在黄金港合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65927,110,44
48,丰渔：黄金港,达成条件：小队全体在黄金港合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65927,110,45
49,丰渔：红玉海,达成条件：小队全体在红玉海合计钓到10种或更多的鱼类。,65928,110,46
50,丰渔：红玉海,达成条件：小队全体在红玉海合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65928,110,47
51,丰渔：红玉海,达成条件：小队全体在红玉海合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65928,110,48
52,丰渔：无二江,达成条件：小队全体在无二江合计钓到10种或更多的鱼类。,65929,110,49
53,丰渔：无二江,达成条件：小队全体在无二江合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65929,110,50
54,丰渔：无二江,达成条件：小队全体在无二江合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65929,110,51
