#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
42,执行理符任务,530,531,0,0,0,0,0,0,0,0,4,9,True
43,领取理符报酬,540,0,0,0,0,0,0,0,0,0,5,9,True
44,重新挑战理符任务,550,0,0,0,0,551,0,0,0,0,6,9,True
45,讨伐笔记,400,401,402,0,0,403,404,405,0,0,9,4,True
46,可爱的小宠物,940,941,942,943,0,940,944,945,943,0,12,2,True
47,关于市场,800,801,802,0,0,0,0,0,0,0,11,6,True
48,在市场里搜索道具,810,811,812,813,0,0,0,0,0,0,12,6,True
49,在市场里购买道具,820,821,0,0,0,0,0,0,0,0,13,6,True
50,在市场里出售道具,830,831,832,0,0,0,0,0,0,0,14,6,True
51,关于雇员,840,841,0,0,0,0,0,0,0,0,21,6,True
52,招募雇员,850,851,0,0,0,0,0,0,0,0,22,6,True
53,雇员的作用,860,861,0,0,0,0,0,0,0,0,23,6,True
54,采集地点的特殊性质,870,871,0,0,0,0,0,0,0,0,22,13,True
55,关于未知的采集地点,1000,1001,1002,0,0,0,0,0,0,0,30,13,True
56,,0,0,0,0,0,0,0,0,0,0,0,0,False
57,突破迷宫,105,106,107,0,0,0,0,0,0,0,4,8,True
58,关于制作状态,730,731,0,0,0,0,0,0,0,0,4,12,True
59,,0,0,0,0,0,0,0,0,0,0,0,0,False
60,优质道具,770,771,0,0,0,0,0,0,0,0,2,6,True
61,珍稀道具,780,0,0,0,0,0,0,0,0,0,3,6,True
62,关于专用装备与交易,790,791,0,0,0,0,0,0,0,0,2,7,True
63,搜索玩家信息,210,211,212,213,214,210,211,215,213,216,13,2,True
64,临危受命,610,611,612,613,0,0,0,0,0,0,1,8,True
65,关于连击系统,1210,1211,1212,1213,0,0,0,0,0,0,4,4,True
66,危命任务的报酬与贡献度,620,621,0,0,0,0,0,0,0,0,2,8,True
67,关于制作理符,560,0,0,0,0,0,0,0,0,0,11,9,True
68,理符的目标,570,0,0,0,0,571,0,0,0,0,12,9,True
69,关于采集理符,580,581,0,0,0,0,0,0,0,0,13,9,True
70,采集理符的完成条件,590,591,0,0,0,0,0,0,0,0,14,9,True
71,行会令,630,631,0,0,0,0,0,0,0,0,11,8,True
72,行会令情报,640,0,0,0,0,0,0,0,0,0,12,8,True
73,行会令的危险区域,650,0,0,0,0,0,0,0,0,0,13,8,True
74,在行会令中陷入无法战斗的情况,660,0,0,0,0,0,0,0,0,0,14,8,True
75,行会令的报酬,670,0,0,0,0,0,0,0,0,0,15,8,True
76,关于理符连接,600,0,0,0,0,0,0,0,0,0,9,9,True
77,,0,0,0,0,0,0,0,0,0,0,0,0,False
78,加入小队,180,181,182,183,184,180,181,185,183,184,5,2,True
79,特殊战斗区域,120,121,0,0,0,0,0,0,0,0,15,5,True
80,重要任务,125,126,0,0,0,0,0,0,0,0,6,5,True
81,关于租借陆行鸟,300,0,0,0,0,0,0,0,0,0,6,3,True
82,租借陆行鸟的下鸟方法,310,0,0,0,0,311,0,0,0,0,7,3,True
83,关于运输站,320,0,0,0,0,0,0,0,0,0,4,3,True
84,如何从运输坐骑上下来,330,0,0,0,0,331,0,0,0,0,5,3,True
85,关于专属陆行鸟,340,341,343,0,0,0,0,0,0,0,8,3,True
86,专属陆行鸟的下鸟方法,350,0,0,0,0,351,0,0,0,0,9,3,True
87,加入大国防联军,410,411,412,0,0,0,0,0,0,0,1,10,True
88,职业任务的报酬,130,0,0,0,0,0,0,0,0,0,14,5,True
89,筹备军需品与补给品,420,421,0,0,0,0,0,0,0,0,3,10,True
90,筹备稀有品,430,431,0,0,0,0,0,0,0,0,4,10,True
91,玩家部队,440,441,442,0,0,0,0,0,0,0,1,11,True
92,极限技,240,241,242,243,0,0,0,0,0,0,13,4,True
93,等级同步,250,251,252,0,0,0,0,0,0,0,5,8,True
94,特职,260,261,262,0,0,0,0,0,0,0,10,2,True
95,染色,950,951,952,953,0,0,0,0,0,0,8,7,True
96,带上陆行鸟一起战斗,360,361,0,0,0,0,0,0,0,0,21,4,True
97,生产魔晶石,960,961,962,0,0,0,0,0,0,0,21,7,True
98,用魔晶石来强化装备,970,971,0,0,0,0,0,0,0,0,22,7,True
99,禁忌镶嵌,980,981,0,0,0,0,0,0,0,0,24,7,True
100,镶嵌魔晶石的方法,990,991,992,0,0,0,0,0,0,0,23,7,True
101,独占道具,270,0,0,0,0,0,0,0,0,0,4,6,True
102,使用道具,280,281,0,0,0,280,283,0,0,0,1,6,True
103,,0,0,0,0,0,0,0,0,0,0,0,0,False
104,补充队员,1190,0,0,0,0,0,0,0,0,0,23,8,True
105,探索矿脉,1020,1021,1022,0,0,0,0,0,0,0,2,13,True
106,碎石,1030,1031,0,0,0,0,0,0,0,0,13,13,True
107,,0,0,0,0,0,0,0,0,0,0,0,0,False
108,搭档的成长,380,381,382,383,0,0,0,0,0,0,22,4,True
109,给陆行鸟下达指令,370,371,372,0,0,0,0,0,0,0,23,4,True
110,开启宝箱,1110,0,0,0,0,0,0,0,0,0,7,9,True
111,讨伐悬赏魔物,1120,0,0,0,0,0,0,0,0,0,8,9,True
112,军队理符任务,1130,0,0,0,0,0,0,0,0,0,5,10,True
113,部队署名,450,0,0,0,0,0,0,0,0,0,2,11,True
114,参加玩家部队,460,461,462,463,0,0,0,0,0,0,3,11,True
115,军队人事调动,680,0,0,0,0,0,0,0,0,0,2,10,True
116,部队储物柜,470,471,0,0,0,0,0,0,0,0,4,11,True
117,队徽,480,481,0,0,0,0,0,0,0,0,5,11,True
118,部队特效,490,491,492,0,0,0,0,0,0,0,6,11,True
119,钓鱼的准备,1040,1041,1042,0,0,0,0,0,0,0,1,14,True
120,钓鱼笔记,1050,0,0,0,0,0,0,0,0,0,3,14,True
121,使用拟饵,1060,1061,0,0,0,0,0,0,0,0,4,14,True
122,以小钓大,1070,1071,0,0,0,0,0,0,0,0,5,14,True
123,沙与云的特殊钓场,1080,1081,0,0,0,0,0,0,0,0,6,14,True
124,鱼的大小,1090,0,0,0,0,0,0,0,0,0,7,14,True
125,鱼洞钓场,1100,0,0,0,0,0,0,0,0,0,8,14,True
126,简易制作,690,691,692,0,0,0,0,0,0,0,6,12,True
127,星极火与灵极冰,1220,1221,1222,1223,0,0,0,0,0,0,6,4,True
128,拳法身形,1230,1231,1232,1233,0,0,0,0,0,0,5,4,True
129,召唤兽,1240,1241,1242,1244,0,1240,1245,1242,1244,0,7,4,True
130,水晶冲突,1250,0,0,0,0,0,0,0,0,0,31,8,True
131,任务战场,1260,1261,1262,0,0,0,0,0,0,0,15,4,True
132,成就,1150,1151,1152,0,0,1150,1151,1153,0,0,14,2,True
133,推荐任务功能,1160,1161,0,0,0,0,0,0,0,0,16,5,True
134,,0,0,0,0,0,0,0,0,0,0,0,0,False
135,挥竿钓鱼,1300,1301,0,0,0,0,0,0,0,0,2,14,True
136,兵装转换奖励,1280,1281,0,0,0,0,0,0,0,0,14,4,True
137,亚拉戈神典石,1310,1311,0,0,0,0,0,0,0,0,7,6,True
138,在指定地区使用任务道具,1290,0,0,0,0,1291,0,0,0,0,8,5,True
139,对目标使用任务道具,1270,1271,0,0,0,1272,1273,0,0,0,9,5,True
140,,0,0,0,0,0,0,0,0,0,0,0,0,False
141,玩家对战与报酬,1330,1331,1332,0,0,1330,1331,1333,0,0,32,8,True
142,,0,0,0,0,0,0,0,0,0,0,0,0,False
143,关于房屋系统,1350,1351,1352,1353,0,0,0,0,0,0,16,2,True
144,房屋与门牌,1360,1361,0,0,0,0,0,0,0,0,17,2,True
145,关于团队任务,1370,1371,0,0,0,0,0,0,0,0,40,8,True
146,每周取得报酬的限制,1380,1381,1382,0,0,0,0,0,0,0,41,8,True
147,关于队员招募功能,1390,1391,1392,0,0,1393,1391,1392,0,0,6,2,True
148,关于隐藏资源,1400,1401,0,0,0,0,0,0,0,0,19,13,True
149,关于陈旧的地图,1410,1411,1412,0,0,0,0,0,0,0,31,6,True
150,解读陈旧的地图,1420,1421,0,0,0,0,0,0,0,0,32,6,True
151,寻宝,1430,1431,1432,0,0,0,0,0,0,0,33,6,True
152,友好部族的世界,1440,1441,1442,0,0,0,0,0,0,0,21,5,True
153,友好关系,1450,1451,1452,0,0,0,0,0,0,0,22,5,True
154,,0,0,0,0,0,0,0,0,0,0,0,0,False
155,,0,0,0,0,0,0,0,0,0,0,0,0,False
156,特殊热键栏,1480,0,0,0,0,1481,0,0,0,0,25,5,True
157,美发,1490,1491,0,0,0,0,0,0,0,0,15,2,True
158,随机任务,1500,1501,0,0,0,0,0,0,0,0,24,8,True
159,投票驱除,1510,1511,1512,0,0,0,0,0,0,0,25,8,True
160,最优队员,1520,1521,1522,0,0,0,0,0,0,0,26,8,True
161,入队申请,1530,1531,0,0,0,1530,1532,0,0,0,7,11,True
162,挑战笔记,1540,1542,0,0,0,1541,1542,0,0,0,6,8,True
163,制作秘籍,1550,2580,0,0,0,0,0,0,0,0,10,12,True
164,武具投影,1560,1561,1562,0,0,0,0,0,0,0,25,7,True
165,栽培,1570,1571,0,0,0,0,0,0,0,0,18,2,True
166,培育,1580,1581,0,0,0,0,0,0,0,0,20,2,True
167,收获,1590,1591,0,0,0,0,0,0,0,0,21,2,True
168,雇员探险,1600,1601,1602,0,0,0,0,0,0,0,24,6,True
169,探索委托,1610,1611,0,0,0,0,0,0,0,0,25,6,True
170,与他人交流,1620,1622,1623,1624,0,1621,1622,1623,1624,0,25,2,True
171,定型文,1630,1631,1633,1634,1635,1630,1632,1633,1634,1635,26,2,True
172,关于期望列表,1640,1641,0,0,0,0,0,0,0,0,15,6,True
173,雇员的职业,1650,1651,0,0,0,0,0,0,0,0,26,6,True
174,黄道文书,1660,1661,1662,0,0,0,0,0,0,0,31,7,True
175,关于天球书卷,1670,1671,1672,1673,1674,0,0,0,0,0,32,7,True
176,关于法外战区,1680,0,0,0,0,0,0,0,0,0,34,8,True
177,自己动手修理装备,1690,1691,0,0,0,0,0,0,0,0,7,7,True
178,探索笔记,1700,1702,0,0,0,1701,1702,0,0,0,7,8,True
179,关于同盟徽章,1710,1711,0,0,0,0,0,0,0,0,8,6,True
180,关于玩具箱,1720,0,0,0,0,0,0,0,0,0,60,8,True
181,关于炮击,1730,1731,0,0,0,0,0,0,0,0,26,5,True
182,关于放生,1740,1741,0,0,0,0,0,0,0,0,9,14,True
183,道具分解,1750,1751,1752,0,0,0,0,0,0,0,13,12,True
184,饲养陆行鸟,1760,1761,1762,0,0,0,0,0,0,0,24,4,True
185,鸟人族任务,1780,1781,0,0,0,0,0,0,0,0,27,5,True
186,鸟人族供应任务,1790,1791,1792,0,0,0,0,0,0,0,28,5,True
187,,0,0,0,0,0,0,0,0,0,0,0,0,False
188,,0,0,0,0,0,0,0,0,0,0,0,0,False
189,“上古武器·新星”绝灵化,1820,1821,1822,1823,0,0,0,0,0,0,33,7,True
190,新鱼现身,1830,1831,0,0,0,0,0,0,0,0,10,14,True
191,钓鱼与天气,1840,0,0,0,0,0,0,0,0,0,11,14,True
192,结印与忍术,1850,1851,1852,1853,0,0,0,0,0,0,25,4,True
193,举办永结同心典礼,1860,1861,1862,0,0,0,0,0,0,0,30,2,True
194,为永结同心典礼做准备,1870,1871,1872,1873,0,0,0,0,0,0,31,2,True
195,关于永结同心典礼的请柬,1880,1881,0,0,0,0,0,0,0,0,32,2,True
196,关于陆行鸟出赛登记书,1890,1891,1892,0,0,0,0,0,0,0,2,15,True
197,关于竞赛能力,1900,1901,1902,0,0,0,0,0,0,0,4,15,True
198,退役与配种,1910,1911,1912,1913,0,0,0,0,0,0,5,15,True
199,挑战幻卡大师,1920,1921,0,0,0,0,0,0,0,0,6,15,True
200,与他人对局,1930,1931,0,0,0,0,0,0,0,0,7,15,True
201,欢迎来到金碟游乐场,1940,1941,1942,0,0,0,0,0,0,0,1,15,True
202,竞赛参加条件,1950,1951,1952,0,0,0,0,0,0,0,3,15,True
203,关于专家,1960,1961,0,0,0,0,0,0,0,0,21,12,True
204,,0,0,0,0,0,0,0,0,0,0,0,0,False
205,展翅高飞,1980,1981,0,0,0,1980,1982,0,0,0,20,3,True
206,,0,0,0,0,0,0,0,0,0,0,0,0,False
207,,0,0,0,0,0,0,0,0,0,0,0,0,False
208,成为指导者,2010,2011,2012,2013,0,0,0,0,0,0,60,2,True
209,关于限时采集地点,2020,0,0,0,0,0,0,0,0,0,49,13,True
210,关于隐藏特殊性质,2030,2031,0,0,0,0,0,0,0,0,46,13,True
211,,0,0,0,0,0,0,0,0,0,0,0,0,False
212,关于精选,2050,0,0,0,0,0,0,0,0,0,52,13,True
213,关于传说的采集地点与传承录,2060,2061,0,0,0,0,0,0,0,0,40,13,True
214,,0,0,0,0,0,0,0,0,0,0,0,0,False
215,,0,0,0,0,0,0,0,0,0,0,0,0,False
216,战利品的分配方式,2090,2091,2092,2093,0,2094,2091,2092,2093,0,11,4,True
217,更改分配方式,2100,2101,0,0,0,0,0,0,0,0,12,4,True
218,关于神殿骑士团理符,2110,2111,0,0,0,0,0,0,0,0,20,9,True
219,关于收藏品,2120,2121,2122,0,0,0,0,0,0,0,40,6,True
220,,0,0,0,0,0,0,0,0,0,0,0,0,False
221,捕鱼人如何采集收藏品,2140,2141,0,0,0,0,0,0,0,0,20,14,True
222,,0,0,0,0,0,0,0,0,0,0,0,0,False
223,,0,0,0,0,0,0,0,0,0,0,0,0,False
224,欢迎来玩萌宠之王,2170,2171,2172,2173,2174,0,0,0,0,0,10,15,True
225,关于萌宠之王的宠物种类,2180,2181,2182,2183,0,0,0,0,0,0,11,15,True
226,关于萌宠之王的设施,2190,2191,2192,2193,2194,0,0,0,0,0,12,15,True
227,任务特殊规则：等级调整,2200,2201,0,0,0,0,0,0,0,0,30,5,True
228,任务特殊规则：职业固定,2210,0,0,0,0,0,0,0,0,0,31,5,True
229,关于管弦乐琴,2220,2221,2222,2223,2224,0,0,0,0,0,40,2,True
230,关于盆栽作物,2230,0,0,0,0,0,0,0,0,0,19,2,True
231,关于传送魔纹和宝物库,2240,2241,2242,0,0,0,0,0,0,0,34,6,True
232,关于水族箱,2250,2251,2252,2253,0,0,0,0,0,0,22,2,True
233,改变召唤兽的外貌,2260,2261,2262,2573,0,0,0,0,0,0,63,4,True
234,注意装备品级,2270,2271,2272,0,0,0,0,0,0,0,70,4,True
235,关于平均品级,2280,2281,2282,0,0,0,0,0,0,0,71,4,True
236,,0,0,0,0,0,0,0,0,0,0,0,0,False
237,,0,0,0,0,0,0,0,0,0,0,0,0,False
238,在水中畅游,2310,2311,2313,0,0,2310,2312,2313,0,0,21,3,True
239,任务指令,2320,2322,0,0,0,2321,2322,0,0,0,55,8,True
240,关于烈羽争锋,2330,0,0,0,0,0,0,0,0,0,35,8,True
241,刺鱼的准备,2340,0,0,0,0,0,0,0,0,0,30,14,True
242,探索渔场,2350,2351,2352,0,0,0,0,0,0,0,31,14,True
243,,0,0,0,0,0,0,0,0,0,0,0,0,False
244,职能技能,2370,2371,0,0,0,0,0,0,0,0,10,4,True
245,演奏一曲试试看吧♪,2380,0,0,0,0,0,0,0,0,0,45,2,True
246,挑战时尚品鉴,2390,2391,2392,2393,0,0,0,0,0,0,30,7,True
247,活用投影台,2400,2401,0,0,0,0,0,0,0,0,26,7,True
248,装备幻影化,2410,0,0,0,0,0,0,0,0,0,27,7,True
249,运用投影模板搭配装备,2420,0,0,0,0,0,0,0,0,0,28,7,True
250,使用投影模板进行武具投影,2430,0,0,0,0,0,0,0,0,0,29,7,True
251,探索禁地优雷卡的准备,2440,2441,0,0,0,0,0,0,0,0,50,8,True
252,陆行鸟鞍囊,2450,2451,0,0,0,0,0,0,0,0,18,6,True
253,关于任务回顾,2460,2461,0,0,0,0,0,0,0,0,57,8,True
254,任务记录方法,2470,2471,2472,2473,0,2470,2471,2472,2474,0,58,8,True
255,播放任务回顾,2480,0,0,0,0,0,0,0,0,0,59,8,True
256,探索幸福兔的财宝,2487,2488,0,0,0,0,0,0,0,0,51,8,True
257,关于交流簿,2481,2482,2483,2484,0,0,0,0,0,0,23,2,True
258,关于老主顾换装,2485,2486,0,0,0,0,0,0,0,0,61,8,True
259,关于神殿宝物库,2489,2490,2491,2492,0,0,0,0,0,0,35,6,True
260,关于服装模特,2493,2494,2495,0,0,0,0,0,0,0,24,2,True
261,文理融合器,2496,2497,2498,0,0,0,0,0,0,0,52,8,True
262,关于经过改良的文理融合器,2499,2500,0,0,0,0,0,0,0,0,53,8,True
263,共同骑乘,2501,0,0,0,0,0,0,0,0,0,22,3,True
264,关于跨界传送,2506,2507,0,0,0,0,0,0,0,0,10,3,True
265,关于青魔法师的特有系统,2502,2503,2504,2505,2508,2502,2509,2504,2505,2508,64,4,True
266,关于双色宝石,2510,2511,2512,0,0,2510,2511,2513,0,0,3,8,True
267,鱼类传承录,1764,1765,0,0,0,0,0,0,0,0,13,14,True
268,关于鱼影,1767,1768,0,0,0,0,0,0,0,0,12,14,True
269,关于重要物品,1770,0,0,0,0,1771,0,0,0,0,27,2,True
270,关于高难度配方,2520,2521,0,0,0,0,0,0,0,0,11,12,True
271,钓上大鱼吧！,2530,2531,0,0,0,0,0,0,0,0,14,14,True
272,关于时尚配饰,2540,2541,0,0,0,0,0,0,0,0,28,2,True
273,,0,0,0,0,0,0,0,0,0,0,0,0,False
274,,0,0,0,0,0,0,0,0,0,0,0,0,False
275,关于收藏品采集,2552,0,0,0,0,0,0,0,0,0,43,13,True
276,关于制作练习,2550,2551,0,0,0,0,0,0,0,0,7,12,True
277,采集更多的道具,2553,0,0,0,0,0,0,0,0,0,7,13,True
278,需要鉴别力的采集道具,2554,0,0,0,0,0,0,0,0,0,60,13,True
279,刺鱼,2555,2556,2557,0,0,0,0,0,0,0,32,14,True
280,新鱼现身（刺鱼）,2558,2559,0,0,0,0,0,0,0,0,33,14,True
281,,0,0,0,0,0,0,0,0,0,0,0,0,False
282,品质要求,2566,0,0,0,0,0,0,0,0,0,12,12,True
283,不定性道具与升华,2567,2568,2569,0,0,0,0,0,0,0,54,13,True
284,关于大地使者职能技能,2570,2571,2572,0,0,0,0,0,0,0,1,13,True
285,关于面部配饰,2574,2575,0,0,0,0,0,0,0,0,29,2,True
286,关于主线向导,2576,2577,0,0,0,0,0,0,0,0,7,5,True
287,关于特殊配方,2578,2579,0,0,0,0,0,0,0,0,22,12,True
288,辅助技能,2581,2582,2583,0,0,2581,2584,2583,0,0,56,8,True
289,关于巡梦金库,2585,2586,2587,2588,0,0,0,0,0,0,36,6,True
290,关于不死鸟之尾,2589,2590,2591,2592,0,0,0,0,0,0,5,6,True
291,,0,0,0,0,0,0,0,0,0,0,0,0,False
292,,0,0,0,0,0,0,0,0,0,0,0,0,False
293,,0,0,0,0,0,0,0,0,0,0,0,0,False
294,,0,0,0,0,0,0,0,0,0,0,0,0,False
295,,0,0,0,0,0,0,0,0,0,0,0,0,False
