#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
58,魔法伤害降低,魔法攻击所造成的伤害降低,215055,-10,0,0,37,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59,魔法受伤减轻,受到魔法攻击的伤害减少,215056,-10,0,0,38,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,魔法受伤加重,受到魔法攻击的伤害增加,215057,10,0,0,38,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
61,伤害提高,攻击所造成的伤害提高,215519,10,0,0,39,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,伤害降低,攻击所造成的伤害降低,215520,-10,0,0,39,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
63,受伤减轻,受到攻击的伤害减少,215021,-10,0,0,40,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,受伤加重,受到攻击的伤害增加,215020,10,0,0,40,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65,战技暴击化,发动战技时必定打出暴击,215016,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,恐怖,过于恐惧而无法做出任何行动,215516,0,0,0,0,0,1,2,18,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,沉重,移动速度降低,215518,0,6,0,0,0,1,2,4,100,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
68,吸血攻击,自动攻击附加吸收体力的效果,215504,10,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,取技攻击,自动攻击附加吸收技力的效果,215505,100,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,眩晕攻击,自动攻击有一定几率附加眩晕效果,215506,176,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,铁壁,减轻所受到的伤害,210152,-10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,渐愈,自身所受的治疗魔法效果提高,210157,20,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,警觉,不会受到暴击,213916,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,预警,减轻所受到的伤害,210151,-20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,钢铁意志,除特定攻击之外其他所有击退与吸引无效,210153,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,战逃反应,攻击所造成的伤害提高,210155,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,壁垒,受到攻击时必定发动格挡,210156,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,忠义之剑,对自动攻击附加追加伤害,212505,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
79,钢铁信念,自身仇恨提高,212506,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
80,保护,正在保护特定的队员,212501,0,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
81,被保护,正处于特定队员的保护下,212502,0,0,0,0,0,20,1,16,100,0,0,0,35,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
82,神圣领域,除特定攻击之外其他所有攻击均无效化,212504,0,0,0,0,0,1,1,16,70,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,预见,物理防御力增强,210252,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,浴血,物理攻击附带吸收体力的效果,213913,25,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,凶残裂,攻击所造成的伤害提高,210262,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,狂暴,"自身发动战技必定暴击并且直击
受暴击或直击发动率提高效果影响时，攻击造成的伤害提高",217217,0,0,0,0,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,战栗,"体力最大值提高
习得战栗效果提高后追加效果：自身所受的治疗效果提高",210254,10,0,0,0,0,1,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,死斗,无法自由移动，受到伤害也不会解除,210255,0,0,0,0,0,1,2,17,100,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,复仇,受到攻击的伤害减少并且受到物理攻击时会发动反击,210256,-30,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,暴风碎,攻击所造成的伤害提高,210263,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,守护,自身仇恨提高,212551,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
92,解脱,抵消守护状态中降低攻击力的负面效果,212552,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,愤怒,招架发动率提高,210257,2,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,愤怒II,招架发动率提高,210258,4,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,愤怒III,招架发动率提高,210259,6,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,愤怒IV,招架发动率提高,210260,8,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,愤怒V,招架发动率提高,210261,10,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,双龙脚,打击耐性降低,210215,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
99,飘羽步,回避率提高,210201,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,发劲,暴击发动率提高,210204,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,双掌打,攻击所造成的伤害提高,210216,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,真言,自身所受的治疗效果提高,210206,5,0,0,0,0,41,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,红莲体势,攻击所造成的伤害提高,210202,5,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
104,金刚体势,减轻所受到的伤害,210203,-10,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
105,疾风体势,移动速度提高,212526,0,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
106,秘孔拳,体力逐渐减少,210211,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
107,魔猿身形,摆出魔猿身形,210212,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
108,盗龙身形,摆出盗龙身形,210213,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
109,猛豹身形,摆出猛豹身形,210214,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,震脚,能够打出三种身形的所有招式,217564,0,0,528,31,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
111,疾风迅雷,攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短,210207,10,8,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
112,疾风迅雷II,攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短,210208,20,9,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
113,疾风迅雷III,攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短,210209,30,10,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
114,敏锐,招架发动率提高,210301,20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,重刺,攻击所造成的伤害提高,210306,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,龙剑,"下次发动的战技必定打出暴击，并且附带吸收体力的效果
受暴击发动率提高效果影响时，攻击造成的伤害提高",210302,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,舍身,攻击所造成的伤害提高，受到攻击的伤害也会增加,210304,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,樱花怒放,体力逐渐减少,210307,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
119,二重刺,体力逐渐减少,210305,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
120,龙枪,下次发动跳跃或破碎冲的伤害提高,210303,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,开膛枪,突刺耐性降低,212576,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
122,直线射击预备,可以发动直线射击,210365,0,0,0,0,0,1,1,16,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,鹰眼,灵巧有所提高，并且攻击必定会命中,210351,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,毒咬箭,身中剧毒，体力会逐渐减少,210352,10,0,0,0,0,1,2,1,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
125,猛者强击,攻击造成的伤害提高,210354,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,物理受伤加重,受到物理攻击的伤害增加,218001,10,0,0,36,8,1,2,17,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,迂回,抑制仇恨上升,213914,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,纷乱箭,"可以发动辉煌箭或影噬箭
发动辉煌箭时造成3次伤害，发动影噬箭时威力提升",210356,1,0,0,0,0,1,1,16,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,风蚀箭,风属性持续伤害，体力逐渐流失,210360,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
130,直线射击,暴击发动率提高,210361,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,死亡箭雨效果提高,下次发动死亡箭雨不会消耗技力,212607,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,连珠箭效果提高,下次发动连珠箭不会消耗技力,210362,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,敏捷之歌,移动速度提高，对一定范围内的队友也会附加同样效果进入战斗状态后效果消失,210358,0,0,0,26,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
134,敏捷之歌,移动速度提高，进入战斗状态后效果消失,210357,0,0,0,41,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
135,贤者的叙事谣,对一定范围内的队友附加魔力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力,212603,-10,0,0,26,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
136,贤者的叙事谣,魔力持续恢复,212602,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
137,军神的赞美歌,对一定范围内的队友附加技力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力,212605,-10,0,0,26,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
138,军神的赞美歌,技力持续恢复,212604,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
139,魔人的安魂曲,持续消耗魔力增加周围敌人所受到的伤害,212606,-10,0,0,26,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
140,魔人的安魂曲,受到攻击的伤害增加,212608,3,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
141,战斗之声,直击发动率提高,212601,20,0,0,0,0,24,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,眩晕,无法做出任何行动,215004,0,2,0,0,0,1,2,3,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,疾风,风属性持续伤害，体力逐渐流失,210403,5,0,0,0,0,1,2,17,10,0,0,0,0,0,0,5,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
144,烈风,风属性持续伤害，体力逐渐流失,210409,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,5,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
