#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
31,开拓目标：调查小岛的传闻,**调查山脉**,听取猫耳小员的说明,40,420,-145,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
32,开拓目标：调查小岛的传闻,**向猫耳小员报告**,调查山脉,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
33,开拓目标：调查小岛的传闻,**听取探险小员的说明**,向猫耳小员报告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
34,开拓目标：调查小岛的传闻,"**在开拓制作面板中制作魔法人偶用碎岩设备
向探险小员报告**",听取探险小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
35,开拓目标：进一步充实无人岛,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
36,开拓目标：进一步充实无人岛,**进一步按照自己的想法充实无人岛**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
37,开拓目标：调查山洞,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
38,开拓目标：调查山洞,**听取探险小员的说明**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
39,开拓目标：调查山洞,**调查山洞**,听取探险小员的说明,40,310,-255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,1
40,开拓目标：调查山洞,**向探险小员报告**,调查山洞,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
41,开拓目标：调查山洞,"**在开拓制作面板中制作真厉害级魔法人偶用碎岩设备
交给探险小员**",向探险小员报告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
42,开拓目标：将无人岛开拓到极致,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
43,开拓目标：将无人岛开拓到极致,**将无人岛开拓到极致**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
44,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
