#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
49,你、你给我记着！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
50,哈哈哈哈，真过瘾！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
51,呜……饶了我吧……,0,5,0,0,0,2,0,1,25,False,False,False,False,False
52,你、嗝、算哪根葱？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
53,你这混、嗝、蛋！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
54,准备好了呼啾！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
55,我们上吧呼啾！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
56,好好教训他们呼啾！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
57,我绝对不会枯萎呼啾！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
58,就没有对自己的身手有自信的人吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
59,你们这些家伙……绝对不会让你们活着出去！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
60,放马过来！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
61,好了！干得不错！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
62,该死！数量太多了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
63,绝对无法饶恕这些偷猎者！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
64,城里的大人们已经紧迫到需要动用冒险者来干这种脏活了吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
65,怎、怎么会这样……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
66,你们 什么 别近,0,5,0,0,0,3,0,1,25,False,False,False,False,False
67,炸弹 啪啪 费劲,0,3,0,0,0,3,0,1,25,False,False,False,False,False
68,轰轰 轰轰 大爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
69,砰砰 砰砰 大爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
70,我们 城堡 坏啦,0,5,0,0,0,3,0,1,25,False,False,False,False,False
71,过来 坏家伙 打飞,0,5,0,0,0,3,0,1,25,False,False,False,False,False
72,炸弹 叭叭 好累,0,3,0,0,0,3,0,1,25,False,False,False,False,False
73,炸弹 炸弹 大爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
74,轰轰 轰轰 大爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
75,竟然 城堡 坏啦,0,5,0,0,0,3,0,1,25,False,False,False,False,False
76,城堡 又又 坏啦,0,5,0,0,0,3,0,1,25,False,False,False,False,False
77,这里 我们 城堡,0,5,0,0,0,3,0,1,25,False,False,False,False,False
78,你们 所有 打飞,0,5,0,0,0,3,0,1,25,False,False,False,False,False
79,疼疼 好疼 等等,0,5,0,0,0,3,0,1,25,False,False,False,False,False
80,炸弹 噼啪 呼啦,0,3,0,0,0,3,0,1,25,False,False,False,False,False
81,轰轰 轰轰 超爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
82,砰砰 砰砰 超爆炸,0,3,0,0,0,3,0,1,25,False,False,False,False,False
83,大家听我的呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
84,我要认真起来了呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
85,接下来要动真格的了呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
86,真的要动真格的了呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
87,大王！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
88,给我躺下吧！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
89,哼哼，看这招！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
90,非常感谢！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
91,实在是万分感谢！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
92,呜……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
93,我们不需要胆小鬼！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
94,太谢谢您了！啊！他来了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
95,差不多该去巡视啦。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
96,哇，满地都是花甲虫！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
97,快来人把这些虫子清一清！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
98,太好了，总算可以放心了。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
99,怎么会这样……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
100,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
101,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
102,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
103,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
104,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
105,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
106,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
107,不要啊！救救我呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
108,谢谢你呼啾！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
109,嗯……情形有些不对……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
110,这些该死的鸟！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
111,关你什么事啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
112,别来捣乱！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
113,老实呆着去！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
114,别小看我啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
115,什么人？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
116,追兵？！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
117,身体好沉重……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
118,每次一要认真起来就变成这样！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
119,果然还是只能委托冒险者了吗……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
120,好，看起来没有追兵。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
121,感谢你的帮助。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
122,咯噔 咯噔 咯噔……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
123,咯噔 咯噔……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
124,好、好大群的迷途羊羔！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
125,迎击羊群！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
126,暂时没有什么情况。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
127,只有一条路吗……准备好应对阻击。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
128,快到了，但是不要放松警惕！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
129,呜，果然还是来了！,0,10,0,0,0,3,0,1,25,False,False,False,False,False
130,你们是干啥的？入侵者吗？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
131,竟敢对我的小狗出手！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
132,你终于惹怒我了！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
133,我、我还没拿出真本事哦！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
134,哎呀，突然想起来我还有急事！,0,6,0,0,0,2,0,1,25,False,False,False,False,False
135,该死！这帮家伙真难缠！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
136,小狗们，给我上！,0,2,0,0,0,2,0,1,25,False,False,False,False,False
137,痛死我了……这可有点不妙。,0,4,0,0,0,2,0,1,25,False,False,False,False,False
138,啊，不妙……怎么向老大汇报啊……,0,6,0,0,0,2,0,1,25,False,False,False,False,False
139,吃我这招！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
140,去死吧！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
141,你们这些混蛋！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
142,竟敢小看我！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
143,"呼哧……呼哧……
救命 救命啊。",0,5,0,0,0,2,0,1,25,False,False,False,False,False
144,"呼哧……呼哧……
已经 不行了……",0,4,0,0,0,2,0,1,25,False,False,False,False,False
145,救命啊 救命啊！,0,4,0,0,0,2,0,1,25,False,False,False,False,False
146,不行了 不行了……,0,4,0,0,0,2,0,1,25,False,False,False,False,False
147,"呼哧……呼哧……
得救了 得救了！",0,6,0,0,0,2,0,1,25,False,False,False,False,False
148,"呼哧……呼哧……
多谢 多谢！",0,6,0,0,0,2,0,1,25,False,False,False,False,False
149,"呼哧……呼哧……
小小谢礼 不成敬意！",0,6,0,0,0,2,0,1,25,False,False,False,False,False
150,"呼哧……呼哧……
俺也要 突击哥布！",0,6,0,0,0,3,0,1,25,False,False,False,False,False
151,"呼哧……呼哧……
这里就 交给俺哥布！",0,3,0,0,0,3,0,1,25,False,False,False,False,False
152,"呼哧……呼哧……
你们 赶紧动手哥布！",0,4,0,0,0,3,0,1,25,False,False,False,False,False
153,"呼哧……呼哧……
大恩 不言谢哥布！",0,4,0,0,0,2,0,1,25,False,False,False,False,False
154,"呼哧……呼哧……
俺出手 这当然的结果哥布。",0,6,0,0,0,2,0,1,25,False,False,False,False,False
155,"呼哧……呼哧……
看招 超级炸弹哥布！",0,3,0,0,0,2,0,1,25,False,False,False,False,False
156,哥布？！,0,2,0,0,0,3,0,1,25,False,False,False,False,False
157,"呼哧……呼哧……
这里就 交给俺哥布！",0,5,0,0,0,2,0,1,25,False,False,False,False,False
158,"呼哧……呼哧……
胜利……轻而易举哥布……",0,8,0,0,0,2,0,1,25,False,False,False,False,False
159,"呼哧……呼哧……
俺来救你了哥布！",0,6,0,0,0,2,0,1,25,False,False,False,False,False
160,怕俺了吧哥布？,0,6,0,0,0,2,0,1,25,False,False,False,False,False
161,"呼哧……呼哧……
俺的传说 又增加了哥布！",0,6,0,0,0,2,0,1,25,False,False,False,False,False
162,布雷福洛克斯 真棒！,0,10,0,0,0,2,0,1,25,False,False,False,False,False
163,布雷福洛克斯 真强！,0,10,0,0,0,2,0,1,25,False,False,False,False,False
164,"呼哧……呼哧……
过奖了哥布！",0,30,0,0,0,2,0,1,25,False,False,False,False,False
165,有黑豺！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
166,不要过来，不要过来啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
167,我、我的肉不好吃的！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
168,救命啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
169,得救了……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
170,嗯？什么东西？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
171,哇啊！好多陆鱼！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
172,嗯？好像有什么叫声？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
173,呜，暂时退兵！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
174,赌上黑涡团的荣誉！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
175,这点事你们都处理不来吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
176,丢人现眼！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
177,谁快去顶上！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
178,你们就只会被压着打吗？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
179,让他们瞧瞧黑涡团的力量！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
180,嗯？好像有什么要来了……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
181,知道黑涡团的厉害了吧！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
182,什么？我居然会被打倒……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
183,好了，该去巡视了。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
184,嗯……这好像是什么在飞的声音？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
185,好多洞穴蝙蝠啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
186,累死我了，快点回去吧……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
187,啊，不要去农场那边！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
188,我、我的渡渡鸟啊……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
189,一、一定要干掉这些家伙啊！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
190,又、又迟到了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
191,怎么还没来……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
192,呼……呼,0,3,0,0,0,3,0,1,25,False,False,False,False,False
193,我今天一定要向她求婚！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
194,我、我来迟了，抱歉！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
195,太慢了！你迟到了哦。,0,1,0,0,0,3,0,1,25,False,False,False,False,False
196,好了，约在这里到底是有什么话要说？,0,2,0,0,0,3,0,1,25,False,False,False,False,False
197,其、其实……,0,2,0,0,0,3,0,1,25,False,False,False,False,False
198,嗯？,0,1,0,0,0,3,0,1,25,False,False,False,False,False
199,请、请、请和我结……,0,2,0,0,0,3,0,1,25,False,False,False,False,False
200,呀！好大的风！,0,1,0,0,0,3,0,1,25,False,False,False,False,False
201,那、那个大家伙是什么啊？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
202,哇啊！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
203,唉，真是没用！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
204,能把那家伙给赶走吗？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
205,我要回去了……,0,2,0,0,0,3,0,1,25,False,False,False,False,False
206,等、等一下啊！,0,2,0,0,0,3,0,1,25,False,False,False,False,False
207,你真是太没出息了！,0,2,0,0,0,3,0,1,25,False,False,False,False,False
208,不要说那么过分嘛……,0,2,0,0,0,3,0,1,25,False,False,False,False,False
209,人家不管了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
210,为、为什么会变成这样……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
211,嗯？好像有点不对劲。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
212,哟，今天又有生意了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
213,呀！谁来救救我！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
214,可恶，只能上了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
215,大家一起上啊！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
216,唉，又在拒捕。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
217,这家伙，给我老实点！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
218,我让你老实点！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
219,还不束手就擒吗，这混蛋！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
220,吵死了，给我让开！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
221,你们有证据吗？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
222,我说了我不清楚啊！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
223,给我适可而止，你这混帐东西！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
224,前辈，拜托您了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
225,怎么，你们想动手吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
226,终于老实了啊……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
227,可、可恶……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
228,这下我们能好好谈谈了吧。,0,5,0,0,0,3,0,1,25,False,False,False,False,False
229,混蛋！放开我！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
230,给我闭嘴！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
231,可恶！可恶啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
232,居然让他们跑了……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
233,嘿嘿，想抓我们你们还早着呢！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
234,可恶……让他们溜了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
235,再见啦！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
236,是你把我的酒喝了吧？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
237,什么？想干架吗？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
238,开什么玩笑啊，混蛋！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
239,你在冲谁嚷嚷？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
240,不要小看我啊，混蛋！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
241,大群毒蜥蜴接近中，挡下它们！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
242,哇！是鬼鮟鱇！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
243,前方发现矿爬虫，干掉它们！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
244,挡下这些吃人的蚂蚁！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
245,全员注意！确保运输路线安全！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
246,又是山羊？赶走它们！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
247,蜥蜴人的军队？准备迎击！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
248,是蜥蜴人，全员准备战斗！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
249,这些小魔精又在恶作剧！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
250,情况很可疑，先下手为强！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
251,咦，那是黑衣森林里的吧？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
252,唉，边境警备还真是忙啊！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
253,听说这沙滩上夜里会闹鬼啊……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
254,那、那我们还是回去吧？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
255,怎、怎么，你怕了？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
256,才、才没害怕呢……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
257,真没用啊。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
258,根本就不会有的吧。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
259,啊，那、那是什么？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
260,别、别想吓唬我。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
261,好像有什么在发光。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
262,船上的灯火吧？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
263,哇啊！出、出现了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
264,呀！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
265,等、等等，不要丢下我！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
266,啊，腿不听使唤……,0,5,0,0,0,2,0,1,25,False,False,False,False,False
267,不、不要过来……,0,5,0,0,0,2,0,1,25,False,False,False,False,False
268,彻、彻底消失了吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
269,还、还在啊！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
270,好像还有老鼠会来袭击。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
271,想要参加训练的人到这里集合了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
272,谁能来帮我们一把啊。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
273,嘁，又是盲头蟹！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
274,糟糕，哥布林肯定会来的。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
275,得去筹备材料了啊。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
276,我决不会放过这些鬼鮟鱇的！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
277,我的行李都在那里面啊……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
278,这责任比较重大啊……,0,3,0,0,0,3,0,1,25,False,False,False,False,False
279,有谁愿意跟我们的新兵对练一下的吗？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
280,啊，拉拉菲尔族真可爱啊。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
281,嗯，果然猫魅族才是第一啊。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
282,嗯？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
283,你说猫魅？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
284,你是拉拉菲尔派的吗？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
285,拉拉菲尔族最棒了！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
286,猫魅族就是正义！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
287,喂，吵什么呢？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
288,啊，不要碍事！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
289,这是我们之间的问题！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
290,呼……,0,5,0,0,0,2,0,1,25,False,False,False,False,False
291,干得很好！这道关门也可以放心了呢。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
292,笨蛋，你们平常有锻炼吗？,0,3,0,0,0,3,0,1,25,False,False,False,False,False
293,好啊，终于守住了！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
294,真是没出息的家伙们……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
295,这下新兵们也能有点紧迫感了吧。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
296,这工作对冒险者来说太难了吗。,0,3,0,0,0,3,0,1,25,False,False,False,False,False
297,啊，太、太强了！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
298,得救了……真是谢谢你！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
299,橙子都被吃光了……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
300,这是替被你们吃掉的东西教训你们！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
301,休想过桥！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
302,可恶，居然没能守住……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
303,太好了，总算能上路了。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
304,老大！救命啊！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
305,看我出手！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
306,多谢了，终于可以重新开工了。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
307,损害不大，真是万幸。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
308,又要重新订货了啊……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
309,撤退 撤退。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
310,多谢，这下可以放心用这些材料了。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
311,只要还有佣金，我们就会守住这座桥的！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
312,我们家就靠这个吃饭呢，太好了！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
313,讨伐成功，收队了！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
314,目标：占据桥梁的海盗！,0,3,0,0,0,3,0,1,25,False,False,False,False,False
315,太好了，下次再多干掉一些吧！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
316,快趁现在把洞给堵上！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
317,这下明天也能吃上饭啦！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
318,清除完毕！继续执行通常警戒！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
319,祝你旅途愉快！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
320,是我们赢了！蛮族们！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
321,撤退！撤回阵地！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
322,我们赢了！我们守住了！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
323,就差一点……,0,3,0,0,0,2,0,1,25,False,False,False,False,False
324,回去清点人数了。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
