#,StartupText,RunningText,Unknown0
37,"熔火涌道的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次冷却熔融玻璃大作战！
工程急需人手！欢迎各位协助者加入！",2023
38,"熔火涌道的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
39,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行基地综合设施扩建工程施工！
工程急需人手！欢迎各位协助者加入！",2024
40,"大地基地北边的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地北边的联合工程！
工程急需人手！欢迎各位协助者加入！",2046
41,"中央平野的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
42,"大地基地西边的共2期第1期联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地西边的共2期第1期联合工程！
工程急需人手！欢迎各位协助者加入！",2047
43,"大地基地西边的共2期第2期联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地西边的共2期第2期联合工程！
工程急需人手！欢迎各位协助者加入！",2048
44,"锚山的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展锚山的联合工程！
工程急需人手！欢迎各位协助者加入！",2049
45,"蓝裂幽陆的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
46,"大地基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地的联合工程！
工程急需人手！欢迎各位协助者加入！",2050
47,"正在开展大地基地的联合工程！
请各位协助者前往基地顶层的脚手架集合！","正在开展大地基地的联合工程！
工程急需人手！欢迎各位协助者加入！",2051
48,"大地基地北边的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地北边的联合工程！
工程急需人手！欢迎各位协助者加入！",2052
49,"翠核深谷的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展翠核深谷的联合工程！
工程急需人手！欢迎各位协助者加入！",2053
50,"翠核深谷的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展翠核深谷的联合工程！
工程急需人手！欢迎各位协助者加入！",2054
51,"翠核深谷遗迹内部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展翠核深谷遗迹内部的联合工程！
工程急需人手！欢迎各位协助者加入！",2055
52,"翠核深谷遗迹内部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展翠核深谷遗迹内部的联合工程！
工程急需人手！欢迎各位协助者加入！",2056
53,"翠核深谷遗迹内部的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
54,"大地基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展大地基地的联合工程！
工程急需人手！欢迎各位协助者加入！",2057
55,"大地基地最高处的联合工程即将动工。
请各位协助者搭乘基地内的升降机集合！","正在开展大地基地最高处的联合工程！
工程急需人手！欢迎各位协助者加入！",2058
