#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
43,任务辅助,（ヘルプ無し）,0,0,0,0,0
44,房屋,打开房屋菜单。,52,5,6,57,2
45,显示设置,打开显示设置窗口，可以对当前的显示效果、屏幕模式、画面分辨率等功能进行设置。,35,0,0,0,0
46,声音设置,打开声音设置窗口，可以对音量和静音等功能进行设置。,36,0,0,0,0
47,图像设置,打开图像设置窗口，可以对画面品质的各种细节进行设置。,37,0,0,0,0
48,鼠标设置,打开鼠标设置窗口，可以对鼠标操作功能进行设置。,38,0,0,0,0
49,控制器设置,打开控制器设置窗口，可以对控制器的震动等功能进行设置。,39,0,0,0,0
50,其他设置,打开其他设置窗口，可以对游戏截图的保存格式及语言等功能进行设置。,51,0,0,0,0
51,操作设置,打开操作设置窗口，可以对视角、目标等操作相关的功能进行设置。,41,0,0,0,0
52,界面设置,打开界面设置窗口，可以对画面上的各种用户界面布局进行设置。,42,0,0,0,0
53,名牌设置,打开名牌设置窗口，可以对玩家头上的名牌进行设置。,43,0,0,0,0
54,热键栏设置,打开热键栏设置窗口，可以对热键栏进行设置。,44,0,0,0,0
55,消息窗口设置,打开消息窗口设置画面，可以对消息的字体大小及过滤屏蔽等功能进行设置。,45,0,0,0,0
56,对战资料,查看对战的战绩或对战专用技能，可以将对战技能设置到热键栏。,53,16,1,16,10
57,队员招募,以指定目的和职能来招募共同战斗的队友。,54,2,5,47,1
58,场景标记,在场地上设置小队及团队可见的标记。,55,4,5,49,3
59,准备确认,确认小队或团队的队员是否准备就绪。,56,7,5,51,6
60,挑战笔记,查看各种挑战项目的情况，包括项目的进度以及相应的报酬。项目的完成情况会在每周二的17点（地球时间）重置。,57,8,3,39,5
61,坐骑一览,查看关于坐骑的各种信息，也可以直接召唤出坐骑。,58,11,1,11,5
62,宠物一览,查看关于宠物的各种信息，也可以直接召唤出宠物。,59,12,1,12,6
63,辅助功能设置,查看辅助功能设置画面，包括声音效果的辅助表现。,60,0,0,0,0
64,探索笔记,查看探索笔记中的记录情报。,61,2,3,33,-1
65,金碟游乐场,查看关于金碟游乐场的各种情报。包括查看竞赛陆行鸟的属性和血统、更换装备，搭配九宫幻卡的卡组，编辑萌宠之王宠物热键栏，更改多玛方城战的设定等。,62,17,1,17,11
66,货币一览,查看所持金币以及各种货币的数量。,63,5,1,5,-1
67,风脉泉,查看风脉泉的共鸣记录。,64,1,4,40,-3
68,资讯中心,可以打开连接到«最终幻想14»官方网站内资讯中心页面的菜单。,65,3,7,69,-2
69,管弦乐琴乐谱集,可以使用管弦乐琴来欣赏的乐曲一览。获得乐谱可以追加相应曲目。,67,7,3,38,4
70,初学者学堂,可在这里对各职能的战斗职业（防护职业、治疗职业、进攻职业）的基本战斗方式进行训练。会根据当前职能或训练的进度来给出合适的训练内容。,66,12,2,30,8
71,物品设置,打开物品设置窗口。,68,0,0,0,0
72,大型任务搜索器,可以挑战最新的高难度大型任务。即使未达到规定人数，也可以通过设定详细条件，和志同道合的玩家们自动组成小队，进行挑战。,69,6,2,24,2
73,战斗开始倒计时,将战斗开始倒计时设置为任意秒数，并对自己、小队成员或团队成员显示。,70,8,5,52,7
74,战友列表,查看最近和自己组过队的玩家。可以向列表中的玩家发送好友申请。,71,11,6,63,8
75,坐骑速度,可以查看各区域骑乘状态时的地面移动速度。,72,2,4,41,-2
76,任务回顾,可以回顾保存的任务记录。也可以进行任务记录的设置。,73,10,2,28,6
77,陆行鸟鞍囊,可以自由存取搭档陆行鸟的道具。（无法在任务中使用）,74,9,1,9,3
78,战队,确认所属战队的各项情报。,75,6,6,58,3
79,记录准备确认,进行记录的准备确认和战斗开始倒计时。只有在可以记录的任务中才能使用。,76,6,5,50,5
80,跨服通讯贝,可以创建和确认跨服通讯贝，以及和其他服务器的玩家进行跨服组队。,77,8,6,60,5
81,青魔法书,可以查看青魔法的学习情况，也可以对已经学会并准备使用的青魔法进行设置。,78,15,1,15,9
82,亲信战友,可以和成为幻体的非玩家同伴一起挑战迷宫。,79,9,2,27,5
83,颜色主题设置,更改窗口的颜色主题。,80,0,0,0,0
84,危命任务完成度,查看在特定地区完成危命任务的记录。在对应地区完成危命任务时取得最高评价的话，记录的内容会增加。,81,3,4,42,-1
85,同好会,可进行创建同好会、查看所属同好会情报等操作。,82,9,6,61,6
86,同好招募,可以看到正在招募成员的同好会，并且可以申请加入。,83,2,6,54,-1
87,重要物品,可查看重要物品。,85,2,2,20,-2
88,昔日重现模式,可重新体验已完成的任务。,84,11,2,29,7
89,时尚配饰,查看关于时尚配饰的各种信息，也可以直接使用时尚配饰。,86,14,1,14,8
90,官方网站,查看最终幻想14的官方网站。,87,2,7,68,-3
91,剧情辅助器,可以和非玩家的辅助队员一起挑战迷宫。,89,8,2,26,4
92,肖像列表,查看当前的肖像，还可以编辑各套装的肖像。,88,4,1,3,-2
93,冒险者铭牌,查看角色的个人信息，还可以编辑个人信息、铭牌样式等内容。,90,3,1,4,-3
94,特殊迷宫探索器,可以设置和申请参加多变迷宫等特殊迷宫的探索器，也可以查看在特殊迷宫中发现的故事。,91,7,2,25,3
95,面部配饰,调整角色装备的眼镜形状和颜色。,92,13,1,13,7
96,屏蔽名单,查看被列入屏蔽名单的人，这些人的发言不会被看到。,93,13,6,65,10
97,屏蔽词,屏蔽词一览。在此查看、登记、编辑、删除屏蔽词。,94,14,6,66,11
98,战术板,战术板是用来绘制或阅览战术图的白板。面对强敌时，它能方便玩家制定战术。,95,5,5,79,4
99,,,0,0,0,0,0
