#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
48,女仆装甲,,女仆装甲,0,0,0,1,0,0,65581,65581,65581,58645,58647,58646,0,63
49,曼德维尔女仆装甲,,曼德维尔女仆装甲,0,0,0,1,0,0,131117,131117,131117,58648,58650,58649,0,64
50,天使装甲,,天使装甲,0,0,0,1,0,0,65583,65583,65583,58651,58653,58652,0,65
51,恶魔装甲,,恶魔装甲,0,0,0,1,0,0,65584,65584,65584,58654,58656,58655,0,66
52,祖尔宛装甲,,祖尔宛装甲,0,0,0,1,0,0,65582,65582,65582,58657,58659,58658,0,134
53,须佐之男装甲,,须佐之男装甲,0,0,0,1,0,0,65585,65585,65585,58660,58662,58661,0,135
54,峻岭陆行鸟装甲,,峻岭陆行鸟装甲,0,0,0,1,0,0,65586,65586,65586,58663,58665,58664,0,67
55,吉祥天女装甲,,吉祥天女装甲,0,0,0,1,0,0,65587,65587,65587,58666,58668,58667,0,136
56,远东装甲,,远东装甲,0,0,0,1,0,0,65588,65588,65588,58669,58671,58670,0,68
57,东洋装甲,,东洋装甲,0,0,0,1,0,0,131124,131124,131124,58672,58674,58673,0,69
58,哪吒装甲,,哪吒装甲,0,0,0,1,0,0,65589,65589,65589,58675,58677,58676,0,70
59,神龙装甲,,神龙装甲,0,0,0,1,0,0,65590,65590,65590,58678,58680,58679,0,137
60,伊克西翁装甲,,伊克西翁装甲,0,0,0,1,0,0,65591,65591,65591,58681,58683,58682,0,173
61,赤红装甲,,赤红装甲,0,0,0,1,0,0,65592,65592,65592,58684,58686,58685,0,22
62,白虎装甲,,白虎装甲,0,0,0,1,0,0,65593,65593,65593,58687,58689,58688,0,138
63,防雨装甲,,防雨装甲,0,0,0,1,0,0,65594,65594,65594,58690,58692,58691,0,71
64,月读装甲,,月读装甲,0,0,0,1,0,0,65595,65595,65595,58693,58695,58694,0,139
65,朱雀装甲,,朱雀装甲,0,0,0,1,0,0,65596,65596,65596,58696,58698,58697,0,140
66,武士装甲,,武士装甲,0,0,0,1,0,0,65597,65597,65597,58699,58701,58700,0,23
67,青龙装甲,,青龙装甲,0,0,0,1,0,0,65598,65598,65598,58702,58704,58703,0,141
68,保镖装甲,,保镖装甲,0,0,0,1,0,0,65599,65599,65599,58705,58707,58706,0,174
69,缇坦妮雅装甲,,缇坦妮雅装甲,0,0,0,1,0,0,65600,65600,65600,58708,58710,58709,0,142
70,无瑕灵君装甲,,无瑕灵君装甲,0,0,0,1,0,0,65601,65601,65601,58711,58713,58712,0,143
71,舞者装甲,,舞者装甲,0,0,0,1,0,0,65602,65602,65602,58714,58716,58715,0,24
72,影渊装甲,,影渊装甲,0,0,0,1,0,0,65603,65603,65603,58717,58719,58718,0,72
73,哈迪斯装甲,,哈迪斯装甲,0,0,0,1,0,0,65604,65604,65604,58720,58722,58721,0,144
74,圣人装甲,,圣人装甲,0,0,0,1,0,0,65605,65605,65605,58723,58725,58724,0,106
75,红宝石神兵装甲,,红宝石神兵装甲,0,0,0,1,0,0,65606,65606,65606,58726,58728,58727,0,145
76,机工士装甲,,机工士装甲,0,0,0,1,0,0,65607,65607,65607,58729,58731,58730,0,25
77,真·光之鸟甲,,真·光之鸟甲,0,0,0,1,0,0,65608,65608,65608,58732,58734,58733,0,146
78,绿宝石神兵装甲,,绿宝石神兵装甲,0,0,0,1,0,0,65609,65609,65609,58735,58737,58736,0,147
79,天佑装甲,,天佑装甲,0,0,0,1,0,0,65610,65610,65610,58738,58740,58739,0,148
80,博兹雅装甲,,博兹雅装甲,0,0,0,1,0,0,65611,65611,65611,58741,58743,58742,0,150
81,钻石神兵装甲,,钻石神兵装甲,0,0,0,1,0,0,65612,65612,65612,58744,58746,58745,0,149
82,永暗装甲,,永暗装甲,0,0,0,1,0,0,65613,65613,65613,58747,58749,58748,0,151
83,圣光装甲,,圣光装甲,0,0,0,1,0,0,65614,65614,65614,58750,58752,58751,0,152
84,邮差装甲,,邮差装甲,0,0,0,1,0,0,65615,65615,65615,58753,58755,58754,0,107
85,萨维奈装甲,,萨维奈装甲,0,0,0,1,0,0,65616,65616,65616,58756,58758,58757,0,73
86,蓝羽装甲,,蓝羽装甲,0,0,0,1,0,0,65617,65617,65617,58759,58761,58760,0,153
87,饿狼装甲,,饿狼装甲,0,0,0,1,0,0,65618,65618,65618,58762,58764,58763,0,74
88,煞风装甲,,煞风装甲,0,0,0,1,0,0,65619,65619,65619,58768,58770,58769,0,154
89,海岛开拓者装甲,,海岛开拓者装甲,0,0,0,1,0,0,65620,65620,65620,58765,58767,58766,0,75
90,炀火装甲,,炀火装甲,0,0,0,1,0,0,65621,65621,65621,58771,58773,58772,0,155
91,亚拉戈装甲,,亚拉戈装甲,0,0,0,1,0,0,65622,65622,65622,58774,58776,58775,0,76
92,高贝扎装甲,,高贝扎装甲,0,0,0,1,0,0,65623,65623,65623,58777,58779,58778,0,156
93,猫耳装甲,,猫耳装甲,0,0,0,1,0,0,65624,65624,65624,58780,58782,58781,0,78
94,泽罗姆斯装甲,,泽罗姆斯装甲,0,0,0,1,0,0,65625,65625,65625,58783,58785,58784,0,157
95,旅行者装甲,,旅行者装甲,0,0,0,1,0,0,65626,65626,65626,58786,58788,58787,0,79
96,图拉尔冒险装甲,,图拉尔冒险装甲,0,0,0,1,0,0,65627,65627,65627,58789,58791,58790,0,80
97,艳翼蛇鸟装甲,,艳翼蛇鸟装甲,0,0,0,1,0,0,65628,65628,65628,58792,58794,58793,0,161
98,雷转质装甲,,雷转质装甲,0,0,0,1,0,0,65629,65629,65629,58795,58797,58796,0,162
99,野地装甲,,野地装甲,0,0,0,1,0,0,65630,65630,65630,58798,58800,58799,0,83
100,永恒装甲,,永恒装甲,0,0,0,1,0,0,65631,65631,65631,58801,58803,58802,0,163
101,星芒市场装甲,,星芒市场装甲,0,0,0,1,0,0,65632,65632,65632,58804,58806,58805,0,108
102,女王骑士装甲,,女王骑士装甲,0,0,0,1,0,0,65633,65633,65633,58807,58809,58808,0,164
103,死暗装甲,,死暗装甲,0,0,0,1,0,0,65634,65634,65634,58810,58812,58811,0,165
104,朝圣装甲,,朝圣装甲,0,0,0,1,0,0,65635,65635,65635,58813,58815,58814,0,84
105,狂奔装甲,,狂奔装甲,0,0,0,1,0,0,65636,65636,65636,58816,58818,58817,0,166
106,宇宙探索装甲,,宇宙探索装甲,0,0,0,1,0,0,65637,65637,65637,58819,58821,58820,0,85
107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
