#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
24,挑战笔记完成数4,完成20种挑战笔记中的项目。,0,61810,20,0,10000,0,30,0,12,4,0,3
25,最优队员,给出5次最优队员推荐。,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,采集活动,使用采矿工或园艺工采集100个等级接近的道具。,0,61815,100,5,1000,0,0,0,5,4,5,3
27,采集活动额外奖励,使用采矿工或园艺工采集等级接近的道具时触发30次额外采集奖励。,0,61815,30,5,2000,0,0,0,5,5,5,3
28,钓鱼,使用捕鱼人成功钓鱼30次。,0,61815,30,5,1000,0,0,0,5,6,5,3
29,大尺寸钓鱼,使用捕鱼人成功钓到大尺寸的鱼10次。,0,61815,10,5,2000,0,0,0,5,7,5,3
30,制作活动,成功制作30个等级接近的道具。,0,61816,30,10,1000,0,0,0,5,1,5,3
31,优质制作活动,成功制作20个等级接近的优质道具。,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,雇员探险成功次数,让雇员外出探险成功10次。,0,61818,10,0,1000,0,0,168,9,1,0,3
34,雇员探索委托次数,让雇员成功完成探索委托15次。,0,61818,15,0,4000,0,0,169,9,2,0,3
35,纷争前线参战次数,参加7次纷争前线的战斗。,0,61806,7,0,1000,0,0,176,2,3,0,9
36,纷争前线胜利次数,在纷争前线的战斗中获胜3次。,0,61806,3,0,1000,0,0,176,2,4,0,9
37,小游戏完成次数,完成3次小游戏。,0,61820,3,0,1000,0,0,201,10,1,0,8
38,小游戏获得金碟币,在小游戏中获得100金碟币。,0,61820,100,0,1500,0,0,201,10,2,0,8
39,机遇任务参加次数,参加5次机遇任务。,0,61820,5,0,5000,0,0,201,10,3,0,8
40,机遇任务完成次数,完成3次机遇任务。,0,61820,3,0,8000,0,0,201,10,4,0,8
41,陆行鸟竞赛参赛次数1,参赛3次陆行鸟竞赛。,0,61820,3,0,5000,0,0,196,10,5,0,8
42,陆行鸟竞赛参赛次数2,参赛20次陆行鸟竞赛。,0,61820,20,0,8000,0,0,196,10,6,0,8
43,陆行鸟竞赛夺冠次数1,在陆行鸟竞赛中夺冠1次。,0,61820,1,0,5000,0,0,196,10,7,0,8
44,陆行鸟竞赛夺冠次数2,在陆行鸟竞赛中夺冠10次。,0,61820,10,0,8000,0,0,196,10,8,0,8
45,九宫幻卡对局次数,进行10次九宫幻卡对局。,0,61820,10,0,5000,0,0,199,10,9,0,8
46,九宫幻卡胜利次数,在九宫幻卡对局中取胜10次。,0,61820,10,0,8000,0,0,199,10,10,0,8
47,萌宠之王对战次数2,进行3次萌宠之王对战。,0,61820,3,0,10000,0,0,224,10,15,0,8
48,挑战笔记完成数5,完成30种挑战笔记中的项目。,0,61810,30,0,15000,0,30,0,12,5,0,3
49,幻卡对局室对局次数,进入幻卡对局室进行5次九宫幻卡对局。,0,61820,5,0,2500,0,0,200,10,11,0,8
50,幻卡对局室胜利次数,进入幻卡对局室，在九宫幻卡对局中取胜3次。,0,61820,3,0,3000,0,0,200,10,12,0,8
51,老主顾交易次数,在老主顾交易中交纳物品6次。,0,61827,6,0,1000,0,60,219,5,10,0,3
52,刺鱼,通过刺鱼成功采集道具50次。,0,61815,50,5,1000,0,0,241,5,8,5,3
53,大尺寸刺鱼,通过刺鱼成功采集到大尺寸的鱼20次。,0,61815,20,5,2000,0,0,241,5,9,5,3
54,烈羽争锋参战次数,参加10次烈羽争锋的战斗。,0,61806,10,0,1000,0,0,240,2,5,0,9
55,烈羽争锋胜利次数,在烈羽争锋中获胜5次。,0,61806,5,0,1000,0,0,240,2,6,0,9
56,优雷卡雷冰属性敌人讨伐数1,讨伐30只雷、冰属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,30,5,1000,0,0,251,13,9,10,3
57,优雷卡雷冰属性敌人讨伐数2,讨伐60只雷、冰属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,60,15,1000,0,0,251,13,10,10,3
58,优雷卡火土属性敌人讨伐数1,讨伐30只火、土属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,30,5,1000,0,0,251,13,11,10,3
59,优雷卡火土属性敌人讨伐数2,讨伐60只火、土属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,60,15,1000,0,0,251,13,12,10,3
60,优雷卡水风属性敌人讨伐数1,讨伐30只水、风属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,30,5,1000,0,0,251,13,13,10,3
61,优雷卡水风属性敌人讨伐数2,讨伐60只水、风属性的敌人，敌人的元素等级最低比自身当前等级低2级。,0,61833,60,15,1000,0,0,251,13,14,10,3
62,优雷卡不死敌人讨伐数1,讨伐20只不死系敌人，敌人的元素等级最低和自身当前等级相同。,0,61833,20,5,1000,0,0,251,13,15,10,3
63,优雷卡不死敌人讨伐数2,讨伐40只不死系敌人，敌人的元素等级最低和自身当前等级相同。,0,61833,40,15,1000,0,0,251,13,16,10,3
64,优雷卡元精敌人讨伐数1,讨伐10只元精系敌人，敌人的元素等级最低和自身当前等级相同。,0,61833,10,5,1000,0,0,251,13,17,10,3
65,优雷卡元精敌人讨伐数2,讨伐20只元精系敌人，敌人的元素等级最低和自身当前等级相同。,0,61833,20,15,1000,0,0,251,13,18,10,3
66,萌宠之王对战次数1,进行1次萌宠之王对战。,0,61820,1,0,5000,0,0,224,10,14,0,8
67,萌宠之王对战次数3,进行5次萌宠之王对战。,0,61820,5,0,12000,0,0,224,10,16,0,8
68,分队攻略任务完成次数,完成3次分队攻略任务。,372,61812,3,0,5000,0,0,0,8,3,0,6
69,多玛方城战对战次数,进行2次非人机多玛方城战。,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,危命任务最高评价次数1,在危命任务中获得5次最高评价。,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,危命任务最高评价次数2,在危命任务中获得10次最高评价。,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,道具分解,成功分解5次道具。（※完成挑战时只有身为能工巧匠职业才能获得经验值奖励。）,95,61816,5,10,2000,0,0,0,5,3,5,3
73,九宫幻卡：参加锦标赛,参加1次官方锦标赛并获得报酬。,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,开拓无人岛：获取素材的数量,在无人岛获取100个素材。,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,开拓无人岛：生产海岛产品的数量,在无人岛生产销售20个海岛产品。,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,新月岛怪物讨伐数1,讨伐30只敌人，敌人的知见等级最低和自身当前等级相同。,70847,61851,30,30,140,0,0,0,13,1,12,13
77,新月岛怪物讨伐数2,讨伐60只敌人，敌人的知见等级最低和自身当前等级相同。,70847,61851,60,70,240,0,0,0,13,2,12,13
78,新月岛挑战紧急遭遇战次数1,在蜃景幻界新月岛成功挑战8次紧急遭遇战。,70847,61851,8,30,140,0,0,0,13,3,12,13
79,新月岛挑战紧急遭遇战次数2,在蜃景幻界新月岛成功挑战15次紧急遭遇战。,70847,61851,15,70,240,0,0,0,13,4,12,13
80,新月岛挑战危命任务次数1,在蜃景幻界新月岛成功挑战10次危命任务。,70847,61851,10,30,140,0,0,0,13,5,12,13
81,新月岛挑战危命任务次数2,在蜃景幻界新月岛成功挑战20次危命任务。,70847,61851,20,70,240,0,0,0,13,6,12,13
82,新月岛连锁次数1,在蜃景幻界新月岛完成1次20连锁。,70847,61851,1,30,140,0,0,0,13,7,12,13
83,新月岛连锁次数2,在蜃景幻界新月岛完成1次40连锁。,70847,61851,1,70,240,0,0,0,13,8,12,13
84,朝圣交错路攻略挑战1,成功突破第20朝圣路。,70941,61824,1,7,0,0,0,0,14,1,14,0
85,朝圣交错路攻略挑战2,成功突破第30朝圣路。,70941,61824,1,2,0,0,0,0,14,2,15,0
86,朝圣交错路攻略挑战3,成功突破第50朝圣路。,70942,61824,1,8,0,0,0,0,14,3,14,0
87,朝圣交错路攻略挑战4,成功突破第70朝圣路。,70942,61824,1,3,0,0,0,0,14,4,15,0
88,朝圣交错路攻略挑战5,成功突破第100朝圣路。,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
