#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
154,完成制革匠的10种俄匊斯行星探索任务,10,19,150,41,2
155,完成制革匠的15种俄匊斯行星探索任务,15,19,300,42,2
156,完成裁衣匠的5种俄匊斯行星探索任务,5,23,75,43,2
157,完成裁衣匠的10种俄匊斯行星探索任务,10,23,150,44,2
158,完成裁衣匠的15种俄匊斯行星探索任务,15,23,300,45,2
159,完成炼金术士的5种俄匊斯行星探索任务,5,27,75,46,2
160,完成炼金术士的10种俄匊斯行星探索任务,10,27,150,47,2
161,完成炼金术士的15种俄匊斯行星探索任务,15,27,300,48,2
162,完成烹调师的5种俄匊斯行星探索任务,5,31,75,49,2
163,完成烹调师的10种俄匊斯行星探索任务,10,31,150,50,2
164,完成烹调师的15种俄匊斯行星探索任务,15,31,300,51,2
165,完成园艺工的5种俄匊斯行星探索任务,5,39,75,55,2
166,完成园艺工的10种俄匊斯行星探索任务,10,39,150,56,2
167,完成园艺工的15种俄匊斯行星探索任务,15,39,300,57,2
168,完成采矿工的5种俄匊斯行星探索任务,5,35,75,52,2
169,完成采矿工的10种俄匊斯行星探索任务,10,35,150,53,2
170,完成采矿工的15种俄匊斯行星探索任务,15,35,300,54,2
171,完成捕鱼人的5种俄匊斯行星探索任务,5,43,75,58,2
172,完成捕鱼人的10种俄匊斯行星探索任务,10,43,150,59,2
173,完成捕鱼人的15种俄匊斯行星探索任务,15,43,300,60,2
174,挑战5次俄匊斯行星的宇宙好运道,5,1,500,61,2
175,挑战30次俄匊斯行星的宇宙好运道,30,1,1000,62,2
176,挑战100次俄匊斯行星的宇宙好运道,100,1,1500,63,2
177,完成5种俄匊斯行星的紧急探索任务,5,48,1000,19,2
178,完成12种俄匊斯行星的紧急探索任务,12,48,2000,20,2
179,完成22种俄匊斯行星的紧急探索任务,22,48,3000,21,2
180,完成10次俄匊斯行星的遗物探索,10,48,1000,64,2
181,完成30次俄匊斯行星的遗物探索,30,48,3000,65,2
182,完成100次俄匊斯行星的遗物探索,100,48,5000,66,2
