#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
31,海钓爱好者,196107,0,529,0,0,0,2346,1,0,0,0,8
32,愿者上钩,196108,0,530,0,0,0,2347,1,0,0,0,8
33,运筹帷幄,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,友好部族任务：瓦努族,196206,196456,567,0,0,0,2305,1,0,0,0,3
35,友好部族任务：骨颌族,196207,196457,568,0,0,0,2306,1,0,0,0,3
36,友好部族任务：莫古力族,196208,196458,569,0,0,0,2307,1,0,0,0,3
37,艾欧泽亚神话,196113,0,572,0,0,0,2252,1,0,0,0,3
38,塔塔露的大繁荣商店,196112,0,573,0,0,0,2250,1,0,0,0,3
39,天书奇谈,196110,0,570,0,0,0,2351,2,0,0,0,8
40,幻巧拼图,196111,0,571,0,0,0,2352,1,0,0,0,8
41,金碟巨豆中心1,196114,0,575,0,0,0,3951,1,0,0,0,7
42,金碟巨豆中心2,196115,0,576,0,0,0,3952,1,0,0,0,7
43,金碟巨豆中心3,196116,0,577,0,0,0,3953,1,0,0,0,7
44,妖怪手表,196117,0,607,0,0,0,3954,1,0,0,0,7
45,友好部族任务：地灵族,196204,196454,694,0,0,0,2302,1,0,0,0,3
46,友好部族任务：妖精族,196202,196452,695,0,0,0,2301,1,0,0,0,3
47,友好部族任务：蜥蜴人族,196201,196451,696,0,0,0,2300,1,0,0,0,3
48,友好部族任务：鱼人族,196205,196455,697,0,0,0,2303,2,0,0,0,3
49,友好部族任务：鸟人族,196203,196453,698,0,0,0,2304,1,0,0,0,3
50,图莱尤拉1,196062,0,701,0,0,0,1036,1,0,0,0,9
51,图莱尤拉2,196063,0,702,0,0,0,1037,1,0,0,0,9
52,九号解决方案1,196064,0,699,0,0,0,1038,1,0,0,0,9
53,九号解决方案2,196065,0,700,0,0,0,1039,2,0,0,0,9
54,友好部族任务：佩鲁佩鲁族,196218,196468,767,0,0,0,2317,1,0,0,0,3
55,伊修加德1,196054,0,768,0,0,0,1020,1,0,0,0,9
56,伊修加德2,196072,0,769,0,0,0,1021,1,0,0,0,9
57,田园郡1,196055,0,770,0,0,0,1022,2,0,0,0,9
58,田园郡2,196073,0,771,0,0,0,1023,1,0,0,0,9
59,黄金港1,196056,0,772,0,0,0,1024,1,0,0,0,9
60,黄金港2,196068,0,773,0,0,0,1025,2,0,0,0,9
61,神拳痕1,196057,0,774,0,0,0,1026,1,0,0,0,9
62,神拳痕2,196069,0,775,0,0,0,1027,1,0,0,0,9
63,水晶都1,196058,0,776,0,0,0,1028,1,0,0,0,9
64,水晶都2,196070,0,777,0,0,0,1029,1,0,0,0,9
65,游末邦1,196059,0,778,0,0,0,1030,1,0,0,0,9
66,游末邦2,196071,0,779,0,0,0,1031,1,0,0,0,9
67,旧萨雷安1,196060,0,780,0,0,0,1032,1,0,0,0,9
68,旧萨雷安2,196066,0,781,0,0,0,1033,2,0,0,0,9
69,拉札罕1,196061,0,782,0,0,0,1034,1,0,0,0,9
70,拉札罕2,196067,0,783,0,0,0,1035,1,0,0,0,9
71,光暗未来绝境战,196118,0,872,0,0,0,2505,1,0,0,0,4
72,友好部族任务：辉鳞族,196219,196469,873,0,0,0,2318,1,0,0,0,3
73,蜃景幻界新月岛,196119,0,879,0,0,0,2403,1,0,0,0,4
74,宇宙探索1,196120,0,878,0,0,0,2343,1,0,0,0,8
75,怪物猎人：荒野1,196121,0,943,0,0,0,3955,1,0,0,0,7
76,怪物猎人：荒野2,196122,0,944,0,0,0,3956,1,0,0,0,7
77,友好部族任务：尤卡巨人族,196220,196470,938,0,0,0,2319,1,0,0,0,3
78,宇宙探索2,196123,0,940,0,0,0,2344,1,0,0,0,8
79,开拓无人岛3,196124,196352,939,0,0,0,2342,1,0,0,0,8
80,宇宙探索3,196125,0,1020,0,0,0,2345,1,0,0,0,8
81,简约风格1,196017,0,1044,0,0,0,24,2,0,0,0,7
82,简约风格2,196018,0,1045,0,0,0,25,2,0,0,0,7
83,简约风格3,196019,0,1046,0,0,0,26,2,0,0,0,7
84,简约风格4,196020,0,1047,0,0,0,27,2,0,0,0,7
85,简约风格5,196021,0,1048,0,0,0,28,2,0,0,0,7
86,简约风格6,196022,0,1049,0,0,0,29,2,0,0,0,7
87,简约风格7,196023,0,1050,0,0,0,30,2,0,0,0,7
88,简约风格8,196024,0,1051,0,0,0,31,2,0,0,0,7
89,,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0
