#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
42,星2月,,,0,0,0
43,灵2月,,,0,0,0
44,星3月,,,0,0,0
45,灵3月,,,0,0,0
46,星4月,,,0,0,0
47,灵4月,,,0,0,0
48,星5月,,,0,0,0
49,灵5月,,,0,0,0
50,星6月,,,0,0,0
51,灵6月,,,0,0,0
52,,,,0,0,0
53,星1月 UNKNOWN日,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,正在获取服务器列表。,,,0,0,0
58,无法获取服务器列表。,,,0,0,0
59,将各个服务器的情况更新到最新状态。刷新后需要等待UNKNOWN分钟才能再次刷新。,,,0,0,0
60,"该帐号的可创建角色数量已经达到上限。只有删除已有角色才能继续创建新角色。
在角色名称的次级指令中选择删除即可将角色数据删除。",,,0,0,0
61,"在各个服务器中所开通的角色已经到达数量上限，无法继续创建新角色。只有删除任意服务器的一名已有角色才能继续创建新角色。
在角色名称的次级指令中选择删除即可将角色数据删除。",,,0,0,0
62,该服务器中创建的角色已经到达数量上限。,,,0,0,0
63,"该服务器中现在对新角色进行了限制。
请等待限制解除后再开始创建，或到其他服务器中创建新角色。",,,0,0,0
64,当前帐号无法使用该角色。,,,0,0,0
65,可以有一次机会修改角色的种族、性别、外貌及姓名。,,,0,0,0
66,请在获取角色信息后修改雇员的名字。,,,0,0,0
67,可以修改角色的种族、性别、外貌等。 (剩余UNKNOWN分钟),,,0,0,0
68,无法登录，该角色处于«»的区域。,,,0,0,0
69,无法修改种族、性别及外貌，该角色处于«»的区域。,,,0,0,0
70,该角色为«最终幻想14»1.0版的继承角色。使用该角色进入游戏需要重新设定初始战斗职业。,,,0,0,0
71,确定,,,0,0,0
72,取消,,,0,0,0
73,"初始战斗职业设置为“”。
游戏开始时的城市为“”。",,,0,0,0
74,确定,,,0,0,0
75,取消,,,0,0,0
76,该角色为«最终幻想14»1.0版的继承角色。使用该角色进入游戏需要重新设定初始战斗职业，同时角色的种族、性别、外貌以及姓名也会有一次修改的机会。,,,0,0,0
77,现在进行编辑,,,0,0,0
78,以后进行编辑,,,0,0,0
79,重新编辑角色,,,0,0,0
80,使用已保存的形象创建新角色,,,0,0,0
81,保存角色形象,,,0,0,0
82,使用已保存的角色形象,,,0,0,0
83,"为缓解登录压力，角色信息暂时以简化后的形式显示。
如需编辑角色外貌或改名，
可通过次级指令选择“获取角色信息”。",,,0,0,0
84,"欢迎来到«最终幻想14»的世界。
请创建一个新角色来开始您的冒险。",,,0,0,0
85,确定,,,0,0,0
86,"欢迎来到«最终幻想14»的世界。
请选择已有角色或创建新角色来开始您的冒险。
当前所选的服务器UNKNOWN中已经创建了UNKNOWN个角色。
点击右上的选择按钮可以切换世界服务器。",,,0,0,0
87,确定,,,0,0,0
88,请选择服务器。,,,0,0,0
89,,,,0,0,0
90,,,,0,0,0
91,,,,0,0,0
92,,,,0,0,0
93,,,,0,0,0
94,,,,0,0,0
95,"要以UNKNOWN登录吗？

**该角色正在其他服务器游玩。
通过利姆萨·罗敏萨、格里达尼亚、乌尔达哈的以太之光可以随时返回原始服务器。**",,,0,0,0
96,"要以UNKNOWN登录吗？

**该角色正在非原始大区游玩。
想要返回原始服务器时，
可以在官方网站的超域传送特设页面进行操作。**",,,0,0,0
97,,,,0,120,0
98,,,,0,0,0
99,"

基础能力值： 力量 UNKNOWN/灵巧 UNKNOWN/耐力 UNKNOWN/智力 UNKNOWN/精神 UNKNOWN",,,0,0,0
100,? ? ?,,,0,0,0
101,种族&性别,種族,,0,0,0
102,部族,部族,,0,0,0
103,性别,性別,,0,0,0
104,外貌,ルックス,,0,0,0
105,命名日,誕生日,,0,0,0
106,守护神,守護神,,0,0,0
107,职业,クラス,,0,0,0
108,原始服务器,ワールド,,0,0,0
109,姓名,名前,,0,0,0
110,人族 男,,"与其他种族相比，人族的体型在各方面都处于平均水准。
虽然在古代，艾欧泽亚地区的人族数量并不是很多，
不过历经从大约一千年前开始的前后三次大迁移之后，
人族现已成为艾欧泽亚人口最多的种族。
不过由于人口众多，即使是相同的种族有着不同的祖先，
所以他们的种族意识相当低，相比起来更加注重个人的自由。",0,0,0
111,,,,0,0,0
112,精灵族 男,,"精灵族的主要特征是较长的四肢和瘦高的身体。
精灵族是曾经主宰艾欧泽亚地区的原住民，有着非常高的自豪感。
虽然在过去精灵族曾经与大量迁徙而来的人类进行过激烈的战斗，
不过现在双方已经互相理解，并且共同走上了发展之路。
与人族比起来，精灵族的平均寿命会长一些，这也是他们的特征之一。",0,0,0
113,,,,0,0,0
114,拉拉菲尔族 男,,"矮矮胖胖是拉拉菲尔族给其他人的第一感觉。
在主要种族中，拉拉菲尔族的体型最为小巧，看上去几乎像小孩子一样。
可以说在其他种族的眼里，他们的年龄是最难推测的。
拉拉菲尔族原本是南洋群岛的农耕种族，
后来发展到大航海时代，他们为了扩大贸易而来到艾欧泽亚。
在对外方面，拉拉菲尔人对任何种族都能够积极进行交流，
无论和哪个种族都建立起了良好的关系。",0,0,0
115,,,,0,0,0
116,猫魅族 男,,"高扬的耳朵与柔软的尾巴是猫魅族的特点。
在第五灵灾“大冰雪时代”，有一支狩猎种族为了追捕猎物而渡过了海洋，
猫魅族正是这成功到达艾欧泽亚的勇敢种族的后裔。
不过也因为这个原因，种族人数在艾欧泽亚地区属于少数。
他们在族内的领地意识也很强，所以即使是成为了城邦居民，
大多数猫魅人也还是喜欢独居生活。
尤其是男性猫魅族人，在避免接触他人这点上来说有着极强的倾向。",0,0,0
117,,,,0,0,0
118,鲁加族 男,,"鲁加族的体型非常巨大，处处体现出坚实和厚重的感觉。
鲁加族是曾经在北洋拼搏的海洋种族的后裔，
他们的祖先多数是驾驶着长船来到艾欧泽亚的。
虽然鲁加族比拼勇猛的习俗在其他种族看来会有些野蛮，
不过他们重情重义的忠厚一面也广为人知，
历史上也曾经出现过诸多伟大的武者。",0,0,0
119,,,,0,0,0
120,中原之民,,"即使是在人口众多的人族中，中原之民的数量也达到了一半以上。
虽然部族名字的由来是因为多数人来自低地，不过其实也有很多不同。
在各地的城镇和村庄里都有中原之民的身影，他们从事着各种各样的行业。",0,0,0
121,,,,0,0,0
122,高地之民,,"高地之民是人族的一支部族，曾以基拉巴尼亚高地地区为领地。
高地之民的体格比中原之民要健壮，而且他们也很以自己的强健肉体为傲。
随着要塞城邦阿拉米格的沦陷，失去了祖国的流民流离到各地，
在贸易城邦乌尔达哈中也有很多阿拉米格的难民。",0,0,0
123,,,,0,0,0
124,森林之民,,"森林之民是自古以来就以黑衣森林地带为据点的部族。
多数人在伊修加德城邦和格里达尼亚城邦建国之后就一直居住其中。
森林之民喜好秩序，尊重规律，不过这一点却总被其他种族误解为高傲。",0,0,0
125,,,,0,0,0
126,黑影之民,,"黑影之民在过去几百年内一直以森林地带中那些昏暗的钟乳洞为据点。
他们的祖先在格里达尼亚城邦建国时与主流派的森林之民决裂，
一直过着阴暗的穴居生活。
黑影之民不喜欢被约束，即使是现在，与城邦保持距离的人也不在少数。",0,0,0
127,,,,0,0,0
128,平原之民,,"平原之民是迁移到拉诺西亚适合耕种的平原地区生活的部族。
虽然大多数人都从事农业，不过以海洋城邦利姆萨·罗敏萨为据点，
从事海运及渔业的人也不少。
平原之民通常都是处于悠闲自得逍遥自在的状态。",0,0,0
129,,,,0,0,0
130,沙漠之民,,"沙漠之民是迁移到萨纳兰荒凉的沙漠地带生活的部族。
他们建立起了乌尔达哈贸易城邦，以善于经商闻名于世。
沙漠之民倾向于有了想法便立刻动手去做，基本都是实践主义者，
这种性格对于他们捕捉商机也带来了很大帮助。",0,0,0
131,,,,0,0,0
132,逐日之民,,"逐日之民通常自称为“太阳的使者”，信仰太阳神阿泽玛的信徒很多。
虽然从艾欧泽亚整体来看，这一种族的总人口数量很少，
不过在利姆萨·罗敏萨，却有着相当一部分已经融入了和其他种族共同生活的环境中。
此外，据说这一种族内还有一部分氏族生活在撒沟厉沙漠等边境地区。",0,0,0
133,,,,0,0,0
134,护月之民,,"护月之民通常自称为“月亮的守卫”，信仰月亮神梅茵菲娜的信徒很多。
他们主要在黑衣森林过着狩猎生活，也因此与将他们视为偷猎者的
格里达尼亚居民长年处于对立的状态。
不过近年来貌似有所和解，现在也有一部分人生活在城邦内。",0,0,0
135,,,,0,0,0
136,北洋之民,,"北洋之民曾是以“海狼”之名从北方的海域侵袭而来的海盗。
现在作为构成海洋城邦利姆萨·罗敏萨的主要部族，
多数人都在从事着水手及水兵一类的工作。
北洋之民一直遵从着古老的传统习惯，他们的名字也是由古鲁加语而来。",0,0,0
137,,,,0,0,0
138,红焰之民,,"红焰之民是聚居在北阿巴拉提亚山脉的少数部族。
因为很多人都从事着传统的佣兵产业，所以他们把名字改成了
便于记忆的通用语形式。
现在在乌尔达哈也经常能看到红焰之民活跃在剑斗士和保镖等领域中。",0,0,0
139,,,,0,0,0
140,敖龙族 男,,"敖龙族来自东洲奥萨德次大陆。
这一种族最大的特征是头部明显的双角和一部分鳞质化的皮肤。
头上的角是他们引以为傲的特征，同时也有着听觉和空间认知的作用。
虽然有种说法说这个东方的种族是龙的传人，
但是现在的学术界仍然对这种说法有着极大的争议。
学者们声称人和龙是不同的物种，完全没有融合的可能。
最为关键的证据便是龙族的角没有听觉和空间认知能力。
敖龙族的男性通常身材高大魁梧，女性则小巧可人，
这也是龙族所不具备的另一特征。",0,0,0
141,,,,0,0,0
142,晨曦之民,,"在敖龙族的创世神话中，所有的族人都由晨曦之父与暮晖之母所生。
晨曦之民除了身上带有发出微弱光芒的白色鳞片之外，
还继承了晨曦之父安静坚忍的性格。
晨曦之民原本居住在东洲边境的溪谷地带，
近年通过海路来到了艾欧泽亚。",0,0,0
143,,,,0,0,0
144,暮晖之民,,"在敖龙族的创世神话中，所有的族人都由晨曦之父与暮晖之母所生。
暮晖之民除了身上带有发出微弱光芒的黑色鳞片之外，
还继承了暮晖之母勇猛好斗的性格。
暮晖之民基本上居无定所，
总是以家庭为单位不断地从一个地方流浪到另一个地方。",0,0,0
145,,,,0,0,0
146,,,,0,0,0
147,,,,0,0,0
148,,,,0,0,0
149,,,,0,0,0
150,,,,0,0,0
151,,,,0,0,0
152,自定义,,,0,0,0
153,,,,0,0,0
154,哈罗妮,,,0,0,0
155,冰河与战争女神,,,0,0,0
156,梅茵菲娜,,,0,0,0
157,双月与慈爱女神,,,0,0,0
158,沙利亚克,,,0,0,0
159,河流与知识之神,,,0,0,0
160,妮美雅,,,0,0,0
161,行星与命运之神,,,0,0,0
162,利姆莱茵,,,0,0,0
163,海洋与航海女神,,,0,0,0
164,奥修昂,,,0,0,0
165,山岳与放浪之神,,,0,0,0
166,比尔格,,,0,0,0
167,建筑与工艺之神,,,0,0,0
168,拉尔戈,,,0,0,0
169,彗星与破坏之神,,,0,0,0
170,阿泽玛,,,0,0,0
171,太阳与审理女神,,,0,0,0
172,纳尔札尔,,,0,0,0
173,地底与商贸之神,,,0,0,0
174,诺菲卡,,,0,0,0
175,大地与丰饶女神,,,0,0,0
176,阿尔基克,,,0,0,0
177,重力与光阴之神,,,0,0,0
178,剑术师, ,"从短剑到长剑，从双刃的直剑到单刃的弯刀，
剑术师能够使用一切单手剑与敌人在近距离一决高下。
剑术师的技巧以守势为主，首先将敌人牢牢牵制住，
利用盾牌挡下对方的进攻，再用手中的利剑进行回击。
在团队作战中，剑术师一向勇敢地冲在队伍的最前方，
成为整个队伍的坚盾，在敌人的攻击中保护同伴不受伤害。

以剑术师为初始职业的特职：骑士
开始地点：乌尔达哈",0,230904,0
179,,,,0,0,0
180,格斗家, ,"格斗家是修炼传统护身术的战士。
其经过锻炼的拳脚已经拥有超于常人的力量，
装备格斗武器之后更是如虎添翼，甚至能够使破坏力加倍。
由于甲胄会妨碍身体活动，所以格斗家们向来轻装上阵。
降低防御力的同时增强的灵活性及攻击力会令任何敌人为之震颤。

以格斗家为初始职业的特职：武僧
开始地点：乌尔达哈",0,230905,0
181,,,,0,0,0
182,斧术师, ,"“大斧”通常是海盗们在破坏敌船或强袭登陆时使用的武器，
斧术师则是以使用这种高破坏性武器为主的专家。
虽然大斧给人以很强烈的传统海盗武器的印象，
但是由于在战争以及讨伐魔物时都有着非常出色的表现，
所以也有很多斧术师被尊为英雄留下了英名。
豪爽的战斗方式及出众的破坏力，令斧术师能够深陷敌阵仍悠然自得。

以斧术师为初始职业的特职：战士
开始地点：利姆萨·罗敏萨",0,230906,0
183,,,,0,0,0
184,枪术师, ,"枪术师以双手长枪等刺杀武器为主，是身手矫健的战士。
曾经在强盛的阿拉米格尖枪兵的影响下，出现过一段竞争枪柄长度的风潮，
不过现在已经发展成多种长枪混合使用了。
想要将长柄武器掌握得随心所欲可不是一件简单的事情。
不过，一旦能够掌握其技巧，便可用犹如狂风暴雨般的身手横扫战场。

以枪术师为初始职业的特职：龙骑士
开始地点：格里达尼亚",0,230907,0
185,,,,0,0,0
186,弓箭手, ,"弓箭手的主旨为利用手中弓箭从远距离外进行狙杀及曲射。
在艾欧泽亚，最普及的弓术有两种，
分别为精灵族弓兵所擅长的长弓术及猫魅族猎人代代相传的短弓术。
理解并掌握每种弓的特性，以及选准有利的位置，是成为一名弓箭手的第一步。
一旦将技巧熟练掌握之后，战场上就可以带来如雨般的飞箭。

以弓箭手为初始职业的特职：吟游诗人
开始地点：格里达尼亚",0,230908,0
187,,,,0,0,0
188,幻术师, ,"幻术师能够使用幻术魔法，这是一种受到属性影响很强烈的魔法。
通过感受自身周围万物，可以发现土、风、水等自然属性。
携带上以自然物为素材做出的魔器“幻具”，
便可以将自己的以太与周围的元素转换成魔法。
由于幻术师都很擅长恢复及强化等施展到肉体身上的魔法，
所以高级幻术师同时也是一名优秀的医疗能手。

以幻术师为初始职业的特职：白魔法师
开始地点：格里达尼亚",0,230909,0
189,,,,0,0,0
190,咒术师, ,"所谓咒术，是指利用自身的消极性情而发动的魔法。
咒术师能够通过观测自己的内心本性，将心中蕴藏的神秘力量发动出来。
咒术师所持有的魔器被称为“咒具”，是将念珠嵌入到笏板之中构成。
并以念珠为集中点注入以太力，便可发动出破坏性极强的魔法。

以咒术师为初始职业的特职：黑魔法师
开始地点：乌尔达哈",0,230910,0
191,,,,0,0,0
192,秘术师, ,"秘术师能够通过法术来操纵特定的使魔。
秘术以南洋传来的算术为源头，通过独特的几何学图形“魔纹”来控制精神力。
平时秘术师都会携带描绘有多种魔纹的“魔导书”以便随时变更以太的流动。
另外，在解开宝珠的神秘原理后，通过特定的魔纹还能够召唤出宝石灵兽。

以秘术师为初始职业的特职：召唤师、学者（治疗职业）
开始地点：利姆萨·罗敏萨",0,230929,0
193,,,,0,0,0
194,,,,0,0,0
195,,,,0,0,0
196,,,,0,0,0
197,,,,0,0,0
198,,,,0,0,0
199,,,,0,0,0
200,预设,,,0,0,0
201,身高,,,0,0,0
202,肤色,,,0,0,0
203,声音,,,0,0,0
204,体型,,,0,0,0
205,,,,0,0,0
206,,,,0,0,0
207,体型,,,0,0,0
208,,,,0,0,0
209,胸围,,,0,0,0
210,耳朵大小,,,0,0,0
211,耳朵形状,,,0,0,0
212,,,,0,0,0
213,耳朵大小,,,0,0,0
214,耳朵形状,,,0,0,0
215,胸围,,,0,0,0
216,耳朵大小,,,0,0,0
217,耳朵形状,,,0,0,0
218,,,,0,0,0
219,耳朵大小,,,0,0,0
220,耳朵形状,,,0,0,0
221,胸围,,,0,0,0
222,尾巴长度,,,0,0,0
223,尾巴形状,,,0,0,0
224,,,,0,0,0
225,尾巴长度,,,0,0,0
226,尾巴形状,,,0,0,0
227,胸围,,,0,0,0
228,体型,,,0,0,0
229,,,,0,0,0
230,,,,0,0,0
231,体型,,,0,0,0
232,,,,0,0,0
233,胸围,,,0,0,0
234,发型,,,0,0,0
235,头发特征,,,0,0,0
236,发色,,,0,0,0
237,挑染,,,0,0,0
238,脸部,,,0,0,0
239,脸部特征,,,0,0,0
240,脸部特征颜色,,,0,0,0
241,脸部轮廓,,,0,0,0
242,眉毛,,,0,0,0
243,眼睛,,,0,0,0
244,眼瞳,,,0,0,0
245,瞳色,,,0,0,0
246,鼻型,,,0,0,0
247,嘴型,,,0,0,0
248,唇色,,,0,0,0
249,面妆,,,0,0,0
250,面妆颜色,,,0,0,0
251,确定,,,0,0,0
252,脸部,,,0,0,0
253,尾巴长度,,,0,0,0
254,尾巴形状,,,0,0,0
255,,,,0,0,0
256,尾巴长度,,,0,0,0
257,尾巴形状,,,0,0,0
258,胸围,,,0,0,0
259,,,,0,0,0
260,,,,0,0,0
261,,,,0,0,0
262,,,,0,0,0
263,,,,0,0,0
264,,,,0,0,0
265,最矮,,,0,0,0
266,较矮,,,0,0,0
267,标准,,,0,0,0
268,较高,,,0,0,0
269,最高,,,0,0,0
270,约UNKNOWN.UNKNOWN厘米,,,0,0,0
271,,,,0,0,0
272,,,,0,0,0
273,,,,0,0,0
274,,,,0,0,0
275,类型1,,,0,0,0
276,类型2,,,0,0,0
277,类型3,,,0,0,0
278,类型4,,,0,0,0
279,类型5,,,0,0,0
280,类型6,,,0,0,0
281,类型7,,,0,0,0
282,类型8,,,0,0,0
283,类型9,,,0,0,0
284,类型10,,,0,0,0
285,类型11,,,0,0,0
286,类型12,,,0,0,0
287,,,,0,0,0
288,,,,0,0,0
289,,,,0,0,0
290,非常瘦弱,,,0,0,0
291,比较瘦弱,,,0,0,0
292,标准,,,0,0,0
293,比较强健,,,0,0,0
294,非常强健,,,0,0,0
295,,,,0,0,0
296,,,,0,0,0
297,,,,0,0,0
298,,,,0,0,0
299,,,,0,0,0
300,,,,0,0,0
301,,,,0,0,0
302,,,,0,0,0
303,,,,0,0,0
304,,,,0,0,0
305,非常瘦弱,,,0,0,0
306,比较瘦弱,,,0,0,0
307,标准,,,0,0,0
308,比较强健,,,0,0,0
309,非常强健,,,0,0,0
310,,,,0,0,0
311,,,,0,0,0
312,,,,0,0,0
313,,,,0,0,0
314,,,,0,0,0
315,最小,,,0,0,0
316,较小,,,0,0,0
317,标准,,,0,0,0
318,较大,,,0,0,0
319,最大,,,0,0,0
320,最短,,,0,0,0
321,较短,,,0,0,0
322,标准,,,0,0,0
323,较长,,,0,0,0
324,最长,,,0,0,0
325,类型1,,,0,0,0
326,类型2,,,0,0,0
327,类型3,,,0,0,0
328,类型4,,,0,0,0
329,,,,0,0,0
330,,,,0,0,0
331,,,,0,0,0
332,,,,0,0,0
333,,,,0,0,0
334,,,,0,0,0
335,最短,,,0,0,0
336,较短,,,0,0,0
337,标准,,,0,0,0
338,较长,,,0,0,0
339,最长,,,0,0,0
340,类型1,,,0,0,0
341,类型2,,,0,0,0
342,类型3,,,0,0,0
343,类型4,,,0,0,0
344,,,,0,0,0
345,最小,,,0,0,0
346,较小,,,0,0,0
347,标准,,,0,0,0
348,较大,,,0,0,0
349,最大,,,0,0,0
350,最短,,,0,0,0
351,较短,,,0,0,0
352,标准,,,0,0,0
353,较长,,,0,0,0
354,最长,,,0,0,0
355,类型1,,,0,0,0
356,类型2,,,0,0,0
357,类型3,,,0,0,0
358,类型4,,,0,0,0
359,,,,0,0,0
360,,,,0,0,0
361,,,,0,0,0
362,,,,0,0,0
363,,,,0,0,0
364,,,,0,0,0
365,最短,,,0,0,0
366,较短,,,0,0,0
367,标准,,,0,0,0
368,较长,,,0,0,0
369,最长,,,0,0,0
370,类型1,,,0,0,0
371,类型2,,,0,0,0
372,类型3,,,0,0,0
373,类型4,,,0,0,0
374,,,,0,0,0
375,最小,,,0,0,0
376,较小,,,0,0,0
377,标准,,,0,0,0
378,较大,,,0,0,0
379,最大,,,0,0,0
380,最短,,,0,0,0
381,较短,,,0,0,0
382,标准,,,0,0,0
383,较长,,,0,0,0
384,最长,,,0,0,0
385,类型1,,,0,0,0
386,类型2,,,0,0,0
387,类型3,,,0,0,0
388,类型4,,,0,0,0
389,,,,0,0,0
390,,,,0,0,0
391,,,,0,0,0
392,,,,0,0,0
393,,,,0,0,0
394,,,,0,0,0
395,最短,,,0,0,0
396,较短,,,0,0,0
397,标准,,,0,0,0
398,较长,,,0,0,0
399,最长,,,0,0,0
400,类型1,,,0,0,0
401,类型2,,,0,0,0
402,类型3,,,0,0,0
403,类型4,,,0,0,0
404,,,,0,0,0
405,最小,,,0,0,0
406,较小,,,0,0,0
407,标准,,,0,0,0
408,较大,,,0,0,0
409,最大,,,0,0,0
410,非常瘦弱,,,0,0,0
411,比较瘦弱,,,0,0,0
412,标准,,,0,0,0
413,比较强健,,,0,0,0
414,非常强健,,,0,0,0
415,,,,0,0,0
416,,,,0,0,0
417,,,,0,0,0
418,,,,0,0,0
419,,,,0,0,0
420,,,,0,0,0
421,,,,0,0,0
422,,,,0,0,0
423,,,,0,0,0
424,,,,0,0,0
425,非常瘦弱,,,0,0,0
426,比较瘦弱,,,0,0,0
427,标准,,,0,0,0
428,比较强健,,,0,0,0
429,非常强健,,,0,0,0
430,,,,0,0,0
431,,,,0,0,0
432,,,,0,0,0
433,,,,0,0,0
434,,,,0,0,0
435,最小,,,0,0,0
436,较小,,,0,0,0
437,标准,,,0,0,0
438,较大,,,0,0,0
439,最大,,,0,0,0
440,,,,0,0,0
441,,,,0,0,0
442,,,,0,0,0
443,,,,0,0,0
444,,,,0,0,0
445,战斗精英,,,0,0,0
446,,,,0,0,0
447,魔法导师,,,0,0,0
448,,,,0,0,0
449,,,,0,1200,0
450,,,,0,0,0
451,,,,0,0,0
452,,,,0,1210,0
453,,,,0,36020,0
454,,,,0,1420,0
455,,,,0,36015,0
456,,,,0,930,0
457,,,,0,38130,0
458,硌狮族 男,,"硌狮族来自北洲伊尔萨巴德大陆。
他们有着发达的肌肉和尖锐的爪子与锋利的牙齿，其长相会让人误以为是狮子或豹子。
正因为他们的这般长相，所以被其他种族视为野蛮人，导致与其他种族之间的斗争不断。
直到通用语出现后，各种族才更加了解对方，从而才慢慢加深了相互之间的交流。
硌狮族男女出生比例非常极端，几乎看不到女性。",0,0,0
459,,,,0,0,0
460,维埃拉族 男,,"维埃拉族是奥萨德次大陆的少数民族，其名字的意思为森林居民。
自古以来，他们就隐居在森林深处构筑着自己的历史，
现如今依旧很少出现在其他种族的生活圈内。
特别是他们有规定成年男性要独自过着流浪生活，所以很少见到男性维埃拉族。
另外，维埃拉族的外观与人族和精灵族非常相近，特征则是那发达的大长耳朵。",0,0,0
461,,,,0,0,0
462,掠日之民,,"拥有暖色毛发的硌狮部族。
他们以女王为中心，生活在北洲大陆南部的博兹雅地区。
在他们自己的语言中并不存在对自身部族的称呼，
不过那以一名女性指导者为中心，多数男性为之行动的社会构造，
正像是以太阳为中心环绕的彗星，因此通用语中将他们称为掠日之民。",0,0,0
463,,,,0,0,0
464,迷踪之民,,"拥有冷色毛发的硌狮部族。
在很久以前，他们舍去了定居生活，开始了流浪生活。
他们时而是体力劳动者，时而是助人的佣兵，有时甚至是旅行商人，
根据不同时期改变自己的职业，过着随性的自由生活。
这种生活方式被比喻为远离太阳的彗星，故被称作迷踪之民。",0,0,0
465,,,,0,0,0
466,密林之民,,"拥有褐色皮肤能够融入昏暗密林的维埃拉部族。
他们将葛尔摩大密林视为圣地，称自己为森林的守护者，
对未经允许就踏入森林的人，将会用长枪与弓箭欢迎对方。
在受到旧达尔马斯卡王国统治的时期，他们依然享有自治权。
虽然大部分族人至今维持着古朴的生活习惯，不过也有小部分人离开森林去到了外界生活。",0,0,0
467,,,,0,0,0
468,山林之民,,"拥有白色皮肤如同飘雪点缀山林的维埃拉部族。
他们以斯卡提山脉南侧的山腹附近为根据地，
坚持着古时延续下来的狩猎采集的生活，完全断绝与外界的接触。
其中也有人舍弃了这种生活，走出了故乡，
因受到战乱余波的影响，其中一部分人前往了艾欧泽亚。",0,0,0
469,,,,0,0,0
470,,,,0,0,0
471,"哈罗妮是司掌冰河与战争的女神，同时也是伊修加德城邦的守护神。
她有着冰属性的神力，负责管理星一月的运行。
据传说，哈罗妮是破坏神拉尔戈的女儿，也是大地神诺菲卡的敌人。
她经常被描绘为一位装备着青铜巨盾的强大战士。象征符号则是三把并列的尖枪。",,,0,0,0
472,"梅茵菲娜是司掌双月与慈爱的女神。
她有着冰属性的神力，负责管理灵一月的运行。
据传说，梅茵菲娜是太阳神阿泽玛同父异母的妹妹，也是山岳神奥修昂的恋人。
她经常被描绘为一位手持平底锅的侍女。象征符号则是一轮满月。",,,0,0,0
473,"沙利亚克是司掌河流与知识的男神，同时也是萨雷安城邦的守护神。
他有着水属性的神力，负责管理星二月的运行。
据传说，沙利亚克是海洋神利姆莱茵的父亲，也是工艺神比尔格的师傅。
他经常被描绘为一位手持白蜡木手杖的学者。象征符号则是一个卷轴。",,,0,0,0
474,"妮美雅是司掌行星与命运的女神。
她有着水属性的神力，负责管理灵二月的运行。
据传说，妮美雅是光阴神阿尔基克的妹妹，也是破坏神拉尔戈的主人。
她经常被描绘为一位披戴着白色面纱的纺织人。象征符号则是一架纺车。",,,0,0,0
475,"利姆莱茵是司掌海洋与航海的女神，同时也是利姆萨·罗敏萨城邦的守护神。
她有着风属性的神力，负责管理星三月的运行。
据传说，利姆莱茵是河川神沙利亚克的女儿，也是大地神诺菲卡的姐姐。
她经常被描绘为一位手持长尖渔叉的健壮渔民。象征符号则是一朵浪花。",,,0,0,0
