#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,随机任务：团队任务,团队任务,,"随机参加24人团队任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。",对应任务：团队任务,0,112259,0,0,0,70,0,120,120,50,0,0,0,1,50,50,9,8,142,5,0,0,1,0,120,0,2,0,0,9,False,True,False,True,True,True,False,True,False,False,False,False,True,True
16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,随机任务：大型任务,大型任务,,"随机参加当前可以参加的8人大型任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：大型任务,0,112294,0,0,0,170,0,80,60,20,0,0,1,1,60,60,10,9,142,3,0,0,1,0,90,0,2,0,0,10,False,True,False,False,True,True,False,True,False,False,False,False,True,True
18,陆行鸟竞赛：荒野大道,荒野大道,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※根据竞赛陆行鸟的羽力决定参赛的羽力级。
※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。",,0,112086,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,32,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
19,陆行鸟竞赛：太阳海岸,太阳海岸,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※根据竞赛陆行鸟的羽力决定参赛的羽力级。
※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。",,0,112084,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,33,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
20,陆行鸟竞赛：恬静小路,恬静小路,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※根据竞赛陆行鸟的羽力决定参赛的羽力级。
※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。",,0,112085,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,34,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
21,陆行鸟竞赛：随机赛道,随机赛道,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※在陆行鸟竞赛：随机赛道中将会随机参加可以参加的赛道。
※根据竞赛陆行鸟的羽力决定参赛的羽力级。
※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。",,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,31,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
22,陆行鸟竞赛：荒野大道（无报酬）,荒野大道（无报酬）,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※仅限小队成员进行竞赛，无法匹配其他玩家。
※小队成员中羽力最低的竞赛陆行鸟将决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。
※无法获得报酬与经验值。",,0,112086,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,36,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
23,陆行鸟竞赛：太阳海岸（无报酬）,太阳海岸（无报酬）,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※仅限小队成员进行竞赛，无法匹配其他玩家。
※小队成员中羽力最低的竞赛陆行鸟将决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。
※无法获得报酬与经验值。",,0,112084,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,37,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
24,陆行鸟竞赛：恬静小路（无报酬）,恬静小路（无报酬）,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※仅限小队成员进行竞赛，无法匹配其他玩家。
※小队成员中羽力最低的竞赛陆行鸟将决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。
※无法获得报酬与经验值。",,0,112085,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,38,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
25,陆行鸟竞赛：随机赛道（无报酬）,随机赛道（无报酬）,,"陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。
你也朝着胜利开始竞赛吧！

※在陆行鸟竞赛：随机赛道中将会随机参加可以参加的赛道。
※仅限小队成员进行竞赛，无法匹配其他玩家。
※小队成员中羽力最低的竞赛陆行鸟将决定参赛的羽力级。
※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。
※参加竞赛的玩家可以使用小队频道。
※无法获得报酬与经验值。",,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,35,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
26,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,34,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
27,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,35,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
28,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,36,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
29,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,37,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
30,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,38,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
31,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,39,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
32,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,40,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
33,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,41,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
34,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,42,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
35,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,43,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
36,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,44,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
37,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,45,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
38,陆行鸟竞赛：随机赛道,随机赛道,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,46,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
39,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,水晶冲突（练习赛）,练习赛,,“水晶冲突”是艾欧泽亚城邦军事同盟为由少数人组成的局部战争打造的新型模拟战。在现有的对人战斗的基础上，增加了确保重要物资“战术水晶”并将其转移到目的地的战略要素。在用最新全息投影技术再现的多彩环境中努力取得胜利吧！,,0,112471,0,0,0,0,0,0,0,0,0,40027,0,3,30,30,0,47,146,29,3,2,6,43,5,0,0,0,0,-1,False,True,True,False,True,False,False,False,False,False,False,False,True,True
41,水晶冲突（段位赛）,段位赛,,"“水晶冲突”是艾欧泽亚城邦军事同盟为由少数人组成的局部战争打造的新型模拟战。在现有的对人战斗的基础上，增加了确保重要物资“战术水晶”并将其转移到目的地的战略要素。在用最新全息投影技术再现的多彩环境中努力取得胜利吧！

※胜利之星和水晶点会因比赛的胜负而变动。
※会与段位和阶位相近的玩家进行匹配。
※会尽量平衡双方小队成员的职业构成、段位、阶位来进行分组。",,0,112472,0,0,1,0,0,0,0,0,0,40030,0,3,30,30,0,48,146,29,3,1,6,43,5,0,0,0,1,-1,False,True,True,False,True,False,False,False,False,False,False,False,True,False
