#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Thumbnail,Unknown4,Unknown12,Unknown13,FestivalId,Unknown14,LodestoneRank,FestivalPhase,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
10,"居住舱安装工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",居住舱安装工程支援行动　联合工程准备中,"建设居住舱的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设居住舱的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241005,0,0,1451,158,0,2,10,0,0,2,3,0,0,0,0,0,0,0,0,0,False
11,"居住舱安装工程支援行动　联合工程进行中
**请积极参与其中吧！",居住舱安装工程支援行动　联合工程进行中,"建设居住舱的联合工程正在进行中！
请一定要来帮忙呀！",建设居住舱的联合工程正在进行中！请一定要来帮忙呀！,查明威,241005,0,0,0,158,0,2,11,0,0,2,3,0,0,0,0,0,0,0,0,0,False
12,"第一次宇宙港建设工程支援行动　物资准备中
**请为联合工程的开工做好准备！",第一次宇宙港建设工程支援行动　物资准备中,"建设宇宙港的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设宇宙港的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241006,18,2,1401,158,0,3,12,5,0,2,3,0,0,0,0,0,0,0,0,0,False
13,"第一次宇宙港建设工程支援行动　联合工程进行中
**请积极参与其中吧！",第一次宇宙港建设工程支援行动　联合工程进行中,"建设宇宙港的联合工程正在进行中！
请一定要来帮忙呀！",建设宇宙港的联合工程正在进行中！请一定要来帮忙呀！,查明威,241006,0,0,0,158,0,3,12,0,0,2,3,0,0,0,0,0,0,0,0,0,False
14,"居住舱&宇宙港　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",居住舱&宇宙港　竣工,"居住舱和宇宙港竣工啦！
越来越有基地的样子了，感谢大家的帮助！",居住舱和宇宙港竣工啦！感谢大家的帮助！,查明威,241007,18,3,1401,158,0,4,13,5,0,2,3,0,0,0,0,0,0,0,0,0,False
15,"第一次机甲库扩建工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第一次机甲库扩建工程　物资准备中,"我们需要改建机甲库，使其具备更高性能！
请积极参加探索任务帮忙筹备物资！",我们需要改建机甲库，使其具备更高性能！一起筹备物资吧！,查明威,241008,0,0,0,158,0,4,14,0,0,2,3,0,0,0,0,0,0,0,0,0,False
16,"第一次机甲库扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",第一次机甲库扩建工程　联合工程准备中,"改建机甲库的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",改建机甲库的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241008,0,0,1451,158,0,4,15,0,0,2,3,0,0,0,0,0,0,0,0,0,False
17,"第一次机甲库扩建工程　联合工程进行中
**请积极参与其中吧！",第一次机甲库扩建工程　联合工程进行中,"改建机甲库的联合工程正在进行中！
请一定要来帮忙呀！",改建机甲库的联合工程正在进行中！请一定要来帮忙呀！,查明威,241008,0,0,0,158,0,4,16,0,0,2,3,0,0,0,0,0,0,0,0,0,False
18,"二级机甲库　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",二级机甲库　竣工,"机甲库改建完毕啦！具备了更高性能！
相信今后机甲一定能发挥更重要的作用，感谢大家的帮助！",机甲库改建完毕啦！具备了更高性能！感谢大家的帮助！,查明威,241009,18,4,1402,158,0,5,17,5,0,2,3,0,0,0,0,0,0,0,0,0,False
19,"第二次宇宙飞线铺设工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第二次宇宙飞线铺设工程　物资准备中,"我们需要建设宇宙飞线西北线！
请积极参加探索任务帮忙筹备物资！",我们需要建设宇宙飞线西北线！一起筹备物资吧！,查明威,241010,0,0,0,158,0,5,18,0,0,2,3,0,0,0,0,0,0,0,0,0,False
20,"第二次宇宙飞线铺设工程　施工中
**请静待宇宙飞线铺设完成！",第二次宇宙飞线铺设工程　施工中,"宇宙飞线西北线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！",宇宙飞线西北线的竣工时间确定啦！,查明威,241010,0,0,1452,158,0,5,18,0,0,2,3,0,0,0,0,0,0,0,0,0,False
21,"宇宙飞线西北线　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线西北线　竣工,"宇宙飞线西北线竣工啦！
相信今后对于西北方的探索会更进一步，感谢大家的帮助！",宇宙飞线西北线竣工啦！感谢大家的帮助！,查明威,241011,18,5,1407,158,0,6,19,6,0,2,3,0,0,0,0,0,0,0,0,0,False
22,"第三次宇宙飞线铺设工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第三次宇宙飞线铺设工程　物资准备中,"我们需要建设宇宙飞线东南线！
请积极参加探索任务帮忙筹备物资！",我们需要建设宇宙飞线东南线！一起筹备物资吧！,查明威,241012,0,0,0,158,0,6,20,0,0,2,3,0,0,0,0,0,0,0,0,0,False
23,"第三次宇宙飞线铺设工程　施工中
**请静待宇宙飞线铺设完成！",第三次宇宙飞线铺设工程　施工中,"宇宙飞线东南线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！",宇宙飞线东南线的竣工时间确定啦！,查明威,241012,0,0,1452,158,0,6,20,0,0,2,3,0,0,0,0,0,0,0,0,0,False
24,"宇宙飞线东南线　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线东南线　竣工,"宇宙飞线东南线竣工啦！
相信今后对于东南方的探索会更进一步，感谢大家的帮助！",宇宙飞线东南线竣工啦！感谢大家的帮助！,查明威,241013,18,6,1409,158,0,7,21,6,0,2,3,4,6,7,0,0,0,0,0,0,False
25,"隧道贯通工程施工　物资准备中
 **请积极参加探索任务筹备物资吧！",隧道贯通工程施工　物资准备中,"我们需要开通穿山隧道！
请积极参加探索任务帮忙筹备物资！",我们需要开通穿山隧道！一起筹备物资吧！,查明威,241014,0,0,0,158,0,7,22,0,0,2,3,4,6,7,0,0,0,0,0,0,False
26,"第一次隧道贯通工程施工　联合工程准备中
**请为联合工程的开工做好准备！",第一次隧道贯通工程施工　联合工程准备中,"开通隧道的第一次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",开通隧道的第一次联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241014,0,0,1451,158,0,7,23,0,0,2,3,4,6,7,0,0,0,0,0,0,False
27,"第一次隧道贯通工程施工　联合工程进行中
**请积极参与其中吧！",第一次隧道贯通工程施工　联合工程进行中,"开通隧道的第一次联合工程正在进行中！
请一定要来帮忙呀！",开通隧道的第一次联合工程正在进行中！请一定要来帮忙呀！,查明威,241014,0,0,0,158,0,7,24,0,0,2,3,4,6,7,0,0,0,0,0,0,False
28,"第二次隧道贯通工程施工　联合工程准备中
**请为联合工程的开工做好准备！",第二次隧道贯通工程施工　联合工程准备中,"开通隧道的第二次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",开通隧道的第二次联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241015,18,7,1401,158,0,8,25,5,0,2,3,4,6,7,0,0,0,0,0,0,False
29,"第二次隧道贯通工程施工　联合工程进行中
**请积极参与其中吧！",第二次隧道贯通工程施工　联合工程进行中,"开通隧道的第二次联合工程正在进行中！
请一定要来帮忙呀！",开通隧道的第二次联合工程正在进行中！请一定要来帮忙呀！,查明威,241015,0,0,0,158,0,8,25,0,0,2,3,4,6,7,0,0,0,0,0,0,False
30,"穿行威隧道　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",穿行威隧道　竣工,"穿行威隧道顺利开通啦！
相信今后对于隧道深处的探索会更进一步，感谢大家的帮助！",穿行威隧道顺利开通啦！感谢大家的帮助！,查明威,241016,18,8,1408,158,0,9,26,6,0,2,3,4,6,7,0,0,0,0,0,0,False
31,"第四次宇宙飞线铺设工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第四次宇宙飞线铺设工程　物资准备中,"我们需要在隧道的另一边铺设宇宙飞线！
请积极参加探索任务帮忙筹备物资！",我们需要在隧道的另一边铺设宇宙飞线！一起筹备物资吧！,查明威,241017,0,0,0,158,0,9,27,0,0,2,3,4,6,7,0,0,0,0,0,0,False
32,"第四次宇宙飞线铺设工程　施工中
**请静待宇宙飞线铺设完成！",第四次宇宙飞线铺设工程　施工中,"宇宙飞线西南线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！",宇宙飞线西南线的竣工时间确定啦！,查明威,241017,0,0,1452,158,0,9,27,0,0,2,3,4,6,7,0,0,0,0,0,0,False
33,"宇宙飞线西南线　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线西南线　竣工,"宇宙飞线西南线竣工啦！
相信今后的探索会更进一步，感谢大家的帮助！",宇宙飞线西南线竣工啦！感谢大家的帮助！,查明威,241018,18,9,1412,158,0,10,28,6,0,2,3,4,6,7,8,0,0,0,0,0,False
34,"第二次基地扩建工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第二次基地扩建工程　物资准备中,"我们需要再次扩建月门基地！
请积极参加探索任务帮忙筹备物资！",我们需要再次扩建月门基地！一起筹备物资吧！,查明威,241019,0,0,0,158,0,10,29,0,0,2,3,4,6,7,8,0,0,0,0,0,False
35,"第二次基地扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",第二次基地扩建工程　联合工程准备中,"再次扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",再次扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241019,0,0,1451,158,0,10,30,0,0,2,3,4,6,7,8,0,0,0,0,0,False
36,"第二次基地扩建工程　联合工程进行中
**请积极参与其中吧！",第二次基地扩建工程　联合工程进行中,"再次扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！",再次扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！,查明威,241019,0,0,0,158,0,10,31,0,0,2,3,4,6,7,8,0,0,0,0,0,False
37,"月门基地：三级基地　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",月门基地：三级基地　竣工,"月门基地扩建完毕啦！这次的成果更棒！
相信今后的探索活动会更进一步，感谢大家的帮助！",月门基地扩建完毕啦！这次的成果更棒！感谢大家的帮助！,查明威,241020,18,10,1410,158,0,11,32,6,1,2,3,5,6,7,8,0,0,0,0,0,False
38,"发电站&供水站　建设物资准备中
 **请积极参加探索任务筹备物资吧！",发电站&供水站　建设物资准备中,"我们需要建设发电站和供水站！
请积极参加探索任务帮忙筹备物资！",我们需要建设发电站和供水站！一起筹备物资吧！,查明威,241021,0,0,0,158,0,11,33,0,1,2,3,5,6,7,8,0,0,0,0,0,False
39,"能源设施扩建工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",能源设施扩建工程支援行动　联合工程准备中,"建设发电站的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设发电站的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241021,0,0,1451,158,0,11,34,0,1,2,3,5,6,7,8,0,0,0,0,0,False
40,"能源设施扩建工程支援行动　联合工程进行中
**请积极参与其中吧！",能源设施扩建工程支援行动　联合工程进行中,"建设发电站的联合工程正在进行中！
请一定要来帮忙呀！",建设发电站的联合工程正在进行中！请一定要来帮忙呀！,查明威,241021,0,0,0,158,0,11,35,0,1,2,3,5,6,7,8,0,0,0,0,0,False
41,"供水设施扩建工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",供水设施扩建工程支援行动　联合工程准备中,"建设供水站的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设供水站的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241022,18,11,1401,158,0,12,36,5,1,2,3,5,6,7,8,0,0,0,0,0,False
42,"供水设施扩建工程支援行动　联合工程进行中
**请积极参与其中吧！",供水设施扩建工程支援行动　联合工程进行中,"建设供水站的联合工程正在进行中！
请一定要来帮忙呀！",建设供水站的联合工程正在进行中！请一定要来帮忙呀！,查明威,241022,0,0,0,158,0,12,36,0,1,2,3,5,6,7,8,0,0,0,0,0,False
43,"发电站&供水站　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",发电站&供水站　竣工,"发电站和供水站竣工啦！
这下就暂时不用担心能量和供水的问题了，感谢大家的帮助！",发电站和供水站竣工啦！感谢大家的帮助！,查明威,241023,18,12,1401,158,0,13,37,5,1,2,3,5,6,7,8,0,0,0,0,0,False
44,"二级机甲库&宇宙港　改建物资准备中
 **请积极参加探索任务筹备物资吧！",二级机甲库&宇宙港　改建物资准备中,"我们需要改建机甲库和宇宙港，使其具备更高性能！
请积极参加探索任务帮忙筹备物资！",我们需要改建机甲库和宇宙港，使其具备更高性能！一起筹备物资吧！,查明威,241024,0,0,0,158,0,13,38,0,1,2,3,5,6,7,8,0,0,0,0,0,False
45,"第二次机甲库扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",第二次机甲库扩建工程　联合工程准备中,"改建机甲库的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",改建机甲库的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241024,0,0,1451,158,0,13,39,0,1,2,3,5,6,7,8,0,0,0,0,0,False
46,"第二次机甲库扩建工程　联合工程进行中
**请积极参与其中吧！",第二次机甲库扩建工程　联合工程进行中,"改建机甲库的联合工程正在进行中！
请一定要来帮忙呀！",改建机甲库的联合工程正在进行中！请一定要来帮忙呀！,查明威,241024,0,0,0,158,0,13,40,0,1,2,3,5,6,7,8,0,0,0,0,0,False
47,"第二次宇宙港建设工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",第二次宇宙港建设工程支援行动　联合工程准备中,"改建宇宙港的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",改建宇宙港的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241025,18,13,1402,158,0,14,41,5,1,2,3,5,6,7,8,0,0,0,0,0,False
48,"第二次宇宙港建设工程支援行动　联合工程进行中
**请积极参与其中吧！",第二次宇宙港建设工程支援行动　联合工程进行中,"改建宇宙港的联合工程正在进行中！
请一定要来帮忙呀！",改建宇宙港的联合工程正在进行中！请一定要来帮忙呀！,查明威,241025,0,0,0,158,0,14,41,0,1,2,3,5,6,7,8,0,0,0,0,0,False
49,"三级机甲库&二级宇宙港　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",三级机甲库&二级宇宙港　竣工,"机甲库和宇宙港改建完毕啦！具备了更高性能！
相信今后探索活动将会更进一步，感谢大家的帮助！",机甲库和宇宙港改建完毕啦！具备了更高性能！感谢大家的帮助！,查明威,241026,18,14,1402,158,0,15,42,5,1,2,3,5,6,7,8,0,0,0,0,0,False
50,"升降梯建设用地整备工程　物资准备中
 **请积极参加探索任务筹备物资吧！",升降梯建设用地整备工程　物资准备中,"我们需要开通前往月底的升降梯！
请积极参加探索任务帮忙筹备物资！",我们需要开通前往月底的升降梯！一起筹备物资吧！,查明威,241027,0,0,0,158,0,15,43,0,1,2,3,5,6,7,8,0,0,0,0,0,False
51,"第一次升降梯建设用地整备工程　联合工程准备中
**请为联合工程的开工做好准备！",第一次升降梯建设用地整备工程　联合工程准备中,"开通月底升降梯的第一次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",开通月底升降梯的第一次联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241027,0,0,1451,158,0,15,44,0,1,2,3,5,6,7,8,0,0,0,0,0,False
52,"第一次升降梯建设用地整备工程　联合工程进行中
**请积极参与其中吧！",第一次升降梯建设用地整备工程　联合工程进行中,"开通月底升降梯的第一次联合工程正在进行中！
请一定要来帮忙呀！",开通月底升降梯的第一次联合工程正在进行中！请一定要来帮忙呀！,查明威,241027,0,0,0,158,0,15,45,0,1,2,3,5,6,7,8,0,0,0,0,0,False
53,"第二次升降梯建设用地整备工程　联合工程准备中
**请为联合工程的开工做好准备！",第二次升降梯建设用地整备工程　联合工程准备中,"开通月底升降梯的第二次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",开通月底升降梯的第二次联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241028,18,15,1401,158,0,16,46,5,1,2,3,5,6,7,8,0,0,0,0,0,False
54,"第二次升降梯建设用地整备工程　联合工程进行中
**请积极参与其中吧！",第二次升降梯建设用地整备工程　联合工程进行中,"开通月底升降梯的第二次联合工程正在进行中！
请一定要来帮忙呀！",开通月底升降梯的第二次联合工程正在进行中！请一定要来帮忙呀！,查明威,241028,0,0,0,158,0,16,46,0,1,2,3,5,6,7,8,0,0,0,0,0,False
55,"月底升降梯　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",月底升降梯　竣工,"月底升降梯竣工啦！
相信今后对于地底空间的探索将会更进一步，感谢大家的帮助！",月底升降梯竣工啦！感谢大家的帮助！,查明威,241029,18,16,1411,158,0,17,47,6,1,2,3,5,6,7,8,0,0,0,0,0,False
56,"第五次宇宙飞线铺设工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第五次宇宙飞线铺设工程　物资准备中,"我们需要建设宇宙飞线地底线！
请积极参加探索任务帮忙筹备物资！",我们需要建设宇宙飞线地底线！一起筹备物资吧！,查明威,241030,0,0,0,158,0,17,48,0,1,2,3,5,6,7,8,0,0,0,0,0,False
57,"第五次宇宙飞线铺设工程　施工中
**请静待宇宙飞线铺设完成！",第五次宇宙飞线铺设工程　施工中,"宇宙飞线地底线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！",宇宙飞线地底线的竣工时间确定啦！,查明威,241030,0,0,1452,158,0,17,48,0,1,2,3,5,6,7,8,0,0,0,0,0,False
58,"宇宙飞线地底线　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线地底线　竣工,"宇宙飞线地底线竣工啦！
相信今后的探索会更进一步，感谢大家的帮助！",宇宙飞线地底线竣工啦！感谢大家的帮助！,查明威,241031,18,17,1404,158,0,18,49,6,1,2,3,5,6,7,8,9,0,0,0,0,False
59,"基地综合设施扩建工程　物资准备中
 **请积极参加探索任务筹备物资吧！",基地综合设施扩建工程　物资准备中,"我们需要大幅扩建月门基地！
请积极参加探索任务帮忙筹备物资！",我们需要大幅扩建月门基地！一起筹备物资吧！,查明威,241032,0,0,0,158,0,18,50,0,1,2,3,5,6,7,8,9,0,0,0,0,False
60,"基地综合设施扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",基地综合设施扩建工程　联合工程准备中,"大幅扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",大幅扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241032,0,0,1451,158,0,18,51,0,1,2,3,5,6,7,8,9,0,0,0,0,False
61,"基地综合设施扩建工程　联合工程进行中
**请积极参与其中吧！",基地综合设施扩建工程　联合工程进行中,"大幅扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！",大幅扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！,查明威,241032,0,0,0,158,0,18,52,0,1,2,3,5,6,7,8,9,0,0,0,0,False
62,"月门基地：月上跳跳城　竣工
**遐想漫天星空，自由度过当下的时光吧！",月门基地：月上跳跳城　竣工,"月门基地扩建完毕啦！
这下基地变得好气派啊，感谢大家的帮助！",月门基地扩建完毕啦！感谢大家的帮助！,查明威,241033,18,18,1403,158,0,19,53,6,1,2,3,5,6,7,8,9,0,0,0,0,False
63,"月面基地整备计划　圆满完成
**遐想漫天星空，自由度过当下的时光吧！",月面基地整备计划　圆满完成,"在大家的辛勤工作下，月球上的所有设施都建设完毕啦！
一想到接下来将要踏上的全新旅程，内心就激动不已！",在大家的辛勤工作下，月球上的所有设施都建设完毕啦！太感谢各位啦！,查明威,241034,0,0,0,158,0,19,54,0,1,2,3,5,6,7,8,9,0,0,0,0,False
64,"第一次基地扩建工程　物资收集中
 **请积极参加探索任务筹备物资吧！",第一次基地扩建工程　物资收集中,"是时候一起筹备物资，扩建玻璃匠基地啦！
请积极参加探索任务帮忙筹备物资！",宇宙探索再次启航！是时候一起筹备物资，扩建玻璃匠基地啦！,查明威,241035,0,0,0,168,0,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,False
65,"第一次基地扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",第一次基地扩建工程　联合工程准备中,"扩建玻璃匠基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",扩建玻璃匠基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241035,0,0,1451,168,0,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,False
66,"第一次基地扩建工程　联合工程进行中
**请积极参与其中吧！",第一次基地扩建工程　联合工程进行中,"扩建玻璃匠基地的联合工程正在进行中！
请一定要来帮忙呀！",扩建玻璃匠基地的联合工程正在进行中！请一定要来帮忙呀！,查明威,241035,0,0,0,168,0,0,2,0,2,3,4,0,0,0,0,0,0,0,0,0,False
67,"玻璃匠基地：二级基地　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",玻璃匠基地：二级基地　竣工,"玻璃匠基地扩建完毕啦！
探索活动正在有条不紊地推进着，感谢大家的帮助！",玻璃匠基地扩建完毕啦！感谢大家的帮助！,查明威,241036,126,0,1478,168,0,1,3,6,2,3,4,0,0,0,0,0,0,0,0,0,False
68,"第一次宇宙飞线铺设工程支援行动　物资收集中
 **请积极参加探索任务筹备物资吧！",第一次宇宙飞线铺设工程支援行动　物资收集中,"我们需要在玻璃匠基地附近建设宇宙飞线！
请积极参加探索任务帮忙筹备物资！",我们需要在玻璃匠基地附近建设宇宙飞线！一起筹备物资吧！,查明威,241037,0,0,0,168,0,1,4,0,2,3,4,0,0,0,0,0,0,0,0,0,False
69,"第一次宇宙飞线铺设工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",第一次宇宙飞线铺设工程支援行动　联合工程准备中,"建设宇宙飞线的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设宇宙飞线的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241037,0,0,1451,168,0,1,4,0,2,3,4,0,0,0,0,0,0,0,0,0,False
70,"第一次宇宙飞线铺设工程支援行动　联合工程进行中
**请积极参与其中吧！",第一次宇宙飞线铺设工程支援行动　联合工程进行中,"建设宇宙飞线的联合工程正在进行中！
请一定要来帮忙呀！",建设宇宙飞线的联合工程正在进行中！请一定要来帮忙呀！,查明威,241037,0,0,0,168,0,1,4,0,2,3,4,0,0,0,0,0,0,0,0,0,False
71,"宇宙飞线基地周边段　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线基地周边段　竣工,"宇宙飞线竣工啦！
这下就方便去更远的地方探索了，感谢大家的帮助！",宇宙飞线竣工啦！感谢大家的帮助！,查明威,241038,126,1,1479,168,0,2,5,6,2,3,4,0,0,0,0,0,0,0,0,0,False
72,"居住舱安装工程支援行动　物资收集中
 **请积极参加探索任务筹备物资吧！",居住舱安装工程支援行动　物资收集中,"我们接下来需要建设居住舱！
请积极参加探索任务帮忙筹备物资！",我们需要建设居住舱！一起筹备物资吧！,查明威,241039,0,0,0,168,0,2,6,0,2,3,4,0,0,0,0,0,0,0,0,0,False
73,"居住舱安装工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",居住舱安装工程支援行动　联合工程准备中,"建设居住舱的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设居住舱的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241039,0,0,1451,168,0,2,6,0,2,3,4,0,0,0,0,0,0,0,0,0,False
74,"居住舱安装工程支援行动　联合工程进行中
**请积极参与其中吧！",居住舱安装工程支援行动　联合工程进行中,"建设居住舱的联合工程正在进行中！
请一定要来帮忙呀！",建设居住舱的联合工程正在进行中！请一定要来帮忙呀！,查明威,241039,0,0,0,168,0,2,6,0,2,3,4,0,0,0,0,0,0,0,0,0,False
