#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
36,能量填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,骇客进度,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,光之泛滥,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,能量填充率,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,卫月以太密度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,极限技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,仙子猪之母的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,盖娅的记忆,,35,50,0,0,2,3,1,1,1,False
44,扎鞑的灵魂变异率,,-1,-1,0,0,3,0,0,1,1,False
45,以太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,混沌,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,绝望,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,六合结界术式展开度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,敌军警戒度,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,佐迪亚克的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,以太填充率,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,邪龙之影的支配率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,法夫尼尔的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,菲尼克司的魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,维涅斯的以太,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,盖乌斯的剑气,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,尘世幻龙的以太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,斯卡米留尼的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,拉哈布雷亚的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,尼德霍格的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,饱食度,,30,50,0,0,2,3,1,1,1,False
64,外层魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
65,露琪亚等人的体力,,30,70,0,0,2,3,1,1,1,False
66,凯纳槽的魔力,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,中层魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
68,内层魔法障壁的耐久度,,30,70,0,0,2,3,1,1,1,False
69,卢比坎特的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,安杜马利乌士的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,至尊无影的魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,哈罗妮的寒气,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,梅茵菲娜的魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,雅典娜的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,能量填充率,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,以太凝缩率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,九尾的妖气,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,格威德鲁特的雷力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,欧提斯的耐久度,,30,70,0,0,2,3,1,1,1,False
81,天灾征兆,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,伊可·索可·休玛玖恩的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,封印的强度,,100,-1,0,0,3,1,0,1,1,True
84,剑嚎的剑气,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,节奏感,,-1,-1,0,0,1,0,0,1,1,True
86,泽莲尼娅的以太,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,对死亡的恐惧,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,格莱杨拉波尔的魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,可露儿的魔力,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,割草之魂,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,巨大重力块,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
