#,Name,Icon,JournalCategory,Unknown0
65,日常任务,61411,48,True
66,剧情任务,61411,49,True
67,日常任务,61411,49,True
68,剧情任务,61411,50,True
69,日常任务,61411,50,True
70,剧情任务,61411,51,True
71,日常任务,61411,51,True
72,剧情任务,61411,52,True
73,日常任务,61411,52,True
74,各族盟友,61411,53,True
75,各族盟友：苍穹之章,61411,53,True
76,各族盟友：红莲之章,61411,53,True
77,各族盟友：晓月之章,61411,53,True
78,龙诗战争外传,61411,54,True
79,拂晓回归外传,61411,54,True
80,崭新的冒险外传,61411,54,True
81,非著名调查员,61411,55,True
82,非著名调查员：苍穹之章,61411,55,True
83,非著名调查员：红莲之章,61411,55,True
84,希尔迪布兰德归来,61411,55,True
85,曼德维尔武器,61411,55,True
86,希尔迪布兰德归来：金曦之章,61411,55,True
87,黄道武器,61411,56,True
88,元灵武器,61411,56,True
89,禁地优雷卡,61411,56,True
90,天佑女王,61411,56,True
91,幻境武器,61411,56,True
92,第七灵灾回忆录,61411,58,True
93,邮差莫古力,61411,58,True
94,圣恩达利姆神学院记,61411,58,True
95,虚无界再生计划,61411,58,True
96,塔塔露的大繁荣商店,61411,58,True
97,多玛冒险者团,61411,57,True
98,多玛飞地重建记,61411,57,True
99,重建伊修加德：剧情任务,61411,57,True
100,重建伊修加德：支线任务,61411,57,True
101,莫雯卓越工具,61411,57,True
102,死者宫殿,61411,57,True
103,天之御柱,61411,57,True
104,正统优雷卡,61411,57,True
105,朝圣交错路,61411,57,True
106,无人岛开拓记,61411,57,True
107,多变迷宫,61411,57,True
108,宇宙探索：剧情任务,61411,57,True
109,宇宙探索：支线任务,61411,57,True
110,蜃景幻界新月岛,61411,57,True
111,支线任务：拉诺西亚,61411,59,True
112,支线任务：黑衣森林,61411,60,True
113,支线任务：萨纳兰,61411,61,True
114,支线任务：库尔札斯,61411,62,True
115,支线任务：摩杜纳,61411,63,True
116,支线任务：伊修加德,61411,64,True
117,支线任务：阿巴拉提亚云海,61411,65,True
118,支线任务：龙堡参天高地,61411,66,True
119,支线任务：龙堡内陆低地,61411,66,True
120,支线任务：翻云雾海,61411,66,True
121,支线任务：田园郡,61411,66,True
122,支线任务：魔大陆,61411,67,True
123,支线任务：神拳痕,61411,68,True
124,支线任务：基拉巴尼亚边区,61411,68,True
125,支线任务：基拉巴尼亚山区,61411,68,True
126,支线任务：基拉巴尼亚湖区,61411,68,True
127,支线任务：黄金港,61411,70,True
128,支线任务：红玉海,61411,69,True
129,支线任务：延夏,61411,69,True
130,支线任务：太阳神草原,61411,69,True
131,支线任务：水晶都,61411,71,True
132,支线任务：游末邦,61411,72,True
133,支线任务：雷克兰德,61411,71,True
134,支线任务：珂露西亚岛,61411,72,True
135,支线任务：安穆·艾兰,61411,73,True
136,支线任务：伊尔美格,61411,74,True
137,支线任务：拉凯提卡大森林,61411,75,True
138,支线任务：黑风海,61411,76,True
139,支线任务：旧萨雷安,61411,77,True
140,支线任务：拉札罕,61411,78,True
141,支线任务：迷津,61411,77,True
142,支线任务：萨维奈岛,61411,78,True
143,支线任务：加雷马,61411,79,True
144,支线任务：叹息海,61411,80,True
145,支线任务：厄尔庇斯,61411,81,True
146,支线任务：天外天垓,61411,82,True
147,支线任务：图莱尤拉,61411,83,True
148,支线任务：奥阔帕恰山,61411,83,True
149,支线任务：克扎玛乌卡湿地,61411,83,True
150,支线任务：亚克特尔树海,61411,83,True
151,支线任务：夏劳尼荒野,61411,84,True
152,支线任务：遗产之地,61411,84,True
153,支线任务：九号解决方案,61411,84,True
154,支线任务：活着的记忆,61411,85,True
155,剑术师任务,62301,86,True
156,格斗家任务,62302,86,True
157,斧术师任务,62303,86,True
158,枪术师任务,62304,86,True
159,弓箭手任务,62305,86,True
160,双剑师任务,62309,86,True
161,幻术师任务,62306,87,True
162,咒术师任务,62307,87,True
163,秘术师任务,62308,87,True
164,刻木匠任务,62310,88,True
165,锻铁匠任务,62311,88,True
166,铸甲匠任务,62312,88,True
167,雕金匠任务,62313,88,True
168,制革匠任务,62314,88,True
169,裁衣匠任务,62315,88,True
170,炼金术士任务,62316,88,True
171,烹调师任务,62317,88,True
172,采矿工任务,62318,89,True
173,园艺工任务,62319,89,True
174,捕鱼人任务,62320,89,True
175,骑士任务,62401,93,True
176,武僧任务,62402,93,True
177,战士任务,62403,93,True
178,龙骑士任务,62404,93,True
179,吟游诗人任务,62405,93,True
180,忍者任务,62410,93,True
181,白魔法师任务,62406,94,True
182,黑魔法师任务,62407,94,True
183,召唤师任务,62408,94,True
184,学者任务,62409,94,True
185,暗黑骑士任务,62412,93,True
186,机工士任务,62411,93,True
187,占星术士任务,62413,94,True
188,武士任务,62414,93,True
189,赤魔法师任务,62415,94,True
190,绝枪战士任务,62417,93,True
191,舞者任务,62418,93,True
192,贤者任务,62420,94,True
193,钐镰客任务,62419,93,True
194,蝰蛇剑士任务,62421,93,True
195,绘灵法师任务,62422,94,True
196,青魔法师任务,62416,94,True
197,金属工艺部任务,61411,90,True
198,手工工艺部任务,61411,90,True
199,食药工艺部任务,61411,90,True
200,大地资源部任务,61411,90,True
201,水生资源部任务,61411,90,True
202,中庸工艺馆剧情任务,61411,90,True
203,考古系任务,62521,91,True
204,天文系任务,62521,91,True
205,医学系任务,62521,91,True
206,文化系任务,62521,91,True
207,以太系任务,62521,91,True
208,萨雷安魔法大学剧情任务,62521,91,True
209,五金店任务,62523,92,True
210,笔记工房任务,62523,92,True
211,鲜榨果艺任务,62523,92,True
212,奇珍异宝任务,62523,92,True
213,随心钓任务,62523,92,True
214,万货街剧情任务,62523,92,True
215,防护职能任务：暗影之章,62522,95,True
216,治疗职能任务：暗影之章,62522,95,True
217,物理进攻职能任务：暗影之章,62522,95,True
218,魔法进攻职能任务：暗影之章,62522,95,True
219,职能剧情任务：暗影之章,62522,95,True
220,防护职能任务：晓月之章,62522,95,True
221,治疗职能任务：晓月之章,62522,95,True
222,近战职能任务：晓月之章,62522,95,True
223,远程物理职能任务：晓月之章,62522,95,True
224,远程魔法职能任务：晓月之章,62522,95,True
225,职能剧情任务：晓月之章,62522,95,True
226,防护职能任务：金曦之章,62522,95,True
227,治疗职能任务：金曦之章,62522,95,True
228,近战职能任务：金曦之章,62522,95,True
229,远程物理职能任务：金曦之章,62522,95,True
230,远程魔法职能任务：金曦之章,62522,95,True
231,职能剧情任务：金曦之章,62522,95,True
232,黑涡团任务,61401,96,True
233,双蛇党任务,61402,96,True
234,恒辉队任务,61403,96,True
235,季节活动,61411,97,True
236,降神节,61411,97,True
237,东节,61411,97,True
238,恋人节,61411,97,True
239,恋人节&女儿节,61411,97,True
240,女儿节,61411,97,True
241,女儿节&彩蛋狩猎,61411,97,True
242,彩蛋狩猎,61411,97,True
243,金碟嘉年华,61411,97,True
244,红莲节,61411,97,True
245,新生庆典,61411,97,True
246,守护天节,61411,97,True
247,星芒节,61411,97,True
248,其他季节活动,61411,97,True
249,纪念任务,61411,98,True
250,来访者任务,61411,98,True
251,,0,0,False
252,,0,0,False
253,,0,0,False
254,,0,0,False
255,,0,0,False
256,,0,0,False
257,,0,0,False
258,,0,0,False
259,,0,0,False
260,,0,0,False
261,,0,0,False
262,,0,0,False
263,,0,0,False
264,,0,0,False
265,,0,0,False
266,,0,0,False
267,,0,0,False
268,,0,0,False
269,佣兵理符任务,62501,99,False
270,刻木匠理符任务,62502,103,False
271,锻铁匠理符任务,62503,104,False
272,铸甲匠理符任务,62504,105,False
273,雕金匠理符任务,62505,106,False
274,制革匠理符任务,62506,107,False
275,裁衣匠理符任务,62507,108,False
276,炼金术士理符任务,62508,109,False
277,烹调师理符任务,62509,110,False
278,采矿工理符任务,62510,100,False
279,园艺工理符任务,62511,101,False
280,捕鱼人理符任务,62512,102,False
281,黑涡团理符任务,62513,124,False
282,双蛇党理符任务,62514,124,False
283,恒辉队理符任务,62515,124,False
284,迷宫挑战,61801,125,False
285,大型任务,61802,125,False
286,讨伐歼灭战,61804,125,False
287,迷宫挑战,61801,126,False
288,大型任务,61802,126,False
289,讨伐歼灭战,61804,126,False
290,深层迷宫,61824,126,False
291,迷宫挑战,61801,127,False
292,大型任务,61802,127,False
293,讨伐歼灭战,61804,127,False
294,深层迷宫,61824,127,False
295,禁地优雷卡,61833,127,False
296,迷宫挑战,61801,128,False
297,大型任务,61802,128,False
298,讨伐歼灭战,61804,128,False
299,天佑女王,61838,128,False
300,迷宫挑战,61801,129,False
301,大型任务,61802,129,False
302,讨伐歼灭战,61804,129,False
303,深层迷宫,61824,129,False
304,特殊迷宫,61846,129,False
305,迷宫挑战,61801,130,False
306,大型任务,61802,130,False
307,讨伐歼灭战,61804,130,False
308,蜃景幻界新月岛,61851,130,False
309,深层迷宫,61824,130,False
310,特殊迷宫,61846,130,False
311,行会令,61803,125,False
312,,0,0,False
313,,0,0,False
314,,0,0,False
315,,0,0,False
316,,0,0,False
317,,0,0,False
318,,0,0,False
319,,0,0,False
320,,0,0,False
321,,0,0,False
322,,0,0,False
323,,0,0,False
324,,0,0,False
325,,0,0,False
326,,0,0,False
327,,0,0,False
328,,0,0,False
329,,0,0,False
330,,0,0,False
331,,0,0,False
332,,0,0,False
333,,0,0,False
334,,0,0,False
335,,0,0,False
336,,0,0,False
337,,0,0,False
338,,0,0,False
339,,0,0,False
340,,0,0,False
341,,0,0,False
342,主线剧情任务：第六星历,0,131,False
343,支线任务：第六星历,0,131,False
344,职业任务：第六星历,0,131,False
345,特职任务：第六星历,0,131,False
346,军队任务：第六星历,0,131,False
