#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
104,朱炎,,,,,,60278
105,晴朗,,,,,,60202
106,晴朗,,,,,,60202
107,晴朗,,,,,,60202
108,晴朗,,,,,,60202
109,烈焰,,,,,,60279
110,海啸,,,,,,60280
111,龙卷风,,,,,,60281
112,地震,,,,,,60282
113,青空,,,,,,60283
114,青空,,,,,,60283
115,青空,,,,,,60283
116,乱灵流,,,,,,60284
117,青空,,,,,,60283
118,无尽光,,,,,,60221
119,暴风,,,,,,60253
120,末日,,,,,,60287
121,末日,,,,,,60287
122,妖梦,,,,,,60285
123,妖梦,,,,,,60285
124,妖梦,,,,,,60285
125,光天,,,,,,60286
126,光天,,,,,,60286
127,末日,,,,,,60287
128,末日,,,,,,60287
129,无尽光,,,,,,60221
130,烟雾,,,,,,60254
131,末日,,,,,,60287
132,晴朗,,,,,,60202
133,灵烈火,,,,,,60288
134,灵飘尘,,,,,,60289
135,灵飞电,,,,,,60290
136,灵罡风,,,,,,60291
137,流星雨,,,,,,60296
138,记忆乱流,,,,,,60294
139,阴云,,,,,,60203
140,阴云,,,,,,60203
141,极光,,,,,,60260
142,极光,,,,,,60260
143,雷云,,,,,,60259
144,火风暴,,,,,,60295
145,幻海流,,,,,,60292
146,,,,,,,0
147,决战,,,,,,60297
148,月尘,,,,,,60222
149,磁暴,,,,,,60223
150,末日,,,,,,60224
151,星灵,,,,,,60298
152,星灵,,,,,,60298
153,星灵,,,,,,60298
154,星灵,,,,,,60298
155,星灵,,,,,,60298
156,虚拟,,,,,,60225
157,万魔殿,,,,,,60228
158,万魔殿,,,,,,60228
159,万魔殿,,,,,,60228
160,终极,,,,,,60299
161,绝望,,,,,,60229
162,神域,,,,,,60230
163,神域,,,,,,60230
164,神域,,,,,,60230
165,神域,,,,,,60230
166,神域,,,,,,60230
167,神域,,,,,,60230
168,神域,,,,,,60230
169,神域,,,,,,60230
170,邪天,,,,,,60266
171,虚无,,,,,,60231
172,虚无,,,,,,60231
173,虚无,,,,,,60231
174,次元,,,,,,60274
175,次元,,,,,,60274
176,次元,,,,,,60274
177,万魔殿,,,,,,60228
178,万魔殿,,,,,,60228
179,诗想,,,,,,60232
180,虚无,,,,,,60231
181,阈限,,,,,,60233
182,阈限,,,,,,60233
183,虚拟,,,,,,60234
184,虚拟,,,,,,60234
185,虚拟,,,,,,60234
186,虚拟,,,,,,60234
187,记忆,,,,,,60235
188,战云,,,,,,60236
189,虚拟,,,,,,60234
190,幻怪,,,,,,60238
191,幻妖,,,,,,60239
192,蜃景,,,,,,60240
193,魔尘,,,,,,60237
194,流星雨,,,,,,60241
195,流星雨,,,,,,60241
196,磁暴,,,,,,60223
197,孢子雾,,,,,,60242
198,死气,,,,,,60243
199,死气,,,,,,60243
200,死气,,,,,,60243
201,寒冷气流,,,,,,60244
202,玻璃雨,,,,,,60245
203,打雷,,,,,,60209
204,打雷,,,,,,60209
205,重力紊乱,,,,,,60246
206,水泡风暴,,,,,,60247
