#,Name,Background,Frame,Decoration,SortKey
75,第3赛季水晶冲突：王者,99,57,57,3218
76,第3赛季水晶冲突：勇者,100,58,58,3219
77,第3赛季水晶冲突：获奖者,101,59,59,3220
78,第3赛季水晶冲突：青铜,102,60,60,3226
79,第3赛季水晶冲突：白银,103,61,61,3225
80,第3赛季水晶冲突：黄金,104,62,62,3224
81,第3赛季水晶冲突：白金,105,63,63,3223
82,第3赛季水晶冲突：钻石,106,64,64,3222
83,第3赛季水晶冲突：水晶,107,65,65,3221
84,水晶冲突：蓝色,108,66,66,3002
85,水晶冲突：红色,109,67,67,3003
86,多变迷宫：希拉狄哈水道,110,68,68,2402
87,友好部族任务：奥密克戎族,111,1,69,2315
88,几何图形：圆形,119,70,75,11
89,漫画,116,69,74,12
90,稀有度1（普通品质）,125,76,1,13
91,稀有度2（普通品质）,126,76,1,14
92,稀有度3（普通品质）,127,76,1,15
93,稀有度4（普通品质）,128,76,1,16
94,稀有度5（普通品质）,129,76,1,17
95,稀有度1（优质）,125,77,1,18
96,稀有度2（优质）,126,77,1,19
97,稀有度3（优质）,127,77,1,20
98,稀有度4（优质）,128,77,1,21
99,稀有度5（优质）,129,77,1,22
100,音乐,123,1,76,23
101,咖啡厅,115,1,73,24
102,第4赛季水晶冲突：王者,133,78,81,3227
103,第4赛季水晶冲突：勇者,134,79,82,3228
104,第4赛季水晶冲突：获奖者,135,80,83,3229
105,第4赛季水晶冲突：水晶,136,81,84,3230
106,第4赛季水晶冲突：钻石,137,82,85,3231
107,第4赛季水晶冲突：白金,138,83,86,3232
108,第4赛季水晶冲突：黄金,139,84,87,3233
109,第4赛季水晶冲突：白银,140,85,88,3234
110,第4赛季水晶冲突：青铜,141,86,89,3235
111,第5赛季水晶冲突：王者,142,87,90,3236
112,第5赛季水晶冲突：勇者,143,88,91,3237
113,第5赛季水晶冲突：获奖者,144,89,92,3238
114,第5赛季水晶冲突：水晶,145,90,93,3239
115,第5赛季水晶冲突：钻石,146,91,94,3240
116,第5赛季水晶冲突：白金,147,92,95,3241
117,第5赛季水晶冲突：黄金,148,93,96,3242
118,第5赛季水晶冲突：白银,149,94,97,3243
119,第5赛季水晶冲突：青铜,150,95,98,3244
120,猎隼阵营,151,96,99,3004
121,渡鸦阵营,152,97,100,3005
122,友好部族任务：仙子族,153,1,101,2311
123,友好部族任务：奇塔利族,154,1,102,2312
124,友好部族任务：矮人族,155,1,103,2313
125,友好部族任务：悌阳象族,156,1,104,2314
126,友好部族任务：兔兔族,157,1,105,2316
127,欧米茄绝境验证战,158,98,106,2504
128,深层迷宫：正统优雷卡1,159,1,107,2358
129,深层迷宫：正统优雷卡2,160,1,108,2359
130,第七星历编年史：四圣兽奇谭,161,99,1,2251
131,开拓无人岛1,162,100,109,2340
132,开拓无人岛2,163,101,110,2341
133,第6赛季水晶冲突：王者,164,102,111,3245
134,第6赛季水晶冲突：勇者,165,103,112,3246
135,第6赛季水晶冲突：获奖者,166,104,113,3247
136,第6赛季水晶冲突：水晶,167,105,114,3248
137,第6赛季水晶冲突：钻石,168,106,115,3249
138,第6赛季水晶冲突：白金,169,107,116,3250
139,第6赛季水晶冲突：黄金,170,108,117,3251
140,第6赛季水晶冲突：白银,171,109,118,3252
141,第6赛季水晶冲突：青铜,172,110,119,3253
142,第7赛季水晶冲突：王者,173,111,120,3254
143,第7赛季水晶冲突：勇者,174,112,121,3255
144,第7赛季水晶冲突：获奖者,175,113,122,3256
145,第7赛季水晶冲突：水晶,176,114,123,3257
146,第7赛季水晶冲突：钻石,177,115,124,3258
147,第7赛季水晶冲突：白金,178,116,125,3259
148,第7赛季水晶冲突：黄金,179,117,126,3260
149,第7赛季水晶冲突：白银,180,118,127,3261
150,第7赛季水晶冲突：青铜,181,119,128,3262
151,东方荒魂,182,120,129,3006
152,东方和魂,183,121,130,3007
153,友好部族任务：甲人族,184,1,131,2308
154,友好部族任务：阿难陀族,185,1,132,2309
155,友好部族任务：鲶鱼精族,186,1,133,2310
156,青魔法师（简易）,71,122,134,2071
157,青魔法师（华丽）,187,122,134,2171
158,时代的终结,188,128,1,2250
159,10周年纪念,189,123,135,3950
160,多变迷宫：六根山,190,124,136,2403
161,海钓爱好者,191,125,137,2346
162,愿者上钩,192,126,138,2347
163,运筹帷幄,193,127,139,2350
164,角力学校,194,129,140,3008
165,九霄云上,195,130,141,3009
166,第8赛季水晶冲突：王者,196,131,142,3263
167,第8赛季水晶冲突：勇者,197,132,143,3264
168,第8赛季水晶冲突：获奖者,198,133,144,3265
169,第8赛季水晶冲突：水晶,199,134,145,3266
170,第8赛季水晶冲突：钻石,200,135,146,3267
171,第8赛季水晶冲突：白金,201,136,147,3268
172,第8赛季水晶冲突：黄金,202,137,148,3269
173,第8赛季水晶冲突：白银,203,138,149,3270
174,第8赛季水晶冲突：青铜,204,139,150,3271
175,第9赛季水晶冲突：王者,205,140,151,3272
176,第9赛季水晶冲突：勇者,206,141,152,3273
177,第9赛季水晶冲突：获奖者,207,142,153,3274
178,第9赛季水晶冲突：水晶,208,143,154,3275
179,第9赛季水晶冲突：钻石,209,144,155,3276
180,第9赛季水晶冲突：白金,210,145,156,3277
181,第9赛季水晶冲突：黄金,211,146,157,3278
182,第9赛季水晶冲突：白银,212,147,158,3279
183,第9赛季水晶冲突：青铜,213,148,159,3280
184,第10赛季水晶冲突：王者,214,149,160,3281
185,第10赛季水晶冲突：勇者,215,150,161,3282
186,第10赛季水晶冲突：获奖者,216,151,162,3283
187,第10赛季水晶冲突：水晶,217,152,163,3284
188,第10赛季水晶冲突：钻石,218,153,164,3285
189,第10赛季水晶冲突：白金,219,154,165,3286
190,第10赛季水晶冲突：黄金,220,155,166,3287
191,第10赛季水晶冲突：白银,221,156,167,3288
192,第10赛季水晶冲突：青铜,222,157,168,3289
193,友好部族任务：瓦努族,223,1,169,2305
194,友好部族任务：骨颌族,224,1,170,2306
195,友好部族任务：莫古力族,225,1,171,2307
196,艾欧泽亚神话：哈罗妮,226,158,172,2252
197,艾欧泽亚神话：梅茵菲娜,226,158,173,2253
198,艾欧泽亚神话：沙利亚克,226,158,174,2254
199,艾欧泽亚神话：妮美雅,226,158,175,2255
200,艾欧泽亚神话：利姆莱茵,226,158,176,2256
201,艾欧泽亚神话：奥修昂,226,158,177,2257
202,艾欧泽亚神话：比尔格,226,158,178,2258
203,艾欧泽亚神话：拉尔戈,226,158,179,2259
204,艾欧泽亚神话：阿泽玛,226,158,180,2260
205,艾欧泽亚神话：纳尔札尔,226,158,181,2261
206,艾欧泽亚神话：诺菲卡,226,158,182,2262
207,艾欧泽亚神话：阿尔基克,226,158,183,2263
208,多变迷宫：阿罗阿罗岛,227,159,184,2404
209,天书奇谈,228,160,185,2351
210,幻巧拼图,229,161,186,2352
211,金碟巨豆中心1,230,162,187,3951
212,金碟巨豆中心2,231,163,188,3952
213,金碟巨豆中心3,232,164,189,3953
214,妖怪手表,233,165,190,3954
215,蝰蛇剑士（简易）,234,166,191,2063
216,蝰蛇剑士（华丽）,235,166,191,2163
217,绘灵法师（简易）,236,167,192,2070
218,绘灵法师（华丽）,237,167,192,2170
219,火山之心,238,168,193,3010
220,机关大殿,239,169,194,3011
221,第11赛季水晶冲突：王者,240,170,195,3290
222,第11赛季水晶冲突：勇者,241,171,196,3291
223,第11赛季水晶冲突：获奖者,242,172,197,3292
224,第11赛季水晶冲突：水晶,243,173,198,3293
225,第11赛季水晶冲突：钻石,244,174,199,3294
226,第11赛季水晶冲突：白金,245,175,200,3295
227,第11赛季水晶冲突：黄金,246,176,201,3296
228,第11赛季水晶冲突：白银,247,177,202,3297
229,第11赛季水晶冲突：青铜,248,178,203,3298
230,友好部族任务：地灵族,249,1,204,2302
231,友好部族任务：妖精族,250,1,205,2301
232,友好部族任务：蜥蜴人族,251,1,206,2300
233,友好部族任务：鱼人族,252,1,207,2303
234,友好部族任务：鸟人族,253,1,208,2304
235,图莱尤拉1,254,179,209,1036
236,图莱尤拉2,255,180,210,1037
237,九号解决方案1,256,181,211,1038
238,九号解决方案2,257,182,212,1039
239,尘封秘岩,258,183,213,3013
240,赤土红沙,259,184,214,3012
241,第12赛季水晶冲突：王者,260,185,215,3299
242,第12赛季水晶冲突：勇者,261,186,216,3300
243,第12赛季水晶冲突：获奖者,262,187,217,3301
244,第12赛季水晶冲突：水晶,263,188,218,3302
245,第12赛季水晶冲突：钻石,264,189,219,3303
246,第12赛季水晶冲突：白金,265,190,220,3304
247,第12赛季水晶冲突：黄金,266,191,221,3305
248,第12赛季水晶冲突：白银,267,192,222,3306
249,第12赛季水晶冲突：青铜,268,193,223,3307
250,友好部族任务：佩鲁佩鲁族,269,1,224,2317
251,伊修加德1,270,194,225,1020
252,伊修加德2,271,195,226,1021
253,田园郡1,272,196,227,1022
254,田园郡2,273,197,228,1023
255,黄金港1,274,198,229,1024
256,黄金港2,275,199,230,1025
257,神拳痕1,276,200,231,1026
258,神拳痕2,277,201,232,1027
259,水晶都1,278,202,233,1028
260,水晶都2,279,203,234,1029
261,游末邦1,280,204,235,1030
262,游末邦2,281,205,236,1031
263,旧萨雷安1,282,206,237,1032
264,旧萨雷安2,283,207,238,1033
265,拉札罕1,284,208,239,1034
266,拉札罕2,285,209,240,1035
267,荣誉野,286,210,241,3014
268,昂萨哈凯尔,287,211,242,3015
269,第13赛季水晶冲突：王者,288,212,243,3308
270,第13赛季水晶冲突：勇者,289,213,244,3309
271,第13赛季水晶冲突：获奖者,290,214,245,3310
272,第13赛季水晶冲突：水晶,291,215,246,3311
273,第13赛季水晶冲突：钻石,292,216,247,3312
274,第13赛季水晶冲突：白金,293,217,248,3313
275,第13赛季水晶冲突：黄金,294,218,249,3314
276,第13赛季水晶冲突：白银,295,219,250,3315
277,第13赛季水晶冲突：青铜,296,220,251,3316
278,第14赛季水晶冲突：王者,297,221,252,3317
279,第14赛季水晶冲突：勇者,298,222,253,3318
280,第14赛季水晶冲突：获奖者,299,223,254,3319
281,第14赛季水晶冲突：水晶,300,224,255,3320
282,第14赛季水晶冲突：钻石,301,225,256,3321
283,第14赛季水晶冲突：白金,302,226,257,3322
284,第14赛季水晶冲突：黄金,303,227,258,3323
285,第14赛季水晶冲突：白银,304,228,259,3324
286,第14赛季水晶冲突：青铜,305,229,260,3325
287,光暗未来绝境战,306,230,261,2505
288,友好部族任务：辉鳞族,307,1,262,2318
289,深层迷宫：死者宫殿1,308,1,263,2354
290,深层迷宫：死者宫殿2,309,1,264,2355
291,深层迷宫：天之御柱1,310,1,265,2356
292,深层迷宫：天之御柱2,311,1,266,2357
293,蜃景幻界新月岛,312,231,267,2406
294,宇宙探索1,313,232,268,2343
295,怪物猎人：荒野1,314,233,269,3955
296,怪物猎人：荒野2,315,234,270,3956
297,隐塞,316,235,271,3016
298,周边遗迹群（阵地战）,317,236,272,3017
299,第15赛季水晶冲突：王者,318,237,273,3326
300,第15赛季水晶冲突：勇者,319,238,274,3327
301,第15赛季水晶冲突：获奖者,320,239,275,3328
302,第15赛季水晶冲突：水晶,321,240,276,3329
303,第15赛季水晶冲突：钻石,322,241,277,3330
304,第15赛季水晶冲突：白金,323,242,278,3331
305,第15赛季水晶冲突：黄金,324,243,279,3332
306,第15赛季水晶冲突：白银,325,244,280,3333
307,第15赛季水晶冲突：青铜,326,245,281,3334
308,第16赛季水晶冲突：王者,327,246,282,3335
309,第16赛季水晶冲突：勇者,328,247,283,3336
310,第16赛季水晶冲突：获奖者,329,248,284,3337
311,第16赛季水晶冲突：究极,330,249,285,3338
312,第16赛季水晶冲突：欧米茄,331,250,286,3339
313,第16赛季水晶冲突：水晶,332,251,287,3340
314,第16赛季水晶冲突：钻石,333,252,288,3341
315,第16赛季水晶冲突：白金,334,253,289,3342
316,第16赛季水晶冲突：黄金,335,254,290,3343
317,第16赛季水晶冲突：白银,336,255,291,3344
318,第16赛季水晶冲突：青铜,337,256,292,3345
319,友好部族任务：尤卡巨人族,338,1,293,2319
320,深层迷宫：朝圣交错路1,339,1,294,2400
321,深层迷宫：朝圣交错路2,340,1,295,2401
322,宇宙探索2,341,257,296,2344
323,开拓无人岛3,342,258,1,2342
324,海岸斗场,343,259,297,3018
325,沃刻其特战役,344,260,298,3019
326,第17赛季水晶冲突：王者,345,261,299,3346
327,第17赛季水晶冲突：勇者,346,262,300,3347
328,第17赛季水晶冲突：获奖者,347,263,301,3348
329,第17赛季水晶冲突：究极,348,264,302,3349
330,第17赛季水晶冲突：欧米茄,349,265,303,3350
331,第17赛季水晶冲突：水晶,350,266,304,3351
332,第17赛季水晶冲突：钻石,351,267,305,3352
333,第17赛季水晶冲突：白金,352,268,306,3353
334,第17赛季水晶冲突：黄金,353,269,307,3354
335,第17赛季水晶冲突：白银,354,270,308,3355
336,第17赛季水晶冲突：青铜,355,271,309,3356
337,第18赛季水晶冲突：王者,356,272,310,3357
338,第18赛季水晶冲突：勇者,357,273,311,3358
339,第18赛季水晶冲突：获奖者,358,274,312,3359
340,第18赛季水晶冲突：究极,359,275,313,3360
341,第18赛季水晶冲突：欧米茄,360,276,314,3361
342,第18赛季水晶冲突：水晶,361,277,315,3362
343,第18赛季水晶冲突：钻石,362,278,316,3363
344,第18赛季水晶冲突：白金,363,279,317,3364
345,第18赛季水晶冲突：黄金,364,280,318,3365
346,第18赛季水晶冲突：白银,365,281,319,3366
347,第18赛季水晶冲突：青铜,366,282,320,3367
348,特别奖,367,283,321,4002
349,宇宙探索3,368,284,322,2345
350,多变迷宫：商客奇谭,369,285,323,2405
351,简约风格1,370,286,324,25
352,简约风格2,371,287,325,26
353,简约风格3,372,288,326,27
354,简约风格4,373,289,327,28
355,简约风格5,374,290,328,29
356,简约风格6,375,291,329,30
357,简约风格7,376,292,330,31
358,简约风格8,377,293,331,32
359,,0,0,0,0
360,,0,0,0,0
361,,0,0,0,0
362,,0,0,0,0
363,,0,0,0,0
364,,0,0,0,0
365,,0,0,0,0
366,,0,0,0,0
367,,0,0,0,0
368,,0,0,0,0
369,,0,0,0,0
370,,0,0,0,0
371,,0,0,0,0
372,,0,0,0,0
373,,0,0,0,0
374,,0,0,0,0
375,,0,0,0,0
376,,0,0,0,0
377,,0,0,0,0
378,,0,0,0,0
379,,0,0,0,0
380,,0,0,0,0
