#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
64,L　海神的浮标,L,889960,960,889,305,100,3,3,78,6,28,False
65,M　翠浪海4,M,935015,980,659,637,300,3,3,80,6,30,False
66,N　海藻树林,N,958391,1000,626,805,500,3,3,81,6,31,False
67,O　翠浪海5,O,1006910,1040,938,188,600,3,4,83,6,32,False
68,P　钝刀切岸,P,1057886,1080,481,918,100,3,4,85,6,33,False
69,Q　驻风港,Q,1111443,1120,889,445,500,3,5,87,6,34,False
70,R　龙骨塚,R,1139230,1140,736,764,600,3,5,88,6,35,False
71,S　翠浪海6,S,1167711,1160,852,617,1000,3,5,89,6,36,False
72,T　海兽的灵园,T,1751567,1180,832,888,1000,3,5,90,6,37,False
73,,,0,0,177,927,0,4,0,0,0,0,True
74,A　耳蜡渔场,A,1751567,1180,201,748,200,4,1,90,6,37,False
75,B　妖歌海1,B,1751567,1180,427,704,700,4,1,90,6,37,False
76,C　妖歌海2,C,1751567,1180,340,532,300,4,1,90,6,37,False
77,D　花丛岛,D,1926724,1190,447,253,200,4,1,91,6,38,False
78,E　海魔之口,E,2119397,1210,583,593,800,4,1,92,6,39,False
79,F　漂流海域,F,2331337,1220,687,644,400,4,2,93,6,40,False
80,G　告死礁,G,2820919,1250,66,383,900,4,2,95,6,41,False
81,H　妖歌海3,H,3074802,1270,352,118,500,4,3,96,6,42,False
82,I　花丛潜流,I,3074802,1270,557,183,800,4,3,96,6,42,False
83,J　妖歌海4,J,3351535,1280,738,555,400,4,3,97,6,42,False
84,K　涡纹海峡,K,3653174,1300,802,436,800,4,3,98,6,43,False
85,L　鸟嘴湾,L,3981960,1310,620,806,300,4,4,99,6,44,False
86,M　海魔牢狱,M,4340337,1330,136,138,1000,4,4,100,6,44,False
87,N　废弃流放岛,N,4687564,1340,533,68,100,4,4,101,6,45,False
88,O　卢加特海滩,O,4687564,1340,885,400,400,4,4,101,6,45,False
89,P　积冰泉,P,5062570,1360,502,899,200,4,5,102,6,46,False
90,Q　妖歌海5,Q,5467576,1370,873,106,1000,4,5,103,6,47,False
91,R　涡纹岛,R,5904983,1390,678,289,0,4,5,104,6,47,False
92,S　赤血海丘,S,6377382,1400,937,651,1000,4,5,105,6,48,False
93,T　海晶泉,T,6377382,1400,747,901,200,4,5,105,6,48,False
94,,,0,0,49,928,0,5,0,0,0,0,True
95,A　垂藤架,A,6377382,1400,177,858,600,5,1,105,6,48,False
96,B　白化珊瑚岛,B,6377382,1400,189,713,100,5,1,105,6,48,False
97,C　候鸟的浅滩,C,6377382,1400,494,744,300,5,1,105,6,48,False
98,D　紫礁海1,D,6536817,1420,90,514,300,5,1,106,6,48,False
99,E　海鸥岛,E,6700238,1430,545,898,100,5,1,107,6,48,False
100,F　桔梗海沟中央,F,6867744,1450,366,534,1000,5,2,108,6,49,False
101,G　紫礁海2,G,7215424,1480,741,797,300,5,2,110,6,49,False
102,H　紫礁海3,H,7395810,1490,901,898,300,5,3,111,6,50,False
103,I　桔梗海沟西北,I,7580706,1510,174,394,1000,5,3,112,6,50,False
104,J　花冠岛,J,7770224,1520,533,457,100,5,3,113,6,50,False
105,K　桔梗海沟东南,K,7964480,1540,646,677,1000,5,3,114,6,50,False
106,L　盛放礁湖,L,8163592,1550,562,320,600,5,4,115,6,51,False
107,M　翼瓣岛,M,8163592,1550,806,570,100,5,4,115,6,51,False
108,N　旗瓣岛,N,8367682,1570,690,212,100,5,4,116,6,51,False
109,O　蝴蝶圆湾,O,8576875,1580,737,433,600,5,4,117,6,51,False
110,P　紫礁海4,P,8791297,1600,62,88,600,5,5,118,6,52,False
111,Q　龙骨瓣岛,Q,9011080,1610,374,296,100,5,5,119,6,52,False
112,R　多迪海底峡谷东,R,9011080,1610,922,340,1000,5,5,119,6,52,False
113,S　紫礁海5,S,9236357,1630,804,64,1000,5,5,120,6,52,False
114,T　多迪海底峡谷西,T,9236357,1630,485,62,1000,5,5,120,6,52,False
115,,,0,0,934,60,0,6,0,0,0,0,True
116,A　苍茫浅滩,A,9236357,1630,822,159,100,6,1,120,6,52,False
117,B　探险家的中继基地,B,9236357,1630,661,378,0,6,1,120,6,52,False
118,C　绀色海底陆架北,C,9236357,1630,624,168,400,6,1,120,6,52,False
119,D　起雨海底谷,D,9467266,1640,907,517,1000,6,1,121,6,52,False
120,E　南苍茫洋1,E,9703948,1660,431,86,700,6,1,122,6,52,False
121,F　碧蓝海心,F,9946547,1670,480,438,800,6,2,123,6,53,False
122,G　南苍茫洋2,G,10450092,1700,393,257,700,6,2,125,6,53,False
123,H　钩爪岛,H,10711345,1720,286,364,0,6,3,126,6,54,False
124,I　碧蓝海心南,I,10979129,1730,508,600,500,6,3,127,6,54,False
125,J　南苍茫洋3,J,11253608,1750,85,93,500,6,3,128,6,54,False
126,K　钩爪岛近海,K,11534949,1760,76,316,700,6,3,129,6,54,False
127,L　碧眼岛,L,11823323,1780,728,764,100,6,4,130,6,55,False
128,M　星痕水道浅部,M,11823323,1780,331,660,400,6,4,130,6,55,False
129,N　月缺岛,N,12118907,1790,206,650,0,6,4,131,6,55,False
130,O　绿宝石渊,O,12421880,1810,895,919,1000,6,4,132,6,55,False
131,P　南苍茫洋4,P,12732427,1820,86,494,800,6,5,133,6,56,False
132,Q　绀色海底陆架南,Q,13050738,1840,461,816,800,6,5,134,6,56,False
133,R　星痕水道中部,R,13050738,1840,196,810,900,6,5,134,6,56,False
134,S　起风海底谷,S,13377007,1850,520,926,1000,6,5,135,6,56,False
135,T　星痕水道深部,T,13377007,1850,88,927,1000,6,5,135,6,56,False
136,,,0,0,933,940,0,7,0,0,0,0,True
137,A　黑血域东,A,13377007,1850,883,870,500,7,1,135,6,56,False
138,B　海狼港,B,13377007,1850,907,579,1000,7,1,135,6,56,False
139,C　手斧岛南端,C,13377007,1850,803,779,0,7,1,135,6,56,False
140,D　眼湖,D,13711433,1870,727,634,400,7,1,136,6,56,False
141,E　手斧岛东北,E,14054219,1880,850,360,0,7,1,137,6,56,False
142,F　欢庆海岸,F,14405575,1900,551,645,600,7,2,138,6,58,False
143,G　尖牙角远岸,G,15134858,1930,472,432,600,7,2,140,6,58,False
144,,,0,0,0,0,0,0,0,0,0,0,False
145,,,0,0,0,0,0,0,0,0,0,0,False
146,,,0,0,0,0,0,0,0,0,0,0,False
147,,,0,0,0,0,0,0,0,0,0,0,False
148,,,0,0,0,0,0,0,0,0,0,0,False
149,,,0,0,0,0,0,0,0,0,0,0,False
150,,,0,0,0,0,0,0,0,0,0,0,False
151,,,0,0,0,0,0,0,0,0,0,0,False
152,,,0,0,0,0,0,0,0,0,0,0,False
153,,,0,0,0,0,0,0,0,0,0,0,False
154,,,0,0,0,0,0,0,0,0,0,0,False
155,,,0,0,0,0,0,0,0,0,0,0,False
156,,,0,0,0,0,0,0,0,0,0,0,False
157,,,0,0,0,0,0,0,0,0,0,0,False
158,,,0,0,0,0,0,0,0,0,0,0,False
159,,,0,0,0,0,0,0,0,0,0,0,False
