#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown8
20,复制告密者——第四军团谢米哈扎,魔导僧兵大队的异端僧兵献出生命解放了圣石碎片的力量，打倒第四军团谢米哈扎！,8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
21,焦土魔蝎——赫德提特,魔兽大队的驯兽师放出了在终末焦土捕获到的魔蝎，打倒焦土魔蝎——赫德提特！,8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,True
22,钢铁人马——魔导骑兵大队,第四军团投入了无人驾驶型魔导兵器用作增援，消灭魔导骑兵大队！,8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,True
23,第四军团军政官——梅内纽斯,负责指挥博兹雅驻军的军政官梅内纽斯发出了决斗的邀请，在单挑中打倒梅内纽斯！,8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,True
24,异界魔王——汉比,术师大队的妖术师召唤出了渴望鲜血的大妖异，打倒异界魔王——汉比！,8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
25,邪恶冰狼——恶名苍狼,术师大队的妖术师凝聚魔力召唤出了邪恶冰狼，打倒邪恶冰狼——恶名苍狼！,8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
26,复制魔人——第四军团贝利亚斯,魔导僧兵大队的异端僧兵献出生命解放了圣石碎片的力量，打倒第四军团贝利亚斯！,8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,True
27,新兵器投入——机甲百人队,机械化步兵大队的魔导技师长西西尼乌斯将最新型的魔导兵器群投放到了战场，歼灭机甲百人队！,8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,True
28,有角凶鸟——阿尔科诺斯特,魔兽大队的驯兽师为了推进战线，将杀手锏投入了战场，打倒有角凶鸟——阿尔科诺斯特！,8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,True
29,复制统治者——第四军团哈修马利姆,魔导僧兵大队的异端僧兵献出生命解放了圣石碎片的力量，打倒第四军团哈修马利姆！,8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
30,光辉虹蛇——阿依达,术师大队为了维持战线，召唤出了新的魔法生物，打倒光辉虹蛇——阿依达！,8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,True
31,战栗的百兽之王——兽王莱昂,不停寻找着强敌的千夫长莱昂发出了决斗的邀请，在单挑中打倒兽王莱昂！,8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,True
32,旗舰达尔里阿达号攻略战,敌方旗舰陷入了无法行动的状态，趁现在与同伴们一起进攻，打倒最深处的敌人！,0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,True
33,脑髓爱好者——夺心魔,"喜欢品尝新鲜大脑的妖异开始寻找猎物了，
打倒脑髓爱好者——夺心魔！",10962704,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
34,黑色连队,"新月岛的黑陆行鸟正在成群结队地袭击路过者，
打倒黑陆行鸟群！",10940977,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
35,愤怒的人造人——新月狂战士,"被创造者注入了特定情感的人型使魔陷入了狂暴状态，
打倒愤怒的人造人——新月狂战士！",10962716,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
36,潜影撕裂者——死亡爪,"禁忌之术创造的死灵正为寻求生者而四处徘徊，
打倒潜影撕裂者——死亡爪！",10940989,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
37,挣脱封印的大妖异——回廊恶魔,"被岛主封印的大妖异正在试图挣脱封印，
打倒从异空间现身的回廊恶魔！",10941018,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
38,拟造使魔——水晶龙,"岛主创造的使魔想要测试入侵者的实力，
打倒拟造使魔——水晶龙！",10962728,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
39,双极的造物——神秘土偶,"兼具灾祸与神性的神秘土偶现身了，
打倒双极的造物——神秘土偶！",10937430,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
40,石制骑士团,"为了守护城塞，石制的骑士像主动出击了，
打倒新月骑士！",11131960,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
41,传说中的鲨鱼——尼姆瓣齿鲨,"在海洋城邦尼姆的传说中登场过的凶暴双足鲨鱼现身了，
打倒传说中的鲨鱼——尼姆瓣齿鲨！",11102245,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
42,双足狮人——跃立狮,"白魔法驱动的石像在圆顶城塞现身了，
打倒双足狮人——跃立狮！",10937461,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
43,防卫指令,"用于维持治安的石制守卫判定冒险者是危险因素，
准备将入侵者一举歼灭，打倒指令罐！",11102367,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
44,厌鸟巨兽——进化加鲁拉,"一头野兽被烦人的叽喳鸟激怒后失去了理智，
打倒厌鸟巨兽——进化加鲁拉！",10941033,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
45,贩卖诅咒的商贩——金钱龟,"被魔法赋予了智力的陆龟企图贩卖咒物，
打倒贩卖诅咒的商贩——金钱龟！",10962741,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
46,城塞守卫——复原狮像,"魔大战时期启用的防御装置被入侵者唤醒了，
打倒城塞守卫——复原狮像！",10937473,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
47,昏暗妖魂——鬼火苗,"妖异的灵魂附身在了鸟形的古代雕像上，
打倒昏暗妖魂——鬼火苗！",10962753,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
48,两歧塔 力之塔,"新月岛南部出现了神秘的蜃景之塔，
和伙伴一同进入，突破最顶层！",0,0,70853,0,63978,63978,0,0,0,4,6,48,30,0,0,False
49,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
57,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
61,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
63,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
64,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
