#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100128,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1524,0,9,53,18,8,False
100129,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1574,0,10,53,18,9,False
100130,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1625,0,11,53,18,10,False
100131,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1676,0,12,53,18,11,False
100132,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1724,0,13,53,18,12,False
100133,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1774,0,14,53,18,13,False
100134,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1825,0,15,53,18,14,False
100135,集中加工,"**只有在“高品质”或更优的状态下才能使用**
消耗耐久以提高制品品质
追加效果：内静的积累档数+1（最多积累10档）
效率：150
成功率：100%",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1875,0,16,53,18,15,False
100136,坚信,"**仅可在首次作业时发动**
消耗耐久以完成工作量的1/3左右（上限：1000）
成功率：100%",0,100136,100136,100136,100136,100136,100136,100136,100136,239,246,786,0,0,1,0,-1,False
100137,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100138,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100139,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100140,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100141,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100142,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100143,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100144,革新,"**专家专用技能**
消耗耐久以提高制品品质
追加效果：改革
效率：100
成功率：40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100145,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100146,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100147,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100148,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100149,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100150,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100151,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100152,比尔格的奇迹,"**专家专用技能**
消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升15
使用之后会令内静积累的效果减半
效率：100（100～）
成功率：70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100153,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100154,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100155,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100156,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100157,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100158,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100159,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100160,妮美雅的纺车,"**专家专用技能**
随工作小调档数的消耗程度恢复相应的耐久
使用之后会结束工作小调效果
成功率：100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100161,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100162,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100163,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100164,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100165,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100166,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
100167,匠心独具,"**专家专用技能**
**仅在内静与工作小调档数相同时才能使用**
消耗耐久以使作业大幅进展，品质也大幅提高
效率：150
成功率：100%",0,100161,100162,100163,100164,100165,100166,100167,100168,239,246,786,0,0,1,0,-1,False
